institution_code,institution_name,email,akreditasi_institusi,link
53,Institut Kesehatan dan Bisnis Surabaya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/72028
54,Institut Pertanian Malang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/72006
55,Institut Sains Dan Teknologi Palapa,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/72013
56,Institut Sains dan Teknologi Terpadu Surabaya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/72021
57,Institut Sains Teknologi dan Kesehatan Insan Cendekia Husada Bojonegoro,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/72041
58,Institut Teknologi Adhi Tama Surabaya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/72002
59,Institut Teknologi AI Mahrusiyah,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/72035
60,Institut Teknologi Bisnis dan Kesehatan Muhammadiyah Tulungagung,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/72038
61,Institut Teknologi dan Bisnis Ahmad Dahlan Lamongan,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/72027
62,Institut Teknologi dan Bisnis Asia Malang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/72023
63,Institut Teknologi dan Bisnis Kristen Regent,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/72036
64,Institut Teknologi dan Bisnis Muhammadiyah Banyuwangi,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/72024
65,Institut Teknologi dan Bisnis Trenggalek,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/72033
66,Institut Teknologi dan Bisnis Tuban,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/72037
67,Institut Teknologi dan Bisnis Widya Gama Lumajang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/72034
68,Institut Teknologi dan Bisnis Yadika Pasuruan,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/72040
69,Institut Teknologi dan Sains Mandala,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/72042
70,Institut Teknologi Insan Cendekia Mandiri,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/72030
71,Institut Teknologi Kesehatan Malang Widya Cipta Husada,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/72031
72,Institut Teknologi Mojosari,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/72032
73,Institut Teknologi Nasional Malang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/72004
74,Institut Teknologi Pembangunan Surabaya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/72001
75,Institut Teknologi Sains dan Kesehatan Insan Cendekia Medika Jombang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/72039
76,"Institut Teknologi, Sains, dan Kesehatan RS.DR. Soepraoen Kesdam V/BRW",,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/72026
77,King's College London,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71119
78,Politeknik Batu,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/75024
79,Politeknik Cahaya Surya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/75001
80,Politeknik Internasional Tamansiswa Mojokerto,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/75020
81,Politeknik Kesehatan Jember,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/75023
82,Politeknik Kesehatan Kerta Cendekia,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/75017
83,Politeknik Kesehatan Putra Indonesia Malang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/75022
84,Politeknik Kesehatan Wira Husada Nusantara Malang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/75018
85,Politeknik Kota Malang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/75010
86,Politeknik Masamy Internasional,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/75015
87,Politeknik Mercusuar Indonesia,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/75019
88,Politeknik Mitra Global,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/75016
89,Politeknik NSC Surabaya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/75002
90,Politeknik Pertanian dan Peternakan Mapena,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/75014
