id_sp,kab_kota_pt,provinsi_pt,akreditasi,nama_singkat,status_pt,nama_pt,jenis_pt,jumlah_prodi,range_biaya_kuliah
2QQhcuhbpA5Xs5Inf498Wfn-ebqUaigNlnfr2mBVsHSQpeRd2dGgF8qYM44RqqFFxKlqmA==,Kab. Sumenep,Prov. Jawa Timur,Baik,UA,Aktif,Universitas Annuqayah,Swasta,8,950.000 - 6.500.000
5XMtUDi-rnbAPM72TGBGyYxwK2BgyyNAgQku4JFJUx_jgpUyAoFYROUiKWYvWyyFdwRH_w==,Kab. Kudus,Prov. Jawa Tengah,-,-,Alih Bentuk,Akademi Keperawatan Krida Husada,Swasta,1,-
QGfZKVXye76G_N9zElxzuiXdtWf5dO_K0fqf0nHxiOn_KppzpC8zD_jSeN6wx7wj-b-WxA==,Kota Kendari,Prov. Sulawesi Tenggara,-,-,Alih Bentuk,Akademi Kesehatan Gigi Kendari,Swasta,1,-
B4K2QKAmyYTJqGYTzD488024yRKcYQ9z3GZdIrFy8vlXVvFZJO-3e9Cpn1qOM8S_rpwP3A==,Kota Banjarmasin,Prov. Kalimantan Selatan,Baik Sekali,IBITEK,Aktif,Institut Bisnis dan Teknologi Kalimantan,Swasta,5,-
PfqkSdBKarqvTKC6zdGgfY0jnYZbQtRLMQRhzehMq9pZ-t9lGFqenpFWrYwK6ESAhMFpNA==,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Baik Sekali,Prasmul,Aktif,Universitas Prasetiya Mulya,Swasta,13,1.000.000 - 50.000.000
WaNTcLIGfxbZ_7oaTq6NV10Y3-weuuUSUA-XEO4AjIg9DFeUSDfHpHzU01xg8EeTiGYjug==,Kota Tasikmalaya,Prov. Jawa Barat,Baik,UMTAS,Aktif,Universitas Muhammadiyah Tasikmalaya,Swasta,16,100.000 - 17.350.000
ZlRUHuNhwwMR_eZW42w5njGv4bY6ujZEhTJ_46u7ZCAS8QzYNK4t1gNfYpOcQ5ehm6piew==,Kota Sukabumi,Prov. Jawa Barat,Baik,IMWI,Alih Bentuk,Institut Manajemen Wiyata Indonesia,Swasta,6,-
9wKmGhX6jp9zipFWwuIPm_XVMXoBpWQDZodwiXdVLI7izgvsADDacxkBPWeLKcL_b-5Myg==,Kota Lhokseumawe,Prov. Aceh,-,ASM T. Rencong,Tutup,Akademi Sekretari Manajemen Tanah Rencong,Swasta,1,-
gXtmRAR78QuNHkHmanCoBb7-9INZIxLDRgHdlLqBxrISe5YALXx5EI1VJGgc6bTWQag2ZQ==,Kota Makassar,Prov. Sulawesi Selatan,-,Akper Muhammadiyah M,Alih Bentuk,Akademi Keperawatan Muhammadiyah Makassar,Swasta,1,-
udhZfTR8yZwsKvyQyBd1hZaWHV1SuhFgyiVM0DKGYIFUBW4Pwr9Uv6scIMsQRe4ChGU5Kw==,Kab. Bantul,Prov. D.I. Yogyakarta,Baik,-,Aktif,Sekolah Tinggi Ilmu Kesehatan Bantul,Swasta,2,800.000 - 8.000.000
blVlO9ZaGWCuZRevrnyHF1EFiSmpFkChkoeknERa3HHLefNKqRwmHXX7r07nRwpBXM_aew==,Kota Semarang,Prov. Jawa Tengah,Baik,-,Aktif,Sekolah Tinggi Ilmu Kesehatan Hakli,Swasta,7,4.800.000 - 4.800.000
kpx5PRiuAD_ojICOpSgw84O5Rp88S-2OhwiG8Zy6XTR7R7qFmRhjlK-HcXHATQw3h5fVAQ==,Kota Yogyakarta,Prov. D.I. Yogyakarta,Baik Sekali,-,Aktif,Sekolah Tinggi Ilmu Kesehatan Notokusumo Yogyakarta,Swasta,4,500.000 - 7.450.000
6DNeEoERROLUi-DTC6wfQl7mU20uE2nP-GZLx8xsQckGS4SRv9pEIYr58m0qMqa_35Es4w==,Kota Bogor,Prov. Jawa Barat,Baik,-,Aktif,Politeknik Prasetiya Mandiri,Swasta,13,4.000.000 - 5.000.000
1m_aNsp2OpXUNz2pnjT-lRb1H8Nx5Q337rhjQ48ZoE5JdKsI21ol4iMODtW3GCef-0WxlA==,Kab. Sleman,Prov. D.I. Yogyakarta,-,STIKES 'Aisyiyah Yog,Alih Bentuk,Sekolah Tinggi Ilmu Kesehatan Aisyiyah Yogyakarta,Swasta,6,-
T0r-Dvqa0YROkTyx3w1JpEAopkbniMK7TgHyq1SmJx_y9RTMZGFQTGLes52WNg_vzay-ZA==,Tidak Diisi,Prov. D.I. Yogyakarta,-,-,Tutup,Akademi Kesejahteraan Sosial Tarakanita,Swasta,2,-
