prodi_code,prodi_name,jenjang,akreditasi_prodi,institution_code
139,PENDIDIKAN INFORMATIKA,S1,B,3273
140,ILMU KOMUNIKASI,S1,B,3531
141,PENDIDIKAN MATEMATIKA,S1,B,2014
142,"PENDIDIKAN JASMANI, KESEHATAN & REKREASI",S1,B,2645
143,ILMU HUKUM,S2,B,2680
144,ILMU FILSAFAT,S1,B,3626
145,PETERNAKAN,S2,A,287
146,ILMU HUKUM,S1,B,957
147,ARSITEKTUR,S1,B,179
148,KOMUNIKASI DAN PENYIARAN ISLAM,S1,B,2069
149,USAHA PERJALANAN WISATA,D-IV,B,3927
150,MANAJEMEN,S1,B,726
151,PENDIDIKAN BAHASA INDONESIA,S1,BAIK,2901
152,"USAHA JASA KONVENSI, PERJALANAN INSENTIF DAN PAMERAN",D-IV,B,1541
153,TEKNIK SIPIL,D-III,B,1895
154,AGROTEKNOLOGI,S1,B,35
155,ILMU HUKUM,S1,B,2071
156,BIMBINGAN DAN KONSELING,S1,B,3297
157,TEKNOLOGI PENGOLAHAN HASIL LAUT,D-III,B,3607
158,PSIKOLOGI,S1,B,3297
159,TEKNOLOGI PENDIDIKAN,S2,A,3283
160,ILMU AL QUR'AN DAN TAFSIR,S1,B,304
161,AKUNTANSI,S1,B,1583
162,SENI TEATER,S1,B,3811
163,TEKNOLOGI INDUSTRI PERTANIAN,S1,B,1102
164,SASTRA INGGRIS,S1,B,1763
165,HUKUM EKONOMI SYARI'AH,S1,B,937
166,KEUANGAN DAN PERBANKAN,D-III,B,493
167,PSIKOLOGI,S1,B,2742
168,PENDIDIKAN AGAMA ISLAM,S1,B,2619
169,PENDIDIKAN BAHASA INGGRIS,S2,A,3085
170,ILMU HUKUM,S1,B,1064
171,PENDIDIKAN GURU SEKOLAH DASAR,S1,B,2261
172,EKONOMI PEMBANGUNAN,S1,B,3252
173,MANAJEMEN PEMASARAN UNTUK WARGA NEGARA BERKEBUTUHAN KHUSUS,D-III,B,1541
174,PENDIDIKAN GURU SEKOLAH DASAR,S1,B,3930
175,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,A,3283
176,PENDIDIKAN BAHASA INGGRIS,S1,B,1889
177,PENDIDIKAN GURU SEKOLAH DASAR,S1,A,3283
178,HUKUM KELUARGA,S1,A,2069
179,PERHOTELAN,D-III,A,2768
180,PENDIDIKAN JASMANI,S1,B,290
181,PENDIDIKAN GURU SEKOLAH DASAR,S1,B,290
182,BIMBINGAN KONSELING,S1,A,3283
183,PENDIDIKAN GURU SEKOLAH DASAR,S1,B,1959
184,PSIKOLOGI,S1,B,64
185,PENDIDIKAN SEJARAH,S1,B,1690
186,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,B,1675
187,PENDIDIKAN IPS,S1,B,67
188,PENDIDIKAN SENI KARAWITAN KEAGAMAAN HINDU,S1,A,3084
189,TEKNIK INFORMATIKA,S1,B,1730
190,DEMOGRAFI DAN PENCATATAN SIPIL,D-IV,B,2421
191,PENDIDIKAN FISIKA,S1,B,3793
192,ILMU ADMINISTRASI NEGARA,S1,B,2147
193,EKONOMI KELAUTAN TROPIKA,S3,A,2658
194,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,B,8
195,PENDIDIKAN ISLAM ANAK USIA DINI,S1,B,2305
196,HUKUM KELUARGA,S1,B,1156
197,SISTEM KOMPUTER,S1,B,2354
198,PENDIDIKAN TEKNOLOGI INFORMASI,S1,B,1925
199,TEKNOLOGI PANGAN,S1,B,2680
200,EKONOMI PEMBANGUNAN,S1,B,744
201,BIOLOGI,S1,B,449
202,TEKNIK SIPIL,S1,BAIK,1989
203,TEKNIK INDUSTRI,S1,BAIK,3799
204,PSIKOLOGI,S1,BAIK SEKALI,3796
205,PENYULUHAN PERTANIAN BERKELANJUTAN,D-IV,BAIK SEKALI,1712
206,AKUNTANSI,S1,B,1824
207,ILMU AL-QUR'AN DAN TAFSIR,S1,B,2714
208,SISTEM INFORMASI,S1,B,2015
209,TEOLOGI,S1,B,3791
210,MANAJEMEN,S1,B,3252
211,MANAJEMEN,S1,B,2245
212,ILMU HUKUM,S1,A,596
213,PENDIDIKAN KIMIA,S1,B,307
214,PERPAJAKAN,D-III,A,2548
215,SISTEM INFORMASI,S1,B,3678
216,MANAJEMEN PENDIDIKAN ISLAM,S1,B,1529
217,HUKUM,S1,B,2300
218,BIMBINGAN DAN KONSELING,S3,B,3225
219,PENDIDIKAN GURU SEKOLAH DASAR,S1,B,2161
220,DESAIN GRAFIS,D-III,B,3718
221,TEKNIK BANGUNAN KAPAL,D-III,B,1956
222,MANAJEMEN,S1,B,3570
223,AKUNTANSI,D-III,B,1895
224,PARIWISATA,S1,B,1815
225,MANAJEMEN PENDIDIKAN ISLAM,S1,B,3459
226,PENDIDIKAN SOSIOLOGI,S1,B,290
227,SASTRA INGGRIS,S1,B,287
228,PENDIDIKAN  BAHASA INGGRIS,S1,BAIK,2456
229,ILMU LINGKUNGAN,S2,BAIK,750
230,ARSITEKTUR,S1,BAIK,605
231,ILMU HUKUM,S1,BAIK,389
232,BUDIDAYA PERAIRAN,S1,B,243
233,ILMU HUKUM,S1,B,397
234,SASTRA INGGRIS,S1,B,979
235,AKUNTANSI,D-III,B,2684
236,PENDIDIKAN AGAMA ISLAM,S1,B,3524
237,PENGECORAN,D-III,B,2007
238,TEKNOLOGI HASIL PERIKANAN,S1,B,585
239,MANAJEMEN,S1,B,2372
240,PENDIDIKAN BAHASA INGGRIS,S1,B,2098
241,AGROTEKNOLOGI,S1,B,189
242,PENDIDIKAN SEJARAH,S1,B,3222
243,TEKNIK MESIN,D-III,B,1895
244,PSIKOLOGI,S2,B,3196
245,PENDIDIKAN GEOGRAFI,S1,A,3793
246,TEKNIK ELEKTRONIKA,D-III,B,3793
247,TEKNIK SIPIL,D-III,B,3793
248,PSIKOLOGI,S1,B,547
249,ILMU PERPUSTAKAAN,S1,B,2237
250,PENDIDIKAN GURU SEKOLAH DASAR,S1,B,954
251,PERBANKAN SYARIAH,D-III,B,939
252,TEKNIK ELEKTRONIKA,D-III,B,2097
253,MANAJEMEN,S1,A,1082
254,ILMU POLITIK,S1,B,491
255,MANAJEMEN SUMBER DAYA PERAIRAN,S1,B,3243
256,ILMU ADMINISTRASI NEGARA,S1,B,1989
257,DESAIN PRODUK,S1,B,2100
258,TEKNIK PERTANIAN,S1,B,2931
259,PSIKOLOGI,S2,B,2334
260,PENDIDIKAN MATEMATIKA,S1,B,1858
261,KOMUNIKASI PENYIARAN ISLAM,S1,B,1858
262,MANAJEMEN,S1,B,3383
263,SASTRA INDONESIA,S1,B,289
264,AKUNTANSI,D-III,B,2291
265,ADMINISTRASI BISNIS,D-III,B,2291
266,AKUNTANSI,D-III,B,3050
267,ADMINISTRASI BISNIS,D-III,B,3050
268,PSIKOLOGI,S1,B,3225
269,PENDIDIKAN LUAR SEKOLAH,S1,A,3225
270,PENDIDIKAN AGAMA ISLAM,S1,B,1944
271,AGROTEKNOLOGI,S1,B,3383
272,PENDIDIKAN MATEMATIKA,S1,B,58
273,AGRIBISNIS,S1,B,2563
274,PERBANKAN DAN KEUANGAN,D-III,B,3050
275,AKUAKULTUR,S1,B,688
276,AKUNTANSI,S1,B,3302
277,PENDIDIKAN MATEMATIKA,S1,B,1695
278,PENDIDIKAN GEOGRAFI,S1,A,3283
279,PENDIDIKAN BIOLOGI,S1,B,2014
280,SASTRA INGGRIS,S1,A,2030
281,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,S1,B,2659
282,KIMIA,S1,B,449
283,AKUNTANSI,S1,B,3870
284,SENI MUSIK,S1,B,3691
285,SENI TARI,S1,A,3811
286,SENI KARAWITAN,S1,A,3811
287,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,3930
288,MANAJEMEN PEMASARAN,D-III,B,3298
289,MANAJEMEN,D-III,A,3142
290,PENDIDIKAN GURU SEKOLAH DASAR,S1,B,386
291,AGROTEKNOLOGI,S1,B,2314
292,BAHASA MANDARIN,D-III,A,1231
293,PENDIDIKAN BAHASA PERANCIS,S1,B,3793
294,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,B,1959
295,ILMU PENDIDIKAN BAHASA,S3,A,3793
296,PENDIDIKAN OLAH RAGA,S1,B,3259
297,DESAIN PRODUK,S1,A,3123
298,TEKNIK INFORMATIKA,S1,B,1780
299,ILMU MANAJEMEN,S3,B,347
300,LABORATORIUM SAINS,D-III,B,3294
301,KEHUTANAN,S2,B,3174
302,ILMU HUKUM,S1,B,60
303,MANAJEMEN,S1,B,1773
304,ARKEOLOGI,S1,A,287
305,STATISTIKA,S1,BAIK,2456
306,AGRIBISNIS,S2,BAIK SEKALI,3835
307,PENDIDIKAN KIMIA,S1,BAIK,3789
308,AGRIBISNIS,S1,BAIK,3037
309,PENDIDIKAN KIMIA,S1,BAIK,2901
310,TEKNIK INDUSTRI,S1,BAIK SEKALI,954
311,BIOLOGI,S1,BAIK,2807
312,PENYULUHAN PERTANIAN BERKELANJUTAN,D-IV,BAIK,3837
313,ILMU HUKUM,S1,B,1529
314,MUSIK GEREJA,S1,B,3838
315,AKUNTANSI,S1,B,4005
316,MANAJEMEN,S1,B,2887
317,SASTRA DAERAH,S1,B,387
318,ILMU TEOLOGI,S2,A,2100
319,TEKNIK INFORMATIKA,S1,B,2650
320,MANAJEMEN,S1,B,2505
321,PENDIDIKAN AGAMA ISLAM,S1,B,3695
322,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,B,3193
323,MANAJEMEN,S1,B,2264
324,MANAJEMEN PENDIDIKAN ISLAM,S1,B,3564
325,HUKUM,S2,B,287
326,TEKNIK INDUSTRI,S1,TIDAK TERAKREDITASI,3932
327,ILMU KOMUNIKASI,S1,B,822
328,AKUNTANSI,D-III,B,3452
329,ILMU HUKUM,S1,B,3206
330,PENDIDIKAN AGAMA ISLAM,S1,B,3672
331,ILMU AL-QUR'AN DAN TAFSIR,S1,B,3370
332,HUKUM KELUARGA,S1,B,3753
333,ARSITEKTUR,S2,B,2680
334,PENDIDIKAN AGAMA ISLAM,S1,B,210
335,ILMU HUKUM,S1,A,287
336,FOTOGRAFI,S1,B,3795
337,PENDIDIKAN AGAMA ISLAM,S1,B,81
338,HUKUM EKONOMI SYARIAH,S1,B,2069
339,PENDIDIKAN AGAMA ISLAM,S1,B,3790
340,ADMINISTRASI NEGARA,S1,B,2071
341,MANAJEMEN HUTAN,S2,B,3222
342,ILMU KOMUNIKASI,S1,B,745
343,SASTRA INGGRIS,S1,B,2499
344,PENDIDIKAN OLAHRAGA,S1,B,2021
345,ILMU HUKUM,S2,B,1611
346,AGRIBISNIS,S1,BAIK,1133
347,PENDIDIKAN MATEMATIKA,S1,BAIK,4006
348,PENYULUHAN PERKEBUNAN PRESISI,D-IV,BAIK SEKALI,3837
349,ADMINISTRASI PUBLIK,S1,B,2923
350,PENDIDIKAN BAHASA INGGRIS,S1,B,1945
351,MANAJEMEN,S1,B,2305
352,TADRIS BAHASA INGGRIS,S1,B,1885
353,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,2860
354,ILMU ADMINISTRASI NEGARA,S1,B,3061
355,BUDIDAYA TANAMAN PANGAN,D-III,B,2551
356,PENDIDIKAN BAHASA INGGRIS,S1,B,3793
357,PENDIDIKAN MATEMATIKA,S1,A,2742
358,PENDIDIKAN AGAMA ISLAM,S1,B,2182
359,MANAJEMEN,S1,B,957
360,ANTROPOLOGI SOSIAL,S1,B,2505
361,PEMANFAATAN SUMBER DAYA PERIKANAN,S1,B,2505
362,PSIKOLOGI,S1,B,61
363,TADRIS KIMIA,S1,B,1623
364,PENDIDIKAN AGAMA ISLAM,S1,A,2018
365,KOMUNIKASI DAN PENYIARAN ISLAM,S1,B,2552
366,SENI MURNI,S1,B,3811
367,BAHASA INGGRIS,D-III,B,3887
368,PERHOTELAN,D-III,B,1549
369,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,B,364
370,DESTINASI PARIWISATA,D-IV,B,2645
371,BIMBINGAN DAN KONSELING,S1,B,261
372,AKUNTANSI,S1,B,2031
373,MANAJEMEN,S1,B,3857
374,SASTRA INGGRIS,S1,B,3221
375,AKUNTANSI,S1,B,1714
376,AKUNTANSI,S1,B,950
377,ILMU ADMINISTRASI NIAGA,S1,B,2828
378,PENDIDIKAN BAHASA INGGRIS,S1,B,3269
379,PENDIDIKAN TEKNOLOGI INFORMASI,S1,B,3534
380,HUKUM KELUARGA,S1,B,3767
381,PERTAMANAN,S1,B,2705
382,MANAJEMEN PENDIDIKAN ISLAM,S1,B,3454
383,PENDIDIKAN AGAMA ISLAM,S1,A,2069
384,AKUNTANSI,S1,B,2705
385,PENDIDIKAN BIOLOGI,S1,B,1690
386,PENDIDIKAN BAHASA INGGRIS,S1,B,3898
387,ILMU MANAJEMEN,S2,A,2658
388,PENDIDIKAN MATEMATIKA,S1,BAIK,4003
389,PSIKOLOGI PROFESI,S2,B,3090
390,KEHUTANAN,S1,B,1166
391,AGRIBISNIS,S1,B,2930
392,PENGAJARAN FISIKA,S2,A,2683
393,PENDIDIKAN MATEMATIKA,S1,B,3842
394,AHWAL AL-SYAKHSHIYYAH,S1,B,569
395,PENDIDIKAN AGAMA ISLAM,S1,B,3765
396,HUKUM EKONOMI SYARIAH,S1,A,3582
397,HUKUM EKONOMI SYARIAH,S2,B,867
398,MANAJEMEN PENDIDIKAN ISLAM,S1,B,79
399,PERENCANAAN WILAYAH DAN KOTA,S1,B,2626
400,TEKNIK TELEKOMUNIKASI,D-III,B,3969
401,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,B,2012
402,AKUNTANSI,S1,A,745
403,MANAJEMEN,S2,B,2455
404,TEKNOLOGI INDUSTRI PERTANIAN,S1,B,154
405,PENDIDIKAN AGAMA ISLAM,S3,B,937
406,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,B,3669
407,MAGISTER KEGURUAN BAHASA,S2,B,287
408,PENDIDIKAN AGAMA KRISTEN,S2,B,2372
409,AKUNTANSI,S1,B,2307
410,AGROTEKNOLOGI,S1,B,1772
411,PENDIDIKAN AGAMA ISLAM,S1,B,2864
412,PENDIDIKAN AGAMA ISLAM,S1,B,3370
413,TEKNIK BUDIDAYA PERIKANAN,D-III,BAIK SEKALI,2521
414,PEMANFAATAN SUMBER DAYA PERIKANAN,S1,BAIK,3898
415,MANAJEMEN AGRIBISNIS,D-III,BAIK SEKALI,2658
416,PERMESINAN KAPAL,D-III,BAIK SEKALI,1819
417,SISTEM INFORMASI,S1,BAIK,2456
418,AGROBISNIS PERIKANAN,S1,BAIK,1140
419,PENDIDIKAN AGAMA ISLAM,S1,B,2890
420,HUKUM KELUARGA ISLAM,S1,B,3336
421,PENDIDIKAN BAHASA INGGRIS,S1,B,675
422,PENGELOLAAN INFRASTRUKTUR AIR BERSIH DAN SANITASI,S2,UNGGUL,2683
423,PENDIDIKAN BAHASA JERMAN,S1,B,3793
424,MANAJEMEN INFORMATIKA,D-III,B,950
425,ILMU PENDIDIKAN TEOLOGI,S1,B,2334
426,SASTRA INGGRIS,S1,B,398
427,PENDIDIKAN AGAMA ISLAM,S1,B,2630
428,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,A,3297
429,PENDIDIKAN ISLAM ANAK USIA DINI,S1,B,3669
430,ILMU ADMINISTRASI,S2,B,2369
431,PERBANKAN SYARIAH,S1,B,3906
432,PENDIDIKAN EKONOMI,S1,BAIK SEKALI,1695
433,TEKNOLOGI INFORMASI,S3,A,2263
434,MANAJEMEN INFORMATIKA,D-III,B,742
435,AKUNTANSI,S1,BAIK,3780
436,PENDIDIKAN EKONOMI,S1,BAIK SEKALI,287
437,TEKNIK ELEKTRO,S1,BAIK,3178
438,PERHOTELAN,D-III,BAIK,2221
439,AGRIBISNIS,S1,BAIK,3884
440,EKONOMI SYARIAH,S1,BAIK,386
441,KESEHATAN HEWAN,D-III,A,2685
442,MANAJEMEN PENDIDIKAN ISLAM,S1,B,2055
443,HUKUM KELUARGA ISLAM,S1,B,3555
444,PENDIDIKAN AGAMA ISLAM,S1,B,3490
445,SISTEM INFORMASI,S1,B,4008
446,MANAJEMEN PENDIDIKAN ISLAM,S1,B,3007
447,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,B,3429
448,PENDIDIKAN AGAMA ISLAM,S1,B,3648
449,TEKNIK INFORMATIKA,D-III,B,3969
450,TEKNIK MEKATRONIKA,D-III,B,3969
451,KOMUNIKASI DAN PENYIARAN ISLAM,S1,B,525
452,TATA BOGA,D-I,B,2717
453,PENCIPTAAN DAN PENGKAJIAN SENI,S2,B,3620
454,PENDIDIKAN AGAMA KRISTEN,S1,B,3911
455,EKONOMI SYARIAH,S1,B,646
456,ILMU HUKUM,S1,B,230
457,PSIKOLOGI,S1,A,2325
458,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,3865
459,HUKUM KELUARGA ISLAM,S2,B,602
460,MANAJEMEN,S2,A,585
461,SISTEM INFORMASI AKUNTANSI,S1,B,1730
462,ILMU KIMIA,S3,A,2666
463,PENDIDIKAN AGAMA ISLAM,S1,B,572
464,PENDIDIKAN ILMU PENGETAHUAN SOSIAL,S2,B,2357
465,TEKNIK KOMPUTER,D-III,B,968
466,PENGEMBANGAN MASYARAKAT ISLAM,S1,B,3488
467,PENDIDIKAN BAHASA INGGRIS,S1,B,3932
468,AKUNTANSI,S1,B,3668
469,SISTEM KOMPUTER,S1,BAIK,3815
470,SASTRA INDONESIA,S1,BAIK,3749
471,PENDIDIKAN GURU SEKOLAH DASAR,S1,BAIK,570
472,TEKNOLOGI PRODUKSI TANAMAN PERKEBUNAN,D-IV,BAIK,3837
473,PSIKOLOGI PROFESI,S2,B,2548
474,PSIKOLOGI,S1,A,2685
475,ILMU ADMINISTRASI NIAGA,S1,B,1484
476,BAHASA INGGRIS,D-III,B,2354
477,AGROTEKNOLOGI,S1,B,2315
478,PENDIDIKAN MATEMATIKA,S1,B,2860
479,AKUNTANSI,S1,A,2049
480,AHWAL AL-SYAKHSHIYAH,S1,B,66
481,PENDIDIKAN AGAMA ISLAM,S1,B,3573
482,TADRIS BAHASA INDONESIA,S1,B,1623
483,TEKNIK INFORMATIKA,S1,B,1683
484,TEKNIK ELEKTRONIKA,D-III,B,2067
485,MANAJEMEN PERKOTAAN,S2,A,2666
486,AGAMA DAN BUDAYA,S1,B,3838
487,HUKUM,S1,BAIK,963
488,PEMANFAATAN SUMBER DAYA PERIKANAN,S1,BAIK,2456
489,PENDIDIKAN MATEMATIKA,S1,BAIK,2901
490,PENDIDIKAN AGAMA ISLAM,S2,BAIK,2017
491,TEKNIK KIMIA,S1,UNGGUL,2421
492,TEKNIK ELEKTRO,S1,BAIK,2155
493,TEKNIK INFORMATIKA,S1,BAIK,3624
494,PENDIDIKAN BIOLOGI,S1,BAIK,2155
495,AKUNTANSI,S1,BAIK,2303
496,"PENDIDIKAN JASMANI, KESEHATAN & REKREASI",S1,BAIK,1152
497,KOMPUTERISASI AKUNTANSI,D-III,BAIK,3684
498,TEKNIK MESIN,S1,BAIK,1716
499,DESAIN KOMUNIKASI VISUAL,S1,BAIK,3787
500,AKUNTANSI,S1,BAIK,3408
501,TEKNOLOGI PENGELOLAAN SUMBERDAYA PERAIRAN,D-IV,BAIK,3346
502,AGROTEKNOLOGI,S1,BAIK,962
503,PENDIDIKAN BIOLOGI,S1,BAIK,3683
504,TEKNIK INFORMATIKA,S1,B,3825
505,KOMUNIKASI DAN PENYIARAN ISLAM,S1,B,2237
506,HUKUM TATANEGARA,S1,B,3564
507,SASTRA INGGRIS,S1,A,2069
508,SISTEM INFORMASI,S1,B,1730
509,PENDIDIKAN AGAMA ISLAM,S1,B,3325
510,SISTEM INFORMASI,S1,B,2278
511,HUKUM KELUARGA,S1,B,3417
512,KOMUNIKASI DAN PENYIARAN ISLAM,S1,B,2864
513,SISTEM INFORMASI,S1,BAIK,3815
514,TEKNIK INFORMATIKA,S1,BAIK,2296
515,TEKNIK ELEKTRO,D-III,BAIK,1314
