id_sp,kab_kota_pt,provinsi_pt,akreditasi,nama_singkat,status_pt,nama_pt,jenis_pt,jumlah_prodi,range_biaya_kuliah
zP51cD5u5vwIm0EDJY9-QoW_aEV3titisApPFNCDjl7svj5iBwW2zX4giz5LB6XClGQyHg==,Kab. Sumenep,Prov. Jawa Timur,Baik,UA,Aktif,Universitas Annuqayah,Swasta,8,950.000 - 6.500.000
cLlL7PGHWKsQ157-sFVq0FRFUDCLdFLVIVflruBWXJzPZ8mSr3iPheVBDcivbG8ZQALEUw==,Kab. Kudus,Prov. Jawa Tengah,,,Alih Bentuk,Akademi Keperawatan Krida Husada,Swasta,1,
2Br9D9qN8MESgB7AEe7CZuturO-m0RB6kbdbyAVLsJEaSh7tGPIYSo9sC46sxCJ7nxKiFA==,Kota Kendari,Prov. Sulawesi Tenggara,,,Alih Bentuk,Akademi Kesehatan Gigi Kendari,Swasta,1,
3W-rrs5feJ52cWqtCPJA2teu1Ee8ovzVRRkL8hehMwcPHgHKNNkbuxoEL7D0KOhFsCggCQ==,Kota Banjarmasin,Prov. Kalimantan Selatan,Baik Sekali,IBITEK,Aktif,Institut Bisnis dan Teknologi Kalimantan,Swasta,5,
BxTE0DDMGLueNuPckcGE7yD2K8YAv3eg4tvYtcSSCnUsbm1YIVPOegP2Gcj7qa2tRorwAg==,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Baik Sekali,Prasmul,Aktif,Universitas Prasetiya Mulya,Swasta,13,1.000.000 - 50.000.000
OIaOyzhI8az4YBWLTBr-z_hoTdKT1YhBz2H6hHZe5ZYGBqZQIUFazUd2y9tfup_5sGVr0g==,Kota Tasikmalaya,Prov. Jawa Barat,Baik,UMTAS,Aktif,Universitas Muhammadiyah Tasikmalaya,Swasta,16,100.000 - 17.350.000
9m5GTi9Fpe6AE9sAeK8RwDR0sMqLB1d490QAKNfAQPfo1nLv6dzuS_gI3GLvEe7s8b9OzA==,Kota Sukabumi,Prov. Jawa Barat,Baik,IMWI,Alih Bentuk,Institut Manajemen Wiyata Indonesia,Swasta,6,
bliyPH7fV7bHV1E8clOTIgKv1jt2jp-lEE8bH4d0bUGJUp7I1ed8SdxRj9wHY-kHxf2Miw==,Kota Lhokseumawe,Prov. Aceh,,ASM T. Rencong,Tutup,Akademi Sekretari Manajemen Tanah Rencong,Swasta,1,
ns8jSS25vmQr27shYCSQ1oiH2544wpl1YcT0y72dFaTEFppeIe2AXTyNptyL4sQg1RC5cw==,Kota Makassar,Prov. Sulawesi Selatan,,Akper Muhammadiyah M,Alih Bentuk,Akademi Keperawatan Muhammadiyah Makassar,Swasta,1,
KPePB3fmJ9wb6zJssbjbeyJfR_YW5PrsL5RmnCz__oVmwjprnraGlU9FA0ScMxUa7HlNYw==,Kab. Bantul,Prov. D.I. Yogyakarta,Baik,,Aktif,Sekolah Tinggi Ilmu Kesehatan Bantul,Swasta,2,800.000 - 8.000.000
sRH8P9LPo5dgO9SV0ZXPyiwPh3plKFThSCdOQY7g0I2-oocapAkGGX6ZlmnP6Qje3oqUcA==,Kota Semarang,Prov. Jawa Tengah,Baik,,Aktif,Sekolah Tinggi Ilmu Kesehatan Hakli,Swasta,7,4.800.000 - 4.800.000
n_-POSTZ1LNzBihyCqO3VxePq7PrhpWTyWgBTHR9ws96RwbFKjQki2YTbKwa3Ainfhu22A==,Kota Yogyakarta,Prov. D.I. Yogyakarta,Baik Sekali,,Aktif,Sekolah Tinggi Ilmu Kesehatan Notokusumo Yogyakarta,Swasta,4,500.000 - 7.450.000
Qo8fhvsAKC7-jgP80CQSmVhAlKdkSuRpLtgsjRNxYHqO6ULX-XgNUm45fG1tiu_eU1xkVA==,Kota Bogor,Prov. Jawa Barat,Baik,,Aktif,Politeknik Prasetiya Mandiri,Swasta,13,4.000.000 - 5.000.000
KJMzsUbEcGU6ICDHYgr_78ZgGNiSGZn8dOUWV8SkajMBQnlC8jOq55RR6ot8o_gcqKpVtQ==,Kab. Sleman,Prov. D.I. Yogyakarta,,STIKES 'Aisyiyah Yog,Alih Bentuk,Sekolah Tinggi Ilmu Kesehatan Aisyiyah Yogyakarta,Swasta,6,
DozFYvqf7AUTQivLeRulXjFR27a0t8hI5_r8wLUTDgBUNdojDVLy1ODO2s_N-Jmfd73NCg==,Tidak Diisi,Prov. D.I. Yogyakarta,,,Tutup,Akademi Kesejahteraan Sosial Tarakanita,Swasta,2,
_oGC8-G6__Fee29lJ99woFaXvvqm_hC0_Nc29mQxls20lCegfDQjLwEinSw4C8IZcMHCgQ==,Kota Denpasar,Prov. Bali,Baik,Primakara,Alih Bentuk,STMIK Primakara,Swasta,4,
hfgYVhBVBnAsY65Eb1gcrprDxrkMJv41k6U1fZZNcckjy7qy5Wz-Ig51H_e_crcY5yySnw==,Kota Semarang,Prov. Jawa Tengah,Baik,AKFAR 17-08-1945,Alih Bentuk,Akademi Farmasi 17 Agustus 1945 Semarang,Swasta,1,3.750.000 - 30.750.000
CHF_xInoVFsMfPakyFIRKzY7tb_KDhuh5cjmQ4jl_RmaV6n-THUFzzw1ASyJpldAs1JxJg==,Kab. Maluku Tengah,Prov. Maluku,,STIA SP,Alih Bentuk,Sekolah Tinggi Ilmu Administrasi Said Perintah,Swasta,2,
xwncrCqCJEr0aMDcXIK_c49GFHa9K-w_pJdWoCbq1RuuQtIdLDIZ_mmJWKR5iCk3C03MZA==,Kota tangerang Selatan,Prov. Banten,,,Tutup,STKIP Suluh Bangsa,Swasta,1,
