institution_code,institution_name,akreditasi_institusi,wilayah
200,UNIVERSITAS SAPTA MANDIRI,BAIK,WILAYAH 11
201,UNIVERSITAS ISLAM ACEH,B,WILAYAH PTAS
202,UNIVERSITAS SAINTEK MUHAMMADIYAH,BAIK,WILAYAH 03
203,STIT JEMBRANA BALI,BAIK,WILAYAH PTAS
204,AKADEMI TEKNIK INFORMATIKA TUNAS BANGSA,BAIK,WILAYAH 03
205,UNIVERSITAS PATRIA ARTHA,BAIK,WILAYAH 09
206,AKADEMI KEPERAWATAN YPTK SOLOK,BAIK,WILAYAH 10
208,UNIVERSITAS BOYOLALI,BAIK SEKALI,WILAYAH 06
209,UNIVERSITAS SERELO LAHAT,BAIK SEKALI,WILAYAH 02
210,STAI DIPONEGORO TULUNGAGUNG,BAIK SEKALI,WILAYAH PTAS
211,POLITEKNIK PARIWISATA BALI,UNGGUL,WILAYAH PTKL
212,SEKOLAH TINGGI ILMU EKONOMI BUKIT ZAITUN SORONG,BAIK,WILAYAH 14
213,"SEKOLAH TINGGI ILMU QUR`AN AMUNTAI, KALIMANTAN SELATAN",BAIK,WILAYAH PTAS
214,SEKOLAH TINGGI TEOLOGI INJILI INDONESIA SAMARINDA,BAIK,WILAYAH PTAS
215,INSTITUT JAM`IYAH MAHMUDIYAH LANGKAT,BAIK,WILAYAH PTAS
216,INSTITUT TEKNOLOGI DAN BISNIS DEWANTARA,BAIK,WILAYAH 04
217,UNIVERSITAS AISYIYAH PALEMBANG,BAIK,WILAYAH 02
218,UNIVERSITAS DARUL MA`ARIF,BAIK,WILAYAH 04
219,SEKOLAH TINGGI TEKNOLOGI PEKERJAAN UMUM,BAIK,WILAYAH 03
220,SEKOLAH TINGGI ILMU KESEHATAN KERIS HUSADA,BAIK,WILAYAH 03
221,UNIVERSITAS ADVENT SURYA NUSANTARA,BAIK,WILAYAH 01
222,UNIVERSITAS SURYA,BAIK,WILAYAH 04
223,STISIP MERDEKA MANADO,BAIK,WILAYAH 16
224,INSTITUT SAINS DAN TEKNOLOGI MUHAMMADIYAH TARAKAN,BAIK,WILAYAH 11
225,INSTITUT TEKNOLOGI DAN SAINS NAHDLATUL ULAMA SRIWIJAYA SUMATERA SELATAN,BAIK,WILAYAH 02
226,UNIVERSITAS STIKUBANK,BAIK SEKALI,WILAYAH 06
227,SEKOLAH TINGGI ILMU HUKUM ASY-SYAFI IYAH MEDAN,BAIK,WILAYAH 01
228,STAI AL-MUKHLISIN BOGOR,BAIK,WILAYAH PTAS
229,SEKOLAH TINGGI AGAMA ISLAM NURUL QADIM,BAIK,WILAYAH PTAS
230,UNIVERSITAS PUTERA BATAM,BAIK SEKALI,WILAYAH 17
231,AKADEMI KULINER DAN PATISERI OTTIMMO INTERNASIONAL,BAIK SEKALI,WILAYAH 07
232,POLITEKNIK NUSANTARA MAKASSAR,BAIK,WILAYAH 09
233,SEKOLAH TINGGI ILMU KESEHATAN COLUMBIA ASIA,BAIK,WILAYAH 01
234,AKADEMI PERNIAGAAN DAN PERUSAHAAN APIPSU MEDAN,BAIK,WILAYAH 01
235,SEKOLAH TINGGI AGAMA ISLAM DARUSSALAM KUNIR,BAIK,WILAYAH PTAS
236,SEKOLAH TINGGI ILMU EKONOMI MARS,BAIK,WILAYAH 01
238,POLITEKNIK CENDRAWASIH PALU,BAIK,WILAYAH 16
239,SEKOLAH TINGGI AGAMA ISLAM TANBIHUL GHOFILIN BANJARNEGARA,BAIK,WILAYAH PTAS
240,UNIVERSITAS PERSATUAN ISLAM,BAIK SEKALI,WILAYAH 04
241,INSTITUT TEKNOLOGI SAINS DAN BISNIS MUHAMMADIYAH SELAYAR,BAIK,WILAYAH 09
242,SEKOLAH TINGGI ILMU KESEHATAN JABAL GHAFUR,BAIK,WILAYAH 13
243,UNIVERSITAS MUHAMMADIYAH LUWUK BANGGAI,BAIK SEKALI,WILAYAH 16
244,POLITEKNIK TEKNOLOGI KIMIA INDUSTRI MEDAN,BAIK SEKALI,WILAYAH PTKL
245,UNIVERSITAS AMAL ILMIAH YAPIS WAMENA,BAIK,WILAYAH 14
246,UNIVERSITAS ISLAM KH. ACHMAD MUZAKKI SYAH,BAIK,WILAYAH PTAS
248,UNIVERSITAS DEZTRON INDONESIA,BAIK,WILAYAH 01
249,STAI LA TANSA MASHIRO RANGKASBITUNG LEBAK,BAIK,WILAYAH PTAS
250,SEKOLAH TINGGI ILMU EKONOMI MALANGKUCECWARA,BAIK SEKALI,WILAYAH 07
251,SEKOLAH TINGGI ILMU EKONOMI KASIH BANGSA,BAIK,WILAYAH 03
252,INSTITUT AGAMA KRISTEN NEGERI MANADO,BAIK,WILAYAH PTAN
253,SEKOLAH TINGGI ILMU ADMINISTRASI SANDIKTA,BAIK,WILAYAH 04
254,UNIVERSITAS SEMBILANBELAS NOVEMBER KOLAKA,BAIK SEKALI,WILAYAH PTN
255,"INSTITUT TEKNOLOGI, SAINS, DAN KESEHATAN RS.DR. SOEPRAOEN KESDAM V/BRW",BAIK SEKALI,WILAYAH 07
256,UNIVERSITAS MURNI TEGUH,BAIK SEKALI,WILAYAH 01
257,UNIVERSITAS JAKARTA INTERNASIONAL,BAIK SEKALI,WILAYAH 03
258,UNIVERSITAS PGRI DELTA,BAIK SEKALI,WILAYAH 07
259,UNIVERSITAS NURUL JADID,BAIK SEKALI,WILAYAH 07
260,"STAI PERTINU PADANGSIDIMPUAN, SUMATERA UTARA",BAIK,WILAYAH PTAS
261,UNIVERSITAS VETERAN BANGUN NUSANTARA,BAIK SEKALI,WILAYAH 06
262,UNIVERSITAS AL-KHAIRIYAH,BAIK,WILAYAH 04
263,"STAI YPK IMAM BONJOL PADANG PANJANG, SUMATERA BARAT",BAIK,WILAYAH PTAS
265,"STAI AL-AZHARY MAMUJU, SULAWESI BARAT",BAIK,WILAYAH PTAS
266,SEKOLAH TINGGI TEOLOGI MAKEDONIA NGABANG,BAIK,WILAYAH PTAS
267,SEKOLAH TINGGI AGAMA ISLAM AZ-ZAIN SAMPANG,BAIK,WILAYAH PTAS
268,SEKOLAH TINGGI AGAMA ISLAM AL-MUNTAHY,BAIK,WILAYAH PTAS
269,SEKOLAH TINGGI TEOLOGI AMADEUS SURABAYA,BAIK,WILAYAH PTAS
270,STAI DDI MAJENE,BAIK,WILAYAH PTAS
271,POLITEKNIK BHAKTI KARTINI,BAIK,WILAYAH 04
272,STMIK BINA MULIA,BAIK,WILAYAH 16
273,STIT AL-AZAMI CIANJUR,BAIK,WILAYAH PTAS
274,STT KERUSSO INDONESIA BEKASI,BAIK,WILAYAH PTAS
275,AMIK DEPATI PARBO KERINCI,BAIK,WILAYAH 10
276,INSTITUT TEKNOLOGI DAN BISNIS BINA SRIWIJAYA PALEMBANG,BAIK,WILAYAH 02
277,POLITEKNIK DIGITAL BOASH INDONESIA,BAIK,WILAYAH 04
278,SEKOLAH TINGGI ILMU KESEHATAN BETHESDA TOMOHON,BAIK,WILAYAH 16
279,UNIVERSITAS DELI SUMATERA,BAIK,WILAYAH 01
280,SEKOLAH TINGGI AGAMA HINDU SHANTIKA DHARMA MALANG,BAIK SEKALI,WILAYAH PTAN
281,POLITEKNIK BISNIS DAN PERPAJAKAN INDONESIA,BAIK,WILAYAH 06
282,UNIVERSITAS POHUWATO,BAIK,WILAYAH 16
284,"STAI WASILATUL FALAH, RANGKASBITUNG, LEBAK",BAIK,WILAYAH PTAS
286,SEKOLAH TINGGI ILMU TARBIYAH MUMTAZ,BAIK,WILAYAH PTAS
287,UNIVERSITAS HALU OLEO,B,WILAYAH PTN
288,INSTITUT AGAMA KRISTEN NEGERI KUPANG,BAIK,WILAYAH PTAN
289,UNIVERSITAS BUNG HATTA,UNGGUL,WILAYAH 10
290,UNIVERSITAS MEGAREZKY,BAIK SEKALI,WILAYAH 09
291,UNIVERSITAS  HARAPAN BANGSA,BAIK SEKALI,WILAYAH 06
292,UNIVERSITAS MUHAMMADIYAH JEMBER,UNGGUL,WILAYAH 07
293,SEKOLAH TINGGI EKONOMI DAN BISNIS ISLAM LAMPUNG,BAIK SEKALI,WILAYAH PTAS
294,POLITEKNIK MARITIM EKA UTAMA SUBANG,BAIK,WILAYAH 04
295,INSTITUT TEKNOLOGI NASIONAL MALANG,B,WILAYAH 07
296,UNIVERSITAS ISLAM ZAINUL HASAN GENGGONG PROBOLINGGO,BAIK,WILAYAH PTAS
297,SEKOLAH TINGGI KESEHATAN AL-FATAH BENGKULU,BAIK,WILAYAH 02
298,SEKOLAH TINGGI ILMU ADMINISTRASI BENGKULU,BAIK,WILAYAH 02
299,AKADEMI KEBIDANAN BINA HUSADA TANGERANG,BAIK,WILAYAH 04
300,UNIVERSITAS LUMAJANG,BAIK,WILAYAH 07
301,SEKOLAH TINGGI ISLAM BLAMBANGAN BANYUWANGI,BAIK,WILAYAH PTAS
302,STMIK SYAIKH ZAINUDDIN NAHDLATUL WATHAN,BAIK,WILAYAH 08
303,SEKOLAH TINGGI TEOLOGI GEREJA KALIMANTAN EVANGELIS,BAIK,WILAYAH PTAS
304,UNIVERSITAS ISLAM NEGERI SULTAN MAULANA HASANUDDIN BANTEN,UNGGUL,WILAYAH PTAN
305,UNIVERSITAS MUHAMMADIYAH PONOROGO,UNGGUL,WILAYAH 07
306,INSTITUT AL AZHAR MENGANTI GRESIK,BAIK SEKALI,WILAYAH PTAS
307,UNIVERSITAS MALIKUSSALEH,UNGGUL,WILAYAH PTN
308,UNIVERSITAS DJUANDA,UNGGUL,WILAYAH 04
309,SEKOLAH TINGGI ILMU EKONOMI AMKOP MAKASSAR,BAIK SEKALI,WILAYAH 09
310,INSTITUT KEGURUAN DAN ILMU PENDIDIKAN SILIWANGI,BAIK SEKALI,WILAYAH 04
311,SEKOLAH TINGGI AGAMA BUDDHA BODHI DHARMA,BAIK SEKALI,WILAYAH PTAS
312,INSTITUT SENI INDONESIA DENPASAR,UNGGUL,WILAYAH PTN
313,AKADEMI KEPERAWATAN KESDAM I/BUKIT BARISAN PADANG,BAIK SEKALI,WILAYAH 10
314,UNIVERSITAS WIDYA NUSANTARA,BAIK SEKALI,WILAYAH 16
315,SEKOLAH TINGGI ILMU HUKUM HABARING HURUNG SAMPIT,BAIK SEKALI,WILAYAH 11
316,POLITEKNIK STIA LAN MAKASSAR,B,WILAYAH PTKL
317,UNIVERSITAS INSAN BUDI UTOMO,BAIK SEKALI,WILAYAH 07
318,UNIVERSITAS NAHDLATUL ULAMA BLITAR,BAIK SEKALI,WILAYAH 07
319,INSTITUT AGAMA ISLAM NEGERI KUDUS,UNGGUL,WILAYAH PTAN
320,SEKOLAH TINGGI ILMU SOSIAL TEMINABUAN,TIDAK TERAKREDITASI,WILAYAH 14
321,POLITEKNIK PELAYARAN SULAWESI UTARA,BAIK SEKALI,WILAYAH PTKL
322,POLITEKNIK ILMU PELAYARAN BALIKPAPAN,BAIK,WILAYAH 11
323,INSTITUT TEKNOLOGI INSAN CENDEKIA MANDIRI,BAIK,WILAYAH 07
324,SEKOLAH TINGGI TEOLOGI INTI BANDUNG,BAIK,WILAYAH PTAS
325,STT POKOK ANGGUR JAKARTA,BAIK,WILAYAH PTAS
327,SEKOLAH TINGGI ILMU EKONOMI PELITA HARAPAN NABIRE,BAIK,WILAYAH 14
