institution_name,province,campus_accreditation,acc_score,cost_per_year,cluster_lokasi_lvl1,cluster_institusi_lvl2
UNIVERSITAS KLABAT,SULAWESI UTARA,B,2.0,18125000.0,,
SEKOLAH TINGGI ILMU KESEHATAN RS HUSADA,DKI JAKARTA,BAIK,1.0,18000000.0,,
UNIVERSITAS PERTIBA,BANGKA BELITUNG,BAIK SEKALI,3.0,18000000.0,,
STIKES ESTU UTOMO,JAWA TENGAH,BAIK SEKALI,3.0,18000000.0,,
UNIVERSITAS BHAKTI ASIH TANGERANG,BANTEN,BAIK,1.0,18000000.0,,
UNIVERSITAS ATMA JAYA YOGYAKARTA,D.I. YOGYAKARTA,A,4.0,18000000.0,,
SEKOLAH TINGGI KESEHATAN AL-FATAH BENGKULU,BENGKULU,BAIK,1.0,18000000.0,,
UNIVERSITAS KATOLIK MUSI CHARITAS,SUMATERA SELATAN,B,2.0,18000000.0,,
SEKOLAH TINGGI ILMU KESEHATAN BHAKTI HUSADA CIKARANG,JAWA BARAT,BAIK,1.0,18000000.0,,
SEKOLAH TINGGI ILMU KESEHATAN BETHESDA YAKKUM,D.I. YOGYAKARTA,B,2.0,17995000.0,,
UNIVERSITAS WINAYA MUKTI,JAWA BARAT,BAIK SEKALI,3.0,17900000.0,,
UNIVERSITAS MUHAMMADIYAH MANADO,SULAWESI UTARA,BAIK,1.0,17850000.0,,
UNIVERSITAS BUNG HATTA,SUMATERA BARAT,B,2.0,17804000.0,,
UNIVERSITAS RESPATI YOGYAKARTA,D.I. YOGYAKARTA,B,2.0,17800000.0,,
SEKOLAH TINGGI ILMU KESEHATAN INDRAMAYU,JAWA BARAT,BAIK,1.0,17675000.0,,
SEKOLAH TINGGI ILMU KESEHATAN MITRA KELUARGA,JAWA BARAT,TERAKREDITASI,0.0,17640000.0,,
UNIVERSITAS DR SOETOMO,JAWA TIMUR,BAIK SEKALI,3.0,17520000.0,1.0,3.0
SEKOLAH TINGGI ILMU EKONOMI TRISNA NEGARA,SUMATERA SELATAN,BAIK,1.0,17500000.0,,
UNIVERSITAS MUHAMMADIYAH TASIKMALAYA,JAWA BARAT,BAIK,1.0,17450000.0,,
STIKES YARSI PONTIANAK,KALIMANTAN BARAT,BAIK,1.0,17250000.0,,
UNIVERSITAS MEDAN AREA,SUMATERA UTARA,B,2.0,17250000.0,,
STIKES YOGYAKARTA,D.I. YOGYAKARTA,BAIK,1.0,17225000.0,,
SEKOLAH TINGGI ILMU ADMINISTRASI AAN,D.I. YOGYAKARTA,BAIK SEKALI,3.0,17005000.0,,
UNIVERSITAS BINA SEHAT PPNI MOJOKERTO,JAWA TIMUR,BAIK,1.0,17000000.0,1.0,1.0
UNIVERSITAS GRESIK,JAWA TIMUR,BAIK SEKALI,3.0,17000000.0,1.0,3.0
UNIVERSITAS DEHASEN BENGKULU,BENGKULU,BAIK SEKALI,3.0,16995000.0,,
UNIVERSITAS PGRI SEMARANG,JAWA TENGAH,UNGGUL,5.0,16900000.0,,
UNIVERSITAS SAMAWA,NUSA TENGGARA BARAT,BAIK,1.0,16755000.0,,
SEKOLAH TINGGI BISNIS DAN MANAJEMEN DUA SAUDARA,SULAWESI UTARA,BAIK,1.0,16750000.0,,
UNIVERSITAS ALKHAIRAAT,SULAWESI TENGAH,BAIK,1.0,16700000.0,,
UNIVERSITAS STIKUBANK,JAWA TENGAH,BAIK SEKALI,3.0,16500000.0,,
SEKOLAH TINGGI ILMU KESEHATAN RS DUSTIRA,JAWA BARAT,BAIK,1.0,16500000.0,,
SEKOLAH TINGGI ILMU EKONOMI LATIFAH MUBAROKIYAH,JAWA BARAT,BAIK,1.0,16500000.0,,
UNIVERSITAS MULTI DATA PALEMBANG,SUMATERA SELATAN,BAIK SEKALI,3.0,16500000.0,,
UNIVERSITAS MUHAMMADIYAH PRINGSEWU LAMPUNG,LAMPUNG,BAIK SEKALI,3.0,16485000.0,,
UNIVERSITAS SANGGA BUANA,JAWA BARAT,UNGGUL,5.0,21940000.0,,
SEKOLAH TINGGI ILMU KESEHATAN STELLA MARIS MAKASAR,SULAWESI SELATAN,BAIK,1.0,16400000.0,,
SEKOLAH TINGGI ILMU KESEHATAN ELISABETH SEMARANG,JAWA TENGAH,B,2.0,16275000.0,,
UNIVERSITAS SUGENG HARTONO,JAWA TENGAH,BAIK,1.0,16200000.0,,
STIKES HUSADA BORNEO,KALIMANTAN SELATAN,BAIK,1.0,16200000.0,,
SEKOLAH TINGGI ILMU EKONOMI INDONESIA JAKARTA,DKI JAKARTA,BAIK SEKALI,3.0,16162500.0,,
STIKES KARYA PUTRA BANGSA TULUNGAGUNG,JAWA TIMUR,BAIK,1.0,16150000.0,1.0,1.0
UNIVERSITAS GUNADARMA,JAWA BARAT,A,4.0,16100000.0,,
SEKOLAH TINGGI ILMU FARMASI PADANG,SUMATERA BARAT,BAIK SEKALI,3.0,16100000.0,,
INSTITUT BISNIS DAN INFORMATIKA KESATUAN,JAWA BARAT,B,2.0,16000000.0,,
INSTITUT ILMU SOSIAL DAN ILMU POLITIK JAKARTA,DKI JAKARTA,BAIK,1.0,16000000.0,,
