institution_name,province,campus_accreditation,acc_score,cost_per_year,cluster_lokasi_lvl1,cluster_institusi_lvl2
INSTITUT KESEHATAN SUMATERA UTARA,SUMATERA UTARA,BAIK,1.0,12200000.0,,
UNIVERSITAS DARMA PERSADA,DKI JAKARTA,B,2.0,12200000.0,,
UNIVERSITAS TAMA JAGAKARSA,DKI JAKARTA,BAIK,1.0,12200000.0,,
UNIVERSITAS MOHAMMAD NATSIR BUKITTINGGI,SUMATERA BARAT,BAIK SEKALI,3.0,12160000.0,,
STIKES MUHAMMADIYAH BOJONEGORO,JAWA TIMUR,BAIK,1.0,12150000.0,1.0,1.0
UNIVERSITAS KUNINGAN,JAWA BARAT,B,2.0,12150000.0,,
UNIVERSITAS PGRI YOGYAKARTA,D.I. YOGYAKARTA,BAIK SEKALI,3.0,12100000.0,,
SEKOLAH TINGGI ILMU EKONOMI YAI,DKI JAKARTA,BAIK,1.0,12100000.0,,
INSTITUT KARYA MULIA BANGSA,JAWA TENGAH,BAIK,1.0,12100000.0,,
UNIVERSITAS DUTA BANGSA SURAKARTA,JAWA TENGAH,UNGGUL,5.0,12100000.0,,
UNIVERSITAS JENDERAL ACHMAD YANI YOGYAKARTA,D.I. YOGYAKARTA,BAIK SEKALI,3.0,19000000.0,,
UNIVERSITAS AKI,JAWA TENGAH,BAIK SEKALI,3.0,15925000.0,,
INSTITUT TEKNOLOGI KESEHATAN DAN SAINS MUHAMMADIYAH SIDRAP,SULAWESI SELATAN,BAIK SEKALI,3.0,14500000.0,,
UNIVERSITAS PGRI KANJURUHAN MALANG,JAWA TIMUR,TERAKREDITASI,0.0,12040000.0,1.0,1.0
SEKOLAH TINGGI ILMU BAHASA DAN SASTRA SATYA WIDYA,JAWA TIMUR,BAIK,1.0,12000000.0,1.0,1.0
UNIVERSITAS ISLAM 45 BEKASI,JAWA BARAT,B,2.0,12000000.0,,
SEKOLAH TINGGI ILMU KESEHATAN HUSADA MANDIRI POSO,SULAWESI TENGAH,BAIK,1.0,12000000.0,,
UNIVERSITAS SAFIN PATI,JAWA TENGAH,BAIK,1.0,12000000.0,,
STMIK AMIK BANDUNG,JAWA BARAT,BAIK SEKALI,3.0,12000000.0,,
SEKOLAH TINGGI MANAJEMEN PARIWISATA DAN LOGISTIK LENTERA MONDIAL,DKI JAKARTA,BAIK,1.0,12000000.0,,
UNIVERSITAS GALUH,JAWA BARAT,BAIK SEKALI,3.0,12000000.0,,
SEKOLAH TINGGI ILMU EKONOMI SAKTI ALAM KERINCI,JAMBI,B,2.0,12000000.0,,
SEKOLAH TINGGI ILMU HUKUM ADHYAKSA,DKI JAKARTA,BAIK SEKALI,3.0,12000000.0,,
UNIVERSITAS OTTOW GEISSLER,PAPUA,BAIK,1.0,12000000.0,,
UNIVERSITAS NAHDLATUL ULAMA YOGYAKARTA,D.I. YOGYAKARTA,BAIK,1.0,12000000.0,,
UNIVERSITAS GAJAYANA,JAWA TIMUR,B,2.0,12000000.0,1.0,3.0
UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,SUMATERA UTARA,B,2.0,12000000.0,,
SEKOLAH TINGGI ILMU KESEHATAN SEMARANG,JAWA TENGAH,BAIK,1.0,12000000.0,,
UNIVERSITAS INDONESIA MAJU,DKI JAKARTA,BAIK,1.0,12000000.0,,
SEKOLAH TINGGI ILMU KOMPUTER POLTEK CIREBON,JAWA BARAT,BAIK,1.0,12000000.0,,
UNIVERSITAS MUHAMMADIYAH KALIMANTAN TIMUR,KALIMANTAN TIMUR,BAIK SEKALI,3.0,11985000.0,,
UNIVERSITAS MUHAMMADIYAH KOTABUMI,LAMPUNG,B,2.0,11950000.0,,
UNIVERSITAS PUTRA INDONESIA,JAWA BARAT,BAIK,1.0,11841500.0,,
SEKOLAH TINGGI ILMU KESEHATAN MITRA HUSADA MEDAN,SUMATERA UTARA,UNGGUL,5.0,11750000.0,,
SEKOLAH TINGGI ILMU KESEHATAN MAHARDIKA CIREBON,JAWA BARAT,BAIK,1.0,11700000.0,,
UNIVERSITAS TEKNOLOGI DIGITAL INDONESIA,D.I. YOGYAKARTA,B,2.0,11669000.0,,
SEKOLAH TINGGI ILMU KESEHATAN AL-SU'AIBAH,SUMATERA SELATAN,BAIK,1.0,11650000.0,,
STIKES ADVAITA MEDIKA TABANAN,BALI,BAIK,1.0,11650000.0,,
UNIVERSITAS WIJAYA PUTRA,JAWA TIMUR,BAIK SEKALI,3.0,11600100.0,1.0,3.0
INSTITUT KESEHATAN DAN BISNIS SURABAYA,JAWA TIMUR,BAIK,1.0,11600000.0,1.0,1.0
UNIVERSITAS CITRA BANGSA,NUSA TENGGARA TIMUR,BAIK SEKALI,3.0,11600000.0,,
SEKOLAH TINGGI ILMU EKONOMI DWIMULYA,BANTEN,BAIK,1.0,11600000.0,,
UNIVERSITAS MITRA BANGSA,DKI JAKARTA,BAIK SEKALI,3.0,11600000.0,,
SEKOLAH TINGGI ILMU KESEHATAN BAITUL HIKMAH,LAMPUNG,BAIK,1.0,11550000.0,,
STKIP KRISTEN WAMENA,PAPUA,BAIK,1.0,11500000.0,,
UNIVERSITAS BINA DARMA,SUMATERA SELATAN,B,2.0,11500000.0,,
INSTITUT TEKNOLOGI BISNIS AAS INDONESIA,JAWA TENGAH,BAIK,1.0,11500000.0,,
UNIVERSITAS SRAGEN,JAWA TENGAH,BAIK,1.0,11500000.0,,
UNIVERSITAS LANGLANGBUANA,JAWA BARAT,B,2.0,11500000.0,,
SEKOLAH TINGGI ILMU EKONOMI PANCASETIA,KALIMANTAN SELATAN,BAIK SEKALI,3.0,11457143.0,,
UNIVERSITAS SALAKANAGARA,BANTEN,B,2.0,11400000.0,,
SEKOLAH TINGGI ILMU KESEHATAN MERANGIN,JAMBI,BAIK,1.0,11400000.0,,
STIKES MEDIKA SERAMOE BARAT,ACEH,BAIK,1.0,11400000.0,,
UNIVERSITAS MPU TANTULAR,DKI JAKARTA,B,2.0,11337000.0,,
SEKOLAH TINGGI ILMU EKONOMI SAMPIT,KALIMANTAN TENGAH,BAIK,1.0,11325000.0,,
STT MINYAK DAN GAS CILACAP,JAWA TENGAH,BAIK,1.0,11300000.0,,
UNIVERSITAS 17 AGUSTUS 1945 SEMARANG,JAWA TENGAH,BAIK SEKALI,3.0,11250000.0,,
UNIVERSITAS INDONESIA MEMBANGUN,JAWA BARAT,B,2.0,11200000.0,,
UNIVERSITAS ATMA JAYA MAKASSAR,SULAWESI SELATAN,C,0.0,11200000.0,,
UNIVERSITAS MUHAMMADIYAH PONOROGO,JAWA TIMUR,UNGGUL,5.0,11200000.0,1.0,3.0
UNIVERSITAS MUHAMMADIYAH GRESIK,JAWA TIMUR,BAIK SEKALI,3.0,11150000.0,1.0,3.0
UNIVERSITAS WIDYATAMA,JAWA BARAT,B,2.0,11100000.0,,
SEKOLAH TINGGI ILMU EKONOMI PERDAGANGAN,SUMATERA BARAT,BAIK,1.0,11082500.0,,
SEKOLAH TINGGI ILMU KESEHATAN AKSARI,JAWA BARAT,BAIK,1.0,11000000.0,,
SEKOLAH TINGGI ILMU KESEHATAN HARAPAN BANGSA,JAWA TIMUR,BAIK,1.0,11000000.0,1.0,1.0
STIKES RANAH MINANG,SUMATERA BARAT,BAIK,1.0,11000000.0,,
SEKOLAH TINGGI ILMU KESEHATAN WILLIAM BOOTH,JAWA TIMUR,BAIK SEKALI,3.0,11000000.0,1.0,3.0
STIKES KARSA HUSADA GARUT,JAWA BARAT,BAIK,1.0,11000000.0,,
SEKOLAH TINGGI ILMU EKONOMI INDONESIA SURABAYA,JAWA TIMUR,B,2.0,11000000.0,1.0,3.0
UNIVERSITAS MUHAMMADIYAH GORONTALO,GORONTALO,BAIK SEKALI,3.0,11000000.0,,
UNIVERSITAS TEKNOLOGI BANDUNG,JAWA BARAT,BAIK,1.0,11000000.0,,
SEKOLAH TINGGI ILMU KESEHATAN PATRIOT BANGSA LAMPUNG,LAMPUNG,BAIK,1.0,11000000.0,,
UNIVERSITAS YATSI MADANI,BANTEN,BAIK SEKALI,3.0,11000000.0,,
SEKOLAH TINGGI BAHASA ASING LIA YOGYAKARTA,D.I. YOGYAKARTA,B,2.0,10950000.0,,
UNIVERSITAS SETIA BUDHI RANGKASBITUNG,BANTEN,BAIK,1.0,10920000.0,,
SEKOLAH TINGGI ILMU KESEHATAN MAKASSAR,SULAWESI SELATAN,BAIK SEKALI,3.0,10900000.0,,
UNIVERSITAS YUPPENTEK INDONESIA,BANTEN,BAIK,1.0,10850000.0,,
UNIVERSITAS MUHAMMADIYAH SUKABUMI,JAWA BARAT,BAIK SEKALI,3.0,10836000.0,,
INSTITUT ILMU SOSIAL DAN MANAJEMEN STIAMI,DKI JAKARTA,BAIK SEKALI,3.0,10831250.0,,
SEKOLAH TINGGI ILMU EKONOMI PROFESSIONAL MANAJEMEN COLLEGE INDONESIA,SUMATERA UTARA,B,2.0,10800000.0,,
UNIVERSITAS DJUANDA,JAWA BARAT,B,2.0,10800000.0,,
SEKOLAH TINGGI ILMU KESEHATAN BANTEN,BANTEN,BAIK,1.0,10800000.0,,
INSTITUT TEKNOLOGI NASIONAL YOGYAKARTA,D.I. YOGYAKARTA,B,2.0,18225000.0,,
UNIVERSITAS KADER BANGSA,SUMATERA SELATAN,BAIK SEKALI,3.0,10700000.0,,
UNIVERSITAS AL-GHIFARI,JAWA BARAT,BAIK,1.0,10690000.0,,
UNIVERSITAS ASA INDONESIA,DKI JAKARTA,BAIK SEKALI,3.0,10650000.0,,
UNIVERSITAS AKPRIND INDONESIA,D.I. YOGYAKARTA,BAIK SEKALI,3.0,10630000.0,,
SEKOLAH TINGGI FILSAFAT TEOLOGI WIDYA SASANA,JAWA TIMUR,B,2.0,10600000.0,1.0,3.0
UNIVERSITAS AUDI INDONESIA,SUMATERA UTARA,BAIK,1.0,10600000.0,,
SEKOLAH TINGGI ILMU FARMASI NUSAPUTERA,JAWA TENGAH,BAIK,1.0,10600000.0,,
SEKOLAH TINGGI ILMU EKONOMI YASA ANGGANA,JAWA BARAT,BAIK,1.0,10600000.0,,
UNIVERSITAS PERTIWI,JAWA BARAT,BAIK,1.0,10600000.0,,
UNIVERSITAS SERANG RAYA,BANTEN,B,2.0,10524500.0,,
UNIVERSITAS SAINS DAN TEKNOLOGI JAYAPURA,PAPUA,BAIK,1.0,10500000.0,,
INSTITUT TEKNOLOGI DAN BISNIS HAJI AGUS SALIM BUKITTINGGI,SUMATERA BARAT,BAIK,1.0,10500000.0,,
SEKOLAH TINGGI ARSITEKTUR YKPN YOGYAKARTA,D.I. YOGYAKARTA,BAIK,1.0,10500000.0,,
UNIVERSITAS MUHAMMADIYAH CILEUNGSI,JAWA BARAT,BAIK,1.0,10500000.0,,
SEKOLAH TINGGI ILMU PARIWISATA MANADO,SULAWESI UTARA,BAIK,1.0,10400000.0,,
STIKES SITI HAJAR,SUMATERA UTARA,BAIK,1.0,10400000.0,,
UNIVERSITAS WIDYA DHARMA PONTIANAK,KALIMANTAN BARAT,BAIK,1.0,10400000.0,,
UNIVERSITAS BUDDHI DHARMA,BANTEN,BAIK,1.0,10390000.0,,
INSTITUT PERTANIAN STIPER,D.I. YOGYAKARTA,B,2.0,10356250.0,,
SEKOLAH TINGGI ILMU EKONOMI SUTAATMADJA,JAWA BARAT,BAIK SEKALI,3.0,10325000.0,,
UNIVERSITAS POTENSI UTAMA,SUMATERA UTARA,BAIK SEKALI,3.0,10325000.0,,
UNIVERSITAS MUHAMMADIYAH SUMATERA BARAT,SUMATERA BARAT,BAIK SEKALI,3.0,13287500.0,,
UNIVERSITAS AMIKOM YOGYAKARTA,D.I. YOGYAKARTA,BAIK SEKALI,3.0,10300000.0,,
UNIVERSITAS DHARMAS INDONESIA,SUMATERA BARAT,BAIK,1.0,10297500.0,,
INSTITUT INFORMATIKA DAN BISNIS DARMAJAYA,LAMPUNG,BAIK SEKALI,3.0,10252000.0,,
SEKOLAH TINGGI PARIWISATA MATARAM,NUSA TENGGARA BARAT,BAIK SEKALI,3.0,10225000.0,,
STIA DAN MANAJEMEN KEPELABUHAN BARUNAWATI,JAWA TIMUR,BAIK SEKALI,3.0,10200000.0,1.0,3.0
SEKOLAH TINGGI ILMU EKONOMI MAHARDHIKA,JAWA TIMUR,B,2.0,10100000.0,1.0,3.0
UNIVERSITAS PGRI SUMATERA BARAT,SUMATERA BARAT,B,2.0,10100000.0,,
UNIVERSITAS PGRI MADIUN,JAWA TIMUR,B,2.0,10091000.0,1.0,3.0
SEKOLAH TINGGI ILMU KESEHATAN SEHATI,SUMATERA UTARA,BAIK,1.0,10050000.0,,
SEKOLAH TINGGI ILMU KESEHATAN TUJUH BELAS,JAWA TENGAH,BAIK,1.0,10050000.0,,
SEKOLAH TINGGI ILMU EKONOMI WIYATAMANDALA,DKI JAKARTA,BAIK,1.0,10050000.0,,
SEKOLAH TINGGI ILMU EKONOMI MULIA PRATAMA,JAWA BARAT,BAIK,1.0,10040000.0,,
UNIVERSITAS ALMARISAH MADANI,SULAWESI SELATAN,BAIK SEKALI,3.0,10000000.0,,
UNIVERSITAS PGRI ARGOPURO JEMBER,JAWA TIMUR,BAIK SEKALI,3.0,10000000.0,1.0,3.0
UNIVERSITAS MOCHAMMAD SROEDJI,JAWA TIMUR,BAIK,1.0,10000000.0,1.0,1.0
STKIP WIDYA YUWANA,JAWA TIMUR,B,2.0,10000000.0,1.0,3.0
SEKOLAH TINGGI ILMU KESEHATAN RAJEKWESI BOJONEGORO,JAWA TIMUR,TERAKREDITASI,0.0,10000000.0,1.0,1.0
UNIVERSITAS JABAL GHAFUR,ACEH,BAIK SEKALI,3.0,10000000.0,,
UNIVERSITAS MERCU BUANA,DKI JAKARTA,UNGGUL,5.0,10000000.0,,
INSTITUT TEKNOLOGI MINAESA,SULAWESI UTARA,BAIK,1.0,10000000.0,,
SEKOLAH TINGGI ILMU EKONOMI KBP,SUMATERA BARAT,B,2.0,10000000.0,,
UNIVERSITAS TABANAN,BALI,BAIK SEKALI,3.0,10000000.0,,
SEKOLAH TINGGI ILMU KESEHATAN SISMADI,JAWA BARAT,BAIK,1.0,10000000.0,,
INSTITUT KESEHATAN DAN TEKNOLOGI JAINUDDIN,SULAWESI UTARA,BAIK,1.0,10000000.0,,
UNIVERSITAS NURDIN HAMZAH,JAMBI,BAIK,1.0,10000000.0,,
UNIVERSITAS MADURA,JAWA TIMUR,B,2.0,10000000.0,1.0,3.0
UNIVERSITAS BUNG KARNO,DKI JAKARTA,B,2.0,10000000.0,,
SEKOLAH TINGGI PERTANIAN KEWIRAUSAHAAN BANAU,MALUKU UTARA,BAIK SEKALI,3.0,10000000.0,,
SEKOLAH TINGGI ILMU EKONOMI YKP,D.I. YOGYAKARTA,B,2.0,9990000.0,,
SEKOLAH TINGGI ILMU EKONOMI DHARMA AGUNG INDONESIA,JAWA BARAT,BAIK,1.0,9920000.0,,
UNIVERSITAS BALIKPAPAN,KALIMANTAN TIMUR,B,2.0,9900000.0,,
UNIVERSITAS ISLAM NAHDLATUL ULAMA JEPARA,JAWA TENGAH,BAIK SEKALI,3.0,9886000.0,,
SEKOLAH TINGGI ILMU EKONOMI BHAKTI PEMBANGUNAN,DKI JAKARTA,B,2.0,9870000.0,,
UNIVERSITAS TIMIKA,PAPUA,BAIK,1.0,9800000.0,,
UNIVERSITAS MUHAMMADIYAH TEGAL,JAWA TENGAH,BAIK,1.0,9800000.0,,
STIH LITIGASI,DKI JAKARTA,BAIK,1.0,9750000.0,,
UNIVERSITAS MUHAMMADIYAH PAPUA,PAPUA,BAIK,1.0,9750000.0,,
INSTITUT SAINS DAN TEKNOLOGI TD PARDEDE,SUMATERA UTARA,BAIK,1.0,9750000.0,,
UNIVERSITAS SEMARANG,JAWA TENGAH,B,2.0,9740000.0,,
STIKES MALUKU HUSADA,MALUKU,B,2.0,9725000.0,,
UNIVERSITAS CORDOVA,NUSA TENGGARA BARAT,BAIK,1.0,9724000.0,,
UNIVERSITAS INFORMATIKA DAN BISNIS INDONESIA,JAWA BARAT,BAIK SEKALI,3.0,9700000.0,,
UNIVERSITAS JANABADRA,D.I. YOGYAKARTA,B,2.0,9700000.0,,
STIE JAKARTA INTERNATIONAL COLLEGE,DKI JAKARTA,B,2.0,9685000.0,,
SEKOLAH TINGGI ILMU HUKUM DAN POLITIK PELOPOR BANGSA,JAWA BARAT,BAIK,1.0,9600000.0,,
STIKES AL-ISLAM YOGYAKARTA,D.I. YOGYAKARTA,BAIK,1.0,9600000.0,,
SEKOLAH TINGGI ILMU KESEHATAN HAKLI,JAWA TENGAH,BAIK,1.0,9600000.0,,
INSTITUT TEKNOLOGI SAINS DAN KESEHATAN INSAN CENDEKIA MEDIKA JOMBANG,JAWA TIMUR,TERAKREDITASI,0.0,9600000.0,1.0,1.0
SEKOLAH TINGGI ILMU EKONOMI GEMPOL,JAWA TIMUR,BAIK,1.0,9600000.0,1.0,1.0
UNIVERSITAS SATYA TERRA BHINNEKA,SUMATERA UTARA,BAIK,1.0,9600000.0,,
UNIVERSITAS PANCA BHAKTI,KALIMANTAN BARAT,TERAKREDITASI,0.0,9590000.0,,
ASM MARSUDIRINI SANTA MARIA,D.I. YOGYAKARTA,BAIK,1.0,9580000.0,,
UNIVERSITAS HALIM SANUSI,JAWA BARAT,BAIK,1.0,9516000.0,,
INSTITUT TEKNOLOGI DAN BISNIS DEWANTARA,JAWA BARAT,BAIK,1.0,9510000.0,,
SEKOLAH TINGGI ILMU PERTANIAN FARMING,JAWA TENGAH,BAIK,1.0,9500000.0,,
UNIVERSITAS SANG BUMI RUWA JURAI,LAMPUNG,BAIK SEKALI,3.0,9500000.0,,
INSTITUT BISNIS DAN KOMPUTER INDONESIA,SUMATERA UTARA,BAIK,1.0,9500000.0,,
STISIP TASIKMALAYA,JAWA BARAT,BAIK,1.0,9460000.0,,
UNIVERSITAS MUHAMMADIYAH LAMPUNG,LAMPUNG,B,2.0,9450000.0,,
SEKOLAH TINGGI ILMU EKONOMI GENTIARAS,LAMPUNG,BAIK SEKALI,3.0,9450000.0,,
UNIVERSITAS 45 SURABAYA,JAWA TIMUR,BAIK,1.0,9450000.0,1.0,1.0
UNIVERSITAS ISLAM MADURA,JAWA TIMUR,BAIK,1.0,9435000.0,1.0,1.0
SEKOLAH TINGGI PERTANIAN KUTAI TIMUR,KALIMANTAN TIMUR,BAIK,1.0,9416250.0,,
UNIVERSITAS SURAKARTA,JAWA TENGAH,BAIK,1.0,9390000.0,,
SEKOLAH TINGGI ILMU KESEHATAN BETHESDA TOMOHON,SULAWESI UTARA,BAIK,1.0,9350000.0,,
UNIVERSITAS SLAMET RIYADI,JAWA TENGAH,BAIK SEKALI,3.0,9340000.0,,
UNIVERSITAS WIRARAJA,JAWA TIMUR,BAIK SEKALI,3.0,9313750.0,1.0,3.0
UNIVERSITAS FLORES,NUSA TENGGARA TIMUR,B,2.0,9305000.0,,
UNIVERSITAS BINA BANGSA GETSEMPENA,ACEH,TERAKREDITASI,0.0,9300000.0,,
SEKOLAH TINGGI ILMU EKONOMI PARIWISATA YAPARI,JAWA BARAT,BAIK,1.0,9300000.0,,
SEKOLAH TINGGI ILMU KESEHATAN SURYA GLOBAL YOGYAKARTA,D.I. YOGYAKARTA,BAIK,1.0,9300000.0,,
INSTITUT TEKNOLOGI DAN BISNIS NOBEL INDONESIA,SULAWESI SELATAN,BAIK SEKALI,3.0,9300000.0,,
UNIVERSITAS KATOLIK WIDYA KARYA,JAWA TIMUR,BAIK,1.0,9250000.0,1.0,1.0
INSTITUT TEKNOLOGI DAN SAINS MANDALA,JAWA TIMUR,BAIK SEKALI,3.0,9200000.0,1.0,3.0
UNIVERSITAS MURIA KUDUS,JAWA TENGAH,B,2.0,9200000.0,,
UNIVERSITAS NASIONAL KARANGTURI SEMARANG,JAWA TENGAH,BAIK,1.0,9200000.0,,
UNIVERSITAS IBA,SUMATERA SELATAN,BAIK,1.0,9181250.0,,
UNIVERSITAS MITRA INDONESIA,LAMPUNG,BAIK SEKALI,3.0,9180000.0,,
SEKOLAH TINGGI PEMBANGUNAN MASYARAKAT DESA APMD,D.I. YOGYAKARTA,B,2.0,9150000.0,,
UNIVERSITAS MUHAMMADIYAH MUARA BUNGO,JAMBI,BAIK SEKALI,3.0,9150000.0,,
UNIVERSITAS INDRAPRASTA PGRI,DKI JAKARTA,B,2.0,9150000.0,,
STMIK SAMARINDA,KALIMANTAN TIMUR,BAIK,1.0,9100000.0,,
SEKOLAH TINGGI ILMU EKONOMI TOTALWIN,JAWA TENGAH,BAIK,1.0,9100000.0,,
UNIVERSITAS YAYASAN PENDIDIKAN IMAM BONJOL MAJALENGKA,JAWA BARAT,BAIK,1.0,9100000.0,,
SEKOLAH TINGGI TEKNOLOGI GEMPOL,JAWA TIMUR,BAIK,1.0,9100000.0,1.0,1.0
UNIVERSITAS MUSLIM NUSANTARA AL-WASHLIYAH,SUMATERA UTARA,UNGGUL,5.0,16575000.0,,
UNIVERSITAS YUDHARTA PASURUAN,JAWA TIMUR,BAIK SEKALI,3.0,9050000.0,1.0,3.0
INSTITUT TEKNOLOGI SAINS BANDUNG,JAWA BARAT,BAIK,1.0,9050000.0,,
UNIVERSITAS ISLAM 45,JAWA BARAT,B,2.0,14527000.0,,
UNIVERSITAS BATTUTA,SUMATERA UTARA,BAIK SEKALI,3.0,9000000.0,,
SEKOLAH TINGGI MANAJEMEN LABORA,DKI JAKARTA,B,2.0,9000000.0,,
STKIP PGRI SUMENEP,JAWA TIMUR,BAIK,1.0,9000000.0,1.0,1.0
UNIVERSITAS SAINS CUT NYAK DHIEN,ACEH,BAIK,1.0,9000000.0,,
SEKOLAH TINGGI ILMU KESEHATAN ARTHA BODHI ISWARA,JAWA TIMUR,B,2.0,9000000.0,1.0,3.0
UNIVERSITAS PRAMITA INDONESIA,BANTEN,BAIK,1.0,9000000.0,,
UNIVERSITAS ADHIRAJASA RESWARA SANJAYA,JAWA BARAT,B,2.0,9000000.0,,
SEKOLAH TINGGI ILMU EKONOMI MALANGKUCECWARA,JAWA TIMUR,BAIK SEKALI,3.0,9000000.0,1.0,3.0
SEKOLAH TINGGI ILMU KESEHATAN PANCA BHAKTI,LAMPUNG,BAIK,1.0,9000000.0,,
UNIVERSITAS PRISMA,SULAWESI UTARA,TIDAK TERAKREDITASI,0.0,9000000.0,,
SEKOLAH TINGGI BAHASA HARAPAN BERSAMA,KALIMANTAN BARAT,BAIK SEKALI,3.0,9000000.0,,
SEKOLAH TINGGI FILSAFAT TEOLOGI FAJAR TIMUR,PAPUA,BAIK,1.0,9000000.0,,
SEKOLAH TINGGI ILMU EKONOMI ENAM ENAM KENDARI,SULAWESI TENGGARA,BAIK SEKALI,3.0,9000000.0,,
INSTITUT TEKNOLOGI GARUT,JAWA BARAT,BAIK SEKALI,3.0,8960000.0,,
SEKOLAH TINGGI ILMU KOMUNIKASI ALMAMATER WARTAWAN SURABAYA,JAWA TIMUR,BAIK SEKALI,3.0,8950000.0,1.0,3.0
SEKOLAH TINGGI ILMU EKONOMI BALIKPAPAN,KALIMANTAN TIMUR,BAIK SEKALI,3.0,8925000.0,,
UNIVERSITAS IBBI,SUMATERA UTARA,BAIK SEKALI,3.0,8925000.0,,
UNIVERSITAS WAHIDIYAH,JAWA TIMUR,BAIK,1.0,8910000.0,1.0,1.0
INSTITUT TEKNOLOGI KESEHATAN MALANG WIDYA CIPTA HUSADA,JAWA TIMUR,BAIK,1.0,8900000.0,1.0,1.0
INSTITUT TEKNOLOGI DAN KESEHATAN BINTANG PERSADA,BALI,BAIK,1.0,8900000.0,,
SEKOLAH TINGGI ILMU KESEHATAN PANCA BHAKTI PONTIANAK,KALIMANTAN BARAT,TERAKREDITASI,0.0,8900000.0,,
UNIVERSITAS MUHAMMADIYAH CIREBON,JAWA BARAT,B,2.0,8850000.0,,
SEKOLAH TINGGI TEKNOLOGI BONTANG,KALIMANTAN TIMUR,BAIK,1.0,8850000.0,,
UNIVERSITAS CATUR INSAN CENDEKIA,JAWA BARAT,BAIK,1.0,8820000.0,,
UNIVERSITAS ISLAM AS-SYAFIIYAH,JAWA BARAT,BAIK SEKALI,3.0,8812500.0,,
UNIVERSITAS TARUNA BAKTI,JAWA BARAT,BAIK,1.0,15650000.0,,
UNIVERSITAS IVET,JAWA TENGAH,B,2.0,8800000.0,,
SEKOLAH TINGGI ILMU KESEHATAN BANTUL,D.I. YOGYAKARTA,BAIK,1.0,8800000.0,,
UNIVERSITAS KH. BAHAUDIN MUDHARY MADURA,JAWA TIMUR,BAIK,1.0,8800000.0,1.0,1.0
STKIP PGRI PONOROGO,JAWA TIMUR,BAIK SEKALI,3.0,8770000.0,1.0,3.0
SEKOLAH TINGGI BAHASA ASING YAPARI,JAWA BARAT,BAIK,1.0,8750000.0,,
UNIVERSITAS NAHDLATUL ULAMA PASURUAN,JAWA TIMUR,BAIK,1.0,8750000.0,1.0,1.0
UNIVERSITAS HANDAYANI MAKASSAR,SULAWESI SELATAN,BAIK,1.0,8700000.0,,
STIEB PERDANA MANDIRI,JAWA BARAT,BAIK,1.0,8638000.0,,
STIKES YAYASAN RS. DR. SOETOMO,JAWA TIMUR,BAIK SEKALI,3.0,8600000.0,1.0,3.0
UNIVERSITAS MUHAMMADIYAH KUDUS,JAWA TENGAH,BAIK SEKALI,3.0,8500000.0,,
SEKOLAH TINGGI HUKUM GARUT,JAWA BARAT,BAIK,1.0,8500000.0,,
UNIVERSITAS SERASAN,SUMATERA SELATAN,BAIK,1.0,8500000.0,,
UNIVERSITAS WIJAYAKUSUMA PURWOKERTO,JAWA TENGAH,BAIK SEKALI,3.0,8500000.0,,
SEKOLAH TINGGI ILMU KESEHATAN DONA PALEMBANG,SUMATERA SELATAN,BAIK,1.0,8500000.0,,
SEKOLAH TINGGI ILMU KESEHATAN AL MA ARIF,SUMATERA SELATAN,BAIK,1.0,8500000.0,,
STMIK KHARISMA MAKASSAR,SULAWESI SELATAN,BAIK,1.0,8500000.0,,
UNIVERSITAS SINDANG KASIH MAJALENGKA,JAWA BARAT,BAIK,1.0,8500000.0,,
UNIVERSITAS TUNAS PEMBANGUNAN SURAKARTA,JAWA TENGAH,BAIK SEKALI,3.0,8483000.0,,
UNIVERSITAS WIRALODRA,JAWA BARAT,B,2.0,8480000.0,,
UNIVERSITAS NAHDLATUL ULAMA KALIMANTAN TIMUR,KALIMANTAN TIMUR,BAIK,1.0,8480000.0,,
STMIK PAMITRAN,JAWA BARAT,BAIK,1.0,8400000.0,,
SEKOLAH TINGGI ILMU EKONOMI KALPATARU,JAWA BARAT,BAIK,1.0,8400000.0,,
INSTITUT TEKNOLOGI BISNIS DAN BAHASA DIAN CIPTA CENDIKIA,LAMPUNG,BAIK,1.0,8400000.0,,
STIKES PERSADA HUSADA INDONESIA,DKI JAKARTA,BAIK,1.0,8400000.0,,
UNIVERSITAS INTERNASIONAL PAPUA,PAPUA,BAIK,1.0,8400000.0,,
SEKOLAH TINGGI ILMU KESEHATAN FATIMA PAREPARE,SULAWESI SELATAN,BAIK,1.0,8400000.0,,
UNIVERSITAS KALTARA,KALIMANTAN UTARA,BAIK SEKALI,3.0,8400000.0,,
SEKOLAH TINGGI ILMU SOSIAL DAN ILMU POLITIK WIRA BHAKTI,BALI,BAIK,1.0,8400000.0,,
STIKES PATRIA HUSADA,JAWA TIMUR,BAIK,1.0,8375000.0,1.0,1.0
UNIVERSITAS MERDEKA PASURUAN,JAWA TIMUR,BAIK,1.0,8370000.0,1.0,1.0
UNIVERSITAS KUTAI KARTANEGARA TENGGARONG,KALIMANTAN TIMUR,BAIK SEKALI,3.0,8355000.0,,
UNIVERSITAS VETERAN BANGUN NUSANTARA,JAWA TENGAH,BAIK SEKALI,3.0,8350000.0,,
