average_semester_fee,student_amount,lecturer_amount,faculty,edu_level,accreditation,body_type,province,campus_accreditation,klaster
12255600.0,21890.0,495.0,FAKULTAS ILMU KEPERAWATAN,S1,A,SWASTA,D.K.I. JAKARTA,B,3
12255600.0,21890.0,495.0,FAKULTAS KEDOKTERAN DAN KESEHATAN,S1,B,SWASTA,D.K.I. JAKARTA,B,3
12255600.0,21890.0,495.0,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,S1,A,SWASTA,D.K.I. JAKARTA,B,3
12255600.0,21890.0,495.0,FAKULTAS TEKNIK,S1,B,SWASTA,D.K.I. JAKARTA,B,3
12255600.0,21890.0,495.0,FAKULTAS EKONOMI,S1,B,SWASTA,D.K.I. JAKARTA,B,3
12255600.0,21890.0,495.0,FAKULTAS ILMU PENDIDIKAN,S1,B,SWASTA,D.K.I. JAKARTA,B,3
12255600.0,21890.0,495.0,FAKULTAS TEKNIK,S1,B,SWASTA,D.K.I. JAKARTA,B,3
12255600.0,21890.0,495.0,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,S1,A,SWASTA,D.K.I. JAKARTA,B,3
12255600.0,21890.0,495.0,FAKULTAS TEKNIK,S1,B,SWASTA,D.K.I. JAKARTA,B,3
12255600.0,21890.0,495.0,FAKULTAS ILMU PENDIDIKAN,S1,C,SWASTA,D.K.I. JAKARTA,B,3
23430100.0,5299.0,5299.0,PERTANIAN,S1,B,SWASTA,JAWA TIMUR,B,3
23430100.0,5299.0,5299.0,PERTANIAN,S1,B,SWASTA,JAWA TIMUR,B,3
23430100.0,5299.0,5299.0,EKONOMI,S1,A,SWASTA,JAWA TIMUR,B,3
23430100.0,5299.0,5299.0,KEGURUAN DAN ILMU PENDIDIKAN,S1,B,SWASTA,JAWA TIMUR,B,3
23430100.0,5299.0,5299.0,TEKNIK,S1,B,SWASTA,JAWA TIMUR,B,3
23430100.0,5299.0,5299.0,KEGURUAN DAN ILMU PENDIDIKAN,S1,B,SWASTA,JAWA TIMUR,B,3
23430100.0,5299.0,5299.0,HUKUM,S1,B,SWASTA,JAWA TIMUR,B,3
23430100.0,5299.0,5299.0,ILMU SOSIAL DAN ILMU POLITIK,S1,A,SWASTA,JAWA TIMUR,B,3
23430100.0,5299.0,5299.0,TEKNIK,S1,B,SWASTA,JAWA TIMUR,B,3
23430100.0,5299.0,5299.0,ILMU KESEHATAN,S1,B,SWASTA,JAWA TIMUR,B,3
23430100.0,5299.0,5299.0,EKONOMI,S1,B,SWASTA,JAWA TIMUR,B,3
23430100.0,5299.0,5299.0,TEKNIK,S1,B,SWASTA,JAWA TIMUR,B,3
23430100.0,5299.0,5299.0,KEGURUAN DAN ILMU PENDIDIKAN,S1,B,SWASTA,JAWA TIMUR,B,3
23430100.0,5299.0,5299.0,TEKNIK,S1,BAIK SEKALI,SWASTA,JAWA TIMUR,B,2
23430100.0,5299.0,5299.0,KEGURUAN DAN ILMU PENDIDIKAN,S1,BAIK,SWASTA,JAWA TIMUR,B,3
23430100.0,5299.0,5299.0,ILMU SOSIAL DAN ILMU POLITIK,S1,B,SWASTA,JAWA TIMUR,B,3
23430100.0,5299.0,5299.0,PERTANIAN,S1,BAIK,SWASTA,JAWA TIMUR,B,3
23430100.0,5299.0,5299.0,PSIKOLOGI,S1,B,SWASTA,JAWA TIMUR,B,3
23430100.0,5299.0,5299.0,TEKNIK,S1,B,SWASTA,JAWA TIMUR,B,3
5992500.0,2000.0,120.0,FAKULTAS ILMU KESEHATAN DAN FARMASI,S1,BAIK SEKALI,SWASTA,KALIMANTAN TIMUR,BAIK SEKALI,2
5992500.0,2000.0,120.0,FAKULTAS ILMU-ILMU SOSIAL DAN HUMANIORA,S1,B,SWASTA,KALIMANTAN TIMUR,BAIK SEKALI,2
5992500.0,2000.0,120.0,FAKULTAS ILMU-ILMU SOSIAL DAN HUMANIORA,S1,B,SWASTA,KALIMANTAN TIMUR,BAIK SEKALI,2
5992500.0,2000.0,120.0,FAKULTAS SAINS DAN TEKNOLOGI,S1,BAIK SEKALI,SWASTA,KALIMANTAN TIMUR,BAIK SEKALI,2
5992500.0,2000.0,120.0,FAKULTAS ILMU KESEHATAN DAN FARMASI,S1,UNGGUL,SWASTA,KALIMANTAN TIMUR,BAIK SEKALI,2
5992500.0,2000.0,120.0,FAKULTAS ILMU KESEHATAN DAN FARMASI,S1,UNGGUL,SWASTA,KALIMANTAN TIMUR,BAIK SEKALI,2
5992500.0,2000.0,120.0,FAKULTAS ILMU-ILMU SOSIAL DAN HUMANIORA,S1,BAIK SEKALI,SWASTA,KALIMANTAN TIMUR,BAIK SEKALI,2
5992500.0,2000.0,120.0,FAKULTAS SAINS DAN TEKNOLOGI,S1,BAIK SEKALI,SWASTA,KALIMANTAN TIMUR,BAIK SEKALI,2
5992500.0,2000.0,120.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,B,SWASTA,KALIMANTAN TIMUR,BAIK SEKALI,2
5992500.0,2000.0,120.0,FAKULTAS ILMU-ILMU SOSIAL DAN HUMANIORA,S1,BAIK SEKALI,SWASTA,KALIMANTAN TIMUR,BAIK SEKALI,2
5992500.0,2000.0,120.0,FAKULTAS SAINS DAN TEKNOLOGI,S1,BAIK SEKALI,SWASTA,KALIMANTAN TIMUR,BAIK SEKALI,2
14790000.0,6270.0,176.0,FAKULTAS EKONOMI DAN BISNIS,S1,B,SWASTA,JAWA TENGAH,B,3
14790000.0,6270.0,176.0,FAKULTAS ILMU KESEHATAN,S1,C,SWASTA,JAWA TENGAH,B,3
14790000.0,6270.0,176.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,A,SWASTA,JAWA TENGAH,B,4
14790000.0,6270.0,176.0,FAKULTAS HUKUM,S1,A,SWASTA,JAWA TENGAH,B,3
14790000.0,6270.0,176.0,FAKULTAS TEKNIK,S1,B,SWASTA,JAWA TENGAH,B,3
14790000.0,6270.0,176.0,FAKULTAS TEKNIK,S1,B,SWASTA,JAWA TENGAH,B,3
14790000.0,6270.0,176.0,FAKULTAS ILMU KESEHATAN,S1,B,SWASTA,JAWA TENGAH,B,3
14790000.0,6270.0,176.0,FAKULTAS EKONOMI DAN BISNIS,S1,B,SWASTA,JAWA TENGAH,B,3
14790000.0,6270.0,176.0,FAKULTAS PSIKOLOGI DAN HUMANIORA,S1,C,SWASTA,JAWA TENGAH,B,3
11300000.0,20658.0,20658.0,FAKULTAS PERTANIAN,S1,B,SWASTA,SULAWESI SELATAN,B,3
11300000.0,20658.0,20658.0,FAKULTAS PERTANIAN,S1,BAIK,SWASTA,SULAWESI SELATAN,B,3
11300000.0,20658.0,20658.0,FAKULTAS EKONOMI DAN BISNIS,S1,B,SWASTA,SULAWESI SELATAN,B,3
11300000.0,20658.0,20658.0,FAKULTAS TEKNIK,S1,UNGGUL,SWASTA,SULAWESI SELATAN,B,3
11300000.0,20658.0,20658.0,FAKULTAS PERTANIAN,S1,B,SWASTA,SULAWESI SELATAN,B,3
11300000.0,20658.0,20658.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,B,SWASTA,SULAWESI SELATAN,B,3
11300000.0,20658.0,20658.0,FAKULTAS TEKNIK,S1,B,SWASTA,SULAWESI SELATAN,B,3
11300000.0,20658.0,20658.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,B,SWASTA,SULAWESI SELATAN,B,3
11300000.0,20658.0,20658.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,B,SWASTA,SULAWESI SELATAN,B,3
11300000.0,20658.0,20658.0,FAKULTAS AGAMA ISLAM,S1,BAIK,SWASTA,SULAWESI SELATAN,B,3
11300000.0,20658.0,20658.0,FAKULTAS AGAMA ISLAM,S1,BAIK SEKALI,SWASTA,SULAWESI SELATAN,B,3
11300000.0,20658.0,20658.0,FAKULTAS KEDOKTERAN,S1,B,SWASTA,SULAWESI SELATAN,B,3
11300000.0,20658.0,20658.0,FAKULTAS PERTANIAN,S1,B,SWASTA,SULAWESI SELATAN,B,3
11300000.0,20658.0,20658.0,FAKULTAS EKONOMI DAN BISNIS,S1,B,SWASTA,SULAWESI SELATAN,B,3
11300000.0,20658.0,20658.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,B,SWASTA,SULAWESI SELATAN,B,3
11300000.0,20658.0,20658.0,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,S1,A,SWASTA,SULAWESI SELATAN,B,4
11300000.0,20658.0,20658.0,FAKULTAS TEKNIK,S1,B,SWASTA,SULAWESI SELATAN,B,3
11300000.0,20658.0,20658.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,B,SWASTA,SULAWESI SELATAN,B,3
10000000.0,34426.0,34426.0,PERTANIAN DAN PETERNAKAN,S1,A,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,PERTANIAN DAN PETERNAKAN,S1,UNGGUL,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,EKONOMI DAN BISNIS,S1,A,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,KEGURUAN DAN ILMU PENDIDIKAN,S1,A,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,EKONOMI DAN BISNIS,S1,B,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,TEKNIK,S1,B,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,LLMU KESEHATAN,S1,B,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,LLMU KESEHATAN,S1,C,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,KEGURUAN DAN ILMU PENDIDIKAN,S1,A,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,ILMU SOSIAL DAN ILMU POLITIK,S1,A,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,HUKUM,S1,A,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,ILMU SOSIAL DAN ILMU POLITIK,S1,A,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,TEKNIK,S1,B,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,TEKNIK,S1,B,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,KEDOKTERAN,S1,B,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,PERTANIAN DAN PETERNAKAN,S1,B,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,LLMU KESEHATAN,S1,B,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,ILMU SOSIAL DAN ILMU POLITIK,S1,A,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,EKONOMI DAN BISNIS,S1,A,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,KEGURUAN DAN ILMU PENDIDIKAN,S1,A,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,TEKNIK,S1,A,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,KEGURUAN DAN ILMU PENDIDIKAN,S1,B,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,ILMU SOSIAL DAN ILMU POLITIK,S1,A,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,PERTANIAN DAN PETERNAKAN,S1,A,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,PSIKOLOGI,S1,A,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,TEKNIK,S1,B,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,ILMU SOSIAL DAN ILMU POLITIK,S1,A,SWASTA,JAWA TIMUR,A,1
10000000.0,34426.0,34426.0,PERTANIAN DAN PETERNAKAN,S1,A,SWASTA,JAWA TIMUR,A,1
4000000.0,7352.0,255.0,FAKULTAS ILMU KESEHATAN,S1,C,SWASTA,NUSA TENGGARA BARAT,B,3
4000000.0,7352.0,255.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,B,SWASTA,NUSA TENGGARA BARAT,B,3
4000000.0,7352.0,255.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,B,SWASTA,NUSA TENGGARA BARAT,B,3
4000000.0,7352.0,255.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,BAIK SEKALI,SWASTA,NUSA TENGGARA BARAT,B,3
4000000.0,7352.0,255.0,FAKULTAS HUKUM,S1,B,SWASTA,NUSA TENGGARA BARAT,B,3
4000000.0,7352.0,255.0,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,S1,B,SWASTA,NUSA TENGGARA BARAT,B,3
4000000.0,7352.0,255.0,FAKULTAS ILMU KESEHATAN,S1,C,SWASTA,NUSA TENGGARA BARAT,B,3
4000000.0,7352.0,255.0,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,S1,B,SWASTA,NUSA TENGGARA BARAT,B,3
4000000.0,7352.0,255.0,FAKULTAS TEKNIK,S1,B,SWASTA,NUSA TENGGARA BARAT,B,3
4000000.0,7352.0,255.0,FAKULTAS TEKNIK,S1,C,SWASTA,NUSA TENGGARA BARAT,B,3
4000000.0,7352.0,255.0,FAKULTAS PERTANIAN,S1,B,SWASTA,NUSA TENGGARA BARAT,B,3
4000000.0,7352.0,255.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,C,SWASTA,NUSA TENGGARA BARAT,B,3
4000000.0,7352.0,255.0,FAKULTAS TEKNIK,S1,B,SWASTA,NUSA TENGGARA BARAT,B,3
24057500.0,4461.0,196.0,FAKULTAS EKONOMI,S1,C,SWASTA,LAMPUNG,BAIK SEKALI,2
24057500.0,4461.0,196.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,C,SWASTA,LAMPUNG,BAIK SEKALI,2
24057500.0,4461.0,196.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,C,SWASTA,LAMPUNG,BAIK SEKALI,2
24057500.0,4461.0,196.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,C,SWASTA,LAMPUNG,BAIK SEKALI,2
24057500.0,4461.0,196.0,FAKULTAS HUKUM,S1,C,SWASTA,LAMPUNG,BAIK SEKALI,2
24057500.0,4461.0,196.0,FAKULTAS EKONOMI,S1,C,SWASTA,LAMPUNG,BAIK SEKALI,2
24057500.0,4461.0,196.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,C,SWASTA,LAMPUNG,BAIK SEKALI,2
24057500.0,4461.0,196.0,FAKULTAS TEKNIK,S1,C,SWASTA,LAMPUNG,BAIK SEKALI,2
24057500.0,4461.0,196.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,C,SWASTA,LAMPUNG,BAIK SEKALI,2
24057500.0,4461.0,196.0,FAKULTAS TEKNIK,S1,C,SWASTA,LAMPUNG,BAIK SEKALI,2
5600000.0,2540.0,182.0,FAKULTAS EKONOMI,S1,UNGGUL,SWASTA,JAWA TIMUR,UNGGUL,2
5600000.0,2540.0,182.0,FAKULTAS TEKNIK,S1,BAIK SEKALI,SWASTA,JAWA TIMUR,UNGGUL,2
5600000.0,2540.0,182.0,FAKULTAS HUKUM,S1,BAIK SEKALI,SWASTA,JAWA TIMUR,UNGGUL,2
5600000.0,2540.0,182.0,FAKULTAS TEKNIK,S1,B,SWASTA,JAWA TIMUR,UNGGUL,2
5600000.0,2540.0,182.0,FAKULTAS ILMU KESEHATAN,S1,BAIK SEKALI,SWASTA,JAWA TIMUR,UNGGUL,2
5600000.0,2540.0,182.0,FAKULTAS EKONOMI,S1,UNGGUL,SWASTA,JAWA TIMUR,UNGGUL,2
5600000.0,2540.0,182.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,B,SWASTA,JAWA TIMUR,UNGGUL,2
5600000.0,2540.0,182.0,FAKULTAS TEKNIK,S1,UNGGUL,SWASTA,JAWA TIMUR,UNGGUL,2
4000000.0,4394.0,115.0,FAKULTAS PERIKANAN DAN ILMU KELAUTAN,S1,B,SWASTA,KALIMANTAN BARAT,B,3
4000000.0,4394.0,115.0,FAKULTAS TEKNIK,S1,BAIK,SWASTA,KALIMANTAN BARAT,B,3
4000000.0,4394.0,115.0,FAKULTAS ILMU KESEHATAN,S1,BAIK SEKALI,SWASTA,KALIMANTAN BARAT,B,2
4000000.0,4394.0,115.0,FAKULTAS EKONOMI,S1,BAIK,SWASTA,KALIMANTAN BARAT,B,3
4000000.0,4394.0,115.0,FAKULTAS TEKNIK,S1,BAIK SEKALI,SWASTA,KALIMANTAN BARAT,B,2
37900000.0,21566.0,656.0,FAKULTAS EKONOMI DAN BISNIS,S1,UNGGUL,SWASTA,D.K.I. JAKARTA,UNGGUL,3
37900000.0,21566.0,656.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,B,SWASTA,D.K.I. JAKARTA,UNGGUL,3
37900000.0,21566.0,656.0,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,S1,UNGGUL,SWASTA,D.K.I. JAKARTA,UNGGUL,3
37900000.0,21566.0,656.0,FAKULTAS TEKNOLOGI INDUSTRI DAN INFORMATIKA,S1,BAIK SEKALI,SWASTA,D.K.I. JAKARTA,UNGGUL,3
37900000.0,21566.0,656.0,FAKULTAS EKONOMI DAN BISNIS,S1,UNGGUL,SWASTA,D.K.I. JAKARTA,UNGGUL,3
37900000.0,21566.0,656.0,FAKULTAS PSIKOLOGI,S1,UNGGUL,SWASTA,D.K.I. JAKARTA,UNGGUL,3
37900000.0,21566.0,656.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,UNGGUL,SWASTA,D.K.I. JAKARTA,UNGGUL,4
12600000.0,12315.0,359.0,FAKULTAS EKONOMI,S1,UNGGUL,SWASTA,JAWA TENGAH,UNGGUL,3
12600000.0,12315.0,359.0,FAKULTAS TEKNIK,S1,BAIK SEKALI,SWASTA,JAWA TENGAH,UNGGUL,2
12600000.0,12315.0,359.0,FAKULTAS ILMU KEPERAWATAN DAN KESEHATAN,S1,UNGGUL,SWASTA,JAWA TENGAH,UNGGUL,3
12600000.0,12315.0,359.0,FAKULTAS ILMU KEPERAWATAN DAN KESEHATAN,S1,UNGGUL,SWASTA,JAWA TENGAH,UNGGUL,3
12600000.0,12315.0,359.0,FAKULTAS KEDOKTERAN UMUM,S1,UNGGUL,SWASTA,JAWA TENGAH,UNGGUL,3
12600000.0,12315.0,359.0,FAKULTAS KEDOKTERAN GIGI,S1,BAIK SEKALI,SWASTA,JAWA TENGAH,UNGGUL,2
12600000.0,12315.0,359.0,FAKULTAS ILMU KEPERAWATAN DAN KESEHATAN,S1,UNGGUL,SWASTA,JAWA TENGAH,UNGGUL,3
12600000.0,12315.0,359.0,FAKULTAS KESEHATAN MASYARAKAT,S1,UNGGUL,SWASTA,JAWA TENGAH,UNGGUL,3
12600000.0,12315.0,359.0,FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN,S1,UNGGUL,SWASTA,JAWA TENGAH,UNGGUL,3
12600000.0,12315.0,359.0,FAKULTAS EKONOMI,S1,UNGGUL,SWASTA,JAWA TENGAH,UNGGUL,3
12600000.0,12315.0,359.0,FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN,S1,UNGGUL,SWASTA,JAWA TENGAH,UNGGUL,3
12600000.0,12315.0,359.0,FAKULTAS TEKNIK,S1,BAIK SEKALI,SWASTA,JAWA TENGAH,UNGGUL,2
12600000.0,12315.0,359.0,FAKULTAS BAHASA DAN BUDAYA ASING,S1,UNGGUL,SWASTA,JAWA TENGAH,UNGGUL,3
12600000.0,12315.0,359.0,FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN,S1,UNGGUL,SWASTA,JAWA TENGAH,UNGGUL,3
12600000.0,12315.0,359.0,FAKULTAS ILMU KEPERAWATAN DAN KESEHATAN,S1,UNGGUL,SWASTA,JAWA TENGAH,UNGGUL,3
6000000.0,21831.0,521.0,FAKULTAS PERTANIAN,S1,B,SWASTA,SUMATERA UTARA,B,3
6000000.0,21831.0,521.0,FAKULTAS PERTANIAN,S1,B,SWASTA,SUMATERA UTARA,B,3
6000000.0,21831.0,521.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,A,SWASTA,SUMATERA UTARA,B,4
6000000.0,21831.0,521.0,FAKULTAS TEKNIK,S1,B,SWASTA,SUMATERA UTARA,B,3
6000000.0,21831.0,521.0,FAKULTAS HUKUM,S1,A,SWASTA,SUMATERA UTARA,B,4
6000000.0,21831.0,521.0,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,S1,A,SWASTA,SUMATERA UTARA,B,4
6000000.0,21831.0,521.0,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,S1,A,SWASTA,SUMATERA UTARA,B,4
6000000.0,21831.0,521.0,FAKULTAS AGAMA ISLAM,S1,A,SWASTA,SUMATERA UTARA,B,4
6000000.0,21831.0,521.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,B,SWASTA,SUMATERA UTARA,B,3
6000000.0,21831.0,521.0,FAKULTAS TEKNIK,S1,B,SWASTA,SUMATERA UTARA,B,3
6000000.0,21831.0,521.0,FAKULTAS PERTANIAN,S1,B,SWASTA,SUMATERA UTARA,B,3
6000000.0,21831.0,521.0,FAKULTAS TEKNIK,S1,B,SWASTA,SUMATERA UTARA,B,3
71100000.0,7074.0,355.0,FAKULTAS EKONOMI DAN BISNIS,S1,B,SWASTA,JAWA TIMUR,UNGGUL,0
71100000.0,7074.0,355.0,FAKULTAS TEKNIK,S1,BAIK SEKALI,SWASTA,JAWA TIMUR,UNGGUL,2
71100000.0,7074.0,355.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,UNGGUL,SWASTA,JAWA TIMUR,UNGGUL,0
71100000.0,7074.0,355.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,BAIK,SWASTA,JAWA TIMUR,UNGGUL,0
71100000.0,7074.0,355.0,FAKULTAS TEKNIK,S1,BAIK SEKALI,SWASTA,JAWA TIMUR,UNGGUL,2
71100000.0,7074.0,355.0,FAKULTAS ILMU KESEHATAN,S1,BAIK SEKALI,SWASTA,JAWA TIMUR,UNGGUL,0
71100000.0,7074.0,355.0,FAKULTAS ILMU KESEHATAN,S1,BAIK SEKALI,SWASTA,JAWA TIMUR,UNGGUL,0
71100000.0,7074.0,355.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,UNGGUL,SWASTA,JAWA TIMUR,UNGGUL,0
71100000.0,7074.0,355.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,UNGGUL,SWASTA,JAWA TIMUR,UNGGUL,0
71100000.0,7074.0,355.0,FAKULTAS HUKUM,S1,UNGGUL,SWASTA,JAWA TIMUR,UNGGUL,0
71100000.0,7074.0,355.0,FAKULTAS TEKNIK,S1,BAIK SEKALI,SWASTA,JAWA TIMUR,UNGGUL,2
71100000.0,7074.0,355.0,FAKULTAS TEKNIK,S1,BAIK SEKALI,SWASTA,JAWA TIMUR,UNGGUL,2
71100000.0,7074.0,355.0,FAKULTAS ILMU KESEHATAN,S1,BAIK,SWASTA,JAWA TIMUR,UNGGUL,0
71100000.0,7074.0,355.0,FAKULTAS KEDOKTERAN,S1,UNGGUL,SWASTA,JAWA TIMUR,UNGGUL,0
71100000.0,7074.0,355.0,FAKULTAS ILMU KESEHATAN,S1,UNGGUL,SWASTA,JAWA TIMUR,UNGGUL,0
71100000.0,7074.0,355.0,FAKULTAS EKONOMI DAN BISNIS,S1,UNGGUL,SWASTA,JAWA TIMUR,UNGGUL,0
71100000.0,7074.0,355.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,UNGGUL,SWASTA,JAWA TIMUR,UNGGUL,0
71100000.0,7074.0,355.0,FAKULTAS TEKNIK,S1,BAIK SEKALI,SWASTA,JAWA TIMUR,UNGGUL,2
71100000.0,7074.0,355.0,FAKULTAS TEKNIK,S1,BAIK SEKALI,SWASTA,JAWA TIMUR,UNGGUL,2
71100000.0,7074.0,355.0,FAKULTAS PSIKOLOGI,S1,BAIK SEKALI,SWASTA,JAWA TIMUR,UNGGUL,0
71100000.0,7074.0,355.0,FAKULTAS TEKNIK,S1,BAIK SEKALI,SWASTA,JAWA TIMUR,UNGGUL,2
36050000.0,22758.0,22758.0,FAKULTAS EKONOMI DAN BISNIS,S1,A,SWASTA,JAWA TENGAH,A,4
36050000.0,22758.0,22758.0,FAKULTAS TEKNIK,S1,A,SWASTA,JAWA TENGAH,A,4
36050000.0,22758.0,22758.0,FAKULTAS TEKNIK,S1,B,SWASTA,JAWA TENGAH,A,4
36050000.0,22758.0,22758.0,FAKULTAS GEOGRAFI,S1,A,SWASTA,JAWA TENGAH,A,4
36050000.0,22758.0,22758.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,A,SWASTA,JAWA TENGAH,A,4
36050000.0,22758.0,22758.0,FAKULTAS KOMUNIKASI DAN INFORMATIKA,S1,B,SWASTA,JAWA TENGAH,A,4
36050000.0,22758.0,22758.0,FAKULTAS TEKNIK,S1,A,SWASTA,JAWA TENGAH,A,4
36050000.0,22758.0,22758.0,FAKULTAS KOMUNIKASI DAN INFORMATIKA,S1,B,SWASTA,JAWA TENGAH,A,4
36050000.0,22758.0,22758.0,FAKULTAS KEDOKTERAN,S1,B,SWASTA,JAWA TENGAH,A,4
36050000.0,22758.0,22758.0,FAKULTAS KEDOKTERAN GIGI,S1,B,SWASTA,JAWA TENGAH,A,4
36050000.0,22758.0,22758.0,FAKULTAS ILMU KESEHATAN,S1,B,SWASTA,JAWA TENGAH,A,4
36050000.0,22758.0,22758.0,FAKULTAS TEKNIK,S1,B,SWASTA,JAWA TENGAH,A,4
36050000.0,22758.0,22758.0,FAKULTAS EKONOMI DAN BISNIS,S1,A,SWASTA,JAWA TENGAH,A,4
36050000.0,22758.0,22758.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,A,SWASTA,JAWA TENGAH,A,4
36050000.0,22758.0,22758.0,FAKULTAS TEKNIK,S1,B,SWASTA,JAWA TENGAH,A,4
36050000.0,22758.0,22758.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,UNGGUL,SWASTA,JAWA TENGAH,A,4
36050000.0,22758.0,22758.0,FAKULTAS PSIKOLOGI,S1,A,SWASTA,JAWA TENGAH,A,4
36050000.0,22758.0,22758.0,FAKULTAS TEKNIK,S1,B,SWASTA,JAWA TENGAH,A,4
8725000.0,1322.0,95.0,FAKULTAS TEKNIK,S1,BAIK SEKALI,SWASTA,JAWA BARAT,BAIK,2
8725000.0,1322.0,95.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,UNGGUL,SWASTA,JAWA BARAT,BAIK,2
8725000.0,1322.0,95.0,FAKULTAS ILMU KESEHATAN,S1,BAIK,SWASTA,JAWA BARAT,BAIK,2
8725000.0,1322.0,95.0,FAKULTAS ILMU KESEHATAN,S1,BAIK SEKALI,SWASTA,JAWA BARAT,BAIK,2
8725000.0,1322.0,95.0,FAKULTAS TEKNIK,S1,BAIK SEKALI,SWASTA,JAWA BARAT,BAIK,2
8725000.0,1322.0,95.0,FAKULTAS TEKNIK,S1,BAIK SEKALI,SWASTA,JAWA BARAT,BAIK,2
8725000.0,1322.0,95.0,FAKULTAS TEKNIK,S1,BAIK SEKALI,SWASTA,JAWA BARAT,BAIK,2
8725000.0,1322.0,95.0,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,S1,BAIK SEKALI,SWASTA,JAWA BARAT,BAIK,2
