institution_name,province,prodi_normalized,campus_accreditation,average_yearly_fee,cluster_label,link
INSTITUT ILMU SOSIAL DAN ILMU POLITIK JAKARTA,DKI JAKARTA,SOSIOLOGI,BAIK,16000000.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/institut-ilmu-sosial-dan-ilmu-politik-jakarta
UNIVERSITAS SAHID,DKI JAKARTA,HUKUM,BAIK SEKALI,15450000.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-sahid
UNIVERSITAS SAHID,DKI JAKARTA,ILMU KOMUNIKASI,BAIK SEKALI,15450000.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-sahid
INSTITUT KESEHATAN INDONESIA,DKI JAKARTA,PSIKOLOGI,BAIK,15000000.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/institut-kesehatan-indonesia
UNIVERSITAS SAHID JAKARTA,DKI JAKARTA,HUBUNGAN MASYARAKAT,B,14500000.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-sahid-jakarta
UNIVERSITAS SAHID JAKARTA,DKI JAKARTA,HUKUM,B,14500000.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-sahid-jakarta
UNIVERSITAS SAHID JAKARTA,DKI JAKARTA,ILMU KOMUNIKASI,B,14500000.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-sahid-jakarta
INSTITUT BISNIS NUSANTARA,DKI JAKARTA,ILMU KOMUNIKASI,B,14472500.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/institut-bisnis-nusantara
UNIVERSITAS ISLAM JAKARTA,DKI JAKARTA,HUKUM,B,12950000.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-islam-jakarta
UNIVERSITAS IBNU CHALDUN,DKI JAKARTA,ADMINISTRASI PUBLIK,B,12600000.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS IBNU CHALDUN,DKI JAKARTA,HUKUM,B,12600000.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS IBNU CHALDUN,DKI JAKARTA,ILMU KOMUNIKASI,B,12600000.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS TAMA JAGAKARSA,DKI JAKARTA,HUKUM,B,12200000.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS TAMA JAGAKARSA,DKI JAKARTA,ILMU KOMUNIKASI,B,12200000.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS TAMA JAGAKARSA,DKI JAKARTA,PSIKOLOGI,B,12200000.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Baik Sekali / B,-
SEKOLAH TINGGI ILMU HUKUM ADHYAKSA,DKI JAKARTA,HUKUM,BAIK SEKALI,12000000.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS INDONESIA MAJU,DKI JAKARTA,HUKUM,BAIK,12000000.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-indonesia-maju
UNIVERSITAS INDONESIA MAJU,DKI JAKARTA,ILMU KOMUNIKASI,BAIK,12000000.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-indonesia-maju
UNIVERSITAS INDONESIA MAJU,DKI JAKARTA,PSIKOLOGI,BAIK,12000000.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-indonesia-maju
UNIVERSITAS MITRA BANGSA,DKI JAKARTA,HUKUM,TERAKREDITASI SEMENTARA,11600000.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Unggul / A,-
UNIVERSITAS MPU TANTULAR,DKI JAKARTA,HUKUM,B,11337000.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-mpu-tantular
INSTITUT ILMU SOSIAL DAN MANAJEMEN STIAMI,DKI JAKARTA,ADMINISTRASI PUBLIK,A,10831250.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Unggul / A,-
INSTITUT ILMU SOSIAL DAN MANAJEMEN STIAMI,DKI JAKARTA,ILMU KOMUNIKASI,B,10831250.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS BUNG KARNO,DKI JAKARTA,HUKUM,B,10000000.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-bung-karno
UNIVERSITAS BUNG KARNO,DKI JAKARTA,POLITIK,B,10000000.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-bung-karno
UNIVERSITAS MERCU BUANA,DKI JAKARTA,HUBUNGAN MASYARAKAT,UNGGUL,10000000.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Unggul / A,https://campus.quipper.com/directory/universitas-mercu-buana
UNIVERSITAS MERCU BUANA,DKI JAKARTA,ILMU KOMUNIKASI,A,10000000.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Unggul / A,https://campus.quipper.com/directory/universitas-mercu-buana
UNIVERSITAS MERCU BUANA,DKI JAKARTA,PSIKOLOGI,B,10000000.0,DKI JAKARTA | Sosial & Hukum | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-mercu-buana
STIH LITIGASI,DKI JAKARTA,HUKUM,BAIK SEKALI,9750000.0,DKI JAKARTA | Sosial & Hukum | Terjangkau (5-10jt) | Baik Sekali / B,-
UNIVERSITAS DIAN NUSANTARA,DKI JAKARTA,ILMU KOMUNIKASI,BAIK,9400000.0,DKI JAKARTA | Sosial & Hukum | Terjangkau (5-10jt) | Baik Sekali / B,-
UNIVERSITAS INDRAPRASTA PGRI,DKI JAKARTA,PENGETAHUAN SOSIAL,B,9150000.0,DKI JAKARTA | Sosial & Hukum | Terjangkau (5-10jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-indraprasta-pgri
UNIVERSITAS INDRAPRASTA PGRI,DKI JAKARTA,SEJARAH,B,9150000.0,DKI JAKARTA | Sosial & Hukum | Terjangkau (5-10jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-indraprasta-pgri
SEKOLAH TINGGI ILMU KOMUNIKASI PROFESI INDONESIA,DKI JAKARTA,HUBUNGAN MASYARAKAT,BAIK,8000000.0,DKI JAKARTA | Sosial & Hukum | Terjangkau (5-10jt) | Baik Sekali / B,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-komunikasi-profesi-indonesia
SEKOLAH TINGGI ILMU KOMUNIKASI PROFESI INDONESIA,DKI JAKARTA,ILMU KOMUNIKASI,BAIK,8000000.0,DKI JAKARTA | Sosial & Hukum | Terjangkau (5-10jt) | Baik Sekali / B,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-komunikasi-profesi-indonesia
INSTITUT SAINS DAN TEKNOLOGI AL-KAMAL,DKI JAKARTA,ILMU KOMUNIKASI,BAIK,7700000.0,DKI JAKARTA | Sosial & Hukum | Terjangkau (5-10jt) | Baik Sekali / B,https://campus.quipper.com/directory/institut-sains-dan-teknologi-al-kamal
SEKOLAH TINGGI ILMU HUKUM IBLAM,DKI JAKARTA,HUKUM,BAIK SEKALI,7625000.0,DKI JAKARTA | Sosial & Hukum | Terjangkau (5-10jt) | Baik Sekali / B,-
SEKOLAH TINGGI ILMU HUKUM PROFESOR GAYUS LUMBUUN,DKI JAKARTA,HUKUM,BAIK SEKALI,7000000.0,DKI JAKARTA | Sosial & Hukum | Terjangkau (5-10jt) | Baik Sekali / B,-
UNIVERSITAS SIBER ASIA,DKI JAKARTA,ILMU KOMUNIKASI,B,6000000.0,DKI JAKARTA | Sosial & Hukum | Terjangkau (5-10jt) | Baik Sekali / B,-
UNIVERSITAS ISLAM AS,DKI JAKARTA,HUKUM,B,5850000.0,DKI JAKARTA | Sosial & Hukum | Terjangkau (5-10jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-islam-as-syafi-iyah
UNIVERSITAS BINA SARANA INFORMATIKA,DKI JAKARTA,ILMU KOMUNIKASI,BAIK,5760000.0,DKI JAKARTA | Sosial & Hukum | Terjangkau (5-10jt) | Baik Sekali / B,-
SEKOLAH TINGGI ILMU PEMERINTAHAN ABDI NEGARA,DKI JAKARTA,PEMERINTAHAN,B,5350000.0,DKI JAKARTA | Sosial & Hukum | Terjangkau (5-10jt) | Baik Sekali / B,-
SEKOLAH TINGGI ILMU PEMERINTAHAN ABDI NEGARA,DKI JAKARTA,POLITIK,BAIK,5350000.0,DKI JAKARTA | Sosial & Hukum | Terjangkau (5-10jt) | Baik Sekali / B,-
UNIVERSITAS KATOLIK INDONESIA ATMA JAYA,DKI JAKARTA,ELEKTRO,A,289650000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Unggul / A,https://rencanamu.id/cari-kampus/universitas-katolik-indonesia-atma-jaya
UNIVERSITAS KATOLIK INDONESIA ATMA JAYA,DKI JAKARTA,INDUSTRI,B,289650000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Unggul / A,https://rencanamu.id/cari-kampus/universitas-katolik-indonesia-atma-jaya
UNIVERSITAS KATOLIK INDONESIA ATMA JAYA,DKI JAKARTA,MANUFAKTUR,A,289650000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Unggul / A,https://rencanamu.id/cari-kampus/universitas-katolik-indonesia-atma-jaya
UNIVERSITAS KATOLIK INDONESIA ATMA JAYA,DKI JAKARTA,MESIN,A,289650000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Unggul / A,https://rencanamu.id/cari-kampus/universitas-katolik-indonesia-atma-jaya
UNIVERSITAS PERTAMINA,DKI JAKARTA,ELEKTRO,BAIK SEKALI,126000000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-pertamina
UNIVERSITAS PERTAMINA,DKI JAKARTA,LINGKUNGAN,BAIK SEKALI,126000000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-pertamina
UNIVERSITAS PERTAMINA,DKI JAKARTA,MESIN,BAIK SEKALI,126000000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-pertamina
UNIVERSITAS PERTAMINA,DKI JAKARTA,PERMINYAKAN,BAIK SEKALI,126000000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-pertamina
UNIVERSITAS PERTAMINA,DKI JAKARTA,SIPIL,BAIK SEKALI,126000000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-pertamina
UNIVERSITAS 17 AGUSTUS 1945 JAKARTA,DKI JAKARTA,ELEKTRO,B,114980000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-17-agustus-1945-jakarta
UNIVERSITAS 17 AGUSTUS 1945 JAKARTA,DKI JAKARTA,MESIN,B,114980000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-17-agustus-1945-jakarta
UNIVERSITAS 17 AGUSTUS 1945 JAKARTA,DKI JAKARTA,SIPIL,B,114980000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-17-agustus-1945-jakarta
UNIVERSITAS BINA NUSANTARA,DKI JAKARTA,ARSITEKTUR,A,95259501.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Unggul / A,https://campus.quipper.com/directory/binus-university
UNIVERSITAS BINA NUSANTARA,DKI JAKARTA,INDUSTRI,B,95259501.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Baik Sekali / B,https://campus.quipper.com/directory/binus-university
UNIVERSITAS BINA NUSANTARA,DKI JAKARTA,SIPIL,UNGGUL,95259501.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Unggul / A,https://campus.quipper.com/directory/binus-university
UNIVERSITAS MUHAMMADIYAH PROF DR HAMKA,DKI JAKARTA,ELEKTRO,UNGGUL,75800000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Unggul / A,https://campus.quipper.com/directory/universitas-muhammadiyah-prof-dr-hamka
UNIVERSITAS MUHAMMADIYAH PROF DR HAMKA,DKI JAKARTA,MESIN,UNGGUL,75800000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Unggul / A,https://campus.quipper.com/directory/universitas-muhammadiyah-prof-dr-hamka
UNIVERSITAS TARUMANAGARA,DKI JAKARTA,ARSITEKTUR,A,60100000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Unggul / A,https://rencanamu.id/cari-kampus/universitas-tarumanagara
UNIVERSITAS TARUMANAGARA,DKI JAKARTA,ELEKTRO,B,60100000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-tarumanagara
UNIVERSITAS TARUMANAGARA,DKI JAKARTA,INDUSTRI,B,60100000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-tarumanagara
UNIVERSITAS TARUMANAGARA,DKI JAKARTA,MESIN,A,60100000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Unggul / A,https://rencanamu.id/cari-kampus/universitas-tarumanagara
UNIVERSITAS TARUMANAGARA,DKI JAKARTA,SIPIL,A,60100000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Unggul / A,https://rencanamu.id/cari-kampus/universitas-tarumanagara
UNIVERSITAS KRISTEN KRIDA WACANA,DKI JAKARTA,ELEKTRO,B,56000000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-kristen-krida-wacana
UNIVERSITAS KRISTEN KRIDA WACANA,DKI JAKARTA,INDUSTRI,B,56000000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-kristen-krida-wacana
UNIVERSITAS KRISTEN KRIDA WACANA,DKI JAKARTA,SIPIL,B,56000000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-kristen-krida-wacana
INSTITUT SAINS DAN TEKNOLOGI NASIONAL,DKI JAKARTA,ARSITEKTUR,B,55500000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Baik Sekali / B,https://campus.quipper.com/directory/institut-sains-dan-teknologi-nasional
INSTITUT SAINS DAN TEKNOLOGI NASIONAL,DKI JAKARTA,ELEKTRO,B,55500000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Baik Sekali / B,https://campus.quipper.com/directory/institut-sains-dan-teknologi-nasional
INSTITUT SAINS DAN TEKNOLOGI NASIONAL,DKI JAKARTA,INDUSTRI,B,55500000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Baik Sekali / B,https://campus.quipper.com/directory/institut-sains-dan-teknologi-nasional
INSTITUT SAINS DAN TEKNOLOGI NASIONAL,DKI JAKARTA,MESIN,B,55500000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Baik Sekali / B,https://campus.quipper.com/directory/institut-sains-dan-teknologi-nasional
INSTITUT SAINS DAN TEKNOLOGI NASIONAL,DKI JAKARTA,SIPIL,B,55500000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Baik Sekali / B,https://campus.quipper.com/directory/institut-sains-dan-teknologi-nasional
UNIVERSITAS PRASETIYA MULYA,DKI JAKARTA,ENERGI TERBARUKAN,BAIK SEKALI,51000000.0,DKI JAKARTA | Teknik & Arsitektur | Sangat Mahal (>50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-prasetiya-mulya
INSTITUT TRANSPORTASI  DAN LOGISTIK TRISAKTI,DKI JAKARTA,KELAUTAN,BAIK SEKALI,48675030.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,-
INSTITUT TRANSPORTASI  DAN LOGISTIK TRISAKTI,DKI JAKARTA,PENERBANGAN,BAIK SEKALI,48675030.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,-
INSTITUT TRANSPORTASI  DAN LOGISTIK TRISAKTI,DKI JAKARTA,REKAYASA INFRASTRUKTUR LINGKUNGAN,BAIK SEKALI,48675030.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,-
INSTITUT TRANSPORTASI  DAN LOGISTIK TRISAKTI,DKI JAKARTA,TRANSPORTASI,BAIK SEKALI,48675030.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,-
UNIVERSITAS KRISNADWIPAYANA,DKI JAKARTA,ARSITEKTUR,C,40500000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik / C,https://campus.quipper.com/directory/universitas-krisnadwipayana
UNIVERSITAS KRISNADWIPAYANA,DKI JAKARTA,ELEKTRO,C,40500000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik / C,https://campus.quipper.com/directory/universitas-krisnadwipayana
UNIVERSITAS KRISNADWIPAYANA,DKI JAKARTA,INDUSTRI,C,40500000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik / C,https://campus.quipper.com/directory/universitas-krisnadwipayana
UNIVERSITAS KRISNADWIPAYANA,DKI JAKARTA,MESIN,C,40500000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik / C,https://campus.quipper.com/directory/universitas-krisnadwipayana
UNIVERSITAS KRISNADWIPAYANA,DKI JAKARTA,SIPIL,C,40500000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik / C,https://campus.quipper.com/directory/universitas-krisnadwipayana
UNIVERSITAS ARY GINANJAR,DKI JAKARTA,INDUSTRI,BAIK,38200000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,-
UNIVERSITAS BAKRIE,DKI JAKARTA,INDUSTRI,B,32750000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-bakrie
UNIVERSITAS BAKRIE,DKI JAKARTA,LINGKUNGAN,B,32750000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-bakrie
UNIVERSITAS BAKRIE,DKI JAKARTA,SIPIL,UNGGUL,32750000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-bakrie
UNIVERSITAS MULTIMEDIA NUSANTARA JAKARTA,DKI JAKARTA,ARSITEKTUR,BAIK SEKALI,32325000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,-
UNIVERSITAS NAHDLATUL ULAMA INDONESIA,DKI JAKARTA,AGROINDUSTRI,BAIK,31100000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,-
UNIVERSITAS NAHDLATUL ULAMA INDONESIA,DKI JAKARTA,INDUSTRI,TIDAK TERAKREDITASI,31100000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,-
UNIVERSITAS ESA UNGGUL,DKI JAKARTA,INDUSTRI,BAIK SEKALI,31025000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-esa-unggul
UNIVERSITAS ESA UNGGUL,DKI JAKARTA,MESIN,BAIK,31025000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-esa-unggul
UNIVERSITAS ESA UNGGUL,DKI JAKARTA,SIPIL,BAIK,31025000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-esa-unggul
UNIVERSITAS BOROBUDUR,DKI JAKARTA,ARSITEKTUR,B,30600000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-borobudur
UNIVERSITAS BOROBUDUR,DKI JAKARTA,INDUSTRI,C,30600000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik / C,https://rencanamu.id/cari-kampus/universitas-borobudur
UNIVERSITAS BOROBUDUR,DKI JAKARTA,SIPIL,B,30600000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-borobudur
UNIVERSITAS KRISTEN INDONESIA,DKI JAKARTA,ARSITEKTUR,A,30000000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-kristen-indonesia
UNIVERSITAS KRISTEN INDONESIA,DKI JAKARTA,ELEKTRO,B,30000000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-kristen-indonesia
UNIVERSITAS KRISTEN INDONESIA,DKI JAKARTA,MESIN,B,30000000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-kristen-indonesia
UNIVERSITAS KRISTEN INDONESIA,DKI JAKARTA,SIPIL,B,30000000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-kristen-indonesia
UNIVERSITAS AGUNG PODOMORO,DKI JAKARTA,ARSITEKTUR,C,28000000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik / C,https://campus.quipper.com/directory/universitas-podomoro
UNIVERSITAS AGUNG PODOMORO,DKI JAKARTA,SIPIL,BAIK SEKALI,28000000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-podomoro
UNIVERSITAS JAYABAYA,DKI JAKARTA,ARSITEKTUR,C,26750000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik / C,https://campus.quipper.com/directory/universitas-jayabaya
UNIVERSITAS JAYABAYA,DKI JAKARTA,ELEKTRO,B,26750000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-jayabaya
UNIVERSITAS JAYABAYA,DKI JAKARTA,MESIN,B,26750000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-jayabaya
UNIVERSITAS JAYABAYA,DKI JAKARTA,SIPIL,B,26750000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-jayabaya
UNIVERSITAS NASIONAL,DKI JAKARTA,ELEKTRO,B,25501000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-nasional
UNIVERSITAS NASIONAL,DKI JAKARTA,MESIN,B,25501000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-nasional
INSTITUT KESEHATAN DAN TEKNOLOGI PONDOK KARYA PEMBANGUNAN,DKI JAKARTA,LINGKUNGAN,BAIK,25200000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,-
UNIVERSITAS MUHAMMADIYAH JAKARTA,DKI JAKARTA,ARSITEKTUR,A,24511201.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-muhammadiyah-jakarta
UNIVERSITAS MUHAMMADIYAH JAKARTA,DKI JAKARTA,ELEKTRO,B,24511201.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-muhammadiyah-jakarta
UNIVERSITAS MUHAMMADIYAH JAKARTA,DKI JAKARTA,INDUSTRI,B,24511201.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-muhammadiyah-jakarta
UNIVERSITAS MUHAMMADIYAH JAKARTA,DKI JAKARTA,MESIN,B,24511201.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-muhammadiyah-jakarta
UNIVERSITAS MUHAMMADIYAH JAKARTA,DKI JAKARTA,OTOMOTIF,B,24511201.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-muhammadiyah-jakarta
UNIVERSITAS MUHAMMADIYAH JAKARTA,DKI JAKARTA,SIPIL,B,24511201.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-muhammadiyah-jakarta
UNIVERSITAS TANRI ABENG,DKI JAKARTA,ARSITEKTUR,BAIK,24000000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-tanri-abeng
UNIVERSITAS TANRI ABENG,DKI JAKARTA,ELEKTRO,BAIK SEKALI,24000000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-tanri-abeng
UNIVERSITAS TANRI ABENG,DKI JAKARTA,PERMINYAKAN,BAIK SEKALI,24000000.0,DKI JAKARTA | Teknik & Arsitektur | Mahal (20-50jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-tanri-abeng
