parent_institution_name,prodi_name,jenjang,wilayah,no_sk,tahun_sk,akreditasi_prodi,tanggal_kadaluarsa
IKIP Veteran Jawa Tengah,Pendidikan Ekonomi,S1,06,4377/SK/BAN-PT/Ak-PPJ/S/XI/2019,2019,B,-
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Palopo,Ekonomi Pembangunan,S1,09,322/SK/BAN-PT/Ak-PPJ/S/I/2020,2020,B,-
Universitas Islam Negeri Sunan Kalijaga,Aqidah Dan Filsafat Islam,S2,PTAN,969/SK/BAN-PT/Akred/M/II/2021,2021,A,2026-02-23
Akademi Maritim Suaka Bahari,Teknika,D-III,04,1000/SK/BAN-PT/Akred/Dipl-III/II/2021,2021,Baik Sekali,2026-02-23
Universitas Karimun,Akuntansi,S1,17,1039/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-23
Universitas Teknologi Sumbawa,Ekonomi Pembangunan,S1,08,1007/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-23
STKIP Muhammadiyah Bone,Pendidikan Ekonomi,S1,09,1012/SK/BAN-PT/Akred/S/II/2021,2021,Baik Sekali,2026-02-23
Universitas Islam Madura,Akuntansi,S1,07,1004/SK/BAN-PT/Akred/S/II/2021,2021,B,2026-02-23
Sekolah Tinggi Ilmu Komputer Ambon,Teknik Informatika,S1,12,1028/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-23
Institut Agama Islam Uluwiyah Mojokerto,Ekonomi Syariah,S1,PTAS,1003/SK/BAN-PT/Akred/S/II/2021,2021,B,2026-02-23
Institut Ilmu Keislaman Zainul Hasan Genggong,Pendidikan Bahasa Arab,S1,PTAS,991/SK/BAN-PT/Akred/S/II/2021,2021,B,2026-02-23
"Institut Agama Islam Darullughah Wadda'wah Bangil, Pasuruan",Ekonomi Syariah,S1,PTAS,1017/SK/BAN-PT/Akred/S/II/2021,2021,B,2026-02-23
Universitas Galuh Ciamis,Teknik Mesin,S1,04,1038/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-23
Universitas Tidar,Pendidikan Matematika,S1,PTN,1043/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-23
Politeknik Ahli Usaha Perikanan,Penyuluhan Perikanan,D-IV,PTKL,987/SK/BAN-PT/Akred/ST/II/2021,2021,Baik Sekali,2026-02-23
Institut Seni Budaya Indonesia Bandung,Antropologi Budaya,S1,PTN,1034/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-23
Universitas Padjadjaran,Akuntansi,S2,PTN,1065/SK/BAN-PT/Ak-PPJ/M/II/2021,2021,A,2025-12-30
Universitas Nahdlatul Ulama Surakarta,Ekonomi Syariah,S1,06,1044/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-23
Universitas Pesantren Tinggi Darul  Ulum,Ilmu Administrasi Niaga,S1,07,2707/SK/BAN-PT/Akred/S/V/2021,2021,B,2026-02-25
Universitas Sains Dan Teknologi Jayapura,Teknik Lingkungan,S1,14,2643/SK/BAN-PT/Akred/S/V/2021,2021,B,2026-05-04
Universitas Pembangunan Nasional Veteran Jakarta,Teknik Informatika,S1,PTN,1016/SK/BAN-PT/Ak-PPJ/S/II/2021,2021,B,2026-02-19
"AKADEMI FARMASI BINA FARMASI, PALU",FARMASI,D-III,16,0412/LAM-PTKes/Akr/Dip/XI/2020,2020,C,2025-11-19
"SEKOLAH TINGGI ILMU KESEHATAN RUMAH SAKIT ANWAR MEDIKA, SIDOARJO",TEKNOLOGI LABORATORIUM MEDIS,D-III,07,0497/LAM-PTKes/Akr/Dip/Khs/XI/2020,2020,B,2025-11-26
Politeknik Negeri Bali,Teknik Sipil,D-III,PTN,10515/SK/BAN-PT/Ak-PPJ/Dipl-III/VIII/2021,2021,B,2026-08-27
STMIK Time,Teknik Informatika,S1,01,10556/SK/BAN-PT/Ak-PPJ/S/VIII/2021,2021,B,2026-08-30
STKIP PGRI Blitar,Pendidikan Pancasila Dan Kewarganegaraan,S1,07,4412/SK/BAN-PT/Ak-PPJ/S/XI/2019,2019,B,-
Sekolah Tinggi Ilmu Manajemen YKPN,Manajemen Perusahaan,D-III,05,3754/SK/BAN-PT/Ak-PPJ/Dipl-III/X/2019,2019,B,-
STKIP Muhammadiyah Sorong,Pendidikan Biologi,S1,14,4365/SK/BAN-PT/Ak-PPJ/S/XI/2019,2019,B,-
Universitas Muhammadiyah Palembang,Budidaya Perairan,S1,02,4564/SK/BAN-PT/Ak-PPJ/S/XI/2019,2019,B,-
Universitas Kristen Papua Sorong,Teologi,S1,14,1015/SK/BAN-PT/Ak-PPJ/S/II/2021,2021,B,2026-02-19
Universitas Tamansiswa,Teknik Sipil,S1,02,1027/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-23
Universitas Papua,Ekowisata,D-III,PTN,1047/SK/BAN-PT/Akred/Dipl-III/II/2021,2021,Baik,2026-02-23
Universitas Ibrahimy Sukorejo Situbondo,Manajemen Dan Bisnis Syariah,S1,07,1049/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-23
STKIP PGRI Sukabumi,Pendidikan Ekonomi,S1,04,1054/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-23
STAI Bakti Negara Tegal,Pendidikan Agama Islam,S1,PTAS,4769/SK/BAN-PT/Ak-PPJ/S/XII/2019,2019,B,-
STMIK Musi Rawas,Teknik Informatika,S1,02,5670/SK/BAN-PT/Ak-PKP/S/XII/2019,2019,C,-
STKIP Muhammadiyah Bulukumba,Pendidikan Biologi,S1,09,6/SK/BAN-PT/Ak-PPJ/S/I/2020,2020,B,-
Universitas Khairun,Teknologi Pertanian,S1,PTN,82/SK/BAN-PT/Ak-PPJ/S/I/2020,2020,B,-
STKIP PGRI Jombang,Pendidikan Bahasa Indonesia,S1,07,3293/SK/BAN-PT/Ak-PNB/S/V/2022,2022,B,2026-08-27
Universitas Pamulang,Akuntansi,D-III,04,10537/SK/BAN-PT/Ak-PPJ/Dipl-III/VIII/2021,2021,B,2026-08-27
Politeknik Negeri Padang,Administrasi Bisnis,D-III,PTN,10541/SK/BAN-PT/Ak-PPJ/Dipl-III/VIII/2021,2021,B,2026-08-27
Universitas Bengkulu,Pendidikan Matematika,S1,PTN,10560/SK/BAN-PT/Ak-PPJ/S/VIII/2021,2021,B,2026-08-27
IKIP Gunung Sitoli,Pendidikan Ekonomi,S1,01,10557/SK/BAN-PT/Ak-PPJ/S/VIII/2021,2021,B,2026-08-27
Universitas Bengkulu,Ilmu Kelautan,S1,PTN,10530/SK/BAN-PT/Ak-PPJ/S/VIII/2021,2021,B,2026-08-27
Universitas Tarumanagara,Perencanaan Wilayah Dan Kota,S1,03,10516/SK/BAN-PT/Ak-PPJ/S/VIII/2021,2021,B,2026-08-27
Institut Teknologi Harapan Bangsa,Sistem Informasi,S1,04,10561/SK/BAN-PT/Ak-PPJ/S/VIII/2021,2021,B,2026-08-27
STAI Persis Garut,Pendidikan Agama Islam,S1,PTAS,10528/SK/BAN-PT/Ak-PPJ/S/VIII/2021,2021,Baik Sekali,2026-08-27
Universitas Muhammadiyah Surakarta,Hukum Ekonomi Syari`ah (Mu`amalah),S1,06,13450/SK/BAN-PT/AK-ISK/S/XII/2021,2021,Unggul,2026-08-27
Universitas Wijaya Kusuma Surabaya,Informatika,S1,07,471/SK/BAN-PT/Ak-PPJ/S/I/2022,2022,B,2026-08-27
Institut Seni Indonesia Surakarta,Seni,S2,PTN,172/SK/BAN-PT/Ak-PPJ/M/I/2020,2020,A,-
Universitas Negeri Medan,Pendidikan Teknik Mesin,S1,PTN,1356/SK/BAN-PT/Akred-PMT/S/III/2022,2022,Unggul,2027-03-01
Institut Sains Dan Teknologi Akprind,Manajemen Informatika,D-III,05,242/SK/BAN-PT/Ak-PPJ/Dipl-III/I/2020,2020,B,-
Sekolah Tinggi Teknologi Mitra Karya,Teknik Industri,S1,04,689/SK/BAN-PT/Ak-PPJ/S/I/2020,2020,C,-
STMIK Bina Insani,Manajemen Informatika,D-III,04,1181/SK/BAN-PT/Ak-PPJ/Dipl-III/I/2020,2020,B,-
Sekolah Tinggi Ilmu Tarbiyah Kupang,Pendidikan Agama Islam,S1,PTAS,1219/SK/BAN-PT/Ak-PPJ/S/I/2020,2020,C,-
Akademi Akuntansi Bina Insani,Akuntansi,D-III,04,1500/SK/BAN-PT/Ak-PPJ/Dipl-III/II/2020,2020,B,-
Sekolah Tinggi Teknologi Mitra Karya,Teknik Elektro,S1,04,1515/SK/BAN-PT/Ak-PPJ/S/II/2020,2020,C,-
IAIN Purwokerto,Hukum Ekonomi Syariah (Muamalah),S2,PTAN,968/SK/BAN-PT/Akred/M/II/2021,2021,A,2026-02-23
Universitas Islam Negeri Raden Fatah Palembang,Pendidikan Guru Madrasah Ibtidaiyah,S1,PTAN,976/SK/BAN-PT/Akred/S/II/2021,2021,A,2026-02-23
Universitas Islam Negeri Mataram,Ilmu Falak,S1,PTAN,998/SK/BAN-PT/Akred/S/II/2021,2021,B,2026-02-23
Universitas Pradita,Desain Komunikasi Visual,S1,03,1045/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-23
Sekolah Tinggi Pendidikan Islam (STPI) Bina Insan Mulia Yogyakarta,Pendidikan Islam Anak Usia Dini,S1,PTAS,2234/SK/BAN-PT/Akred/S/IV/2021,2021,Baik Sekali,2026-04-20
Politeknik Pertanian Yasanto,Budidaya Tanaman Pangan,D-III,14,2260/SK/BAN-PT/Akred/Dipl-III/IV/2021,2021,Baik,2026-04-20
Universitas Indonesia,Profesi Arsitek,Profesi,PTN,1228/SK/BAN-PT/Akred/PP/III/2021,2021,B,2026-03-03
Institut Manajemen Koperasi Indonesia,Ekonomi Syariah,S1,04,1042/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-23
Universitas Gadjah Mada,Doktor Ilmu Teknik Pertanian,S3,PTN,2204/SK/BAN-PT/Ak-PPJ/D/IV/2021,2021,A,2026-04-16
Universitas Brawijaya,Profesi Akuntan,Profesi,PTN,2195/SK/BAN-PT/Ak-PPJ/PP/IV/2021,2021,A,2026-04-16
Universitas Bina Nusantara,Statistika,S1,03,2205/SK/BAN-PT/Ak-PPJ/S/IV/2021,2021,B,2026-04-16
Sekolah Tinggi Ilmu Ekonomi Sabang,Akuntansi,S1,13,2224/SK/BAN-PT/Ak-PPJ/S/IV/2021,2021,B,2026-04-16
IKIP PGRI Bojonegoro,Pendidikan Bahasa Inggris,S1,07,2235/SK/BAN-PT/Ak-PPJ/S/IV/2021,2021,B,2026-04-16
Universitas Mochammad Sroedji,Manajemen,S1,07,2239/SK/BAN-PT/Ak-PPJ/S/IV/2021,2021,B,2026-04-16
Universitas Tulungagung,Agribisnis,S1,07,2223/SK/BAN-PT/Ak-PPJ/S/IV/2021,2021,B,2026-04-16
STKIP PGRI Sumatera Barat,Pendidikan Biologi,S1,10,2215/SK/BAN-PT/Ak-PPJ/S/IV/2021,2021,B,2026-04-16
STKIP PGRI Sumatera Barat,Pendidikan Ekonomi,S1,10,2212/SK/BAN-PT/Ak-PPJ/S/IV/2021,2021,B,2026-04-16
STKIP PGRI Sumatera Barat,Pendidikan Bahasa Inggris,S1,10,2211/SK/BAN-PT/Ak-PPJ/S/IV/2021,2021,B,2026-04-16
STAINU Kotabumi Lampung Utara,Pendidikan Bahasa Arab,S1,PTAS,2258/SK/BAN-PT/AK-ISK/S/IV/2021,2021,Baik,2025-12-13
Universitas Teknologi Sulawesi Utara,Ekonomi Pembangunan,S1,16,2255/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-20
Universitas Dharmas Indonesia,Pendidikan Bahasa Indonesia,S1,10,2263/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-20
Universitas Negeri Malang,Teknik Elektro,S2,PTN,2244/SK/BAN-PT/Akred/M/IV/2021,2021,Baik,2026-04-20
Universitas Pattimura,Penyuluhan Pertanian,S1,PTN,2264/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-20
Universitas Muhammadiyah Jember,Ekonomi Syariah,S1,07,2269/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-20
Universitas Palangka Raya,Fisika,S1,PTN,2272/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-20
Universitas Muhammadiyah Tangerang,Pariwisata,S1,04,2270/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-20
S.T. Manajemen Bisnis Multi Sarana Manajemen Administrasi Dan Rekayasa Teknologi,Akuntansi,S1,01,2271/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-20
Universitas Tadulako,Teknik Sipil Kampus Kab Tojo Una-una,S1,PTN,2268/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-20
Universitas Hasanuddin,Ilmu Peternakan,S3,PTN,2221/SK/BAN-PT/Akred/D/IV/2021,2021,Baik Sekali,2026-04-20
Institut Agama Islam Negeri Curup,Tadris Bahasa Indonesia,S1,PTAN,2265/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-20
Universitas Jenderal Achmad Yani,Ilmu Hukum,S1,04,2254/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-20
Universitas Papua,Sumber Daya Akuatik,S2,PTN,2247/SK/BAN-PT/Akred/M/IV/2021,2021,Baik,2026-04-20
Universitas Muhammadiyah Jakarta,Pendidikan Olahraga,S1,03,2266/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-20
Universitas Negeri Malang,Teknik Industri,S1,PTN,2256/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-20
Universitas Madako Tolitoli,Budidaya Perairan,S1,16,2257/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-20
Institut Bisnis Nusantara,Bahasa Inggris,S1,03,2252/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-20
Universitas Persada Indonesia Yai,Teknik Sipil,S2,03,2214/SK/BAN-PT/Akred/M/IV/2021,2021,Baik Sekali,2026-04-20
Universitas Padjadjaran,Teknologi Agroindustri,S2,PTN,2201/SK/BAN-PT/Akred/M/IV/2021,2021,Unggul,2026-04-20
Politeknik Kelautan Dan Perikanan Pangandaran,Pengolahan Hasil Laut,D-III,PTKL,2250/SK/BAN-PT/Akred/Dipl-III/IV/2021,2021,Baik,2026-04-20
Sekolah Tinggi Ilmu Ekonomi YKPN,Manajemen,S2,05,2232/SK/BAN-PT/Akred/M/IV/2021,2021,Baik Sekali,2026-04-20
Universitas Graha Nusantara,Pendidikan Sejarah,S1,01,2253/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-20
Sekolah Tinggi Ilmu Ekonomi Al-Anwar,Akuntansi,S1,07,2267/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-20
Universitas HKBP Nommensen Pematangsiantar,Pendidikan Biologi,S1,01,2273/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-20
Universitas Prof Dr Hazairin SH,Administrasi Publik,S1,02,2236/SK/BAN-PT/Akred/S/IV/2021,2021,Baik Sekali,2026-04-20
Universitas Muhammadiyah Prof Dr Hamka,Manajemen,S2,03,2207/SK/BAN-PT/Akred/M/IV/2021,2021,Baik Sekali,2026-04-20
STAI Al-Muhammad Cepu,Perbankan Syari'ah,S1,PTAS,2259/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-20
Universitas Islam Negeri Mataram,Komunikasi Dan Penyiaran Islam,S1,PTAN,2230/SK/BAN-PT/Akred/S/IV/2021,2021,Baik Sekali,2026-04-20
Universitas Doktor Nugroho Magetan,Pendidikan Khusus,S1,07,2274/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-20
STIT Sunan Giri Trenggalek,Pendidikan Agama Islam,S1,PTAS,2283/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-20
Sekolah Tinggi Agama Islam Aceh Tamiang,Hukum Ekonomi Syariah (Muamalah),S1,PTAS,2281/SK/BAN-PT/Akred/S/IV/2021,2021,Baik,2026-04-20
STKIP PGRI Sidoarjo,Pendidikan Bahasa Inggris,S2,07,2238/SK/BAN-PT/Akred/M/IV/2021,2021,Baik Sekali,2026-04-20
Universitas Islam Negeri Sultan Syarif Kasim,Pendidikan Islam Anak Usia Dini,S1,PTAN,2208/SK/BAN-PT/Akred/S/IV/2021,2021,Baik Sekali,2026-04-20
Sekolah Tinggi Kesenian Wilwatikta,Seni Rupa Murni,S1,07,2229/SK/BAN-PT/Akred/S/IV/2021,2021,Baik Sekali,2026-04-20
Akademi Maritim Suaka Bahari,Nautika,D-III,04,2225/SK/BAN-PT/Akred/Dipl-III/IV/2021,2021,Baik Sekali,2026-04-20
Universitas Muhammadiyah Pekajangan Pekalongan,Manajemen,S1,06,985/SK/BAN-PT/Akred/S/II/2021,2021,B,2026-02-23
Sekolah Tinggi Pariwisata Bali Internasional,Manajemen Perhotelan,D-IV,08,6295/SK/BAN-PT/Akred/ST/X/2020,2020,B,2025-10-06
Universitas Singaperbangsa Karawang,Pendidikan Islam Anak Usia Dini,S1,PTN,6221/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-06
Universitas Negeri Medan,Teknik Sipil,D-III,PTN,6226/SK/BAN-PT/Akred/Dipl-III/X/2020,2020,B,2025-10-06
Sekolah Tinggi Pertanian Kutai Timur,Agroteknologi,S1,11,6263/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-06
Universitas Indonesia Timur,Ilmu Komunikasi,S1,09,6244/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-06
STKIP Setiabudhi,Pendidikan Guru Sekolah Dasar,S1,04,6250/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-06
Akademi Maritim Belawan,Nautika,D-III,01,6243/SK/BAN-PT/Akred/Dipl-III/X/2020,2020,B,2025-10-06
Universitas Lambung Mangkurat,Teknologi Industri Pertanian,S1,PTN,6208/SK/BAN-PT/Akred/S/X/2020,2020,A,2025-10-06
Universitas Pendidikan Ganesha,Perpustakaan,D-III,PTN,6228/SK/BAN-PT/Akred/Dipl-III/X/2020,2020,B,2025-10-06
Universitas Andalas,Ilmu Ekonomi,S3,PTN,6213/SK/BAN-PT/Akred/D/X/2020,2020,A,2025-10-06
Universitas Nusa Cendana,Ekonomi Pembangunan,S1,PTN,6233/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-06
Institut Bisnis Muhammadiyah Bekasi,Akuntansi,S1,04,6285/SK/BAN-PT/Akred/S/X/2020,2020,Baik,2025-10-06
Institut Pertanian Malang,Agribisnis,S1,07,6274/SK/BAN-PT/Akred/S/X/2020,2020,Baik,2025-10-06
STAI Ahsanta Jambi,Pendidikan Islam Anak Usia Dini,S1,PTAS,6167/SK/BAN-PT/Ak-PKP/S/X/2020,2020,Baik,2025-10-06
IAIN Bengkulu,Aqidah Dan Filsafat Islam,S1,PTAN,6314/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-07
STIKI Malang,Sistem Informasi,S1,07,6312/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-07
Universitas Negeri Manado,Manajemen Pemasaran,D-III,PTN,6316/SK/BAN-PT/Akred/Dipl-III/X/2020,2020,B,2025-10-07
Universitas Andalas,Pembangunan Wilayah Dan Pedesaan,S2,PTN,6305/SK/BAN-PT/Akred/M/X/2020,2020,A,2025-10-07
Universitas Jambi,Pendidikan Pancasila Dan Kewarganegaraan,S1,PTN,6421/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-13
Akademi Pariwisata Patria Indonesia,Perhotelan,D-III,03,6427/SK/BAN-PT/Akred/Dipl-III/X/2020,2020,B,2025-10-13
Universitas Peradaban,Akuntansi,S1,06,6413/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-13
Universitas Halu Oleo,Ilmu Kesejahteraan Sosial,S1,PTN,6403/SK/BAN-PT/Akred/S/X/2020,2020,A,2025-10-13
Universitas Indonesia,Administrasi Perkantoran,D-III,PTN,6401/SK/BAN-PT/Akred/Dipl-III/X/2020,2020,A,2025-10-13
Universitas Darma Agung,Pendidikan Fisika,S1,01,6428/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-13
Universitas Muhammadiyah Riau,Pendidikan Informatika,S1,17,6423/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-13
STKIP PGRI Tulungagung,Pendidikan Teknologi Informasi,S1,07,6435/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-13
Universitas Kristen Indonesia Maluku,Ilmu Komunikasi,S1,12,6422/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-13
Universitas Majalengka,Pendidikan Matematika,S1,04,6440/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-13
Universitas Kristen Satya Wacana,"Pendidikan Jasmani, Kesehatan & Rekreasi",S1,06,6430/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-13
Sekolah Tinggi Filsafat Jaffray Makassar,Ilmu Filsafat,S1,09,6411/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-13
Universitas Halu Oleo,Peternakan,S2,PTN,6397/SK/BAN-PT/Akred/M/X/2020,2020,A,2025-10-13
Universitas Islam Darul `ulum,Arsitektur,S1,07,6441/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-13
Universitas Muslim Indonesia,Komunikasi Dan Penyiaran Islam,S1,09,6416/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-13
Sekolah Tinggi Ilmu Ekonomi Dharma Putra Pekanbaru,Manajemen,S1,17,6437/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-13
Universitas HKBP Nommensen Pematangsiantar,Pendidikan Bahasa Indonesia,S1,01,6449/SK/BAN-PT/Akred/S/X/2020,2020,Baik,2025-10-13
Institut Agama Islam Negeri Pekalongan,Perbankan Syariah,S1,PTAN,6500/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-14
Universitas Tadulako,Teknik Sipil,D-III,PTN,6497/SK/BAN-PT/Akred/Dipl-III/X/2020,2020,B,2025-10-14
Universitas Garut,Pariwisata,S1,04,6499/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-14
Universitas Sriwijaya,Bimbingan Dan Konseling,S1,PTN,6489/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-14
Politeknik Negeri Nusa Utara,Teknologi Pengolahan Hasil Laut,D-III,PTN,6495/SK/BAN-PT/Akred/Dipl-III/X/2020,2020,B,2025-10-14
"Sekolah Tinggi Ekonomi Islam (STEI) Tazkia, Bogor",Tadris IPS,S1,PTAS,6512/SK/BAN-PT/Ak-PKP/S/X/2020,2020,Baik,2025-10-14
STAI Ash-Shiddiqiyah Lempuing Jaya OKI,Manajemen Pendidikan Islam,S1,PTAS,1216/SK/BAN-PT/Akred/S/III/2021,2021,B,2026-03-02
Akademi Komunikasi Media Radio Dan Televisi (AKAMRTV) Jakarta,Hubungan Masyarakat,D-III,03,6744/SK/BAN-PT/Ak-PPJ/Dipl-III/X/2020,2020,B,2025-10-25
Universitas Negeri Medan,Teknologi Pendidikan,S2,PTN,6733/SK/BAN-PT/Ak-PPJ/M/X/2020,2020,A,2025-10-25
Universitas Islam Negeri Sultan Maulana Hasanuddin Banten,Ilmu Al Qur'an Dan Tafsir,S1,PTAN,6762/SK/BAN-PT/Ak-PPJ/S/X/2020,2020,B,2025-10-25
STMIK IBBI,Teknik Informatika,S1,01,6684/SK/BAN-PT/Ak-PKP/S/X/2020,2020,Baik,2025-10-27
Sekolah Tinggi Ilmu Ekonomi Surya Nusantara,Akuntansi,S1,01,6777/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-27
Universitas Madako Toli-toli,Ilmu Administrasi Negara,S1,16,6780/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-27
Universitas Jambi,Teknologi Industri Pertanian,S1,PTN,6576/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-20
Universitas Wahid Hasyim,Hukum Ekonomi Syari'ah (Muamalah),S1,06,6650/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-21
Universitas Islam Negeri Alauddin,Teknik Arsitektur,S1,PTAN,6798/SK/BAN-PT/Akred/S/X/2020,2020,A,2025-10-27
Universitas Sangga Buana,Keuangan Dan Perbankan,D-III,04,6745/SK/BAN-PT/Akred/Dipl-III/X/2020,2020,B,2025-10-27
Universitas Negeri Semarang,Psikologi,S1,PTN,6796/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-27
Politeknik Negeri Medan,"Usaha Jasa Konvensi, Perjalanan Insentif Dan Pameran (MICE)",D-IV,PTN,6714/SK/BAN-PT/Akred/ST/X/2020,2020,A,2025-10-27
"STIT Iqra` Kapuas Hulu, Kalimantan Barat",Pendidikan Agama Islam,S1,PTAS,6766/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-27
Universitas Muhammadiyah Malang,Pendidikan Bahasa Inggris,S2,07,6639/SK/BAN-PT/Akred/M/X/2020,2020,A,2025-10-21
STKIP Pembangunan Indonesia,Pendidikan Ekonomi,S1,09,6753/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-27
Universitas Tjut Nyak Dhien,Ekonomi Pembangunan,S1,01,6756/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-27
Politeknik Negeri Jakarta,Manajemen Pemasaran Untuk Warga Negara Berkebutuhan Khusus,D-III,PTN,6763/SK/BAN-PT/Akred/Dipl-III/X/2020,2020,B,2025-10-27
STKIP PGRI Lamongan,Pendidikan Pancasila Dan Kewarganegaraan,S1,07,6760/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-27
STKIP Rokania,Pendidikan Guru Sekolah Dasar,S1,10,6593/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-20
Politeknik Negeri Jember,Produksi Tanaman Perkebunan,D-III,PTN,6562/SK/BAN-PT/Akred/Dipl-III/X/2020,2020,A,2025-10-20
Universitas Negeri Medan,Pendidikan Guru Pendidikan Anak Usia Dini,S1,PTN,6726/SK/BAN-PT/Akred/S/X/2020,2020,A,2025-10-27
STKIP Al Hikmah Surabaya,Pendidikan Bahasa Inggris,S1,07,6746/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-27
Universitas Negeri Medan,Pendidikan Guru Sekolah Dasar,S1,PTN,6561/SK/BAN-PT/Akred/S/X/2020,2020,A,2025-10-20
STKIP Muhammadiyah Muara Bungo,"Pendidikan, Jasmani Kesehatan Dan Rekreasi",S1,10,6590/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-20
Politeknik Negeri Bali,Perhotelan,D-III,PTN,6718/SK/BAN-PT/Akred/Dipl-III/X/2020,2020,A,2025-10-27
Universitas Negeri Medan,Bimbingan Konseling,S1,PTN,6721/SK/BAN-PT/Akred/S/X/2020,2020,A,2025-10-27
STKIP Bina Insan Mandiri,Pendidikan Guru Sekolah Dasar,S1,07,6747/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-27
STKIP Nias Selatan,Pendidikan Pancasila Dan Kewarganegaraan,S1,01,6594/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-20
Universitas Sahid Surakarta,Psikologi,S1,06,6748/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-27
Institut Pendidikan Tapanuli Selatan,Pendidikan Sejarah,S1,01,6645/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-21
Universitas Islam Nusantara,Pendidikan Guru Madrasah Ibtidaiyah,S1,04,6755/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-27
Universitas Widya Dharma,Teknik Sipil,S1,06,6774/SK/BAN-PT/Akred/S/X/2020,2020,B,2025-10-27
