parent_institution_name,prodi_name,jenjang,wilayah,no_sk,tahun_sk,akreditasi_prodi,tanggal_kadaluarsa
Universitas Islam 45,Pendidikan Guru Sekolah Dasar,S1,04,740/SK/LAMDIK/Ak/S/XI/2022,2022,Unggul,2027-08-15
Universitas Pattimura,Pendidikan Bahasa Dan Sastra Indonesia,S1,PTN,674/SK/LAMDIK/Ak/S/XI/2022,2022,Baik Sekali,2027-08-15
Universitas Negeri Makassar,Pendidikan Luar Biasa,S1,PTN,749/SK/LAMDIK/Ak/S/XI/2022,2022,Unggul,2027-08-15
Universitas Pendidikan Indonesia,Pendidikan Kepelatihan Olahraga,S1,PTN,618/SK/LAMDIK/Ak/S/XI/2022,2022,Unggul,2027-08-15
Sekolah Tinggi Agama Islam Nurul Falah Airmolek,Manajemen Pendidikan Islam,S1,PTAS,827/SK/LAMDIK/Ak/S/XII/2022,2022,Baik,2027-08-15
"INSTITUT KESEHATAN DAN TEKNOLOGI PONDOK KARYA PEMBANGUNAN, JAKARTA",NERS,Profesi,03,0469/LAM-PTKes/Akr/Pro/Khs/XI/2021,2021,Baik Sekali,2026-11-11
"INSTITUT KESEHATAN DAN TEKNOLOGI PONDOK KARYA PEMBANGUNAN, JAKARTA",ILMU KEPERAWATAN,S1,03,0468/LAM-PTKes/Akr/Sar/Khs/XI/2021,2021,Baik Sekali,2026-11-11
"SEKOLAH TINGGI ILMU KESEHATAN RS DUSTIRA, CIMAHI",KEPERAWATAN,D-III,04,0509/LAM-PTKes/Akr/Dip/Khs/VII/2022,2022,Baik Sekali,2027-07-14
"SEKOLAH TINGGI ILMU KESEHATAN RS DUSTIRA, CIMAHI",FISIOTERAPI,D-III,04,0770/LAM-PTKes/Akr/Dip/Khs/XII/2020,2020,Baik Sekali,2025-12-29
"UNIVERSITAS PUTRA ABADI LANGKAT, LANGKAT",ILMU KEPERAWATAN,S1,01,0582/LAM-PTKes/Akr/Sar/Khs/VII/2022,2022,Baik Sekali,2027-07-28
"UNIVERSITAS PUTRA ABADI LANGKAT, LANGKAT",KEPERAWATAN,D-III,01,0654/LAM-PTKes/Akr/Dip/Khs/VIII/2022,2022,Baik Sekali,2027-08-11
"UNIVERSITAS PUTRA ABADI LANGKAT, LANGKAT",NERS,Profesi,01,0583/LAM-PTKes/Akr/Pro/Khs/VII/2022,2022,Baik,2027-07-28
Universitas PGRI Palangka Raya,"Pendidikan Jasmani, Kesehatan Dan Rekreasi",S1,11,6504/SK/BAN-PT/Ak.KP/S/IX/2022,2022,Baik,2027-03-30
Universitas Islam Negeri Raden Mas Said Surakarta,Bimbingan Dan Konseling  Islam,S1,PTAN,6515/SK/BAN-PT/Ak.S/S/IX/2022,2022,B,-
Universitas Merdeka Madiun,Ilmu Hukum,S1,07,6533/SK/BAN-PT/Ak.Ppj/S/IX/2022,2022,B,2027-10-11
Universitas Cenderawasih,Ilmu Hukum,S1,PTN,6547/SK/BAN-PT/Ak.Ppj/S/IX/2022,2022,B,2027-10-11
Universitas Brawijaya,Budidaya Perairan,S1,PTN,6523/SK/BAN-PT/Ak.Ppj/S/IX/2022,2022,Unggul,2027-10-11
Universitas Jember,Administrasi Keuangan,D-III,PTN,6524/SK/BAN-PT/Ak.Ppj/D3/IX/2022,2022,A,2027-10-11
Universitas Indo Global Mandiri,Perencanaan Wilayah Dan Kota,S1,02,6537/SK/BAN-PT/Ak.Ppj/S/IX/2022,2022,B,2027-10-11
Politeknik Soca,Musik,D-IV,03,6505/SK/BAN-PT/Ak-TMSP/STr/IX/2022,2022,Tidak Terakreditasi,
Institut Teknologi Dan Bisnis Muhammadiyah Wakatobi,Kewirausahaan,S1,09,6500/SK/BAN-PT/Ak/S/IX/2022,2022,Baik,2027-09-27
Sekolah Tinggi Agama Islam Nurul Abror Al-Robbaniyin,Hukum Ekonomi Syariah,S1,PTAS,6513/SK/BAN-PT/Ak-PNB/S/IX/2022,2022,Baik,2027-04-27
Universitas Hasanuddin,Teknik Pertambangan,S2,PTN,6585/SK/BAN-PT/Ak/M/IX/2022,2022,Baik,2027-09-27
