prodi,jumlah_kampus,total_kampus,rata_biaya,min_biaya,max_biaya,rata_akreditasi
AKTUARIA,10,10,23380550.0,4800000.0,79700500.0,3.3
HUBUNGAN MASYARAKAT,10,10,50560950.2,4150000.0,276850001.0,3.7
PERMINYAKAN,9,9,42825000.0,4000000.0,168450000.0,2.5555555555555554
SENI MUSIK,9,9,54471666.777777776,6320000.0,276850001.0,3.2222222222222223
SASTRA ARAB,9,9,11388888.888888888,6000000.0,22600000.0,3.111111111111111
PERDAGANGAN INTERNASIONAL,9,9,27311611.222222224,5245000.0,95259501.0,3.0
PENGETAHUAN SOSIAL,9,9,13240008.555555556,4500000.0,61000000.0,3.2222222222222223
MANAJEMEN BISNIS INTERNASIONAL,8,8,57127512.625,6400000.0,234470600.0,3.625
PEMASARAN,7,7,36826393.0,4150000.0,95259501.0,4.285714285714286
FASHION,7,7,57164321.428571425,18900000.0,243400000.0,3.857142857142857
PERBANKAN,7,7,19466528.85714286,6300000.0,48115001.0,3.142857142857143
SASTRA CINA,7,7,34916000.14285714,12200000.0,95259501.0,3.142857142857143
INFORMATIKA KESEHATAN,6,6,12741250.0,4400000.0,31025000.0,2.6666666666666665
GEODESI,5,5,27957001.2,14000000.0,48335000.0,3.0
KEWARGANEGARAAN,5,5,20962000.0,5610000.0,72100000.0,3.2
PERHOTELAN PARIWISATA,5,5,22487300.0,10831250.0,38850250.0,3.6
OTOMOTIF,5,5,20218240.2,5000000.0,29580000.0,3.0
MARKETING,5,5,22460050.0,7000000.0,38850250.0,2.6
MANAJEMEN REKAYASA,5,5,25310000.0,7650000.0,53900000.0,2.6
PERKAPALAN,5,5,65410000.0,11150000.0,146900000.0,3.0
SEKRETARIAT,5,5,18693000.0,7300000.0,27520000.0,2.6
STUDI HUMANITAS,5,5,26055000.0,6750000.0,66400000.0,3.0
TRANSPORTASI,5,5,38435006.0,6250000.0,68250000.0,3.0
