cluster_final,cluster_lokasi,lokasi,nama_cluster,jumlah_prodi,biaya_termurah,biaya_termahal,rata_rata_biaya,rata_akreditasi
64,17,Kalimantan Utara,Kalimantan Utara | Baik Sekali - Terjangkau,10,8000000,8400000,8320000,3.0
65,18,Lampung,Lampung | Baik Sekali - Terjangkau,129,4350000,27000000,8780236,2.91
67,18,Lampung,Lampung | Unggul - Menengah,9,5800000,26550000,11667222,5.0
66,18,Lampung,Lampung | Baik Sekali - Mahal,30,26550000,48115001,34592167,3.0
68,18,Lampung,Lampung | Akreditasi C - Mahal,12,48115001,48115001,48115001,1.0
69,19,Maluku,Maluku | Baik Sekali - Murah,12,1826000,3000000,2632166,3.0
70,19,Maluku,Maluku | Baik Sekali - Terjangkau,56,4000000,16000000,5289955,3.0
71,20,Maluku Utara,Maluku Utara | Baik Sekali - Murah,45,2250000,10000000,4725194,3.0
73,20,Maluku Utara,Maluku Utara | Akreditasi C - Terjangkau,11,7886750,7886750,7886750,1.0
72,20,Maluku Utara,Maluku Utara | Baik Sekali - Menengah,14,15260000,41500000,17134285,3.0
74,21,Nusa Tenggara Barat,Nusa Tenggara Barat | Baik Sekali - Terjangkau,188,1500000,26500000,9247245,3.03
75,21,Nusa Tenggara Barat,Nusa Tenggara Barat | Akreditasi C - Mahal,9,6250000,46850000,20755555,1.0
76,21,Nusa Tenggara Barat,Nusa Tenggara Barat | Baik Sekali - Mahal,26,46850000,115100000,67850000,3.0
77,22,Nusa Tenggara Timur,Nusa Tenggara Timur | Baik Sekali - Terjangkau,153,3002112,11600000,6368000,3.03
79,22,Nusa Tenggara Timur,Nusa Tenggara Timur | Akreditasi C - Terjangkau,11,7725000,9305000,8730454,1.0
80,22,Nusa Tenggara Timur,Nusa Tenggara Timur | Baik Sekali - Menengah,11,19330000,19330000,19330000,3.0
78,22,Nusa Tenggara Timur,Nusa Tenggara Timur | Baik Sekali - Mahal,19,22700000,33660000,25789477,3.11
81,23,Papua,Papua | Baik Sekali - Terjangkau,91,800000,19250000,8022115,3.0
83,23,Papua,Papua | Akreditasi C - Menengah,6,9800000,10500000,10383333,1.0
82,23,Papua,Papua | Baik Sekali - Mahal,8,29350000,34250000,33637500,3.12
84,24,Papua Barat,Papua Barat | Baik Sekali - Murah,56,1650000,18700000,4700446,3.16
85,24,Papua Barat,Papua Barat | Baik Sekali - Menengah,19,18700000,29900000,19878947,3.0
86,25,Sulawesi Barat,Sulawesi Barat | Baik Sekali - Murah,28,3500000,5000000,4490682,3.07
87,25,Sulawesi Barat,Sulawesi Barat | Baik Sekali - Terjangkau,16,5920000,7000000,6325000,3.0
89,26,Sulawesi Selatan,Sulawesi Selatan | Akreditasi A - Terjangkau,21,4400000,22600000,8916666,4.0
90,26,Sulawesi Selatan,Sulawesi Selatan | Akreditasi C - Menengah,9,6000000,22600000,10811111,1.0
88,26,Sulawesi Selatan,Sulawesi Selatan | Baik Sekali - Menengah,441,2630000,57900000,11021357,3.0
92,26,Sulawesi Selatan,Sulawesi Selatan | Unggul - Menengah,35,6000000,33600000,11815714,5.0
91,26,Sulawesi Selatan,Sulawesi Selatan | Baik Sekali - Mahal,29,168250000,242400055,173363796,3.24
93,27,Sulawesi Tengah,Sulawesi Tengah | Baik Sekali - Murah,26,2300000,7512000,4874000,3.23
94,27,Sulawesi Tengah,Sulawesi Tengah | Baik Sekali - Menengah,15,15750000,16700000,16320000,3.0
95,27,Sulawesi Tengah,Sulawesi Tengah | Akreditasi C - Mahal,6,4800000,36000019,30800015,1.0
96,27,Sulawesi Tengah,Sulawesi Tengah | Baik Sekali - Mahal,7,36000019,36000019,36000019,3.0
97,28,Sulawesi Tenggara,Sulawesi Tenggara | Baik Sekali - Terjangkau,52,2000000,26400000,7564692,3.0
99,28,Sulawesi Tenggara,Sulawesi Tenggara | Akreditasi C - Terjangkau,6,7700000,7700000,7700000,1.0
98,28,Sulawesi Tenggara,Sulawesi Tenggara | Akreditasi C - Menengah,14,18700000,18700000,18700000,1.0
100,28,Sulawesi Tenggara,Sulawesi Tenggara | Akreditasi C - Mahal,9,40250000,40250000,40250000,1.0
101,28,Sulawesi Tenggara,Sulawesi Tenggara | Baik Sekali - Mahal,7,40250000,40250000,40250000,3.0
102,29,Sulawesi Utara,Sulawesi Utara | Baik Sekali - Terjangkau,95,3870000,19270000,9874578,2.99
103,29,Sulawesi Utara,Sulawesi Utara | Baik Sekali - Mahal,10,52160000,52160000,52160000,3.0
105,30,Sumatera Barat,Sumatera Barat | Akreditasi C - Terjangkau,7,5250000,6950000,6471428,1.0
104,30,Sumatera Barat,Sumatera Barat | Baik Sekali - Menengah,209,2640000,20000000,10404323,3.0
107,30,Sumatera Barat,Sumatera Barat | Akreditasi A - Menengah,14,7410000,19500000,13603000,4.36
106,30,Sumatera Barat,Sumatera Barat | Baik Sekali - Mahal,23,24850000,36300000,31210869,3.04
110,31,Sumatera Selatan,Sumatera Selatan | Akreditasi C - Menengah,11,4800000,38610000,10755454,1.0
108,31,Sumatera Selatan,Sumatera Selatan | Baik Sekali - Menengah,208,2500000,55000000,17481044,3.0
109,31,Sumatera Selatan,Sumatera Selatan | Akreditasi A - Mahal,8,4800000,401975000,119463750,4.38
111,31,Sumatera Selatan,Sumatera Selatan | Baik Sekali - Mahal,13,401975000,401975000,401975000,3.15
112,31,Sumatera Selatan,Sumatera Selatan | Akreditasi C - Mahal,10,401975000,401975000,401975000,1.0
117,32,Sumatera Utara,Sumatera Utara | Akreditasi A - Terjangkau,7,4000000,6000000,5157142,4.0
115,32,Sumatera Utara,Sumatera Utara | Akreditasi C - Terjangkau,33,2400000,17250000,7619151,1.0
113,32,Sumatera Utara,Sumatera Utara | Baik Sekali - Menengah,525,2000000,33500000,11232125,3.0
116,32,Sumatera Utara,Sumatera Utara | Akreditasi A - Menengah,12,12000000,17250000,14229166,4.0
119,32,Sumatera Utara,Sumatera Utara | Unggul - Mahal,11,12000000,62000000,22527272,5.0
118,32,Sumatera Utara,Sumatera Utara | Akreditasi C - Mahal,17,25000001,50000000,32879706,1.0
114,32,Sumatera Utara,Sumatera Utara | Baik Sekali - Mahal,36,40335000,62000000,46276527,3.0
