institution_code,institution_name,akreditasi_institusi,no_sk,tahun_sk,wilayah,tanggal_kadaluarsa
banpt-594,Sekolah Tinggi Ilmu Komputer PGRI Banyuwangi,Baik,2212/SK/BAN-PT/Ak.Ppj/PT/V/2025,2025,07,2030-05-25
banpt-595,Universitas Muhammadiyah Pare-pare,Baik Sekali,2228/SK/BAN-PT/Ak.Ppj/PT/V/2025,2025,09,2030-05-25
banpt-596,Universitas Muhammadiyah Gombong,Baik Sekali,2230/SK/BAN-PT/Ak.Ppj/PT/V/2025,2025,06,2030-05-25
banpt-597,Sekolah Tinggi Ilmu Administrasi YAPPI,Baik,2226/SK/BAN-PT/Ak.Ppj/PT/V/2025,2025,09,2030-05-25
banpt-598,STAI Ma`arif Kalirejo Lampung Tengah,Baik,2225/SK/BAN-PT/Ak.Ppj/PT/V/2025,2025,PTAS,2030-05-25
banpt-599,Institut Teknologi Kesehatan Malang Widya Cipta Husada,Baik,2218/SK/BAN-PT/Ak.Ppj/PT/V/2025,2025,07,2030-05-25
banpt-600,"STAI Bustanul Ulum Krai, Lumajang",Baik,2213/SK/BAN-PT/Ak.Ppj/PT/V/2025,2025,PTAS,2030-05-25
banpt-601,"STAI UISU, Pematang Siantar, Sumatera Utara",Baik,2234/SK/BAN-PT/Ak.S/PT/V/2025,2025,PTAS,9999-01-01
banpt-602,"STAI Walisembilan Semarang (SETIAWS), Jawa Tengah",Baik,2233/SK/BAN-PT/Ak.S/PT/V/2025,2025,PTAS,9999-01-01
banpt-603,Politeknik Negeri Ambon,Baik,2279/SK/BAN-PT/PEPA-Ppj/PT/V/2025,2025,PTN,2030-05-14
banpt-604,STAI Riyadhul Jannah Subang,Baik,2241/SK/BAN-PT/Ak.P/PT/V/2025,2025,PTAS,2027-05-14
banpt-605,Universitas Ottow Geissler,Baik,2231/SK/BAN-PT/Ak.S/PT/V/2025,2025,14,9999-01-01
banpt-606,Sekolah Tinggi Alkitab Jember,Baik,2239/SK/BAN-PT/Ak.P/PT/V/2025,2025,PTAS,2027-05-14
banpt-607,Sekolah Tinggi Ilmu Tarbiyah Miftahul Midad Lumajang,Baik,2238/SK/BAN-PT/Ak.P/PT/V/2025,2025,PTAS,2027-05-14
banpt-608,Sekolah Tinggi Agama Islam Al-Hikmah Tebing Tinggi,Baik,2246/SK/BAN-PT/Ak-PNB/PT/V/2025,2025,PTAS,2027-11-01
banpt-609,Universitas Islam Kalimantan Muhammad Arsyad Al Banjari Banjarmasin,Baik Sekali,2229/SK/BAN-PT/Ak.Ppj/PT/V/2025,2025,11,2030-05-11
banpt-610,"STAI Miftahul Ula Nglawak Kertosono, Nganjuk",Baik,2224/SK/BAN-PT/Ak.Ppj/PT/V/2025,2025,PTAS,2030-05-11
banpt-611,STIT Muhammadiyah Banjar,Baik,2220/SK/BAN-PT/Ak.Ppj/PT/V/2025,2025,PTAS,2030-05-11
banpt-612,"STIT Babussalam, Aceh Tenggara",Baik,2236/SK/BAN-PT/Ak.P/PT/V/2025,2025,PTAS,2027-05-14
banpt-613,STT Bala Keselamatan Palu,Baik,2237/SK/BAN-PT/Ak.P/PT/V/2025,2025,PTAS,2027-05-14
banpt-614,Sekolah Tinggi Teknologi Nasional,Baik,2221/SK/BAN-PT/Ak.Ppj/PT/V/2025,2025,10,2030-05-17
banpt-615,"STAI Darul Ulum Kandangan, Kalimantan Selatan",Baik,2222/SK/BAN-PT/Ak.Ppj/PT/V/2025,2025,PTAS,2030-05-17
banpt-616,STKIP Al Islam Tunas Bangsa,Baik,2223/SK/BAN-PT/Ak.Ppj/PT/V/2025,2025,02,2030-05-17
banpt-617,Universitas Wijayakusuma Purwokerto,Baik Sekali,2227/SK/BAN-PT/Ak.Ppj/PT/V/2025,2025,06,2030-05-17
banpt-618,Sekolah Tinggi Ilmu Kesehatan Al Ma arif,Baik,2215/SK/BAN-PT/Ak.Ppj/PT/V/2025,2025,02,2030-05-17
banpt-619,Institut Sains dan Teknologi Terpadu Surabaya,B,2219/SK/BAN-PT/Ak.Ppj/PT/V/2025,2025,07,2030-05-17
banpt-620,STAI Luqman Al-Hakim (STAIL) Surabaya,Baik,2217/SK/BAN-PT/Ak.Ppj/PT/V/2025,2025,PTAS,2030-05-17
banpt-621,Institut Agama Islam Negeri Madura,B,2281/SK/BAN-PT/Ak.S/PT/V/2025,2025,PTAN,9999-01-01
banpt-622,Universitas Negeri Malang,Unggul,2214/SK/BAN-PT/Ak.Ppj/PT/V/2025,2025,PTN,2030-05-06
banpt-623,Universitas STRADA Indonesia,Baik,2187/SK/BAN-PT/PEPA-Ppj/PT/V/2025,2025,07,2030-05-06
banpt-624,Politeknik Kesehatan Permata Indonesia Yogyakarta,Baik Sekali,2185/SK/BAN-PT/Ak.KP/PT/V/2025,2025,05,2029-04-11
banpt-625,Universitas Katolik Widya Mandala Surabaya,Unggul,2186/SK/BAN-PT/Ak.KP/PT/V/2025,2025,07,2026-12-21
banpt-626,Universitas Al-Qolam Malang,Baik Sekali,2178/SK/BAN-PT/Ak/PT/V/2025,2025,PTAS,2030-05-06
banpt-627,Institut Kesehatan Medistra Lubuk Pakam,Unggul,2173/SK/BAN-PT/Ak/PT/V/2025,2025,01,2030-05-06
banpt-628,Universitas Sains Alqur an,Unggul,2174/SK/BAN-PT/Ak/PT/V/2025,2025,06,2030-05-06
banpt-629,Institut Pariwisata dan Bisnis Internasional,Unggul,2175/SK/BAN-PT/Ak/PT/V/2025,2025,08,2030-05-06
banpt-630,IAIN Palangkaraya,Unggul,2176/SK/BAN-PT/Ak/PT/V/2025,2025,PTAN,2030-05-06
banpt-631,Sekolah Tinggi Teknik Karawang,Baik,2190/SK/BAN-PT/Ak/PT/V/2025,2025,04,2030-05-06
banpt-632,Universitas Katolik Weetebula,Baik Sekali,2179/SK/BAN-PT/Ak/PT/V/2025,2025,15,2030-05-06
banpt-633,Universitas Islam Sumatera Barat,Baik,2191/SK/BAN-PT/Ak/PT/V/2025,2025,10,2030-05-06
banpt-634,Sekolah Tinggi Teologi Misi Tuaian Semesta Bandung,Baik,2189/SK/BAN-PT/Ak/PT/V/2025,2025,PTAS,2030-05-06
banpt-635,Akademi Kebidanan Keris Husada,Baik,2188/SK/BAN-PT/Ak/PT/V/2025,2025,03,2030-05-06
banpt-636,Institut Teknologi dan Bisnis Kristen Bukit Pengharapan,Baik,2192/SK/BAN-PT/Ak/PT/V/2025,2025,06,2030-05-06
banpt-637,Sekolah Tinggi Ilmu Ekonomi YPHB,Baik,2193/SK/BAN-PT/Ak/PT/V/2025,2025,13,2030-05-06
banpt-638,Sekolah Tinggi Ilmu Kesehatan Notokusumo Yogyakarta,Baik Sekali,2195/SK/BAN-PT/Ak.KP/PT/V/2025,2025,05,2028-03-28
banpt-639,Universitas Cokroaminoto Makassar,Baik Sekali,2177/SK/BAN-PT/Ak/PT/V/2025,2025,09,2030-05-06
banpt-640,Akademi Kebidanan Nusantara Indonesia Lubuklinggau,Baik,2194/SK/BAN-PT/Ak/PT/V/2025,2025,02,2030-05-06
banpt-641,Universitas Ekasakti,Baik Sekali,2184/SK/BAN-PT/Ak.KP/PT/V/2025,2025,10,2028-10-31
banpt-642,Universitas Muhammadiyah Pringsewu Lampung,Baik Sekali,2183/SK/BAN-PT/Ak.KP/PT/V/2025,2025,02,2027-11-01
banpt-643,Akademi Farmasi Yarsi Pontianak,Baik Sekali,2182/SK/BAN-PT/Ak.KP/PT/V/2025,2025,11,2029-04-24
banpt-644,STAI Darussalam Lampung,Baik,2180/SK/BAN-PT/Ak.S/PT/V/2025,2025,PTAS,9999-01-01
banpt-645,STKIP Muhammadiyah Manokwari,Baik,2208/SK/BAN-PT/Ak.Ppj/PT/V/2025,2025,14,2030-05-17
banpt-646,Akademi Kebidanan Rangga Husada Prabumulih,Baik,2211/SK/BAN-PT/Ak.Ppj/PT/V/2025,2025,02,2030-05-17
banpt-647,"STAI Rasyidiyah Khalidiyah (RAKHA) Amuntai, Kalimantan Selatan",B,2207/SK/BAN-PT/Ak.Ppj/PT/V/2025,2025,PTAS,2030-05-17
banpt-648,Sekolah Tinggi Ilmu Pertanian,Baik,2210/SK/BAN-PT/Ak.Ppj/PT/V/2025,2025,07,2030-05-11
banpt-649,Institut Agama Islam Miftahul Ulum Pamekasan,Baik,2209/SK/BAN-PT/Ak.Ppj/PT/V/2025,2025,PTAS,2030-05-06
banpt-650,Sekolah Tinggi Teologi Transformasi Indonesia,Baik,2206/SK/BAN-PT/Ak.B/PT/V/2025,2025,PTAS,2027-05-06
banpt-651,Universitas Sumatera Selatan,Baik,2205/SK/BAN-PT/Ak.B/PT/V/2025,2025,02,2027-05-06
banpt-652,STIKES Widya Husada Medan,Baik,2204/SK/BAN-PT/Ak.B/PT/V/2025,2025,01,2027-05-06
banpt-653,STT Injili di Palembang,Baik,2203/SK/BAN-PT/Ak.B/PT/V/2025,2025,PTAS,2027-05-06
banpt-654,Sekolah Tinggi Agama Kristen Diaspora Wamena,Baik,2202/SK/BAN-PT/Ak.B/PT/V/2025,2025,PTAS,2027-05-06
banpt-655,Sekolah Tinggi Teologi Cianjur,Baik,2199/SK/BAN-PT/Ak.B/PT/V/2025,2025,PTAS,2027-05-06
banpt-656,Universitas PGRI Yogyakarta,Baik Sekali,2181/SK/BAN-PT/Ak.KP/PT/V/2025,2025,05,2029-03-06
banpt-657,Akademi Kebidanan Medica Bakti Persada,Baik,2196/SK/BAN-PT/Ak/PT/V/2025,2025,13,2030-05-06
banpt-658,STKIP PGRI Situbondo,Baik,2172/SK/BAN-PT/Ak.Ppj/PT/IV/2025,2025,07,2030-04-27
banpt-659,Universitas Lambung Mangkurat,Unggul,2171/SK/BAN-PT/Ak/PT/IV/2025,2025,PTN,2030-04-29
banpt-660,Sekolah Tinggi Ilmu Pertanian Mujahidin Toli-toli,Baik,2126/SK/BAN-PT/Ak/PT/IV/2025,2025,16,2030-04-22
banpt-661,Institut Bisnis Dan Informatika Kwik Kian Gie,Baik Sekali,2162/SK/BAN-PT/Ak.KP/PT/IV/2025,2025,03,2029-03-14
banpt-662,Institut Ilmu Kesehatan dan Teknologi Muhammadiyah Palembang,B,2159/SK/BAN-PT/Ak.S/PT/IV/2025,2025,02,9999-01-01
banpt-663,Universitas Ibrahimy,B,2158/SK/BAN-PT/Ak.S/PT/IV/2025,2025,07,9999-01-01
banpt-664,STIKES Eka Harap,Baik,2134/SK/BAN-PT/Ak.Ppj/PT/IV/2025,2025,11,2030-04-12
banpt-665,Institut Teknologi dan Bisnis Maritim Balik Diwa,B,2136/SK/BAN-PT/Ak.Ppj/PT/IV/2025,2025,09,2030-04-12
banpt-666,Sekolah Tinggi Ilmu Kesehatan Panrita Husada Bulukumba,Baik,2131/SK/BAN-PT/Ak.Ppj/PT/IV/2025,2025,09,2030-04-12
banpt-667,Politeknik Elektronika Negeri Surabaya,Unggul,2130/SK/BAN-PT/Ak.Ppj/PT/IV/2025,2025,PTN,2030-04-12
banpt-668,Sekolah Tinggi Ilmu Kesehatan Surya Global Yogyakarta,Baik,2137/SK/BAN-PT/Ak.Ppj/PT/IV/2025,2025,05,2030-04-12
banpt-669,Sekolah Tinggi Ilmu Kesehatan Akbidyo,B,2133/SK/BAN-PT/Ak.Ppj/PT/IV/2025,2025,05,2030-04-12
banpt-670,Universitas Riau Kepulauan,Baik Sekali,2164/SK/BAN-PT/Ak.KP/PT/IV/2025,2025,17,2028-03-14
banpt-671,STIKES Wira Medika Bali,Baik Sekali,2165/SK/BAN-PT/Ak.KP/PT/IV/2025,2025,08,2027-09-13
banpt-672,Universitas Riau Indonesia,Baik Sekali,2127/SK/BAN-PT/Ak/PT/IV/2025,2025,17,2030-04-22
banpt-673,Akademi Akuntansi dan Manajemen Pembangunan,Baik,2125/SK/BAN-PT/Ak/PT/IV/2025,2025,02,2030-04-22
banpt-674,Universitas Islam Negeri Fatmawati Sukarno Bengkulu,Unggul,2124/SK/BAN-PT/Ak/PT/IV/2025,2025,PTAN,2030-04-22
banpt-675,IAIN Langsa,Baik Sekali,2170/SK/BAN-PT/Ak.KP/PT/IV/2025,2025,PTAN,2029-03-21
banpt-676,"STAI Pengembangan Ilmu Al-Qur`an (STAIPIQ), Kota Padang, Sumatera Barat",Baik Sekali,2169/SK/BAN-PT/Ak.KP/PT/IV/2025,2025,PTAS,2027-11-08
banpt-677,Sekolah Tinggi Ilmu Ekonomi Syariah Bengkalis,Baik Sekali,2168/SK/BAN-PT/Ak.KP/PT/IV/2025,2025,PTAS,2029-03-20
banpt-678,Universitas Winaya Mukti,Baik Sekali,2167/SK/BAN-PT/Ak.KP/PT/IV/2025,2025,04,2028-11-22
banpt-679,Universitas Muslim Nusantara Al-Washliyah,Unggul,2128/SK/BAN-PT/Ak/PT/IV/2025,2025,01,2030-04-22
banpt-680,Universitas Persada Indonesia Yai,Baik Sekali,2166/SK/BAN-PT/Ak.KP/PT/IV/2025,2025,03,2029-04-10
banpt-681,STIKES Karya Husada Kediri,B,2132/SK/BAN-PT/Ak.Ppj/PT/IV/2025,2025,07,2030-04-12
banpt-682,Universitas Bina Insan,Baik,2129/SK/BAN-PT/Ak.Ppj/PT/IV/2025,2025,02,2030-04-12
banpt-683,Institut Agama Islam Negeri ParePare,Baik Sekali,2157/SK/BAN-PT/Ak.S/PT/IV/2025,2025,PTAN,9999-01-01
banpt-684,Politeknik Muhammadiyah Makassar,Baik,2146/SK/BAN-PT/Ak.S/PT/IV/2025,2025,09,9999-01-01
banpt-685,IAIN Sultan Amai Gorontalo,B,2145/SK/BAN-PT/Ak.S/PT/IV/2025,2025,PTAN,9999-01-01
banpt-686,Akademi Pariwisata Dan Perhotelan Ganesha,Baik,2139/SK/BAN-PT/Ak.Ppj/PT/IV/2025,2025,07,2030-04-20
banpt-687,Akademi Informatika Dan Komputer Medicom,Baik,2138/SK/BAN-PT/Ak.Ppj/PT/IV/2025,2025,01,2030-04-20
banpt-688,Universitas Kusuma Husada Surakarta,Baik,2143/SK/BAN-PT/Ak.S/PT/IV/2025,2025,06,9999-01-01
banpt-689,Universitas Mulia,Baik,2142/SK/BAN-PT/Ak.S/PT/IV/2025,2025,11,9999-01-01
banpt-690,Politeknik Aceh,B,2141/SK/BAN-PT/Ak.S/PT/IV/2025,2025,13,9999-01-01
banpt-691,Universitas Merdeka Pasuruan,Baik,2161/SK/BAN-PT/Ak.S/PT/IV/2025,2025,07,9999-01-01
banpt-692,Universitas Prof Dr Moestopo (Beragama),B,2148/SK/BAN-PT/Ak.S/PT/IV/2025,2025,03,9999-01-01
banpt-693,Universitas Muhammadiyah Lamongan,Baik,2160/SK/BAN-PT/Ak.S/PT/IV/2025,2025,07,9999-01-01
banpt-694,Universitas PGRI Palembang,B,2153/SK/BAN-PT/Ak.S/PT/IV/2025,2025,02,9999-01-01
banpt-695,Universitas Bhakti Kencana,Baik,2152/SK/BAN-PT/Ak.S/PT/IV/2025,2025,04,9999-01-01
banpt-696,Sekolah Tinggi Agama Islam Ibnu Rusyd,Baik,2151/SK/BAN-PT/Ak.S/PT/IV/2025,2025,PTAS,9999-01-01
banpt-697,STIKES Banyuwangi,Baik,2140/SK/BAN-PT/Ak.Ppj/PT/IV/2025,2025,07,2030-04-12
banpt-698,Sekolah Tinggi Ilmu Kesehatan Pamentas,Baik,2111/SK/BAN-PT/Ak/PT/IV/2025,2025,03,2030-04-14
banpt-699,Politeknik Yusuf Mansur,Baik,2109/SK/BAN-PT/Ak/PT/IV/2025,2025,04,2030-04-14
banpt-700,Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Wonosobo,Baik Sekali,2107/SK/BAN-PT/Ak/PT/IV/2025,2025,06,2030-04-14
banpt-701,Institut Pemerintahan Dalam Negeri,Unggul,2110/SK/BAN-PT/Ak/PT/IV/2025,2025,PTKL,2030-04-14
banpt-702,Universitas Bhayangkara Jakarta Raya,Unggul,2113/SK/BAN-PT/Ak/PT/IV/2025,2025,03,2030-04-14
banpt-703,Institut Agama Islam Negeri Kediri,Unggul,2112/SK/BAN-PT/Ak/PT/IV/2025,2025,PTAN,2030-04-14
banpt-704,Sekolah Tinggi Ilmu Tarbiyah Al Washliyah Aceh Tengah,Baik,2118/SK/BAN-PT/Ak.P/PT/IV/2025,2025,PTAS,2027-04-14
banpt-705,Politeknik Industri Petrokimia Banten,Baik,2117/SK/BAN-PT/Ak.P/PT/IV/2025,2025,PTKL,2027-04-14
banpt-706,Sekolah Tinggi Ilmu Ekonomi Indonesia Surabaya,B,2114/SK/BAN-PT/Ak.S/PT/IV/2025,2025,07,9999-01-01
banpt-707,Akademi Refraksi Optisi YLPTK,Baik,2115/SK/BAN-PT/Ak.S/PT/IV/2025,2025,10,9999-01-01
banpt-708,Institut IPMI,Baik Sekali,2122/SK/BAN-PT/Ak-PNB/PT/IV/2025,2025,03,2027-09-13
banpt-709,Sekolah Tinggi Ilmu Kesehatan YKY Yogyakarta,Baik Sekali,2121/SK/BAN-PT/Ak-PNB/PT/IV/2025,2025,05,2025-11-03
banpt-710,Universitas  Muhammadiyah Kuningan,Baik Sekali,2120/SK/BAN-PT/Ak-PNB/PT/IV/2025,2025,04,2028-10-31
banpt-711,Akademi Keperawatan Kebonjati,Baik,2108/SK/BAN-PT/Ak/PT/IV/2025,2025,04,2030-04-14
banpt-712,Politeknik Bentara Citra Bangsa,Tidak Terakreditasi,2106/SK/BAN-PT/Ak-TMSP/PT/IV/2025,2025,03,
banpt-713,Institut Teknologi Rokan Hilir,Baik,2093/SK/BAN-PT/Ak.P/PT/III/2025,2025,17,2027-03-25
banpt-714,STT Bina Muda Wirawan Tangerang,Baik,2105/SK/BAN-PT/Ak/PT/III/2025,2025,PTAS,2030-03-25
banpt-715,Institut Agama Islam Sunan Giri (INSURI) Ponorogo,Baik Sekali,2103/SK/BAN-PT/Ak/PT/III/2025,2025,PTAS,2030-03-25
banpt-716,Universitas Kebangsaan Republik Indonesia,Baik Sekali,2102/SK/BAN-PT/Ak/PT/III/2025,2025,04,2030-03-25
banpt-717,Universitas KH. A. Wahab Hasbullah,Baik Sekali,2104/SK/BAN-PT/Ak/PT/III/2025,2025,07,2030-03-25
banpt-718,Universitas Pendidikan Ganesha,Unggul,2101/SK/BAN-PT/Ak.KP/PT/III/2025,2025,PTN,2029-02-21
banpt-719,STISIP Petta Baringeng Soppeng,Baik,2099/SK/BAN-PT/Ak.P/PT/III/2025,2025,09,2027-03-25
banpt-720,Sekolah Tinggi Teologi Gereja Methodist Indonesia Bandar Baru,Baik,2098/SK/BAN-PT/Ak.P/PT/III/2025,2025,PTAS,2027-03-25
banpt-721,Sekolah Tinggi Teologi Anderson Manado,Baik,2096/SK/BAN-PT/Ak.P/PT/III/2025,2025,PTAS,2027-03-25
banpt-722,Akademi Keperawatan Bunda Delima,Baik,2100/SK/BAN-PT/Ak/PT/III/2025,2025,02,2030-03-25
banpt-723,Sekolah Tinggi Ilmu Ekonomi Mulia Pratama,Baik,2092/SK/BAN-PT/Ak.Ppj/PT/III/2025,2025,04,2030-04-01
banpt-724,Institut Teknologi Bisnis dan Bahasa Dian Cipta Cendikia,Baik,2079/SK/BAN-PT/Ak/PT/III/2025,2025,02,2030-03-19
banpt-725,STT SULBAR DI MAMUJU,Baik,2078/SK/BAN-PT/Ak/PT/III/2025,2025,PTAS,2030-03-19
banpt-726,Politeknik Internasional Tamansiswa Mojokerto,Baik,2089/SK/BAN-PT/Ak/PT/III/2025,2025,07,2030-03-19
banpt-727,Institut Teknologi Bisnis dan Kesehatan Muhammadiyah Muna Barat,Baik,2088/SK/BAN-PT/Ak/PT/III/2025,2025,09,2030-03-19
banpt-728,STIMIK Kupang,Baik,2081/SK/BAN-PT/Ak/PT/III/2025,2025,15,2030-03-19
banpt-729,Institut Teknologi Calvin,Baik,2077/SK/BAN-PT/Ak/PT/III/2025,2025,03,2030-03-19
banpt-730,STIKES Hutama Abdi Husada Tulungagung,Baik Sekali,2085/SK/BAN-PT/Ak/PT/III/2025,2025,07,2030-03-19
banpt-731,Politeknik Semen Indonesia,Baik,2080/SK/BAN-PT/Ak/PT/III/2025,2025,07,2030-03-19
banpt-732,Politeknik Sukabumi,Baik,2076/SK/BAN-PT/Ak/PT/III/2025,2025,04,2030-03-19
banpt-733,Akademi Keperawatan Al-Hikmah 2 Brebes,Baik Sekali,2087/SK/BAN-PT/Ak/PT/III/2025,2025,06,2030-03-19
banpt-734,Akademi Bisnis Lombok,Baik,2086/SK/BAN-PT/Ak/PT/III/2025,2025,08,2030-03-19
banpt-735,Politeknik Karya Husada,Baik,2084/SK/BAN-PT/Ak/PT/III/2025,2025,03,2030-03-19
banpt-736,Sekolah Tinggi Ilmu Ekonomi Galileo,Baik,2083/SK/BAN-PT/Ak/PT/III/2025,2025,17,2030-03-19
banpt-737,Sekolah Tinggi Manajemen Informatika dan Komputer Harapan Ibu,Baik,2082/SK/BAN-PT/Ak/PT/III/2025,2025,13,2030-03-19
banpt-738,Universitas Semarang,Unggul,2091/SK/BAN-PT/Ak/PT/III/2025,2025,06,2030-03-19
banpt-739,STIH Putri Maharaja,Baik,2090/SK/BAN-PT/Ak/PT/III/2025,2025,10,2030-03-19
banpt-740,STAI Tapaktuan Aceh Selatan,Baik,2075/SK/BAN-PT/Ak.P/PT/III/2025,2025,PTAS,2027-03-11
banpt-741,Institut Teknologi dan Bisnis Nusantara,Baik,2065/SK/BAN-PT/Ak/PT/III/2025,2025,02,2030-03-11
banpt-742,Universitas Merdeka Surabaya,Baik,2066/SK/BAN-PT/Ak/PT/III/2025,2025,07,2030-03-11
banpt-743,S.T. Manajemen Bisnis Multi Sarana Manajemen Administrasi dan Rekayasa Teknologi,Baik,2071/SK/BAN-PT/Ak/PT/III/2025,2025,01,2030-03-11
banpt-744,Politeknik Caltex Riau,Unggul,2074/SK/BAN-PT/Ak/PT/III/2025,2025,17,2030-03-11
banpt-745,Akademi Kebidanan Santa Elisabeth Kefamenanu,Baik,2067/SK/BAN-PT/Ak/PT/III/2025,2025,15,2030-03-11
banpt-746,Universitas PGRI Adi Buana,Baik Sekali,2060/SK/BAN-PT/Ak.KP/PT/III/2025,2025,07,2028-05-09
banpt-747,Universitas Indraprasta PGRI,Baik Sekali,2059/SK/BAN-PT/Ak.KP/PT/III/2025,2025,03,2028-07-18
banpt-748,Politeknik Agroindustri,Baik,2068/SK/BAN-PT/Ak/PT/III/2025,2025,04,2030-03-11
banpt-749,Universitas Trinita,Baik,2069/SK/BAN-PT/Ak/PT/III/2025,2025,16,2030-03-11
banpt-750,Sekolah Tinggi Ilmu Ekonomi Satria,Baik,2070/SK/BAN-PT/Ak/PT/III/2025,2025,06,2030-03-11
banpt-751,Universitas Koperasi Indonesia,Baik Sekali,2064/SK/BAN-PT/Ak.KP/PT/III/2025,2025,04,2028-11-28
banpt-752,Sekolah Tinggi Agama Islam Dirosat Islamiyah Al-Hikmah Jakarta,Baik,2073/SK/BAN-PT/Ak-PNB/PT/III/2025,2025,PTAS,2029-07-04
banpt-753,Universitas Islam Syekh-Yusuf,Baik Sekali,2061/SK/BAN-PT/Ak.KP/PT/III/2025,2025,04,2029-03-20
banpt-754,Universitas Al-Muslim,Baik Sekali,2053/SK/BAN-PT/Ak.KP/PT/III/2025,2025,13,2027-08-16
banpt-755,Universitas PGRI Ronggolawe,Baik Sekali,2054/SK/BAN-PT/Ak.KP/PT/III/2025,2025,07,2029-03-06
banpt-756,Universitas Darul Ulum Islamic Centre Sudirman,Baik Sekali,2056/SK/BAN-PT/Ak.KP/PT/III/2025,2025,06,2028-12-05
banpt-757,Sekolah Tinggi Ilmu Kesehatan William Booth,Baik Sekali,2057/SK/BAN-PT/Ak.KP/PT/III/2025,2025,07,2029-05-29
banpt-758,Universitas Borneo Tarakan,Baik Sekali,2063/SK/BAN-PT/Ak.KP/PT/III/2025,2025,PTN,2028-12-06
banpt-759,STMIK Multicom Bolaan Mongondow,Baik,2072/SK/BAN-PT/Ak/PT/III/2025,2025,16,2030-03-11
banpt-760,STAI Nurul Hidayah Lebak Banten,Baik,2040/SK/BAN-PT/Ak.P/PT/III/2025,2025,PTAS,2027-03-04
banpt-761,STP Dian Mandala Gunung Sitoli Nias Keuskupan Sibolga,Baik Sekali,2038/SK/BAN-PT/Ak/PT/III/2025,2025,PTAS,2030-03-04
banpt-762,"Sekolah TInggi Pastoral (STP) ""Santo Bonaventura"" Keuskupan Agung Medan",Baik Sekali,2039/SK/BAN-PT/Ak/PT/III/2025,2025,PTAS,2030-03-04
banpt-763,Institut Citra Internasional,Baik,2036/SK/BAN-PT/Ak/PT/III/2025,2025,02,2030-03-04
banpt-764,Institut Teknologi dan Kesehatan Bintang Persada,Baik,2037/SK/BAN-PT/Ak/PT/III/2025,2025,08,2030-03-04
banpt-765,Sekolah Tinggi Teologi Immanuel Nusantara Jakarta,Baik,2051/SK/BAN-PT/Ak.P/PT/III/2025,2025,PTAS,2027-03-04
banpt-766,"Institut Ilmu Al-Qur`an Jannatu Adnin Kendari, Sulawesi Teng",Baik,2050/SK/BAN-PT/Ak.P/PT/III/2025,2025,PTAS,2027-03-04
banpt-767,Sekolah Tinggi Agama Islam Muslim Asia Afrika,Baik,2049/SK/BAN-PT/Ak.P/PT/III/2025,2025,PTAS,2027-03-04
banpt-768,Sekolah Tinggi Agama Islam Al Bayan Sulawesi Selatan,Baik,2048/SK/BAN-PT/Ak.P/PT/III/2025,2025,PTAS,2027-03-04
banpt-769,STIT Muhammadiyah Lumajang,Baik,2052/SK/BAN-PT/Ak.B/PT/III/2025,2025,PTAS,2027-03-04
banpt-770,Sekolah Tinggi Ilmu Tarbiyah Ihsanul Fikri Pabelan,Baik,2046/SK/BAN-PT/Ak.P/PT/III/2025,2025,PTAS,2027-03-04
banpt-771,Sekolah Tinggi Ekonomi Syariah Manna Wa Salwa Tanah Datar Sumatera Barat,Baik,2045/SK/BAN-PT/Ak.P/PT/III/2025,2025,PTAS,2027-03-04
banpt-772,Sekolah Tinggi Ilmu Ekonomi Syariah Darul Huda Mesuji Lampung,Baik,2043/SK/BAN-PT/Ak.P/PT/III/2025,2025,PTAS,2027-03-04
banpt-773,STIE Mahaputra Riau,Baik,2042/SK/BAN-PT/Ak.P/PT/III/2025,2025,17,2027-03-04
banpt-774,Universitas Kartamulia Purwakarta,Baik,2041/SK/BAN-PT/Ak.P/PT/III/2025,2025,04,2027-03-04
banpt-775,Sekolah Tinggi Teologi Khatulistiwa Sintang,Baik,2035/SK/BAN-PT/Ak/PT/III/2025,2025,PTAS,2030-03-04
banpt-776,Politeknik Omna Trisakti Chandra,Tidak Terakreditasi,2034/SK/BAN-PT/Ak-TMSP/PT/III/2025,2025,08,
banpt-777,Institut Sayyid Muhammad Alawi Al Maliki,Baik,116/SK/BAN-PT/Ak-PNB/PT/II/2025,2025,PTAS,2027-07-20
banpt-778,Politeknik Kesehatan Bakti Sumba,Baik,109/SK/BAN-PT/Ak/PT/II/2025,2025,15,2030-02-25
banpt-779,Politeknik Tempo,Baik,110/SK/BAN-PT/Ak/PT/II/2025,2025,03,2030-02-25
banpt-780,Institut Agama Islam Darud Da'wah Wal Irsyad Sidenreng Rappang,Baik,114/SK/BAN-PT/Ak-PNB/PT/II/2025,2025,PTAS,2026-06-21
banpt-781,Universitas Pangeran Diponegoro Nganjuk,Baik,113/SK/BAN-PT/Ak-PNB/PT/II/2025,2025,PTAS,2026-05-19
banpt-782,Universitas Madani,Baik,119/SK/BAN-PT/Ak-PNB/PT/II/2025,2025,05,2025-11-24
banpt-783,Sekolah Tinggi Ilmu Kesehatan PGI Cikini,Baik,120/SK/BAN-PT/Ak-PNB/PT/II/2025,2025,03,2028-09-14
banpt-784,Universitas Taruna Bakti,Baik,112/SK/BAN-PT/Ak-PNB/PT/II/2025,2025,04,2029-08-19
