institution_code,institution_name,akreditasi_institusi,no_sk,tahun_sk,wilayah,tanggal_kadaluarsa
banpt-44,Institut Teknologi Sains dan Kesehatan Insan Cendekia Medika Jombang,Terakreditasi,2563/SK/BAN-PT/Ak.S/2.0/PT/X/2025,2025,07,9999-01-01
banpt-45,Universitas Raharja,Terakreditasi,2562/SK/BAN-PT/Ak.S/2.0/PT/X/2025,2025,04,9999-01-01
banpt-46,Universitas Yapis Papua,Terakreditasi,2561/SK/BAN-PT/Ak.S/2.0/PT/X/2025,2025,14,9999-01-01
banpt-47,Akademi Keuangan Dan Perbankan Grha Arta Khatulistiwa Pontianak,Terakreditasi,2560/SK/BAN-PT/Ak.S/2.0/PT/X/2025,2025,11,9999-01-01
banpt-48,Universitas Bakti Tunas Husada,Terakreditasi,2559/SK/BAN-PT/Ak.S/2.0/PT/X/2025,2025,04,9999-01-01
banpt-49,Politeknik Meta Industri Cikarang,Terakreditasi,2558/SK/BAN-PT/Ak.S/2.0/PT/X/2025,2025,04,9999-01-01
banpt-50,Universitas PGRI Kanjuruhan Malang,Terakreditasi,2557/SK/BAN-PT/Ak.S/2.0/PT/X/2025,2025,07,9999-01-01
banpt-51,Universitas Panca Bhakti,Terakreditasi,2556/SK/BAN-PT/Ak.S/2.0/PT/X/2025,2025,11,9999-01-01
banpt-52,Universitas Bina Bangsa Getsempena,Terakreditasi,2555/SK/BAN-PT/Ak.S/2.0/PT/X/2025,2025,13,9999-01-01
banpt-53,Universitas Mahkota Tricom Unggul,Terakreditasi,2554/SK/BAN-PT/Ak.S/2.0/PT/X/2025,2025,01,9999-01-01
banpt-54,Sekolah Tinggi Ilmu Kesehatan Panca Bhakti Pontianak,Terakreditasi,2553/SK/BAN-PT/Ak.S/2.0/PT/X/2025,2025,11,9999-01-01
banpt-55,Sekolah Tinggi Pariwisata Ambarrukmo Yogyakarta,Terakreditasi,2552/SK/BAN-PT/Ak.S/2.0/PT/X/2025,2025,05,9999-01-01
banpt-56,STKIP Syekh Manshur,Terakreditasi,2551/SK/BAN-PT/Ak.S/2.0/PT/X/2025,2025,04,9999-01-01
banpt-57,Politeknik Artificial Intelligence Budi Mulia Dua,Terakreditasi Sementara,2550/SK/BAN-PT/Ak.P/2.0/PT/X/2025,2025,05,2033-10-02
banpt-58,"STAI Al-Gazali Bulukumba, Sulawesi Selatan",Baik,2770/SK/BAN-PT/Ak.Ppj/PT/X/2025,2025,PTAS,2030-06-24
banpt-59,Sekolah Tinggi Ilmu Ekonomi Syariah Saleh Budiman,Baik,2769/SK/BAN-PT/Ak/PT/X/2025,2025,PTAS,2030-10-01
banpt-60,Sekolah Tinggi Ilmu Ekonomi Syariah Riyadlul Jannah Mojokerto Jawa timur,Baik,2768/SK/BAN-PT/Ak/PT/X/2025,2025,PTAS,2030-10-01
banpt-61,Sekolah Tinggi Agama Islam Ahmad Sibawayhie,Baik,2766/SK/BAN-PT/Ak/PT/X/2025,2025,PTAS,2030-10-01
banpt-62,Universitas Bengkulu,Unggul,2774/SK/BAN-PT/Ak/PT/X/2025,2025,PTN,2030-10-01
banpt-63,Universitas Sahid,Unggul,2779/SK/BAN-PT/Ak/PT/X/2025,2025,03,2030-10-01
banpt-64,Universitas Internasional Batam,Unggul,2777/SK/BAN-PT/Ak/PT/X/2025,2025,17,2030-10-01
banpt-65,Universitas Bakti Indonesia,Baik,2773/SK/BAN-PT/Ak.Ppj/PT/X/2025,2025,07,2030-05-11
banpt-66,Politeknik Unisma Malang,Baik,2765/SK/BAN-PT/Ak.Ppj/PT/X/2025,2025,07,2030-07-06
banpt-67,STIKES Patria Husada,Baik,2771/SK/BAN-PT/Ak.Ppj/PT/X/2025,2025,07,2030-07-06
banpt-68,Sekolah Tinggi Agama Islam Muafi Sampang,Baik,2767/SK/BAN-PT/Ak.P/PT/X/2025,2025,PTAS,2027-10-01
banpt-69,Universitas Hafshawaty Zainul Hasan,Baik,2776/SK/BAN-PT/Ak.Ppj/PT/X/2025,2025,07,2030-07-12
banpt-70,Universitas Efarina,Baik,2775/SK/BAN-PT/Ak.S/PT/X/2025,2025,01,9999-01-01
banpt-71,"STIT Al-Azhar Diniyyah (STITAD) Muaro Bungo, Jambi",Baik,2772/SK/BAN-PT/Ak.Ppj/PT/X/2025,2025,PTAS,2030-06-29
