quipper_code,rencanamu_code,banpt_code,pddikti_code,faculty,prodi,prodi_normalized,edu_level,accreditation,institution_code,cluster_kmodes,cluster_category
-,-,banpt-2445,-,-,ILMU KOMPUTER,KOMPUTER,S1,BAIK,680,0,Ekonomi & Bisnis
-,-,banpt-2445,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK,680,0,Ekonomi & Bisnis
-,-,banpt-3814,-,-,ADMINISTRASI BISNIS,ADMINISTRASI BISNIS,S1,BAIK,496,0,Ekonomi & Bisnis
-,-,banpt-3814,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK SEKALI,496,0,Ekonomi & Bisnis
-,-,banpt-3814,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI,496,0,Ekonomi & Bisnis
-,-,banpt-3814,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,496,0,Ekonomi & Bisnis
-,-,banpt-1827,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK SEKALI,266,0,Ekonomi & Bisnis
-,-,banpt-1827,-,-,KEWIRAUSAHAAN,KEWIRAUSAHAAN,S1,BAIK,266,0,Ekonomi & Bisnis
-,-,banpt-1827,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI,266,0,Ekonomi & Bisnis
-,-,banpt-1827,-,-,PERDAGANGAN INTERNASIONAL,PERDAGANGAN INTERNASIONAL,S1,BAIK,266,0,Ekonomi & Bisnis
