institution_name,prodi_name,jenjang,akreditasi_prodi,status_pencocokan
IKIP PGRI BOJONEGORO,PENDIDIKAN BAHASA INGGRIS,S1,B,BERHASIL
UNIVERSITAS MOCHAMMAD SROEDJI,MANAJEMEN,S1,B,BERHASIL
UNIVERSITAS TULUNGAGUNG,AGRIBISNIS,S1,B,BERHASIL
STKIP PGRI SUMATERA BARAT,PENDIDIKAN BIOLOGI,S1,B,GAGAL COCOK
STKIP PGRI SUMATERA BARAT,PENDIDIKAN EKONOMI,S1,B,GAGAL COCOK
STKIP PGRI SUMATERA BARAT,PENDIDIKAN BAHASA INGGRIS,S1,B,GAGAL COCOK
STAINU KOTABUMI LAMPUNG UTARA,PENDIDIKAN BAHASA ARAB,S1,BAIK,BERHASIL
UNIVERSITAS TEKNOLOGI SULAWESI UTARA,EKONOMI PEMBANGUNAN,S1,BAIK,GAGAL COCOK
UNIVERSITAS DHARMAS INDONESIA,PENDIDIKAN BAHASA INDONESIA,S1,BAIK,BERHASIL
UNIVERSITAS NEGERI MALANG,TEKNIK ELEKTRO,S2,BAIK,BERHASIL
UNIVERSITAS PATTIMURA,PENYULUHAN PERTANIAN,S1,BAIK,BERHASIL
UNIVERSITAS MUHAMMADIYAH JEMBER,EKONOMI SYARIAH,S1,BAIK,BERHASIL
UNIVERSITAS PALANGKA RAYA,FISIKA,S1,BAIK,BERHASIL
UNIVERSITAS MUHAMMADIYAH TANGERANG,PARIWISATA,S1,BAIK,BERHASIL
S.T. MANAJEMEN BISNIS MULTI SARANA MANAJEMEN ADMINISTRASI DAN REKAYASA TEKNOLOGI,AKUNTANSI,S1,BAIK,BERHASIL
UNIVERSITAS TADULAKO,TEKNIK SIPIL KAMPUS KAB TOJO UNA-UNA,S1,BAIK,BERHASIL
UNIVERSITAS HASANUDDIN,ILMU PETERNAKAN,S3,BAIK SEKALI,BERHASIL
INSTITUT AGAMA ISLAM NEGERI CURUP,TADRIS BAHASA INDONESIA,S1,BAIK,BERHASIL
UNIVERSITAS JENDERAL ACHMAD YANI,ILMU HUKUM,S1,BAIK,BERHASIL
UNIVERSITAS PAPUA,SUMBER DAYA AKUATIK,S2,BAIK,BERHASIL
UNIVERSITAS MUHAMMADIYAH JAKARTA,PENDIDIKAN OLAHRAGA,S1,BAIK,BERHASIL
UNIVERSITAS NEGERI MALANG,TEKNIK INDUSTRI,S1,BAIK,BERHASIL
UNIVERSITAS MADAKO TOLITOLI,BUDIDAYA PERAIRAN,S1,BAIK,BERHASIL
INSTITUT BISNIS NUSANTARA,BAHASA INGGRIS,S1,BAIK,BERHASIL
UNIVERSITAS PERSADA INDONESIA YAI,TEKNIK SIPIL,S2,BAIK SEKALI,BERHASIL
UNIVERSITAS PADJADJARAN,TEKNOLOGI AGROINDUSTRI,S2,UNGGUL,BERHASIL
POLITEKNIK KELAUTAN DAN PERIKANAN PANGANDARAN,PENGOLAHAN HASIL LAUT,D-III,BAIK,BERHASIL
SEKOLAH TINGGI ILMU EKONOMI YKPN,MANAJEMEN,S2,BAIK SEKALI,BERHASIL
UNIVERSITAS GRAHA NUSANTARA,PENDIDIKAN SEJARAH,S1,BAIK,BERHASIL
SEKOLAH TINGGI ILMU EKONOMI AL-ANWAR,AKUNTANSI,S1,BAIK,BERHASIL
UNIVERSITAS HKBP NOMMENSEN PEMATANGSIANTAR,PENDIDIKAN BIOLOGI,S1,BAIK,BERHASIL
UNIVERSITAS PROF DR HAZAIRIN SH,ADMINISTRASI PUBLIK,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS MUHAMMADIYAH PROF DR HAMKA,MANAJEMEN,S2,BAIK SEKALI,BERHASIL
STAI AL-MUHAMMAD CEPU,PERBANKAN SYARI'AH,S1,BAIK,BERHASIL
UNIVERSITAS ISLAM NEGERI MATARAM,KOMUNIKASI DAN PENYIARAN ISLAM,S1,BAIK SEKALI,BERHASIL
UNIVERSITAS DOKTOR NUGROHO MAGETAN,PENDIDIKAN KHUSUS,S1,BAIK,BERHASIL
STIT SUNAN GIRI TRENGGALEK,PENDIDIKAN AGAMA ISLAM,S1,BAIK,BERHASIL
SEKOLAH TINGGI AGAMA ISLAM ACEH TAMIANG,HUKUM EKONOMI SYARIAH,S1,BAIK,BERHASIL
STKIP PGRI SIDOARJO,PENDIDIKAN BAHASA INGGRIS,S2,BAIK SEKALI,BERHASIL
UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM,PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK SEKALI,GAGAL COCOK
SEKOLAH TINGGI KESENIAN WILWATIKTA,SENI RUPA MURNI,S1,BAIK SEKALI,BERHASIL
AKADEMI MARITIM SUAKA BAHARI,NAUTIKA,D-III,BAIK SEKALI,BERHASIL
UNIVERSITAS MUHAMMADIYAH PEKAJANGAN PEKALONGAN,MANAJEMEN,S1,B,BERHASIL
UNIVERSITAS PENDIDIKAN GANESHA,BAHASA INGGRIS,D-III,B,BERHASIL
UNIVERSITAS NEGERI MEDAN,ILMU EKONOMI,S2,A,BERHASIL
UNIVERSITAS WANITA INTERNASIONAL,ILMU KOMUNIKASI,S1,B,BERHASIL
UNIVERSITAS PERTAHANAN,PEPERANGAN ASIMETRIS,S2,A,BERHASIL
UNIVERSITAS INDONESIA TIMUR,MANAJEMEN,S1,B,BERHASIL
UNIVERSITAS INDONESIA TIMUR,AKUNTANSI,S1,B,BERHASIL
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN TEKNIK ELEKTRO,S1,B,BERHASIL
UNIVERSITAS NEGERI SURABAYA,ADMINISTRASI NEGARA,D-III,A,BERHASIL
UNIVERSITAS DEHASEN BENGKULU,PENDIDIKAN JASMANI,S1,B,BERHASIL
UNIVERSITAS SINGAPERBANGSA KARAWANG,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,BERHASIL
UNIVERSITAS BENGKULU,TEKNOLOGI INDUSTRI PERTANIAN,S1,B,BERHASIL
STMIK HANDAYANI MAKASSAR,TEKNIK INFORMATIKA,S1,B,GAGAL COCOK
UNIVERSITAS HALU OLEO,BIMBINGAN DAN KONSELING,S1,B,BERHASIL
INSTITUT PENDIDIKAN TAPANULI SELATAN,PENDIDIKAN FISIKA,S1,B,BERHASIL
SEKOLAH TINGGI ILMU EKONOMI AKA,MANAJEMEN,S1,B,GAGAL COCOK
UNIVERSITAS AIRLANGGA,SISTEM INFORMASI,D-III,B,BERHASIL
UNIVERSITAS SAMAWA,PENDIDIKAN EKONOMI,S1,B,BERHASIL
STMIK NUSA MANDIRI JAKARTA,SISTEM INFORMASI,S1,B,GAGAL COCOK
UNIVERSITAS DUTA BANGSA SURAKARTA,MANAJEMEN INFORMATIKA,D-III,A,BERHASIL
UNIVERSITAS MAHASARASWATI DENPASAR,PERENCANAAN PEMBANGUNAN WILAYAH DAN PENGELOLAAN LINGKUNGAN,S2,A,BERHASIL
UNIVERSITAS HALU OLEO,FISIKA,S2,B,BERHASIL
UNIVERSITAS PENDIDIKAN INDONESIA,MANAJEMEN,S3,UNGGUL,BERHASIL
UNIVERSITAS TRINITA,MANAJEMEN INFORMATIKA,D-III,BAIK,BERHASIL
UNIVERSITAS JAMBI,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S2,B,BERHASIL
SEKOLAH TINGGI PARIWISATA BALI INTERNASIONAL,MANAJEMEN PERHOTELAN,D-IV,B,GAGAL COCOK
UNIVERSITAS SINGAPERBANGSA KARAWANG,PENDIDIKAN ISLAM ANAK USIA DINI,S1,B,BERHASIL
UNIVERSITAS NEGERI MEDAN,TEKNIK SIPIL,D-III,B,BERHASIL
UNIVERSITAS BATANGHARI JAMBI,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,BERHASIL
SEKOLAH TINGGI PERTANIAN KUTAI TIMUR,AGROTEKNOLOGI,S1,B,BERHASIL
UNIVERSITAS INDONESIA TIMUR,ILMU KOMUNIKASI,S1,B,BERHASIL
UNIVERSITAS BENGKULU,ADMINISTRASI PENDIDIKAN,S2,A,BERHASIL
STKIP SETIABUDHI,PENDIDIKAN GURU SEKOLAH DASAR,S1,B,GAGAL COCOK
AKADEMI MARITIM BELAWAN,NAUTIKA,D-III,B,BERHASIL
UNIVERSITAS SYIAH KUALA,PENGELOLAAN LINGKUNGAN,S2,B,GAGAL COCOK
UNIVERSITAS LAMBUNG MANGKURAT,TEKNOLOGI INDUSTRI PERTANIAN,S1,A,BERHASIL
UNIVERSITAS PENDIDIKAN GANESHA,PERPUSTAKAAN,D-III,B,BERHASIL
UNIVERSITAS DEHASEN BENGKULU,PENDIDIKAN GURU PENDIDIKAN ANAK  USIA DINI,S1,B,BERHASIL
UNIVERSITAS ANDALAS,ILMU EKONOMI,S3,A,BERHASIL
UNIVERSITAS MEGAREZKY,PENDIDIKAN BAHASA INGGRIS,S1,B,BERHASIL
UNIVERSITAS NUSA CENDANA,EKONOMI PEMBANGUNAN,S1,B,BERHASIL
UNIVERSITAS LAKIDENDE UNAHAA,ILMU HUKUM,S1,B,BERHASIL
UNIVERSITAS PRADITA,DESAIN INTERIOR,S1,BAIK,BERHASIL
INSTITUT BISNIS MUHAMMADIYAH BEKASI,AKUNTANSI,S1,BAIK,BERHASIL
INSTITUT PERTANIAN MALANG,AGRIBISNIS,S1,BAIK,BERHASIL
UNIVERSITAS DR. SOETOMO,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,GAGAL COCOK
STAI AHSANTA JAMBI,PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK,BERHASIL
IAIN BENGKULU,AQIDAH DAN FILSAFAT ISLAM,S1,B,GAGAL COCOK
STIKI MALANG,SISTEM INFORMASI,S1,B,BERHASIL
UNIVERSITAS MUHAMMADIYAH CIREBON,PENDIDIKAN ILMU PENGETAHUAN ALAM,S1,B,BERHASIL
UNIVERSITAS NEGERI MANADO,MANAJEMEN PEMASARAN,D-III,B,BERHASIL
UNIVERSITAS ANDALAS,PEMBANGUNAN WILAYAH DAN PEDESAAN,S2,A,BERHASIL
UNIVERSITAS JAMBI,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,BERHASIL
AKADEMI PARIWISATA PATRIA INDONESIA,PERHOTELAN,D-III,B,GAGAL COCOK
UNIVERSITAS PERADABAN,AKUNTANSI,S1,B,BERHASIL
UNIVERSITAS MUHAMMADIYAH MAKASSAR,HUKUM KELUARGA,S1,B,BERHASIL
UNIVERSITAS HALU OLEO,ILMU KESEJAHTERAAN SOSIAL,S1,A,BERHASIL
UNIVERSITAS INDONESIA,ADMINISTRASI PERKANTORAN,D-III,A,BERHASIL
UNIVERSITAS DARMA AGUNG,PENDIDIKAN FISIKA,S1,B,BERHASIL
UNIVERSITAS MUHAMMADIYAH RIAU,PENDIDIKAN INFORMATIKA,S1,B,BERHASIL
STKIP PGRI TULUNGAGUNG,PENDIDIKAN TEKNOLOGI INFORMASI,S1,B,GAGAL COCOK
UNIVERSITAS KRISTEN INDONESIA MALUKU,ILMU KOMUNIKASI,S1,B,BERHASIL
UNIVERSITAS MAJALENGKA,PENDIDIKAN MATEMATIKA,S1,B,BERHASIL
UNIVERSITAS KRISTEN SATYA WACANA,"PENDIDIKAN JASMANI, KESEHATAN & REKREASI",S1,B,BERHASIL
UNIVERSITAS SAM RATULANGI,ILMU HUKUM,S2,B,BERHASIL
SEKOLAH TINGGI FILSAFAT JAFFRAY MAKASSAR,ILMU FILSAFAT,S1,B,BERHASIL
UNIVERSITAS HALU OLEO,PETERNAKAN,S2,A,BERHASIL
UNIVERSITAS ISLAM DARUL `ULUM,ARSITEKTUR,S1,B,BERHASIL
UNIVERSITAS MUSLIM INDONESIA,KOMUNIKASI DAN PENYIARAN ISLAM,S1,B,BERHASIL
POLITEKNIK NEGERI SRIWIJAYA,USAHA PERJALANAN WISATA,D-IV,B,BERHASIL
SEKOLAH TINGGI ILMU EKONOMI DHARMA PUTRA PEKANBARU,MANAJEMEN,S1,B,BERHASIL
UNIVERSITAS HKBP NOMMENSEN PEMATANGSIANTAR,PENDIDIKAN BAHASA INDONESIA,S1,BAIK,BERHASIL
POLITEKNIK NEGERI JAKARTA,"USAHA JASA KONVENSI, PERJALANAN INSENTIF DAN PAMERAN",D-IV,B,BERHASIL
INSTITUT AGAMA ISLAM NEGERI PEKALONGAN,PERBANKAN SYARIAH,S1,B,GAGAL COCOK
UNIVERSITAS TADULAKO,TEKNIK SIPIL,D-III,B,BERHASIL
SEKOLAH TINGGI ILMU PERTANIAN AMUNTAI,AGROTEKNOLOGI,S1,B,BERHASIL
UNIVERSITAS GARUT,PARIWISATA,S1,B,GAGAL COCOK
UNIVERSITAS SRIWIJAYA,BIMBINGAN DAN KONSELING,S1,B,BERHASIL
POLITEKNIK NEGERI NUSA UTARA,TEKNOLOGI PENGOLAHAN HASIL LAUT,D-III,B,BERHASIL
UNIVERSITAS SRIWIJAYA,PSIKOLOGI,S1,B,BERHASIL
"SEKOLAH TINGGI EKONOMI ISLAM TAZKIA, BOGOR",TADRIS IPS,S1,BAIK,GAGAL COCOK
STAI ASH-SHIDDIQIYAH LEMPUING JAYA OKI,MANAJEMEN PENDIDIKAN ISLAM,S1,B,GAGAL COCOK
AKADEMI KOMUNIKASI MEDIA RADIO DAN TELEVISI JAKARTA,HUBUNGAN MASYARAKAT,D-III,B,GAGAL COCOK
UNIVERSITAS NEGERI MEDAN,TEKNOLOGI PENDIDIKAN,S2,A,BERHASIL
UNIVERSITAS ISLAM NEGERI SULTAN MAULANA HASANUDDIN BANTEN,ILMU AL QUR'AN DAN TAFSIR,S1,B,BERHASIL
STMIK IBBI,TEKNIK INFORMATIKA,S1,BAIK,GAGAL COCOK
SEKOLAH TINGGI ILMU EKONOMI SURYA NUSANTARA,AKUNTANSI,S1,B,BERHASIL
INSTITUT SENI INDONESIA PADANG PANJANG,SENI TEATER,S1,B,BERHASIL
UNIVERSITAS MADAKO TOLI-TOLI,ILMU ADMINISTRASI NEGARA,S1,B,GAGAL COCOK
UNIVERSITAS JAMBI,TEKNOLOGI INDUSTRI PERTANIAN,S1,B,BERHASIL
UNIVERSITAS PAMULANG,SASTRA INGGRIS,S1,B,BERHASIL
UNIVERSITAS WAHID HASYIM,HUKUM EKONOMI SYARI'AH,S1,B,BERHASIL
UNIVERSITAS ISLAM NEGERI ALAUDDIN,TEKNIK ARSITEKTUR,S1,A,GAGAL COCOK
UNIVERSITAS SANGGA BUANA,KEUANGAN DAN PERBANKAN,D-III,B,BERHASIL
UNIVERSITAS NEGERI SEMARANG,PSIKOLOGI,S1,B,BERHASIL
POLITEKNIK NEGERI MEDAN,"USAHA JASA KONVENSI, PERJALANAN INSENTIF DAN PAMERAN",D-IV,A,GAGAL COCOK
"STIT IQRA` KAPUAS HULU, KALIMANTAN BARAT",PENDIDIKAN AGAMA ISLAM,S1,B,BERHASIL
UNIVERSITAS MUHAMMADIYAH MALANG,PENDIDIKAN BAHASA INGGRIS,S2,A,BERHASIL
UNIVERSITAS NAHDLATUL ULAMA INDONESIA,ILMU HUKUM,S1,B,BERHASIL
STKIP PEMBANGUNAN INDONESIA,PENDIDIKAN EKONOMI,S1,B,GAGAL COCOK
UNIVERSITAS BUANA PERJUANGAN KARAWANG,PENDIDIKAN GURU SEKOLAH DASAR,S1,B,BERHASIL
UNIVERSITAS TJUT NYAK DHIEN,EKONOMI PEMBANGUNAN,S1,B,BERHASIL
POLITEKNIK NEGERI JAKARTA,MANAJEMEN PEMASARAN UNTUK WARGA NEGARA BERKEBUTUHAN KHUSUS,D-III,B,BERHASIL
STKIP PGRI LAMONGAN,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,GAGAL COCOK
STKIP ROKANIA,PENDIDIKAN GURU SEKOLAH DASAR,S1,B,BERHASIL
POLITEKNIK NEGERI JEMBER,PRODUKSI TANAMAN PERKEBUNAN,D-III,A,GAGAL COCOK
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,A,BERHASIL
STKIP AL HIKMAH SURABAYA,PENDIDIKAN BAHASA INGGRIS,S1,B,BERHASIL
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN GURU SEKOLAH DASAR,S1,A,BERHASIL
STKIP MUHAMMADIYAH MUARA BUNGO,"PENDIDIKAN, JASMANI KESEHATAN DAN REKREASI",S1,B,GAGAL COCOK
UNIVERSITAS MUSLIM INDONESIA,HUKUM KELUARGA,S1,A,BERHASIL
POLITEKNIK NEGERI BALI,PERHOTELAN,D-III,A,BERHASIL
UNIVERSITAS MEGAREZKY,PENDIDIKAN JASMANI,S1,B,BERHASIL
UNIVERSITAS MEGAREZKY,PENDIDIKAN GURU SEKOLAH DASAR,S1,B,BERHASIL
UNIVERSITAS NEGERI MEDAN,BIMBINGAN KONSELING,S1,A,BERHASIL
STKIP BINA INSAN MANDIRI,PENDIDIKAN GURU SEKOLAH DASAR,S1,B,BERHASIL
STKIP NIAS SELATAN,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,GAGAL COCOK
UNIVERSITAS SAHID SURAKARTA,PSIKOLOGI,S1,B,BERHASIL
INSTITUT PENDIDIKAN TAPANULI SELATAN,PENDIDIKAN SEJARAH,S1,B,BERHASIL
UNIVERSITAS ISLAM NUSANTARA,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,B,BERHASIL
UNIVERSITAS WIDYA DHARMA,TEKNIK SIPIL,S1,B,GAGAL COCOK
UNIVERSITAS NEGERI MANADO,PENDIDIKAN IPS,S1,B,BERHASIL
UNIVERSITAS HINDU INDONESIA,PENDIDIKAN SENI KARAWITAN KEAGAMAAN HINDU,S1,A,BERHASIL
STMIK PRIMAKARA,TEKNIK INFORMATIKA,S1,B,BERHASIL
UNIVERSITAS SEBELAS MARET,DEMOGRAFI DAN PENCATATAN SIPIL,D-IV,B,BERHASIL
INSTITUT AGAMA ISLAM NEGERI PALU,PENDIDIKAN AGAMA ISLAM,S2,A,GAGAL COCOK
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN FISIKA,S1,B,BERHASIL
UNIVERSITAS SUBANG,ILMU ADMINISTRASI NEGARA,S1,B,BERHASIL
INSTITUT PERTANIAN BOGOR,EKONOMI KELAUTAN TROPIKA,S3,A,BERHASIL
SEKOLAH TINGGI PARIWISATA TRIATMA JAYA,PARIWISATA,D-III,B,GAGAL COCOK
UNIVERSITAS ISLAM MADURA,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,B,BERHASIL
UNIVERSITAS MUHAMMADIYAH GRESIK,PENDIDIKAN ISLAM ANAK USIA DINI,S1,B,BERHASIL
STAI YAYASAN NURUL ISLAM MUARA BUNGO,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,B,GAGAL COCOK
SEKOLAH TINGGI ILMU SYARIAH UMMUL AYMAN PIDIE JAYA,HUKUM KELUARGA,S1,B,BERHASIL
UNIVERSITAS TEKNOLOGI YOGYAKARTA,SISTEM KOMPUTER,S1,B,BERHASIL
UNIVERSITAS MUHAMMADIYAH SUKABUMI,PENDIDIKAN TEKNOLOGI INFORMASI,S1,B,BERHASIL
UNIVERSITAS SAM RATULANGI,TEKNOLOGI PANGAN,S1,B,BERHASIL
STKIP SUAR BANGLI,PENDIDIKAN GURU SEKOLAH DASAR,S1,B,GAGAL COCOK
UNIVERSITAS ANDI DJEMMA PALOPO,EKONOMI PEMBANGUNAN,S1,B,BERHASIL
INSTITUT ILMU KESEHATAN BHAKTI WIYATA KEDIRI,BIOLOGI,S1,B,BERHASIL
UNIVERSITAS AZZAHRA,TEKNIK SIPIL,S1,BAIK,GAGAL COCOK
UNIVERSITAS MOCHAMMAD SROEDJI,TEKNIK SIPIL,S1,BAIK,BERHASIL
SEKOLAH TINGGI TEKNOLOGI BANTEN,TEKNIK INDUSTRI,S1,BAIK,BERHASIL
UNIVERSITAS GAJAYANA,PSIKOLOGI,S1,BAIK SEKALI,BERHASIL
POLITEKNIK PEMBANGUNAN PERTANIAN MANOKWARI,PENYULUHAN PERTANIAN BERKELANJUTAN,D-IV,BAIK SEKALI,BERHASIL
UNIVERSITAS WR SUPRATMAN,ILMU ADMINISTRASI,S2,B,GAGAL COCOK
