institution_name,province,campus_accreditation,average_yearly_fee,kategori_final,link
UNIVERSITAS GRAHA KARYA MUARA BULIAN,JAMBI,BAIK,5300000.0,JAMBI - Sangat Hemat (< 5 Jt) - Baik,-
UNIVERSITAS MERANGIN,JAMBI,BAIK SEKALI,5020000.0,JAMBI - Terjangkau (5-15 Jt) - Baik Sekali (B),-
INSTITUT TEKNOLOGI DAN SAINS NAHDLATUL ULAMA JAMBI,JAMBI,BAIK,4800000.0,JAMBI - Sangat Hemat (< 5 Jt) - Baik,-
STIE YA BANGKO,JAMBI,BAIK,4800000.0,JAMBI - Sangat Hemat (< 5 Jt) - Baik,-
AMIK DEPATI PARBO KERINCI,JAMBI,BAIK,4800000.0,JAMBI - Sangat Hemat (< 5 Jt) - Baik,-
INSTITUT TEKNOLOGI DAN BISNIS MUHAMMADIYAH SAROLANGUN,JAMBI,BAIK,4500000.0,JAMBI - Sangat Hemat (< 5 Jt) - Baik,-
STKIP MUHAMMADIYAH SUNGAI PENUH,JAMBI,BAIK,3700000.0,JAMBI - Sangat Hemat (< 5 Jt) - Baik,-
INSTITUT TEKNOLOGI HARAPAN BANGSA,JAWA BARAT,BAIK SEKALI,243400000.0,JAWA BARAT - Sultan (> 100 Jt) - Baik Sekali (B),https://rencanamu.id/cari-kampus/institut-teknologi-harapan-bangsa
UNIVERSITAS ISLAM BANDUNG,JAWA BARAT,UNGGUL,93250000.0,JAWA BARAT - Mahal (40-100 Jt) - Baik Sekali (B),https://rencanamu.id/cari-kampus/universitas-islam-bandung
SEKOLAH TINGGI FARMASI INDONESIA,JAWA BARAT,B,84000000.0,JAWA BARAT - Mahal (40-100 Jt) - Baik Sekali (B),-
UNIVERSITAS PRESIDEN,JAWA BARAT,UNGGUL,79700500.0,JAWA BARAT - Mahal (40-100 Jt) - Baik Sekali (B),https://campus.quipper.com/directory/president-university
UNIVERSITAS 17 AGUSTUS 1945 CIREBON,JAWA BARAT,BAIK SEKALI,75500000.0,JAWA BARAT - Mahal (40-100 Jt) - Baik Sekali (B),https://campus.quipper.com/directory/universitas-17-agustus-1945-cirebon
UNIVERSITAS ISLAM NUSANTARA,JAWA BARAT,BAIK SEKALI,67040000.0,JAWA BARAT - Mahal (40-100 Jt) - Baik Sekali (B),https://rencanamu.id/cari-kampus/universitas-islam-nusantara
UNIVERSITAS KATOLIK PARAHYANGAN,JAWA BARAT,A,66400000.0,JAWA BARAT - Mahal (40-100 Jt) - Baik Sekali (B),https://campus.quipper.com/directory/universitas-katolik-parahyangan
UNIVERSITAS KEBANGSAAN REPUBLIK INDONESIA,JAWA BARAT,BAIK SEKALI,66200003.0,JAWA BARAT - Mahal (40-100 Jt) - Baik Sekali (B),-
UNIVERSITAS KOPERASI INDONESIA,JAWA BARAT,BAIK SEKALI,57050000.0,JAWA BARAT - Mahal (40-100 Jt) - Baik Sekali (B),-
UNIVERSITAS LOGISTIK DAN BISNIS INTERNASIONAL,JAWA BARAT,B,53900000.0,JAWA BARAT - Mahal (40-100 Jt) - Baik Sekali (B),-
UNIVERSITAS KRISTEN MARANATHA,JAWA BARAT,B,52352500.0,JAWA BARAT - Mahal (40-100 Jt) - Baik Sekali (B),https://rencanamu.id/cari-kampus/universitas-kristen-maranatha
STMIK BANDUNG,JAWA BARAT,BAIK,50250000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
INSTITUT TEKNOLOGI NASIONAL BANDUNG,JAWA BARAT,UNGGUL,48335000.0,JAWA BARAT - Menengah (15-40 Jt) - Unggul (A),-
UNIVERSITAS PASUNDAN,JAWA BARAT,A,48250000.0,JAWA BARAT - Menengah (15-40 Jt) - Unggul (A),https://rencanamu.id/cari-kampus/universitas-pasundan
SEKOLAH TINGGI ILMU EKONOMI STAN IM,JAWA BARAT,BAIK,42400000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
PRESIDENT UNIVERSITY,JAWA BARAT,A,36000000.0,JAWA BARAT - Menengah (15-40 Jt) - Unggul (A),https://rencanamu.id/cari-kampus/president-university
UNIVERSITAS PAKUAN,JAWA BARAT,B,35000006.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),https://rencanamu.id/cari-kampus/universitas-pakuan
UNIVERSITAS IPWIJA,JAWA BARAT,B,32200000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
UNIVERSITAS SALI AL-AITAAM,JAWA BARAT,BAIK,31515000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU KESEHATAN MEDISTRA INDONESIA,JAWA BARAT,UNGGUL,28500000.0,JAWA BARAT - Menengah (15-40 Jt) - Unggul (A),-
INSTITUT KESEHATAN RAJAWALI,JAWA BARAT,BAIK,28236000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
STIKES RAFLESIA,JAWA BARAT,BAIK,27870000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS ADVENT INDONESIA,JAWA BARAT,B,27520000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),https://campus.quipper.com/directory/universitas-advent-indonesia
SEKOLAH TINGGI ILMU EKONOMI EKUITAS,JAWA BARAT,B,27454200.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
SEKOLAH TINGGI ILMU ADMINISTRASI CIMAHI,JAWA BARAT,BAIK,27000002.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS ISLAM AL-IHYA KUNINGAN,JAWA BARAT,BAIK,26118000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS TELKOM,JAWA BARAT,UNGGUL,26000000.0,JAWA BARAT - Menengah (15-40 Jt) - Unggul (A),https://campus.quipper.com/directory/universitas-telkom
UNIVERSITAS BANI SALEH,JAWA BARAT,BAIK SEKALI,25450000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN PASUNDAN,JAWA BARAT,B,25150000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
UNIVERSITAS INTERNASIONAL JAKARTA,JAWA BARAT,BAIK,25000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS KOMPUTER INDONESIA,JAWA BARAT,B,24950000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),https://rencanamu.id/cari-kampus/universitas-komputer-indonesia
SEKOLAH TINGGI MANAJEMEN INFORMATIKA DAN KOMPUTER AL-FATH,JAWA BARAT,BAIK,24240000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
STIKES MUHAMMADIYAH CIREBON,JAWA BARAT,BAIK,23600000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,https://campus.quipper.com/directory/stikes-muhammadiyah-cirebon
UNIVERSITAS BHAKTI KENCANA,JAWA BARAT,BAIK,23600000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS GLOBAL JAKARTA,JAWA BARAT,BAIK,22801250.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU EKONOMI HARAPAN BANGSA,JAWA BARAT,BAIK SEKALI,22640000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
UNIVERSITAS BHAKTI HUSADA INDONESIA,JAWA BARAT,B,22350000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
TELKOM UNIVERSITY,JAWA BARAT,A,22000000.0,JAWA BARAT - Menengah (15-40 Jt) - Unggul (A),https://rencanamu.id/cari-kampus/telkom-university
UNIVERSITAS SANGGA BUANA,JAWA BARAT,UNGGUL,21940000.0,JAWA BARAT - Menengah (15-40 Jt) - Unggul (A),-
UNIVERSITAS JENDERAL ACHMAD YANI,JAWA BARAT,B,21504000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),https://rencanamu.id/cari-kampus/universitas-jenderal-achmad-yani
UNIVERSITAS HORIZON INDONESIA,JAWA BARAT,BAIK,21196000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU KESEHATAN AHMAD DAHLAN CIREBON,JAWA BARAT,BAIK,20850000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-kesehatan-ahmad-dahlan-cirebon
SEKOLAH TINGGI DESAIN INDONESIA BANDUNG,JAWA BARAT,BAIK,20827000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS MEDIKA SUHERMAN,JAWA BARAT,BAIK SEKALI,20293750.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
UNIVERSITAS PANCA SAKTI BEKASI,JAWA BARAT,BAIK SEKALI,20200000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
SEKOLAH TINGGI ILMU KESEHATAN BOGOR HUSADA,JAWA BARAT,BAIK,20000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU EKONOMI CIREBON,JAWA BARAT,BAIK,20000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-cirebon
SEKOLAH TINGGI PARIWISATA BOGOR,JAWA BARAT,BAIK SEKALI,20000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),https://campus.quipper.com/directory/sekolah-tinggi-pariwisata-bogor
UNIVERSITAS MUHAMMADIYAH AHMAD DAHLAN CIREBON,JAWA BARAT,BAIK SEKALI,19450000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
STIKES MUHAMMADIYAH CIAMIS,JAWA BARAT,BAIK SEKALI,18950000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
INSTITUT KESEHATAN IMMANUEL,JAWA BARAT,BAIK SEKALI,18500000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
SEKOLAH TINGGI ILMU KESEHATAN BHAKTI HUSADA CIKARANG,JAWA BARAT,BAIK,18000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS WINAYA MUKTI,JAWA BARAT,BAIK SEKALI,17900000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
SEKOLAH TINGGI ILMU KESEHATAN INDRAMAYU,JAWA BARAT,BAIK,17675000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU KESEHATAN MITRA KELUARGA,JAWA BARAT,TERAKREDITASI,17640000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS MUHAMMADIYAH TASIKMALAYA,JAWA BARAT,BAIK,17450000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,https://campus.quipper.com/directory/universitas-muhammadiyah-tasikmalaya
INSTITUT TEKNOLOGI NASIONAL,JAWA BARAT,B,16725000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),https://rencanamu.id/cari-kampus/institut-teknologi-nasional
SEKOLAH TINGGI ILMU KESEHATAN RS DUSTIRA,JAWA BARAT,BAIK,16500000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU EKONOMI LATIFAH MUBAROKIYAH,JAWA BARAT,BAIK,16500000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS GUNADARMA,JAWA BARAT,A,16100000.0,JAWA BARAT - Menengah (15-40 Jt) - Unggul (A),https://rencanamu.id/cari-kampus/universitas-gunadarma
INSTITUT BISNIS DAN INFORMATIKA KESATUAN,JAWA BARAT,B,16000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-kesatuan
SEKOLAH TINGGI TEKNOLOGI TERPADU NURUL FIKRI,JAWA BARAT,C,16000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,https://campus.quipper.com/directory/sekolah-tinggi-teknologi-terpadu-nurul-fikri
SEKOLAH TINGGI ILMU KESEHATAN HOLISTIK,JAWA BARAT,BAIK,16000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS TARUNA BAKTI,JAWA BARAT,BAIK,15650000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU KESEHATAN PELITA ILMU DEPOK,JAWA BARAT,BAIK,15300000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI BAHASA ASING JIA,JAWA BARAT,BAIK,15000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,https://campus.quipper.com/directory/sekolah-tinggi-bahasa-asing-jia
SEKOLAH TINGGI ILMU KESEHATAN CIANJUR,JAWA BARAT,BAIK,15000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU KEPERAWATAN PPNI JAWA BARAT,JAWA BARAT,TERAKREDITASI,15000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI HUKUM BANDUNG,JAWA BARAT,A,15000000.0,JAWA BARAT - Menengah (15-40 Jt) - Unggul (A),https://rencanamu.id/cari-kampus/sekolah-tinggi-hukum-bandung
UNIVERSITAS ISLAM 45,JAWA BARAT,B,14527000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
INSTITUT KEGURUAN DAN ILMU PENDIDIKAN SILIWANGI,JAWA BARAT,BAIK SEKALI,13800000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
INSTITUT DIGITAL EKONOMI LPKIA,JAWA BARAT,BAIK,13600000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU KESEHATAN SUKABUMI,JAWA BARAT,B,13560000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
UNIVERSITAS SEHATI INDONESIA,JAWA BARAT,BAIK,13500000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
INSTITUT KESEHATAN DAN BISNIS ANNISA,JAWA BARAT,BAIK,13255000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
INSTITUT TEKNOLOGI DAN SAINS BANDUNG,JAWA BARAT,C,13000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,https://campus.quipper.com/directory/institut-teknologi-dan-sains-bandung
UNIVERSITAS AN NASHER,JAWA BARAT,BAIK,12750000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI TEKNOLOGI DUTA BANGSA,JAWA BARAT,BAIK,12645000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI TEKNOLOGI CIREBON,JAWA BARAT,BAIK,12350000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
INSTITUT TEKNOLOGI DAN BISNIS RIYADLUL ULUM,JAWA BARAT,BAIK,12232000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS KUNINGAN,JAWA BARAT,B,12150000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),https://rencanamu.id/cari-kampus/universitas-kuningan
UNIVERSITAS ISLAM 45 BEKASI,JAWA BARAT,B,12000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),https://campus.quipper.com/directory/universitas-islam-45-bekasi
STMIK AMIK BANDUNG,JAWA BARAT,BAIK SEKALI,12000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
UNIVERSITAS GALUH,JAWA BARAT,BAIK SEKALI,12000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
SEKOLAH TINGGI ILMU KOMPUTER POLTEK CIREBON,JAWA BARAT,BAIK,12000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-komputer-poltek-cirebon
UNIVERSITAS PUTRA INDONESIA,JAWA BARAT,BAIK,11841500.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU KESEHATAN MAHARDIKA CIREBON,JAWA BARAT,BAIK,11700000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-kesehatan-mahardika-cirebon
UNIVERSITAS LANGLANGBUANA,JAWA BARAT,B,11500000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),https://campus.quipper.com/directory/universitas-langlangbuana
UNIVERSITAS INDONESIA MEMBANGUN,JAWA BARAT,B,11200000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
UNIVERSITAS WIDYATAMA,JAWA BARAT,B,11100000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),https://rencanamu.id/cari-kampus/universitas-widyatama
SEKOLAH TINGGI ILMU KESEHATAN AKSARI,JAWA BARAT,BAIK,11000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
STIKES KARSA HUSADA GARUT,JAWA BARAT,BAIK,11000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS TEKNOLOGI BANDUNG,JAWA BARAT,BAIK,11000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS MUHAMMADIYAH SUKABUMI,JAWA BARAT,BAIK SEKALI,10836000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
UNIVERSITAS DJUANDA,JAWA BARAT,B,10800000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),https://campus.quipper.com/directory/universitas-djuanda
UNIVERSITAS AL-GHIFARI,JAWA BARAT,BAIK,10690000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU EKONOMI YASA ANGGANA,JAWA BARAT,BAIK,10600000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS PERTIWI,JAWA BARAT,BAIK,10600000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS MUHAMMADIYAH CILEUNGSI,JAWA BARAT,BAIK,10500000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU EKONOMI SUTAATMADJA,JAWA BARAT,BAIK SEKALI,10325000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
SEKOLAH TINGGI ILMU EKONOMI MULIA PRATAMA,JAWA BARAT,BAIK,10040000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-mulia-pratama
SEKOLAH TINGGI ILMU KESEHATAN SISMADI,JAWA BARAT,BAIK,10000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-kesehatan-sismadi
SEKOLAH TINGGI ILMU EKONOMI DHARMA AGUNG INDONESIA,JAWA BARAT,BAIK,9920000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS INFORMATIKA DAN BISNIS INDONESIA,JAWA BARAT,BAIK SEKALI,9700000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
SEKOLAH TINGGI ILMU HUKUM DAN POLITIK PELOPOR BANGSA,JAWA BARAT,BAIK,9600000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS HALIM SANUSI,JAWA BARAT,BAIK,9516000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
INSTITUT TEKNOLOGI DAN BISNIS DEWANTARA,JAWA BARAT,BAIK,9510000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
STISIP TASIKMALAYA,JAWA BARAT,BAIK,9460000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU EKONOMI PARIWISATA YAPARI,JAWA BARAT,BAIK,9300000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS YAYASAN PENDIDIKAN IMAM BONJOL MAJALENGKA,JAWA BARAT,BAIK,9100000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
INSTITUT TEKNOLOGI SAINS BANDUNG,JAWA BARAT,BAIK,9050000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS ADHIRAJASA RESWARA SANJAYA,JAWA BARAT,B,9000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
INSTITUT TEKNOLOGI GARUT,JAWA BARAT,BAIK SEKALI,8960000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
UNIVERSITAS MUHAMMADIYAH CIREBON,JAWA BARAT,B,8850000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
UNIVERSITAS CATUR INSAN CENDEKIA,JAWA BARAT,BAIK,8820000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS ISLAM AS-SYAFIIYAH,JAWA BARAT,BAIK SEKALI,8812500.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
SEKOLAH TINGGI BAHASA ASING YAPARI,JAWA BARAT,BAIK,8750000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS TEKNOLOGI NUSANTARA,JAWA BARAT,BAIK,8750000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
STIEB PERDANA MANDIRI,JAWA BARAT,BAIK,8638000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
INSTITUT TEKNOLOGI DAN KESEHATAN MAHARDIKA,JAWA BARAT,BAIK SEKALI,8600000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
SEKOLAH TINGGI HUKUM GARUT,JAWA BARAT,BAIK,8500000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS SINDANG KASIH MAJALENGKA,JAWA BARAT,BAIK,8500000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS WIRALODRA,JAWA BARAT,B,8480000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),https://rencanamu.id/cari-kampus/universitas-wiralodra
STMIK PAMITRAN,JAWA BARAT,BAIK,8400000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU EKONOMI KALPATARU,JAWA BARAT,BAIK,8400000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS SURYAKANCANA,JAWA BARAT,B,8160000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
INSTITUT PENDIDIKAN INDONESIA GARUT,JAWA BARAT,BAIK SEKALI,8110000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
SEKOLAH TINGGI ILMU EKONOMI MANAJEMEN BISNIS INDONESIA,JAWA BARAT,BAIK,8100000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS TEKNOLOGI DIGITAL,JAWA BARAT,BAIK,8100000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
STMIK DCI,JAWA BARAT,BAIK,8000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU EKONOMI INSAN PEMBANGUNAN,JAWA BARAT,BAIK,8000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-insan-pembangunan
STISIP WIDYAPURI MANDIRI,JAWA BARAT,BAIK,8000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
STMIK IM,JAWA BARAT,TIDAK TERAKREDITASI,8000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
STKIP ARRAHMANIYAH,JAWA BARAT,BAIK,8000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS SEBELAS APRIL,JAWA BARAT,BAIK SEKALI,8000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
STMIK PRANATA INDONESIA,JAWA BARAT,BAIK,7994000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI BAHASA ASING CIPTO HADI PRANOTO,JAWA BARAT,BAIK,7850000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
STMIK MARDIRA INDONESIA,JAWA BARAT,BAIK,7600000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS NUSA PUTRA,JAWA BARAT,UNGGUL,7600000.0,JAWA BARAT - Menengah (15-40 Jt) - Unggul (A),-
UNIVERSITAS NUSA BANGSA,JAWA BARAT,BAIK,7550000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
INSTITUT PRIMA BANGSA,JAWA BARAT,B,7500000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
UNIVERSITAS PERSATUAN ISLAM,JAWA BARAT,BAIK SEKALI,7500000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
SEKOLAH TINGGI PARIWISATA ARS INTERNASIONAL,JAWA BARAT,BAIK,7450000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
INSTITUT TEKNOLOGI AL-MUHAJIRIN,JAWA BARAT,BAIK,7000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS PERJUANGAN TASIKMALAYA,JAWA BARAT,BAIK,7000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
INSTITUT PENDIDIKAN DAN BAHASA INVADA,JAWA BARAT,B,7000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),https://campus.quipper.com/directory/institut-pendidikan-dan-bahasa-invada-ipb-cirebon
UNIVERSITAS LANGLANG BUANA,JAWA BARAT,BAIK SEKALI,7000000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
UNIVERSITAS MUHAMMADIYAH BOGOR RAYA,JAWA BARAT,BAIK SEKALI,6900000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
INSTITUT BUDI UTOMO NASIONAL,JAWA BARAT,BAIK,6810000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU EKONOMI BII BEKASI,JAWA BARAT,BAIK,6710000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS MAYASARI BAKTI,JAWA BARAT,BAIK,6575000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU EKONOMI TRI BHAKTI,JAWA BARAT,BAIK SEKALI,6400000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik Sekali (B),-
SEKOLAH TINGGI ILMU EKONOMI HIDAYATULLAH DEPOK,JAWA BARAT,BAIK,6400000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS BINANIAGA INDONESIA,JAWA BARAT,BAIK,6275000.0,JAWA BARAT - Terjangkau (5-15 Jt) - Baik,-
