institution_name,province,campus_accreditation,average_yearly_fee,kategori_final,link
INSTITUT TEKNOLOGI DAN BISNIS STIKOM BALI,BALI,B,13900000.0,BALI - Terjangkau (5-15 Jt) - Baik Sekali (B),-
UNIVERSITAS WARMADEWA,BALI,UNGGUL,13675000.0,BALI - Menengah (15-40 Jt) - Unggul (A),-
UNIVERSITAS DHYANA PURA,BALI,B,13500000.0,BALI - Terjangkau (5-15 Jt) - Baik Sekali (B),https://rencanamu.id/cari-kampus/universitas-dhyana-pura
UNIVERSITAS MAHASARASWATI DENPASAR,BALI,UNGGUL,13344800.0,BALI - Menengah (15-40 Jt) - Unggul (A),https://campus.quipper.com/directory/universitas-mahasaraswati-denpasar
SEKOLAH TINGGI ILMU KESEHATAN KESDAM IX/UDAYANA,BALI,BAIK,13300000.0,BALI - Terjangkau (5-15 Jt) - Baik,-
INSTITUT DESAIN DAN BISNIS BALI,BALI,BAIK,12750000.0,BALI - Terjangkau (5-15 Jt) - Baik,-
AKTEK RADIODIAGNOSTIK DAN RADIOTERAPI BALI,BALI,BAIK,12700000.0,BALI - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS BALI DWIPA,BALI,BAIK,12350000.0,BALI - Terjangkau (5-15 Jt) - Baik,-
STIKES ADVAITA MEDIKA TABANAN,BALI,BAIK,11650000.0,BALI - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS DWIJENDRA,BALI,B,11000000.0,BALI - Terjangkau (5-15 Jt) - Baik Sekali (B),https://rencanamu.id/cari-kampus/universitas-dwijendra
UNIVERSITAS TABANAN,BALI,BAIK SEKALI,10000000.0,BALI - Terjangkau (5-15 Jt) - Baik Sekali (B),-
INSTITUT TEKNOLOGI DAN KESEHATAN BINTANG PERSADA,BALI,BAIK,8900000.0,BALI - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU SOSIAL DAN ILMU POLITIK WIRA BHAKTI,BALI,BAIK,8400000.0,BALI - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU MANAJEMEN INDONESIA HANDAYANI,BALI,BAIK,8000000.0,BALI - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS TRIATMA MULYA,BALI,BAIK SEKALI,7400000.0,BALI - Terjangkau (5-15 Jt) - Baik Sekali (B),-
STISIP MARGARANA,BALI,BAIK,7350000.0,BALI - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS MAHENDRADATTA,BALI,BAIK SEKALI,7250000.0,BALI - Terjangkau (5-15 Jt) - Baik Sekali (B),-
SEKOLAH TINGGI ILMU EKONOMI SATYA DHARMA,BALI,BAIK,7000000.0,BALI - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS NGURAH RAI,BALI,BAIK SEKALI,6900000.0,BALI - Terjangkau (5-15 Jt) - Baik Sekali (B),https://campus.quipper.com/directory/universitas-ngurah-rai
STKIP AGAMA HINDU AMLAPURA,BALI,BAIK,6290000.0,BALI - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS TEKNOLOGI INDONESIA,BALI,BAIK,5900000.0,BALI - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI BISNIS RUNATA,BALI,BAIK,4900000.0,BALI - Terjangkau (5-15 Jt) - Baik,-
INSTITUT TEKNOLOGI DAN PENDIDIKAN MARKANDEYA BALI,BALI,BAIK,4432000.0,BALI - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS PANJI SAKTI SINGARAJA,BALI,BAIK,3855000.0,BALI - Terjangkau (5-15 Jt) - Baik,-
INSTITUT CITRA INTERNASIONAL,BANGKA BELITUNG,BAIK,20350000.0,BANGKA BELITUNG - Menengah (15-40 Jt) - Baik,-
UNIVERSITAS PERTIBA,BANGKA BELITUNG,BAIK SEKALI,18000000.0,BANGKA BELITUNG - Menengah (15-40 Jt) - Baik Sekali (B),-
INSTITUT PAHLAWAN 12,BANGKA BELITUNG,BAIK,12900000.0,BANGKA BELITUNG - Menengah (15-40 Jt) - Baik,-
INSTITUT SAINS DAN BISNIS ATMA LUHUR,BANGKA BELITUNG,B,6400000.0,BANGKA BELITUNG - Terjangkau (5-15 Jt) - Baik Sekali (B),-
UNIVERSITAS MUHAMMADIYAH BANGKA BELITUNG,BANGKA BELITUNG,BAIK SEKALI,4480000.0,BANGKA BELITUNG - Terjangkau (5-15 Jt) - Baik Sekali (B),-
SEKOLAH TINGGI ILMU HUKUM GUNUNG JATI,BANTEN,BAIK,251500000.0,BANTEN - Sultan (> 100 Jt) - Baik,-
