faculty,building_name,address,institution_code
ALL,Kampus Utama,"Jl. Sabar No 66, Petukangan Selatan, Pesanggrahan, Jakarta Selatan, 12270",quipper-10
ALL,Kampus Utama,"Jalan Galala Atas, Halong, Kec. Baguala, Kota Ambon, Maluku",quipper-11
ALL,Kampus Utama,"Jl. Taman Makam Pahlawan No. 1 Kalibata, RT.4/RW.4, Duren Tiga, Pancoran, Daerah Khusus Ibukota Jakarta 12760",quipper-12
ALL,Kampus Utama,"Jalan S.Supriadi Nomor 48 Malang Jawa Timur, Indonesia",quipper-13
ALL,Kampus Utama,"Jl. Kalitanjung No.14 - 18 A, Harjamukti, Kec. Harjamukti, Kota Cirebon, Jawa Barat 45143",quipper-14
ALL,Kampus Soepomo,"Gedung Universitas Sahid Jakarta, Jl. Prof. Dr. Supomo, SH No.84 Tebet, Jakarta Selatan 12870",quipper-15
ALL,Kampus Pascasarjana,"Sahid Sudirman Residence Lt. 5, Jl. Jendral Sudirman No. 86, Jakarta Pusat 10220",quipper-15
ALL,Kampus Ancol,"Jl. Lodan Raya No. 2 Ancol, Jakarta Utara 14430",quipper-16
ALL,Kampus Serpong,"Jalan Jalur Sutera Barat kav. 7-9, Alam Sutera, Tangerang, Banten, 15143",quipper-16
ALL,Kampus Utama,"Jalan Bougenville, Tateli Satu, Pineleng, Tateli Satu, Mandolang, Kabupaten Minahasa, Sulawesi Utara 95661",quipper-17
FAKULTAS EKONOMI DAN BISNIS,Kampus Roxy,"Pusat Niaga Roxy Mas Blok E2 No.38-39, Jl.K.H. Hasyim Ashari, Jakarta Pusat",quipper-18
FAKULTAS TEKNOLOGI INFORMASI,Kampus Roxy,"Pusat Niaga Roxy Mas Blok E2 No.38-39, Jl.K.H. Hasyim Ashari, Jakarta Pusat",quipper-18
FAKULTAS EKONOMI DAN BISNIS,Kampus Salemba,"Sentra Salemba Mas Blok S-T, Jl. Salemba Raya No. 34-36",quipper-18
FAKULTAS TEKNOLOGI INFORMASI,Kampus Salemba,"Sentra Salemba Mas Blok S-T, Jl. Salemba Raya No. 34-36",quipper-18
FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,Kampus Pusat,"Jl. Ciledug Raya, Petukangan Utara, Jakarta Selatan, 12260",quipper-18
FAKULTAS TEKNIK,Kampus Pusat,"Jl. Ciledug Raya, Petukangan Utara, Jakarta Selatan, 12260",quipper-18
FAKULTAS KOMUNIKASI DAN DESAIN KREATIF,Kampus Pusat,"Jl. Ciledug Raya, Petukangan Utara, Jakarta Selatan, 12260",quipper-18
FAKULTAS EKONOMI DAN BISNIS,Kampus Pusat,"Jl. Ciledug Raya, Petukangan Utara, Jakarta Selatan, 12260",quipper-18
FAKULTAS TEKNOLOGI INFORMASI,Kampus Pusat,"Jl. Ciledug Raya, Petukangan Utara, Jakarta Selatan, 12260",quipper-18
ALL,Kampus Utama,"Jl. Kedoya Raya No.18,
Jakarta Barat 11520",quipper-19
ALL,Kampus Utama,"Jalan Nginden Intan Timur I/18, Surabaya 60118",quipper-20
ALL,Kampus Utama,Jalan Kalidami Nomor 14-16 Surabaya,quipper-21
ALL,Kampus Utama,"Jl. Selomangleng No. 1, Pojok, Kec. Mojoroto, Kota Kediri, Jawa Timur 64115",quipper-22
ALL,Kampus Utama,"Jl. Kanayakan No.21, Dago, Kecamatan Coblong, Kota Bandung, Jawa Barat 40135",quipper-23
ALL,Kampus Utama,"Jl. Dr. Ir. H. Soekarno No.201, Klampis Ngasem, Kec. Sukolilo, Kota Surabaya, Jawa Timur 60117",quipper-24
ALL,Kampus Utama,"Jl. Semolowaru No.84, Surabaya 60283, Jawa Timur, Indonesia",quipper-25
ALL,Kampus Utama,"Jalan Ki Hajar Dewantara 15 A Iringmulyo, Kota Metro, Lampung",quipper-26
FAKULTAS SAINS DAN TEKNOLOGI,Universitas Raharja,Jl. Jenderal Sudirman No. 40 Modern Cikokol Tangerang 15117,quipper-27
ALL,Kampus Utama,"Jl. DR. Soebandi No.99, Cangkring, Patrang, Kec. Patrang, Kabupaten Jember, Jawa Timur 68111",quipper-28
ALL,Kampus Utama,"Jalan Dharmawangsa, Benoa, Kecamatan Kuta Selatan, Kabupaten Badung, Bali 80361",quipper-29
ALL,Kampus Utama,"IKIP Gunung Anyar Blok E No.152-154 & 197-198, Gn. Anyar, Kec. Gn. Anyar, Kota Surabaya, Jawa Timur 60295",quipper-30
ALL,Kampus A,"Jl. Hang Jebat III/F3 Kebayoran Baru, Jakarta Selatan 12120",quipper-31
ALL,Kampus B,"Jl. Raya Ragunan No. 29C Pasar Minggu,
Jakarta Selatan",quipper-31
ALL,Kampus C,"Jl. Percetakan
Negara No. 23A, Jakarta Pusat.",quipper-31
ALL,Kampus Utama,"Jalan Kolonel Masturi Nomor 288,
Kabupaten Bandung Barat,
Jawa Barat, Indonesia 40559",quipper-32
ALL,Kampus Benowo,"Jl. Raya Benowo 1-3, Surabaya",quipper-33
ALL,Kampus Wiyung,"Jl. Menganti Kramat 133, Wiyung, Surabaya",quipper-33
ALL,Kampus Utama,"Jl. Siwalankerto 121-131, RT.007/RW.01, Siwalankerto, Wonocolo, Surabaya 60236",quipper-34
ALL,Kampus Utama,"Jalan Raya Panglegur KM. 4 Pamekasan 69371
Jawa Timur, Indonesia",quipper-35
ALL,Kampus Utama,"Jalan Sumatera 118-120, Sumbersari, Jember, Jawa Timur",quipper-36
FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,Universitas Pramita Indonesia,"Jl. Boulevard Taman Ubud, Lippo Karawaci",quipper-37
FAKULTAS SAINS DAN TEKNOLOGI,Universitas Pramita Indonesia,"Jl. Boulevard Taman Ubud, Lippo Karawaci",quipper-37
FAKULTAS EKONOMI DAN BISNIS,Universitas Pramita Indonesia,"Jl. Boulevard Taman Ubud, Lippo Karawaci",quipper-37
ALL,Kampus B,"Jalan Raya Jemursari Nomor 57, Jemur Wonosari, Kecamatan Wonocolo, Kota Surabaya, Jawa Timur 60237",quipper-38
ALL,Kampus A,"Jalan Smea Nomor 57, Wonokromo, Kecamatan Wonokromo, Kota Surabaya, Jawa Timur 60243",quipper-38
ALL,Kampus Utama,"Jalan Sriwijaya no. 1 Kedaung, Kab. Cirebon, Jawa Barat",quipper-39
KEDOKTERAN,Kampus 2,Jl. Bendungan Sutami 188A Malang,quipper-40
LLMU KESEHATAN,Kampus 2,Jl. Bendungan Sutami 188A Malang,quipper-40
ALL,Kampus 1,Jl. Bandung No. 1 Malang,quipper-40
ALL,Kampus 3,Jl. Raya Tlogomas No. 246 Malang 65144,quipper-40
ALL,Kampus Utama,"Jl. Soegijo Pranoto TP 13, Madiun",quipper-41
ALL,Kampus Utama,"Jl. Trunojoyo No.16, Kepanjen, Malang",quipper-42
ALL,Kampus Vokasi,"Jalan Tipar Cakung Nomor 81A, RT 3 RW 7, Cakung Barat, Kecamatan Cakung, Kota Jakarta Timur, 13910",quipper-43
ALL,Kampus E,Jalan Cirendeu Raya Nomor 6 Tangerang Selatan,quipper-43
ALL,Kampus B,"Jalan Raya Industri Jababeka Nomor 69, Mekarmukti, Cikarang Utara, Kabupaten Bekasi 17530",quipper-43
ALL,Kampus Pusat,Jalan Pangkalan Asem Raya Nomor 55 Cempaka Putih Jakarta Pusat 10530,quipper-43
ALL,Kampus D,"Jalan Ir. H. Juanda Nomor 27 Kemiri Muka, Beji, Kota Depok",quipper-43
ALL,Kampus C,"Jalan TB Simatupang Nomor 005 RT 3 RW 11, Gedong, Kecamatan Pasar Rebo, Kota Jakarta Timur, 13760",quipper-43
ALL,Kampus F,Jalan K. H. Hasyim Ashari Nomor 338 Sudimara Pinang Tangerang Kota,quipper-43
ALL,Kampus Pascasarjana,Jalan Letjen Suprapto Nomor 504 Jakarta Pusat 10530,quipper-43
ALL,Kampus Cikarang,"Jl. Gaharu Blok F-3 Delta Silicon 2 Lippo Cikarang, Kelurahan Cibatu, Kecamatan Cikarang Selatan, Bekasi, Jawa Barat 17530",quipper-44
ALL,Kampus Sunter,"Komplek PT Astra International Tbk. Gedung B, Jl. Gaya Motor Raya No. 8, Sunter II, Jakarta 14330",quipper-44
ALL,Kampus 1,"Graha Mahardhika, Jl. Wisata Menanggal 42A, Surabaya 60234, Jawa Timur",quipper-45
ALL,Kampus 2,"Graha Pena Lantai 2, Jl. A. Yani No. 88, Surabaya, Jawa Timur",quipper-45
FAKULTAS SENI PERTUNJUKAN,Kampus Utama,"Jalan Kampwolker Perumnas 3 Waena, Kota Jayapura, Papua",quipper-46
FAKULTAS SENI RUPA DAN DESAIN,Kampus Utama,"Jalan Kampwolker Perumnas 3 Waena, Kota Jayapura, Papua",quipper-46
ALL,Kampus Semanggi,"Jl. Jenderal Sudirman RT 02 RW 04 No. 51, Karet Semanggi, Jakarta 12930",quipper-47
ALL,Kampus BSD,"Jl. Raya Cisauk Lapan, Sampora, Kec. Cisauk, Kabupaten Tangerang, Banten 15345",quipper-47
ALL,Kampus Pluit,"Jl. Pluit Raya No.2, RT.21/RW.8, Penjaringan, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14440",quipper-47
ALL,Kampus Utama,"Jalan Tajoin Tuan, Kel. Naimata, Kec. Maulafa Kota Kupang, Nusa Tenggara Timur 85147",quipper-48
FAKULTAS PSIKOLOGI DAN ILMU SOSIAL BUDAYA,Kampus Utama,"Jln. Kaliurang Km. 14.5, Sleman, Yogyakarta, 55584",quipper-49
FAKULTAS TEKNIK SIPIL DAN PERENCANAAN,Kampus Utama,"Jln. Kaliurang Km. 14.5, Sleman, Yogyakarta, 55584",quipper-49
FAKULTAS KEDOKTERAN,Kampus Utama,"Jln. Kaliurang Km. 14.5, Sleman, Yogyakarta, 55584",quipper-49
FAKULTAS ILMU AGAMA ISLAM,Kampus Utama,"Jln. Kaliurang Km. 14.5, Sleman, Yogyakarta, 55584",quipper-49
FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM,Kampus Utama,"Jln. Kaliurang Km. 14.5, Sleman, Yogyakarta, 55584",quipper-49
FAKULTAS HUKUM,Kampus Utama,"Jln. Kaliurang Km. 14.5, Sleman, Yogyakarta, 55584",quipper-49
