faculty,prodi,quipper_institution_code
Arsitektur dan Desain,Arsitektur dan Desain Produk,84
Kedokteran,Pendidikan Kedokteran,84
Kedokteran,Profesi Dokter,84
Bioteknologi,Biologi,84
Teknologi Informasi,Sistem Informasi,84
Teknologi Informasi,Teknik Informatika,84
Kependidikan dan Humaniora,Pendidikan Bahasa Inggris,84
Kependidikan dan Humaniora,Studi Humanitas,84
Sarjana,Pendidikan Bahasa & Sastra Indonesia,85
Sarjana,Pendidikan Matematika,85
Sarjana,Pendidikan Guru Sekolah Dasar,85
Sarjana,Pendidikan Guru Pendidikan Anak Usia Dini,85
Sarjana,Pendidikan Bahasa & Sastra Inggris,85
Sarjana,Akuntansi,86
Sarjana,Manajemen,86
Magister,Manajemen,86
Pascasarjana,Manajemen,87
Sarjana,Akuntansi,87
Sarjana,Manajemen,87
Pascasarjana,Perbankan Syariah,88
Sarjana,Perbankan Syariah,88
Sarjana,Akuntansi Syariah,88
Sarjana,Manajemen Bisnis Syariah,88
Sarjana,Hukum Ekonomi Syariah,88
Fakultas Pertanian,Peternakan,89
Fakultas Pertanian,Agribisnis,89
Fakultas Pertanian,Teknologi Industri Pertanian,89
Fakultas Pertanian,Agroteknologi,89
Fakultas Pertanian,Arsitektur Lanskap,89
Fakultas Ekonomi,Akuntansi,89
Fakultas Ekonomi,Manajemen,89
Fakultas Teknik,Teknik Sipil,89
Fakultas Teknik,Teknik Kimia,89
Fakultas Ilmu Sosial dan Ilmu Politik,Administrasi Publik,89
Fakultas Ilmu Sosial dan Ilmu Politik,Ilmu Komunikasi,89
Fakultas Ilmu Kesehatan,Keperawatan,89
Fakultas Ilmu Kesehatan,Kebidanan,89
Pascasarjana,Ekonomi Pertanian,89
Pascasarjana,Administrasi Publik,89
Fakultas Ilmu Pendidikan,Pendidikan Biologi,89
Fakultas Ilmu Pendidikan,Pendidikan Matematika,89
Fakultas Ilmu Pendidikan,Pendidikan Guru Sekolah Dasar,89
Program Diploma,Teknik Pembuatan Peralatan Perkakas Produksi,90
Program Diploma,Teknik Produksi dan Proses Manufaktur,90
Program Diploma,Manajemen Informatika,90
Program Diploma,Mesin Otomotif,90
Program Diploma,Mekatronika Teknologi Konstruksi Bangunan Gedung,90
Sarjana,Manajemen,91
Sarjana,Akuntansi,91
Fakultas Matematika dan Ilmu Pengetahuan Alam,Matematika,92
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Bahasa Inggris,92
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Geografi,92
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Ilmu Pengetahuan Sosial (IPS),92
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Bahasa dan Sastra Indonesia,92
Fakultas Ilmu Sosial dan Ilmu Politik,Ilmu Pemerintahan,92
Fakultas Ekonomi,Akuntansi,92
Fakultas Pertanian,Agroteknologi,92
Fakultas Pertanian,Agribisnis,92
Fakultas Teknologi Informasi,Teknik Informatika,92
Fakultas Teknologi Informasi,Sistem Informasi,92
Fakultas Ilmu Kesehatan,Ilmu Keperawatan,92
Fakultas Ekonomi & Bisnis,Ekonomi Pembangunan,93
Fakultas Ekonomi & Bisnis,Akuntansi,93
Fakultas Ekonomi & Bisnis,Manajemen,93
Fakultas Teknik & Informatika,Teknik Elektro,93
Fakultas Teknik & Informatika,Teknik Industri,93
Fakultas Teknik & Informatika,Teknik Mesin,93
Fakultas Teknik & Informatika,Sistem Informasi,93
Fakultas Teknik & Informatika,Fisika,93
Fakultas Ilmu Sosial & Budaya,Bahasa Inggris,93
Fakultas Ilmu Sosial & Budaya,Ilmu Komunikasi,93
Fakultas Ilmu Sosial & Budaya,Psikologi,93
Pascasarjana,Akuntansi,93
Pascasarjana,Manajemen,93
Ma'had Aly Riyadhul Jannah,Ilmu Al-Qur'an,96
Fakultas Teknik Militer,Teknik Informatika,97
Fakultas Teknik Militer,Teknik Elektro,97
Fakultas Teknik Militer,Teknik Mesin,97
Fakultas Teknik Militer,Konstruksi,97
Fakultas Keamanan Nasional,Lainnya,97
Fakultas Matematika dan Ilmu Pengetahuan Alam Militer,Matematika,97
Fakultas Matematika dan Ilmu Pengetahuan Alam Militer,Fisika,97
Fakultas Matematika dan Ilmu Pengetahuan Alam Militer,Kimia,97
Fakultas Matematika dan Ilmu Pengetahuan Alam Militer,Biologi,97
Fakultas Kedokteran Militer,Pendidikan Dokter,97
Fakultas Farmasi Militer,Farmasi,97
Fakultas Strategi Pertahanan,Lainnya,97
Fakultas Manajemen Pertahanan,Ilmu Ekonomi,97
Fakultas Manajemen Pertahanan,Manajemen,97
Fakultas Teknologi Pertahanan,Ilmu Teknik,97
Fakultas Teknologi Pertahanan,Teknik Industri,97
Ilmu Kesehatan,Ilmu Keperawatan,99
Ilmu Kesehatan,Gizi,99
Ilmu Kesehatan,Lainnya,99
Fakultas Seni Pertunjukan,Seni Tari,100
Fakultas Seni Pertunjukan,Seni Musik,100
Fakultas Seni Pertunjukan,Seni Rupa Murni,100
Fakultas Seni Rupa dan Desain,Kriya Seni,100
Fakultas Seni Rupa dan Desain,Desain Komunikasi Visual,100
"Fakultas Ushuluddin, Adab, dan Humaniora",Sejarah Peradaban Islam,101
"Fakultas Ushuluddin, Adab, dan Humaniora",Ilmu Hadits,101
"Fakultas Ushuluddin, Adab, dan Humaniora",Bahasa dan Sastra Ara,101
"Fakultas Ushuluddin, Adab, dan Humaniora",Ilmu Al-Qur’an dan Tafsir,101
Fakultas Dakwah,Pengembangan Masyarakat Islam,101
Fakultas Dakwah,Bimbingan Konseling Islam,101
Fakultas Dakwah,Manajemen Dakwah,101
Fakultas Dakwah,Komunikasi dan Penyiaran Islam,101
Fakultas Dakwah,Psikologi Islam,101
Fakultas Dakwah,Komunikasi dan Penyiaran Islam,101
Fakultas Syariah,Hukum Keluarga,101
Fakultas Syariah,Hukum Pidana Islam,101
Fakultas Syariah,Hukum Ekonomi Syariah,101
Fakultas Syariah,Hukum Tata Negara,101
Fakultas Syariah,Hukum Keluarga,101
Fakultas Tarbiyah dan Ilmu Keguruan,Tadris Ilmu Pengetahuan Sosial,101
Fakultas Tarbiyah dan Ilmu Keguruan,Pendidikan Guru Madrasah Ibtidaiyah,101
Fakultas Tarbiyah dan Ilmu Keguruan,Tadris Biologi,101
Fakultas Tarbiyah dan Ilmu Keguruan,Pendidikan Agama Islam,101
Fakultas Tarbiyah dan Ilmu Keguruan,Tadris Ilmu Pengetahuan Alam,101
Fakultas Tarbiyah dan Ilmu Keguruan,Pendidikan Bahasa Arab,101
Fakultas Tarbiyah dan Ilmu Keguruan,Tadris Matematika,101
Fakultas Tarbiyah dan Ilmu Keguruan,Manajemen Pendidikan Islam,101
Fakultas Tarbiyah dan Ilmu Keguruan,Pendidikan Islam Anak Usia Dini,101
Fakultas Tarbiyah dan Ilmu Keguruan,Tadris Bahasa Inggris,101
Fakultas Tarbiyah dan Ilmu Keguruan,Pendidikan Agama Islam,101
Fakultas Tarbiyah dan Ilmu Keguruan,Pendidikan Bahasa Arab,101
Fakultas Tarbiyah dan Ilmu Keguruan,Pendidikan Guru Madrasah Ibtidaiyah,101
Fakultas Tarbiyah dan Ilmu Keguruan,Manajemen Pendidikan Islam,101
Fakultas Tarbiyah dan Ilmu Keguruan,Manajemen Pendidikan Islam,101
Fakultas Tarbiyah dan Ilmu Keguruan,Pendidikan Agama Islam,101
Fakultas Ekonomi dan Bisnis Islam,Manajemen Zakat dan Wakaf,101
Fakultas Ekonomi dan Bisnis Islam,Perbankan Syari'ah,101
Fakultas Ekonomi dan Bisnis Islam,Ekonomi Syari’ah,101
Fakultas Ekonomi dan Bisnis Islam,Akuntansi Syari’ah,101
Fakultas Ekonomi dan Bisnis Islam,Ekonomi Syari’ah,101
Fakultas Ushuluddin,Ilmu al-Qur'an dan Tafsir,102
Pascasarjana,Ekonomi Syariah,102
Pascasarjana,Ilmu Al-Qur'an dan Tafsir,102
Pascasarjana,Manajemen Pendidikan Islam,102
Fakultas Tarbiyah,Pendidikan Agama Islam,102
Fakultas Tarbiyah,Pendidikan Islam Anak Usia Dini,102
Fakultas Syariah,Al-Ahwal al-Syakhsiyyah,102
Fakultas Syariah,Ekonomi Syariah,102
Fakultas Dakwah,Komunikasi dan Penyiaran Islam,102
Fakultas Dakwah,Manajemen Dakwah,102
Teknik,Manajemen Informatika,103
Teknik,Teknik Informatika,103
Teknik,Sistem Informasi,103
Teknik,Arsitektur,103
Teknik,Teknik Sipil,103
Teknik,Teknik Industri,103
Psikologi,Psikologi,103
Ilmu Komunikasi,Ilmu Komunikasi,103
Ilmu Komunikasi,Desain Komunikasi Visual,103
Ekonomi dan Bisnis,Manajemen Perusahaan,103
Ekonomi dan Bisnis,Akuntansi,103
Ekonomi dan Bisnis,Manajemen,103
Ekonomi dan Bisnis,Kewirausahaan,104
Kesehatan,Ilmu Keperawatan,104
Kesehatan,Ilmu Gizi,104
Kesehatan,Ners,104
Kesehatan,Kebidanan,104
Sains dan Teknologi,Bisnis Digital,104
Sains dan Teknologi,Ilmu Komputer,104
Fakultas Ilmu Vokasi,Keperawatan,106
Fakultas Ilmu Vokasi,Keperawatan Anestesiologi,106
Fakultas Ilmu Vokasi,Keselamatan dan Kesehatan Kerja,106
Fakultas Ilmu Vokasi,Pengobatan Tradisional Tiongkok,106
Fakultas Ilmu Sosial dan Teknologi,Bisnis Digital,106
Fakultas Ilmu Sosial dan Teknologi,Manajemen Ritel,106
Fakultas Ilmu Kesehatan,Farmasi,106
Fakultas Ilmu Kesehatan,Administrasi Kesehatan,106
Fakultas Ilmu Kesehatan,Keperawatan,106
Fakultas Ilmu Kesehatan,Kebidanan,106
Fakultas Ilmu Kesehatan,Fisioterapi,106
Fakultas Ilmu Kesehatan,Gizi,106
Fakultas Ilmu Kesehatan,Ners,106
Fakultas Ilmu Kesehatan,Bidan,106
Pelayaran,Ilmu Teknik,107
Pelayaran,Kelautan,107
Pelayaran,Sekolah Kedinasan,107
Pelayaran,Nautika,107
Fakultas Ekonomi dan Bisnis,Ekonomi Pembangunan,109
Fakultas Ekonomi dan Bisnis,Akuntansi,109
Fakultas Ekonomi dan Bisnis,Manajemen,109
Fakultas Teknik,Teknik Mesin,109
Fakultas Teknik,Teknik Informatika,109
Fakultas Teknik,Teknik Industri,109
Fakultas Bahasa dan Sastra,Sastra Inggris,109
Fakultas Ilmu Sosial dan Ilmu Politik,Ilmu Administrasi Negara,109
Fakultas Hukum,Ilmu Hukum,109
Fakultas Pertanian,Agribisnis,109
Fakultas Psikologi,Psikologi,109
Pascasarjana,Manajemen,109
Pascasarjana,Ilmu Administrasi Publik,109
Pascasarjana,Ilmu Hukum,109
Fakultas Ekonomi,Ilmu Ekonomi,111
Fakultas Ekonomi,Manajemen,111
Fakultas Ekonomi,Akuntansi,111
Fakultas Hukum,Ilmu Hukum,111
Fakultas Teknik,Teknik Elektro,111
Fakultas Teknik,Teknik Sipil,111
Fakultas Teknik,Teknik Informatika,111
Fakultas Ilmu Sosial dan Politik,Ilmu Administrasi,111
Fakultas Ilmu Sosial dan Politik,Ilmu Komunikasi,111
Fakultas Psikologi dan Ilmu Sosial Budaya,Pendidikan Bahasa Inggris,114
Fakultas Psikologi dan Ilmu Sosial Budaya,Ilmu Komunikasi,114
Fakultas Psikologi dan Ilmu Sosial Budaya,Hubungan Internasional,114
Fakultas Psikologi dan Ilmu Sosial Budaya,Psikologi,114
Fakultas Teknik Sipil dan Perencanaan,Arsitektur,114
Fakultas Teknik Sipil dan Perencanaan,Teknik Sipil,114
Fakultas Teknik Sipil dan Perencanaan,Teknik Lingkungan,114
Fakultas Kedokteran,Pendidikan Dokter,114
Fakultas Ilmu Agama Islam,Ilmu Hukum,114
Fakultas Ilmu Agama Islam,Ilmu Agama Islam,114
Fakultas Ilmu Agama Islam,Ilmu Ekonomi,114
Fakultas Ilmu Agama Islam,Ekonomi Syariah,114
Fakultas Matematika dan Ilmu Pengetahuan Alam,Kimia,114
Fakultas Matematika dan Ilmu Pengetahuan Alam,Farmasi,114
Fakultas Matematika dan Ilmu Pengetahuan Alam,Statistika,114
Fakultas Hukum,Ilmu Hukum,114
Fakultas Teknologi Industri,Teknik Industri,114
Fakultas Teknologi Industri,Teknik Kimia,114
Fakultas Teknologi Industri,Teknik Elektro,114
Fakultas Teknologi Industri,Teknik Mesin,114
Fakultas Teknologi Industri,Teknik Informatika,114
Fakultas Bisnis dan Ekonomika,Ilmu Ekonomi,114
Fakultas Bisnis dan Ekonomika,Akuntansi,114
Fakultas Bisnis dan Ekonomika,Manajemen,114
Fakultas Bisnis dan Ekonomika,Ekonomi Pembangunan,114
Sarjana,Sastra Jepang,115
Sarjana,Sastra Inggris,115
Sarjana,Pendidikan Guru Sekolah Dasar,115
Sarjana,Pendidikan Teknologi Informasi dan Komunikasi,115
Sarjana,Pendidikan Bahasa Inggris,115
Profesi,Ners,117
Sarjana,Keperawatan,117
Diploma,Teknologi Laboratorium Medis,117
Diploma,Kebidanan,117
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Matematika,119
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Bahasa dan Sastra Indonesia,119
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Bahasa Inggris,119
Fakultas Hukum,Ilmu Hukum,119
Fakultas Agama Islam,Ahwal Al-Syakhshiyah,119
Fakultas Agama Islam,Pendidikan Islam Anak Usia Dini (PIAUD),119
Fakultas Agama Islam,Pendidikan Agama Islam,119
Fakultas Agama Islam,Pendidikan Guru Madrasah Ibtidaiyah (PGMI),119
Fakultas Agama Islam,Pendidikan Bahasa Arab,119
Fakultas Teknik,Teknik Mesin,119
Fakultas Teknik,Teknik Elektro,119
Fakultas Teknik,Teknik Sipil,119
Fakultas Ilmu Administrasi,Ilmu Administrasi Negara,119
Fakultas Ilmu Administrasi,Ilmu Administrasi Niaga,119
Fakultas Ilmu Administrasi,Ilmu Administrasi,119
Fakultas Kedokteran,Pendidikan Kedokteran,119
Fakultas Kedokteran,Profesi Dokter,119
Fakultas Kedokteran,Farmasi,119
Fakultas Pertanian,Agroeknologi,119
Fakultas Pertanian,Agribisnis,119
Fakultas Ekonomi dan Bisnis,Manajemen,119
Fakultas Ekonomi dan Bisnis,Akuntansi,119
Fakultas Ekonomi dan Bisnis,Perbankan Syariah,119
Fakultas Ekonomi dan Bisnis,Kenotariatan,119
Fakultas Peternakan,Peternakan,119
Fakultas Matematika dan Ilmu Pengetahuan Alam,Biologi,119
Sarjana,Teologi,121
Magister,Teologi,121
Program Vokasi,Perpajakan,123
Program Vokasi,Administrasi Bisnis,123
Program Vokasi,Akuntansi Bisnis,123
Fakultas Ilmu Sosial dan Manajemen,Manajemen Komunikasi,123
Fakultas Ilmu Sosial dan Manajemen,Hospitality dan Pariwisata,123
Fakultas Ilmu Sosial dan Manajemen,Manajemen Logistik,123
Fakultas Ilmu Administrasi,Administrasi Publik,123
Fakultas Ilmu Administrasi,Administrasi Bisnis,123
Program Pascasarjana,Ilmu Administrasi,123
Dharma Acarya,Pendidikan Agama Hindu,126
Dharma Acarya,Pendidikan Guru Sekolah Dasar,126
Dharma Acarya,Pendidikan Guru Pendidikan Anak Usia Dini,126
Dharma Acarya,Sastra Agama dan Pendidikan Bahasa Bali,126
Dharma Acarya,Pendidikan Bahasa Inggris,126
Dharma Acarya,Pendidikan Profesi Guru,126
Pascasarjana,Brahma Widya (Filsafat),126
Pascasarjana,Dharma Acarya (Ilmu Pendidikan Agama Hindu),126
Pascasarjana,Ilmu Komunikasi Hindu,126
Pascasarjana,Pariwisata Budaya dan Keagamaan,126
Pascasarjana,Pendidikan Bahasa Bali,126
Pascasarjana,Ilmu Agama,126
Dharma Duta,Ilmu Komunikasi Hindu,126
Dharma Duta,Industri Perjalanan,126
Dharma Duta,Penerangan Agama Hindu,126
Dharma Duta,Hukum Hindu,126
Dharma Duta,Informatika,126
Dharma Duta,Kewirausahaan,126
Brahma Widya,Filsafat Hindu,126
Brahma Widya,Teologi Hindu,126
Brahma Widya,Yoga Kesehatan,126
Brahma Widya,Kepanditaan,126
Fakultas Ilmu Sosial dan Ilmu Politik,Ilmu Pemerintahan,128
Fakultas Ilmu Sosial dan Ilmu Politik,Ilmu Komunikasi,128
Fakultas Sains dan Teknologi,Teknik Informatika,128
Fakultas Sains dan Teknologi,Teknik Mesin,128
Fakultas Sains dan Teknologi,Teknik Elektro,128
Fakultas Sains dan Teknologi,Teknik Industri,128
Fakultas Ekonomi dan Bisnis,Manajemen,128
Fakultas Ekonomi dan Bisnis,Akuntansi,128
Fakultas Ekonomi dan Bisnis,,128
"Farmasi, Administrasi Rumah Sakit, Kesehatan Masyarakat, Radiologi (FAKAR)",Farmasi,129
"Farmasi, Administrasi Rumah Sakit, Kesehatan Masyarakat, Radiologi (FAKAR)",Administrasi Rumah Sakit,129
"Farmasi, Administrasi Rumah Sakit, Kesehatan Masyarakat, Radiologi (FAKAR)",Kesehatan Masyarakat,129
"Farmasi, Administrasi Rumah Sakit, Kesehatan Masyarakat, Radiologi (FAKAR)",Radiologi,129
Pascasarjana,Keperawatan,129
Pascasarjana,Kesehatan Masyarakat,129
Keperawatan dan Kebidanan,Keperawatan,129
Keperawatan dan Kebidanan,Kebidanan,129
Program Magister Terapan,Pemanfaatan Sumberdaya Perikanan,130
Program Sarjana Terapan,Penyuluhan Perikanan,130
Program Sarjana Terapan,Permesinan Perikanan,130
Program Sarjana Terapan,Teknologi Akuakultur,130
Program Sarjana Terapan,Teknologi Penangkapan Ikan,130
Program Sarjana Terapan,Teknologi Pengelolaan Sumberdaya Perairan,130
Program Sarjana Terapan,Teknologi Pengolahan Hasil Perikanan,130
Fakultas Sains dan Teknologi,Teknik Informatika,132
Fakultas Sains dan Teknologi,Sistem Informasi,132
Fakultas Sains dan Teknologi,Teknik Industri,132
Fakultas Sains dan Teknologi,Desain Komunikasi Visual,132
Fakultas Sains dan Teknologi,Farmasi,132
Fakultas Bahasa dan Seni,Pendidikan Bahasa Mandarin,132
Fakultas Bahasa dan Seni,Sastra Inggris,132
Fakultas Ekonomi dan Bisnis,Manajemen,132
Fakultas Ekonomi dan Bisnis,Akuntansi,132
Bisnis dan Manajemen,Sastra Inggris,133
Ilmu Pelayaran,Kelautan,135
Ilmu Pelayaran,Sekolah Kedinasan,135
Ilmu Pelayaran,Ilmu Teknik,135
Ilmu Pelayaran,Nautika,135
Sarjana,Teknik Informatika,136
Sarjana,Sistem Informasi,136
Diploma,Manajemen Informatika,136
Diploma,Komputerisasi Akuntansi,136
Ilmu Kesehatan,Keperawatan,137
Ilmu Kesehatan,Kebidanan,137
Ilmu Kesehatan,Farmasi,137
Fakultas Bisnis,Akuntansi,138
Fakultas Bisnis,Kewirausahaan,138
Fakultas Bisnis,Banking & Finance,138
Fakultas Bisnis,Digital Marketing,138
Fakultas Pendidikan,Pendidikan Matematika,138
Fakultas Pendidikan,Pendidikan Bahasa Inggris,138
Fakultas Teknik dan Teknologi,Ilmu Komputer,138
Fakultas Teknik dan Teknologi,Sistem Informasi,138
Fakultas Teknik dan Teknologi,Teknik Industri,138
Fakultas Teknik dan Teknologi,Desain Komunikasi Visual,138
Fakultas Teknik dan Teknologi,Teknik Mesin,138
Fakultas Seni dan Ilmu Pengetahuan,Psikologi,138
Fakultas Psikologi,Psikologi,139
Fakultas Psikologi,Magister Psikologi,139
Fakultas Psikologi,Profesi Psikologi,139
Fakultas Psikologi,Doktoral Psikologi,139
Fakultas Ilmu Administrasi Bisnis dan Ilmu Komunikasi,Administrasi Bisnis,139
Fakultas Ilmu Administrasi Bisnis dan Ilmu Komunikasi,Ilmu Komunikasi,139
Fakultas Ilmu Administrasi Bisnis dan Ilmu Komunikasi,Pariwisata,139
Fakultas Ilmu Administrasi Bisnis dan Ilmu Komunikasi,Ilmu Administrasi Bisnis,139
Fakultas Ekonomi dan Bisnis,Manajemen,139
Fakultas Ekonomi dan Bisnis,Akuntansi,139
Fakultas Ekonomi dan Bisnis,Ekonomi Pembangunan,139
Fakultas Teknobiologi,Bioteknologi,139
Fakultas Teknobiologi,Teknologi Pangan,139
Fakultas Kedokteran dan Ilmu Kesehatan,Kedokteran,139
Fakultas Kedokteran dan Ilmu Kesehatan,Dokter,139
Fakultas Kedokteran dan Ilmu Kesehatan,Farmasi,139
Fakultas Kedokteran dan Ilmu Kesehatan,Biomedik,139
Fakultas Teknik,Teknik Mesin,139
Fakultas Teknik,Teknik Industri,139
Fakultas Teknik,Teknik Elektro,139
Fakultas Teknik,Sistem Informasi,139
Fakultas Hukum,Ilmu Hukum,139
Fakultas Pendidikan dan Bahasa,Bimbingan dan Konseling,139
Fakultas Pendidikan dan Bahasa,Ilmu Pendidikan Teologi (Keagamaan Katolik),139
Fakultas Pendidikan dan Bahasa,Pendidikan Guru Sekolah Dasar,139
Fakultas Pendidikan dan Bahasa,Pendidikan Bahasa Inggris,139
Fakultas Pendidikan dan Bahasa,Linguistik Terapan Bahasa Inggris,139
Program Sarjana,Agen Intelijen,141
Program Sarjana,Teknologi Intelijen,141
Program Sarjana,Cyber Intelijen,141
Program Sarjana,Ekonomi Intelijen,141
Program Pascasarjana,Intelijen Medik,141
Program Pascasarjana,Kajian Intelijen,141
Program Pascasarjana,Teknologi dan Cyber,141
Program Pascasarjana,Intelijen Ekonomi,141
Program Pascasarjana,Analisis Strategi Intelijen,141
Fakultas Keguruan dan Ilmu Pendidikan,Bimbingan dan Konseling,142
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Kimia,142
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Agama Kristen,142
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Matematika,142
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Biologi,142
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Fisika,142
Fakultas Ilmu Sosial dan Ilmu Politik,Ilmu Komunikasi,142
Fakultas Ilmu Sosial dan Ilmu Politik,Ilmu Politik,142
Fakultas Ilmu Sosial dan Ilmu Politik,Ilmu Hubungan Internasional,142
Fakultas Kedokteran,Kedokteran,142
Fakultas Kedokteran,Dokter,142
Fakultas Teknik,Teknik Mesin,142
Fakultas Teknik,Teknik Elektro,142
Fakultas Teknik,Teknik Sipil,142
Fakultas Teknik,Teknik Arsitektur,142
Fakultas Hukum,Ilmu Hukum,142
Fakultas Ekonomi dan Bisnis,Manajemen,142
Fakultas Ekonomi dan Bisnis,Akuntansi,142
Fakultas Sastra dan Bahasa,Pendidikan Bahasa Inggris,142
Fakultas Sastra dan Bahasa,Sastra Inggris,142
Fakultas Sastra dan Bahasa,Pendidikan Bahasa Mandarin,142
Program Pascasarjana,Administrasi Pendidikan,142
Program Pascasarjana,Hukum,142
Program Pascasarjana,Pendidikan Agama Kristen,142
Program Pascasarjana,Manajemen,142
Program Pascasarjana,Teknik Elektro,142
Program Pascasarjana,Arsitektur,142
Program Pascasarjana,Pendidikan Agama Kristen,142
Program Pascasarjana,Hukum,142
Fakultas Vokasi,Fisioterapi,142
Fakultas Vokasi,Keperawatan,142
Fakultas Vokasi,Analisis Keuangan,142
Fakultas Vokasi,Manajemen Pajak,142
Komunikasi & Bahasa,Ilmu Komunikasi,143
Komunikasi & Bahasa,Sastra Inggris,143
Komunikasi & Bahasa,Broadcasting (Penyiaran),143
Komunikasi & Bahasa,Public Relations,143
Komunikasi & Bahasa,Lainnya,143
Ekonomi & Bisnis,Akuntansi,143
Ekonomi & Bisnis,Manajemen,143
Ekonomi & Bisnis,Perpajakan,143
Ekonomi & Bisnis,Perhotelan,143
Ekonomi & Bisnis,Administrasi Bisnis (Niaga),143
Ekonomi & Bisnis,Administrasi Perkantoran,143
Teknik & Informatika,Ilmu Teknik,143
Teknik & Informatika,Teknik Elektro,143
Teknik & Informatika,Teknik Industri,143
Teknik & Informatika,Ilmu Komputer,143
Teknik & Informatika,Sistem Informasi,143
Teknik & Informatika,Lainnya,143
Ilmu Komunikasi,Ilmu Komunikasi,144
Ekonomi dan Bisnis,Manajemen,144
Ekonomi dan Bisnis,Akuntansi,144
Ekonomi dan Bisnis,Ekonomi Pembangunan,144
Sastra,Sastra Jepang,144
Sastra,Sastra Inggris,144
Hukum,Ilmu Hukum,144
Ilmu Kesehatan,Kebidanan,144
Ilmu Kesehatan,Teknologi Bank Darah,144
Ilmu Administrasi,Ilmu Administrasi Negara,144
Ilmu Administrasi,Ilmu Administrasi Niaga,144
Ilmu Administrasi,Ilmu Administrasi,144
Ilmu Administrasi,Kesekretariatan,144
Keguruan dan Ilmu Pendidikan,Pendidikan Bahasa dan Sastra Indonesia,144
Keguruan dan Ilmu Pendidikan,Pendidikan Matematika,144
Keguruan dan Ilmu Pendidikan,Pendidikan Bahasa Indonesia,144
Keguruan dan Ilmu Pendidikan,Teknologi Pendidikan,144
Pertanian,Agrobisnis Perikanan,144
Pertanian,Pemanfaatan Sumberdaya Perikanan,144
Pertanian,Teknologi Pangan,144
Pertanian,Budidaya Perairan,144
Teknik,Teknik Informatika,144
Teknik,Teknik Sipil,144
Teknik,Teknik Geomatika,144
Magister,Keperawatan,146
Profesi,Ners,146
Profesi,Bidan,146
Sarjana,Ilmu Keperawatan,146
Sarjana,Kebidanan,146
Sarjana,Ilmu Gizi,146
Fakultas Teknik,Teknik Lingkungan,147
Fakultas Teknik,Teknik Industri,147
Fakultas Ekonomi dan Bisnis,Manajemen,147
Fakultas Ekonomi dan Bisnis,Akuntansi,147
Fakultas Ilmu Komunikasi,Ilmu Komunikasi,147
Fakultas Ilmu Komunikasi,Broadcasting (Humas),147
Fakultas Hukum,Ilmu Hukum,147
Fakultas Teknologi Pangan & Kesehatan,Gizi,147
Fakultas Teknologi Pangan & Kesehatan,Teknologi Pangan,147
Sekolah Pascasarjana,Manajemen,147
Sekolah Pascasarjana,Ilmu Komunikasi,147
Kedokteran,Pendidikan Dokter,148
Hukum,Hukum,148
Pertanian dan Peternakan,Agroteknologi/Agronomi,148
Pertanian dan Peternakan,Agribisnis,148
Pertanian dan Peternakan,Teknologi Pangan,148
Pertanian dan Peternakan,Kehutanan,148
Pertanian dan Peternakan,Peternakan,148
Pertanian dan Peternakan,Akuakultur,148
Keguruan dan Ilmu Pendidikan,Pendidikan Matematika,148
Keguruan dan Ilmu Pendidikan,Pendidikan Biologi,148
Keguruan dan Ilmu Pendidikan,Pendidikan Bahasa Indonesia,148
Keguruan dan Ilmu Pendidikan,Pendidikan Pancasila dan Kewarganegaraan,148
Keguruan dan Ilmu Pendidikan,Pendidikan Bahasa Inggris,148
Keguruan dan Ilmu Pendidikan,Pendidikan Guru Sekolah Dasar,148
Ilmu Sosial dan Ilmu Politik,Ilmu Komunikasi,148
Ilmu Sosial dan Ilmu Politik,Ilmu Pemerintahan,148
Ilmu Sosial dan Ilmu Politik,Hubungan Internasional,148
Ilmu Sosial dan Ilmu Politik,Kesejahteraan Sosial,148
Ilmu Sosial dan Ilmu Politik,Sosiologi,148
Ekonomi dan Bisnis,Manajemen,148
Ekonomi dan Bisnis,Akuntansi,148
Ekonomi dan Bisnis,Ekonomi Pembangunan,148
Ekonomi dan Bisnis,Keuangan dan Perbankan,148
Agama Islam,Pendidikan Agama Islam,148
Agama Islam,Hukum Keluarga Islam- Ahwal Syakhshiyyah,148
Agama Islam,Ekonomi Syariah,148
Agama Islam,Pendidikan Bahasa Arab,148
Teknik,Teknik Mesin,148
Teknik,Teknik Sipil,148
Teknik,Teknik Industri,148
Teknik,Informatika,148
Teknik,Teknik Elektro/Teknologi Elektronika,148
Psikologi,Psikologi,148
llmu Kesehatan,Ilmu Keperawatan,148
llmu Kesehatan,Farmasi,148
llmu Kesehatan,Fisioterapi,148
Fakultas Ekonomi dan Bisnis,Bisnis Perhotelan,151
