institution_code,institution_name,akreditasi_kampus,address,provinsi,faculty,prodi,akreditasi_prodi,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee
rencanamu-1,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,AGROTEKNOLOGI,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-2,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,PETERNAKAN,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-3,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,AGRIBISNIS,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-4,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,BUDIDAYA PERAIRAN,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-5,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,KEHUTANAN,C,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-6,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,TEKNOLOGI INDUSTRI PERTANIAN,C,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-7,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,PENDIDIKAN MATEMATIKA,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-8,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,PENDIDIKAN BAHASA INGGRIS,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-9,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,PENDIDIKAN BIOLOGI,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-10,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-11,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,PENDIDIKAN FISIKA,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-12,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,PENDIDIKAN EKONOMI,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-13,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,PENDIDIKAN GURU SD,A,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-14,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,PENDIDIKAN GEOGRAFI,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-15,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,PENDIDIKAN GURU PAUD,C,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-16,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,ILMU ADMINISTRASI NEGARA,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-17,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,ILMU ADMINISTRASI NIAGA,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-18,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,ILMU HUBUNGAN INTERNASIONAL,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-19,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,EKONOMI PEMBANGUNAN,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-20,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,PENDIDIKAN TEKNIK INFORMATIKA,C,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-21,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,TEKNIK SIPIL,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-22,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,KEBIDANAN,C,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-23,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,ARSITEKTUR,C,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-24,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,MANAJEMEN INFORMATIKA,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-25,UNIVERSITAS SERAMBI MEKKAH,-,-,ACEH,UMUM,PENDIDIKAN AGAMA ISLAM,B,-,-,-,-,-,-
rencanamu-26,UNIVERSITAS SERAMBI MEKKAH,-,-,ACEH,UMUM,PENDIDIKAN BAHASA INGGRIS,B,-,-,-,-,-,-
rencanamu-27,UNIVERSITAS SERAMBI MEKKAH,-,-,ACEH,UMUM,PENDIDIKAN EKONOMI,B,-,-,-,-,-,-
rencanamu-28,UNIVERSITAS SERAMBI MEKKAH,-,-,ACEH,UMUM,"PENDIDIKAN JASMANI, KESEHATAN DAN REKREASI",B,-,-,-,-,-,-
rencanamu-29,UNIVERSITAS SERAMBI MEKKAH,-,-,ACEH,UMUM,PENDIDIKAN KIMIA,B,-,-,-,-,-,-
rencanamu-30,UNIVERSITAS SERAMBI MEKKAH,-,-,ACEH,UMUM,PENDIDIKAN BIOLOGI,C,-,-,-,-,-,-
rencanamu-31,UNIVERSITAS SERAMBI MEKKAH,-,-,ACEH,UMUM,AKUNTANSI,C,-,-,-,-,-,-
rencanamu-32,UNIVERSITAS SERAMBI MEKKAH,-,-,ACEH,UMUM,MANAJEMEN,C,-,-,-,-,-,-
rencanamu-33,UNIVERSITAS SERAMBI MEKKAH,-,-,ACEH,UMUM,KESEHATAN MASYARAKAT,B,-,-,-,-,-,-
rencanamu-34,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,MANAJEMEN SYARIAH,A,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-35,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN AGAMA ISLAM,A,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-36,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN ANAK USIA DINI,B,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-37,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,PERBANKAN SYARIAH,B,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-38,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,BIMBINGAN DAN KONSELING,B,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-39,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN BAHASA INGGRIS,B,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-40,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,B,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-41,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN MATEMATIKA,B,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-42,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN KEWARGANEGARAAN,B,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-43,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN AKUNTANSI,A,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-44,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,ADMINISTRASI NEGARA,B,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-45,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,ILMU KOMUNIKASI,A,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-46,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,ILMU KESEJAHTERAAN SOSIAL,A,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-47,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,AGRIBISNIS,B,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-48,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,AGROTEKNOLOGI,B,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-49,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,ILMU DAN TEKNOLOGI PANGAN,B,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-50,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,TEKNOLOGI HASIL PERTANIAN,B,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-51,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,AKUNTANSI,A,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-52,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,EKONOMI PEMBANGUNAN,B,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-53,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,MANAJEMEN,A,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-54,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,ILMU HUKUM,A,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-55,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,TEKNIK ELEKTRO,B,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-56,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,TEKNIK MESIN,B,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-57,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,TEKNIK SIPIL,B,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-58,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN DOKTER,B,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-59,UNIVERSITAS MEDAN AREA,B,-,SUMATERA UTARA,UMUM,PSIKOLOGI,B,7000000,7000000,56000000,14000000,14000000,56000000
rencanamu-60,UNIVERSITAS MEDAN AREA,B,-,SUMATERA UTARA,UMUM,AKUNTANSI,B,7000000,7000000,56000000,14000000,14000000,56000000
rencanamu-61,UNIVERSITAS MEDAN AREA,B,-,SUMATERA UTARA,UMUM,MANAJEMEN,A,7000000,7000000,56000000,14000000,14000000,56000000
rencanamu-62,UNIVERSITAS MEDAN AREA,B,-,SUMATERA UTARA,UMUM,ILMU HUKUM,B,7000000,7000000,56000000,14000000,14000000,56000000
rencanamu-63,UNIVERSITAS MEDAN AREA,B,-,SUMATERA UTARA,UMUM,ARSITEKTUR,B,7000000,7000000,56000000,14000000,14000000,56000000
rencanamu-64,UNIVERSITAS MEDAN AREA,B,-,SUMATERA UTARA,UMUM,TEKNIK ELEKTRO,B,7000000,7000000,56000000,14000000,14000000,56000000
rencanamu-65,UNIVERSITAS MEDAN AREA,B,-,SUMATERA UTARA,UMUM,TEKNIK INDUSTRI,B,7000000,7000000,56000000,14000000,14000000,56000000
rencanamu-66,UNIVERSITAS MEDAN AREA,B,-,SUMATERA UTARA,UMUM,TEKNIK MESIN,B,7000000,7000000,56000000,14000000,14000000,56000000
rencanamu-67,UNIVERSITAS MEDAN AREA,B,-,SUMATERA UTARA,UMUM,TEKNIK SIPIL,B,7000000,7000000,56000000,14000000,14000000,56000000
rencanamu-68,UNIVERSITAS MEDAN AREA,B,-,SUMATERA UTARA,UMUM,TEKNIK INFORMATIKA,C,7000000,7000000,56000000,14000000,14000000,56000000
rencanamu-69,UNIVERSITAS MEDAN AREA,B,-,SUMATERA UTARA,UMUM,ILMU ADMINISTRASI NEGARA,A,7000000,7000000,56000000,14000000,14000000,56000000
rencanamu-70,UNIVERSITAS MEDAN AREA,B,-,SUMATERA UTARA,UMUM,ILMU KOMUNIKASI,B,7000000,7000000,56000000,14000000,14000000,56000000
rencanamu-71,UNIVERSITAS MEDAN AREA,B,-,SUMATERA UTARA,UMUM,ILMU PEMERINTAHAN,B,7000000,7000000,56000000,14000000,14000000,56000000
rencanamu-72,UNIVERSITAS MEDAN AREA,B,-,SUMATERA UTARA,UMUM,BIOLOGI,B,7000000,7000000,56000000,14000000,14000000,56000000
rencanamu-73,UNIVERSITAS MEDAN AREA,B,-,SUMATERA UTARA,UMUM,AGRIBISNIS,A,7000000,7000000,56000000,14000000,14000000,56000000
rencanamu-74,UNIVERSITAS MEDAN AREA,B,-,SUMATERA UTARA,UMUM,AGROTEKNOLOGI,-,7000000,7000000,56000000,14000000,14000000,56000000
rencanamu-75,UNIVERSITAS ISLAM SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,AL-AHWAL AL-SYAKHSIYAH,B,3250000,3250000,26000000,6500000,6500000,26000000
rencanamu-76,UNIVERSITAS ISLAM SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,AKUNTANSI,B,3250000,3250000,26000000,6500000,6500000,26000000
rencanamu-77,UNIVERSITAS ISLAM SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,EKONOMI PEMBANGUNAN,B,3250000,3250000,26000000,6500000,6500000,26000000
rencanamu-78,UNIVERSITAS ISLAM SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,MANAJEMEN,B,3250000,3250000,26000000,6500000,6500000,26000000
rencanamu-79,UNIVERSITAS ISLAM SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,SASTRA INGGRIS,B,3250000,3250000,26000000,6500000,6500000,26000000
rencanamu-80,UNIVERSITAS ISLAM SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN AGAMA ISLAM,B,3250000,3250000,26000000,6500000,6500000,26000000
rencanamu-81,UNIVERSITAS ISLAM SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,B,3250000,3250000,26000000,6500000,6500000,26000000
rencanamu-82,UNIVERSITAS ISLAM SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN BIOLOGI,B,3250000,3250000,26000000,6500000,6500000,26000000
rencanamu-83,UNIVERSITAS ISLAM SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN MATEMATIKA,B,3250000,3250000,26000000,6500000,6500000,26000000
rencanamu-84,UNIVERSITAS ISLAM SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,ADMINISTRASI NEGARA,C,3250000,3250000,26000000,6500000,6500000,26000000
rencanamu-85,UNIVERSITAS ISLAM SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,TEKNOLOGI HASIL PERTANIAN,B,3250000,3250000,26000000,6500000,6500000,26000000
rencanamu-86,UNIVERSITAS ISLAM SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN DOKTER,B,3250000,3250000,26000000,6500000,6500000,26000000
rencanamu-87,UNIVERSITAS ISLAM SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,TEKNIK ELEKTRO,C,3250000,3250000,26000000,6500000,6500000,26000000
rencanamu-88,UNIVERSITAS ISLAM SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,TEKNIK INDUSTRI,B,3250000,3250000,26000000,6500000,6500000,26000000
rencanamu-89,UNIVERSITAS ISLAM SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,TEKNIK INFORMATIKA,C,3250000,3250000,26000000,6500000,6500000,26000000
rencanamu-90,UNIVERSITAS ISLAM SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,TEKNIK MESIN,B,3250000,3250000,26000000,6500000,6500000,26000000
rencanamu-91,UNIVERSITAS ISLAM SUMATERA UTARA,B,-,SUMATERA UTARA,UMUM,TEKNIK SIPIL,B,3250000,3250000,26000000,6500000,6500000,26000000
rencanamu-92,INSTITUT TEKNOLOGI MEDAN,-,-,SUMATERA UTARA,UMUM,ARSITEKTUR,C,2050000,2050000,16400000,4100000,4100000,16400000
rencanamu-93,INSTITUT TEKNOLOGI MEDAN,-,-,SUMATERA UTARA,UMUM,TEKNIK SIPIL,B,2050000,2050000,16400000,4100000,4100000,16400000
rencanamu-94,INSTITUT TEKNOLOGI MEDAN,-,-,SUMATERA UTARA,UMUM,TEKNIK ELEKTRO,B,2050000,2050000,16400000,4100000,4100000,16400000
rencanamu-95,INSTITUT TEKNOLOGI MEDAN,-,-,SUMATERA UTARA,UMUM,TEKNIK INDUSTRI,C,2050000,2050000,16400000,4100000,4100000,16400000
rencanamu-96,INSTITUT TEKNOLOGI MEDAN,-,-,SUMATERA UTARA,UMUM,TEKNIK INFORMATIKA,C,2050000,2050000,16400000,4100000,4100000,16400000
rencanamu-97,INSTITUT TEKNOLOGI MEDAN,-,-,SUMATERA UTARA,UMUM,TEKNIK KIMIA,C,2050000,2050000,16400000,4100000,4100000,16400000
rencanamu-98,INSTITUT TEKNOLOGI MEDAN,-,-,SUMATERA UTARA,UMUM,TEKNIK MESIN,B,2050000,2050000,16400000,4100000,4100000,16400000
rencanamu-99,INSTITUT TEKNOLOGI MEDAN,-,-,SUMATERA UTARA,UMUM,TEKNIK GEOLOGI,C,2050000,2050000,16400000,4100000,4100000,16400000
rencanamu-100,INSTITUT TEKNOLOGI MEDAN,-,-,SUMATERA UTARA,UMUM,TEKNIK PERTAMBANGAN,C,2050000,2050000,16400000,4100000,4100000,16400000
rencanamu-101,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,SASTRA INGGRIS,B,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-102,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,SENI MUSIK,B,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-103,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,AKUNTANSI,B,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-104,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,MANAJEMEN,B,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-105,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,EKONOMI PEMBANGUNAN,B,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-106,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,ILMU HUKUM,B,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-107,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN DOKTER,B,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-108,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN AGAMA KRISTEN,B,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-109,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN BAHASA INGGRIS,B,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-110,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN BAHASA JERMAN,-,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-111,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,B,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-112,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN EKONOMI,B,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-113,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN FISIKA,-,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-114,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN MATEMATIKA,B,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-115,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,B,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-116,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,AGROTEKNOLOGI,B,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-117,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,TEKNOLOGI HASIL PERTANIAN,B,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-118,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,AGRIBISNIS,B,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-119,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,ILMU ADMINISTRASI NEGARA,B,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-120,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,ILMU ADMINISTRASI NIAGA,B,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-121,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,ADMINISTRASI PERPAJAKAN,-,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-122,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,PETERNAKAN,B,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-123,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,TEKNIK ELEKTRO,B,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-124,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,TEKNIK MESIN,B,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-125,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,TEKNIK SIPIL,B,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-126,UNIVERSITAS HKBP NOMMENSEN,B,-,SUMATERA UTARA,UMUM,PSIKOLOGI,B,2700000,2700000,21600000,5400000,5400000,21600000
rencanamu-127,UNIVERSITAS MUSLIM NUSANTARA AL,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN EKONOMI,B,4000000,4000000,32000000,8000000,8000000,32000000
rencanamu-128,UNIVERSITAS MUSLIM NUSANTARA AL,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,B,4000000,4000000,32000000,8000000,8000000,32000000
rencanamu-129,UNIVERSITAS MUSLIM NUSANTARA AL,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN BAHASA INGGRIS,B,4000000,4000000,32000000,8000000,8000000,32000000
rencanamu-130,UNIVERSITAS MUSLIM NUSANTARA AL,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN MATEMATIKA,C,4000000,4000000,32000000,8000000,8000000,32000000
rencanamu-131,UNIVERSITAS MUSLIM NUSANTARA AL,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN FISIKA,C,4000000,4000000,32000000,8000000,8000000,32000000
rencanamu-132,UNIVERSITAS MUSLIM NUSANTARA AL,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN GURU SD,C,4000000,4000000,32000000,8000000,8000000,32000000
rencanamu-133,UNIVERSITAS MUSLIM NUSANTARA AL,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN ANAK USIA DINI,B,4000000,4000000,32000000,8000000,8000000,32000000
rencanamu-134,UNIVERSITAS MUSLIM NUSANTARA AL,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,B,4000000,4000000,32000000,8000000,8000000,32000000
rencanamu-135,UNIVERSITAS MUSLIM NUSANTARA AL,B,-,SUMATERA UTARA,UMUM,BIMBINGAN DAN KONSELING,-,4000000,4000000,32000000,8000000,8000000,32000000
rencanamu-136,UNIVERSITAS MUSLIM NUSANTARA AL,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN BAHASA INDONESIA,B,4000000,4000000,32000000,8000000,8000000,32000000
rencanamu-137,UNIVERSITAS MUSLIM NUSANTARA AL,B,-,SUMATERA UTARA,UMUM,FARMASI,-,4000000,4000000,32000000,8000000,8000000,32000000
rencanamu-138,UNIVERSITAS MUSLIM NUSANTARA AL,B,-,SUMATERA UTARA,UMUM,ILMU HUKUM,B,4000000,4000000,32000000,8000000,8000000,32000000
rencanamu-139,UNIVERSITAS MUSLIM NUSANTARA AL,B,-,SUMATERA UTARA,UMUM,MANAJEMEN,B,4000000,4000000,32000000,8000000,8000000,32000000
rencanamu-140,UNIVERSITAS MUSLIM NUSANTARA AL,B,-,SUMATERA UTARA,UMUM,AKUNTANSI,B,4000000,4000000,32000000,8000000,8000000,32000000
rencanamu-141,UNIVERSITAS MUSLIM NUSANTARA AL,B,-,SUMATERA UTARA,UMUM,SASTRA INGGRIS,-,4000000,4000000,32000000,8000000,8000000,32000000
rencanamu-142,UNIVERSITAS MUSLIM NUSANTARA AL,B,-,SUMATERA UTARA,UMUM,AGRIBISNIS,C,4000000,4000000,32000000,8000000,8000000,32000000
rencanamu-143,UNIVERSITAS METHODIST INDONESIA,B,-,SUMATERA UTARA,UMUM,SASTRA INGGRIS,B,3000000,3000000,24000000,6000000,6000000,24000000
rencanamu-144,UNIVERSITAS METHODIST INDONESIA,B,-,SUMATERA UTARA,UMUM,AGRIBISNIS,B,3000000,3000000,24000000,6000000,6000000,24000000
rencanamu-145,UNIVERSITAS METHODIST INDONESIA,B,-,SUMATERA UTARA,UMUM,AGROEKOTEKNOLOGI,B,3000000,3000000,24000000,6000000,6000000,24000000
rencanamu-146,UNIVERSITAS METHODIST INDONESIA,B,-,SUMATERA UTARA,UMUM,AKUNTANSI,B,3000000,3000000,24000000,6000000,6000000,24000000
rencanamu-147,UNIVERSITAS METHODIST INDONESIA,B,-,SUMATERA UTARA,UMUM,MANAJEMEN,B,3000000,3000000,24000000,6000000,6000000,24000000
rencanamu-148,UNIVERSITAS METHODIST INDONESIA,B,-,SUMATERA UTARA,UMUM,PENDIDIKAN DOKTER,C,3000000,3000000,24000000,6000000,6000000,24000000
rencanamu-149,UNIVERSITAS METHODIST INDONESIA,B,-,SUMATERA UTARA,UMUM,SISTEM INFORMASI,B,3000000,3000000,24000000,6000000,6000000,24000000
rencanamu-150,UNIVERSITAS METHODIST INDONESIA,B,-,SUMATERA UTARA,UMUM,TEKNIK INFORMATIKA,B,3000000,3000000,24000000,6000000,6000000,24000000
rencanamu-151,UNIVERSITAS METHODIST INDONESIA,B,-,SUMATERA UTARA,UMUM,MANAJEMEN INFORMATIKA,B,3000000,3000000,24000000,6000000,6000000,24000000
rencanamu-152,UNIVERSITAS METHODIST INDONESIA,B,-,SUMATERA UTARA,UMUM,KOMPUTERISASI AKUNTANSI,B,3000000,3000000,24000000,6000000,6000000,24000000
rencanamu-153,UNIVERSITAS QUALITY,-,-,SUMATERA UTARA,UMUM,AGROTEKNOLOGI,C,3550000,3550000,28400000,7100000,7100000,28400000
