faculty,building_name,address,institution_code
ALL,Kampus Utama,"Jalan Galala Atas, Halong, Kec. Baguala, Kota Ambon, Maluku",quipper-11
ALL,Kampus Utama,"Jl. Taman Makam Pahlawan No. 1 Kalibata, RT.4/RW.4, Duren Tiga, Pancoran, Daerah Khusus Ibukota Jakarta 12760",quipper-12
ALL,Kampus Utama,"Jalan S.Supriadi Nomor 48 Malang Jawa Timur, Indonesia",quipper-13
ALL,Kampus Utama,"Jl. Kalitanjung No.14 - 18 A, Harjamukti, Kec. Harjamukti, Kota Cirebon, Jawa Barat 45143",quipper-14
ALL,Kampus Soepomo,"Gedung Universitas Sahid Jakarta, Jl. Prof. Dr. Supomo, SH No.84 Tebet, Jakarta Selatan 12870",quipper-15
ALL,Kampus Pascasarjana,"Sahid Sudirman Residence Lt. 5, Jl. Jendral Sudirman No. 86, Jakarta Pusat 10220",quipper-15
ALL,Kampus Ancol,"Jl. Lodan Raya No. 2 Ancol, Jakarta Utara 14430",quipper-16
ALL,Kampus Serpong,"Jalan Jalur Sutera Barat kav. 7-9, Alam Sutera, Tangerang, Banten, 15143",quipper-16
ALL,Kampus Utama,"Jalan Bougenville, Tateli Satu, Pineleng, Tateli Satu, Mandolang, Kabupaten Minahasa, Sulawesi Utara 95661",quipper-17
Fakultas Ekonomi dan Bisnis,Kampus Roxy,"Pusat Niaga Roxy Mas Blok E2 No.38-39, Jl.K.H. Hasyim Ashari, Jakarta Pusat",quipper-18
Fakultas Teknologi Informasi,Kampus Roxy,"Pusat Niaga Roxy Mas Blok E2 No.38-39, Jl.K.H. Hasyim Ashari, Jakarta Pusat",quipper-18
Fakultas Ekonomi dan Bisnis,Kampus Salemba,"Sentra Salemba Mas Blok S-T, Jl. Salemba Raya No. 34-36",quipper-18
Fakultas Teknologi Informasi,Kampus Salemba,"Sentra Salemba Mas Blok S-T, Jl. Salemba Raya No. 34-36",quipper-18
Fakultas Ilmu Sosial dan Ilmu Politik,Kampus Pusat,"Jl. Ciledug Raya, Petukangan Utara, Jakarta Selatan, 12260",quipper-18
