institution_code,institution_name,province,body_type,campus_accreditation,faculty,prodi,edu_level,accreditation,average_yearly_fee,average_semester_fee
21,UNIVERSITAS DIAN NUSANTARA,D.K.I. JAKARTA,SWASTA,BAIK SEKALI,-,ELEKTRO,S1,BAIK,40004002100000.0,20002001050000.0
1060,UNIVERSITAS MUHAMMADIYAH BUTON,SULAWESI TENGGARA,SWASTA,BAIK SEKALI,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,BAHASA INDONESIA,S1,-,7700000.0,3850000.0
1899,SEKOLAH TINGGI MANAJEMEN INFORMATIKA DAN KOMPUTER JAKARTA STI&K,D.K.I. JAKARTA,SWASTA,B,PROGRAM DIPLOMA,MANAJEMEN INFORMATIKA,S1,-,1750000.0,875000.0
41,UNIVERSITAS KATOLIK WIDYA MANDALA SURABAYA,JAWA TIMUR,SWASTA,A,FAKULTAS TEKNOLOGI PERTANIAN,BIOLOGI,S1,BAIK SEKALI,234470600.0,117235300.0
1380,UNIVERSITAS MUSLIM INDONESIA,SULAWESI SELATAN,SWASTA,UNGGUL,FAKULTAS SASTRA,KEGURUAN &,S1,-,6000000.0,3000000.0
154,UNIVERSITAS BAKRIE,D.K.I. JAKARTA,SWASTA,B,FAKULTAS TEKNIK DAN ILMU KOMPUTER,SIPIL,S1,UNGGUL,32750000.0,16375000.0
285,UNIVERSITAS INDONESIA TIMUR,SULAWESI SELATAN,SWASTA,BAIK SEKALI,FAKULTAS HUKUM,HUKUM,S1,B,21700000.0,10850000.0
217,UNIVERSITAS TELKOM,JAWA BARAT,SWASTA,UNGGUL,FAKULTAS TEKNIK ELEKTRO,ELEKTRO,S1,UNGGUL,26000000.0,13000000.0
18,UNIVERSITAS HKBP NOMMENSEN,SUMATERA UTARA,SWASTA,B,FAKULTAS TEKNIK,ELEKTRO,S1,B,43995014537456.0,21997507268728.0
39,INSTITUT TEKNOLOGI HARAPAN BANGSA,JAWA BARAT,SWASTA,BAIK SEKALI,-,TEKNOLOGI INFORMASI,S1,-,243400000.0,121700000.0
439,UNIVERSITAS MUHAMMADIYAH ACEH,ACEH,SWASTA,BAIK SEKALI,FAKULTAS HUKUM,HUKUM,S1,B,15505000.0,7752500.0
616,UNIVERSITAS RAHARJA,BANTEN,SWASTA,TERAKREDITASI,FAKULTAS EKONOMI DAN BISNIS,KEWIRAUSAHAAN,S1,BAIK,12375870.0,6187935.0
81,UNIVERSITAS KRISTEN KRIDA WACANA,D.K.I. JAKARTA,SWASTA,C,FAKULTAS EKONOMI DAN BISNIS,MANAJEMEN,S1,A,56000000.0,28000000.0
47,UNIVERSITAS MUHAMMADIYAH SURABAYA,JAWA TIMUR,SWASTA,UNGGUL,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,BAHASA INGGRIS,S1,UNGGUL,142200000.0,71100000.0
250,INSTITUT ILMU KESEHATAN BHAKTI WIYATA KEDIRI,JAWA TIMUR,SWASTA,UNGGUL,TEKNOLOGI DAN MANAJEMEN KESEHATAN,KESEHATAN MASYARAKAT,S1,UNGGUL,24000000.0,12000000.0
37,UNIVERSITAS YARSI,D.K.I. JAKARTA,SWASTA,B,SEKOLAH PASCASARJANA,KENOTARIATAN,S1,-,262250000.0,131125000.0
30,UNIVERSITAS BINA INSAN,SUMATERA SELATAN,SWASTA,BAIK,-,MANAJEMEN,S1,B,750450000.0,375225000.0
1908,UNIVERSITAS BAKTI TUNAS HUSADA,JAWA BARAT,SWASTA,TERAKREDITASI,-,FARMASI,S1,BAIK SEKALI,900000.0,450000.0
849,UNIVERSITAS BINA BANGSA GETSEMPENA,ACEH,SWASTA,TERAKREDITASI,-,BAHASA INDONESIA,S1,BAIK SEKALI,9300000.0,4650000.0
1380,UNIVERSITAS MUSLIM INDONESIA,SULAWESI SELATAN,SWASTA,UNGGUL,FAKULTAS KESEHATAN MASYARAKAT,KESEHATAN MASYARAKAT,S1,UNGGUL,6000000.0,3000000.0
146,UNIVERSITAS KARYADARMA KUPANG,NUSA TENGGARA TIMUR,SWASTA,BAIK,-,JASMANI KESEHATAN REKREASI,S1,TIDAK TERAKREDITASI,33660000.0,16830000.0
16,UNIVERSITAS AL MUSLIM,ACEH,SWASTA,B,-,INFORMATIKA,S1,C,2200000.0,1100000.0
324,UNIVERSITAS MUHAMMADIYAH MALANG,JAWA TIMUR,SWASTA,A,PERTANIAN DAN PETERNAKAN,AKUAKULTUR,S1,UNGGUL,20000000.0,10000000.0
323,UNIVERSITAS PEKALONGAN,JAWA TENGAH,SWASTA,UNGGUL,FAKULTAS BATIK,LAINNYA,S1,-,20000000.0,10000000.0
33,UNIVERSITAS PGRI PALEMBANG,SUMATERA SELATAN,SWASTA,B,-,KELAUTAN,S1,TERAKREDITASI SEMENTARA,401975000.0,200987500.0
439,UNIVERSITAS MUHAMMADIYAH ACEH,ACEH,SWASTA,BAIK SEKALI,FAKULTAS AGAMA ISLAM,PERBANKAN,S1,-,15505000.0,7752500.0
973,UNIVERSITAS MUHAMMADIYAH PONTIANAK,KALIMANTAN BARAT,SWASTA,B,FAKULTAS ILMU KESEHATAN,KESEHATAN MASYARAKAT,S1,UNGGUL,8000000.0,4000000.0
34,UNIVERSITAS KATOLIK INDONESIA ATMA JAYA,DKI JAKARTA,SWASTA,A,FAKULTAS KEDOKTERAN DAN ILMU KESEHATAN,FARMASI,S1,C,338500000.0,169250000.0
476,UNIVERSITAS PEMBANGUNAN PANCA BUDI,SUMATERA UTARA,SWASTA,B,-,AGRIBISNIS,S1,TERAKREDITASI SEMENTARA,15000000.0,7500000.0
495,UNIVERSITAS SARJANAWIYATA TAMANSISWA,D.I. YOGYAKARTA,SWASTA,B,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,GURU SEKOLAH DASAR,S1,UNGGUL,14430003.0,7215001.0
52,UNIVERSITAS 17 AGUSTUS 1945 JAKARTA,D.K.I. JAKARTA,SWASTA,BAIK SEKALI,FAKULTAS TEKNIK DAN INFORMATIKA,MESIN,S1,B,114980000.0,57490000.0
27,UNIVERSITAS PASUNDAN,JAWA BARAT,SWASTA,A,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,GURU SEKOLAH DASAR,S1,UNGGUL,2512650000.0,1256325000.0
441,UNIVERSITAS KATOLIK SOEGIJAPRANATA,JAWA TENGAH,SWASTA,A,ILMU KOMPUTER,SISTEM INFORMASI,S1,C,15500000.0,7750000.0
52,UNIVERSITAS 17 AGUSTUS 1945 JAKARTA,D.K.I. JAKARTA,SWASTA,BAIK SEKALI,FAKULTAS EKONOMI BISNIS & ILMU SOSIAL,BISNIS DIGITAL,S1,BAIK SEKALI,114980000.0,57490000.0
29,UNIVERSITAS BATURAJA,SUMATERA SELATAN,SWASTA,BAIK SEKALI,-,AGRIBISNIS,S1,B,1300600000.0,650300000.0
1188,UNIVERSITAS NGURAH RAI,BALI,SWASTA,BAIK SEKALI,FAKULTAS TEKNIK,SIPIL,S1,UNGGUL,6900000.0,3450000.0
1712,UNIVERSITAS KRISTEN ARTHA WACANA,NUSA TENGGARA TIMUR,SWASTA,B,FAKULTAS TEKNOLOGI PERTANIAN,AGRIBISNIS,S1,-,4400000.0,2200000.0
786,UNIVERSITAS MERCU BUANA,D.K.I. JAKARTA,SWASTA,UNGGUL,FAKULTAS ILMU KOMUNIKASI,PENYIARAN,S1,-,10000000.0,5000000.0
786,UNIVERSITAS MERCU BUANA,D.K.I. JAKARTA,SWASTA,UNGGUL,FAKULTAS DESAIN DAN SENI KREATIF,DESAIN INTERIOR,S1,BAIK SEKALI,10000000.0,5000000.0
1380,UNIVERSITAS MUSLIM INDONESIA,SULAWESI SELATAN,SWASTA,UNGGUL,FAKULTAS TEKNOLOGI INDUSTRI,KIMIA,S1,UNGGUL,6000000.0,3000000.0
128,UNIVERSITAS SURABAYA,JAWA TIMUR,SWASTA,A,-,DESAIN KOMUNIKASI VISUAL,S1,TERAKREDITASI SEMENTARA,38850250.0,19425125.0
69,UNIVERSITAS KEBANGSAAN REPUBLIK INDONESIA,JAWA BARAT,SWASTA,BAIK SEKALI,-,AGRIBISNIS,S1,TERAKREDITASI SEMENTARA,66200003.0,33100001.0
83,UNIVERSITAS INDO GLOBAL MANDIRI,SUMATERA SELATAN,SWASTA,TERAKREDITASI,-,SISTEM INFORMASI,S1,BAIK SEKALI,55000000.0,27500000.0
1380,UNIVERSITAS MUSLIM INDONESIA,SULAWESI SELATAN,SWASTA,UNGGUL,-,EKONOMI PEMBANGUNAN,S1,UNGGUL,6000000.0,3000000.0
1164,UNIVERSITAS ISLAM MAKASSAR,SULAWESI SELATAN,SWASTA,B,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,BAHASA SASTRA INDONESIA,S1,UNGGUL,7000000.0,3500000.0
388,UNIVERSITAS DR SOETOMO,JAWA TIMUR,SWASTA,BAIK SEKALI,SASTRA,SASTRA JEPANG,S1,B,17520000.0,8760000.0
786,UNIVERSITAS MERCU BUANA,D.K.I. JAKARTA,SWASTA,UNGGUL,FAKULTAS ILMU KOMUNIKASI,HUBUNGAN MASYARAKAT,S1,-,10000000.0,5000000.0
1060,UNIVERSITAS MUHAMMADIYAH BUTON,SULAWESI TENGGARA,SWASTA,BAIK SEKALI,FAKULTAS TEKNIK,SIPIL,S1,C,7700000.0,3850000.0
356,UNIVERSITAS MUHAMMADIYAH SORONG,PAPUA BARAT,SWASTA,BAIK SEKALI,-,MATEMATIKA,S1,UNGGUL,18700000.0,9350000.0
27,UNIVERSITAS PASUNDAN,JAWA BARAT,SWASTA,A,-,BAHASA SASTRA INDONESIA,S1,A,2512650000.0,1256325000.0
