faculty,building_name,address,quipper_institution_code
Fakultas Ekonomi dan Bisnis,Universitas Ibn Khaldun (UIKA) Bogor,"Jln. KH. Sholeh Iskandar, RT.01/RW.10, Kedung Badak, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16162",13
Fakultas Agama Islam,Universitas Ibn Khaldun (UIKA) Bogor,"Jln. KH. Sholeh Iskandar, RT.01/RW.10, Kedung Badak, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16162",13
ALL,Kampus Utama,"Jalan Nginden Intan Timur I/18, Surabaya 60118",14
ALL,Kampus Tangerang,"Jalan Daan Mogot Nomor 31, Tangerang",15
ALL,Kampus Depok,"Jalan Margonda Raya Nomor 545, Depok",15
ALL,Kampus Utama,"Jalan Jatiwaringin Nomor 2, Cipinang Melayu, Makasar, Jakarta Timur",15
ALL,Kampus Cengkareng,"Jalan Kamal Raya Nomor 18, Ringroad Barat, Cengkareng, Jakarta Barat",15
ALL,Kampus Damai,"Jalan Damai Nomor 8, Warung Jari Barat (Margasatwa), Jakarta Selatan",15
ALL,Kampus Kramat 18,"Jalan Kramat Raya Nomor 18, Jakarta Pusat",15
ALL,Kampus Bekasi,"Jalan Raya Kaliabang Nomor 8, Perwira, Bekasi Utara",15
ALL,Kampus Utama,"Jl. Raya Jatiwaringin.
Jakarta Timur.
Indonesia.",16
ALL,Kampus A,"Komplek Pendidikan Perguruan Muhammadiyah Kramat Jl. Kramat Raya No.49, Lantai 4-5 Jakarta Pusat 10450",17
ALL,Kampus B,Jl. Minangkabau No. 60 – Manggarai Jakarta Selatan 12970,17
ALL,Kampus C,Jl. Sungai Kendal No. 146 Jakarta Utara 14140,17
ALL,Kampus 9,"Jl. Dewi Sartika No. 1 Debong Kulon RT. 001 / RW. 001, Tegal Selatan, Debong Kulon, Tegal",18
ALL,Kampus 1,"Jl. Tirto Agung Pedalangan, Banyumanik, Semarang 50268",18
ALL,Kampus 4,"Jl. Ahmad Yani, Ketanggar, Karangjati, Blora",18
ALL,Kampus 5,"Jl. Perintis Kemerdekaan, Magelang",18
ALL,Kampus 3,"Jl. Wolter Monginsidi No. 115, Pedurungan,Semarang",18
ALL,Kampus 6,"Jl. Perintis Kemerdekaan No.5, Pekalongan",18
ALL,Kampus 8,"Jl. Adipati Mercy, Purwokerto",18
ALL,Kampus 7,"Jl. Raya Baturraden KM.12, Kabupaten Banyumas",18
ALL,Kampus 10,"Jl. Laut No.21, Patukangan, Kendal, Kabupaten Kendal",18
ALL,Kampus Utama,Jl. Raya Siliwangi No. 6 Rawa Panjang Kota Bekasi - Jawa Barat,19
ALL,Kampus Cinagara,"Jalan Snakma
Desa Pasir Buncir, Kecamatan Caringin
Kabupaten Bogor, Jawa Barat, 16730",20
ALL,Kampus Cibalagung,"Jl. Aria Surialaga No. 1 Pasirjaya
Kecamatan. Bogor Barat
Kota Bogor, Jawa Barat 16119",20
ALL,Kampus Utama (A),Jl. Protokol Halim Perdanakusuma Komplek Bandara Halim Perdanakusuma Jakarta Timur 13610,21
ALL,Kampus B,"Jl. Angkasa, Komplek Angkasa
Halim Perdanakusuma
Jakarta Timur 13610",21
ALL,Universitas Ciputra Surabaya,"CitraLand CBD Boulevard, Made, Kecamatan Sambikerep, Kota Surabaya, Jawa Timur, 60219, Indonesia",22
ALL,Kampus Utama,"Jl. IKPN Bintaro No.1, RT. 4 / RW. 12, Bintaro, Pesanggrahan, Jakarta Selatan, 12330",23
ALL,Kampus Utama,"Jl. Dr. Ir. H. Soekarno No.201, Klampis Ngasem, Kec. Sukolilo, Kota Surabaya, Jawa Timur 60117",24
ALL,Kampus Utama,"Jl. Sawo Manila, Pejaten Ps. Minggu Jakarta 12520",25
ALL,Kampus Utama,"Jl. Letjend Ibrahim Adjie No. 180, Sindang Barang, Bogor Barat",26
ALL,Kampus Utama,"Jl. Pumpungan III No. 29, Surabaya",27
Perkeretaapian,Kampus Utama,"Jalan Tirta Raya, Kota Madiun, Jawa Timur",28
ALL,Kampus Utama,"Jl. KH. Wahid Hasyim no. 65, Kediri, Jawa Timur, 64114",29
ALL,Kampus Utama,"Jalan Kolonel Masturi Nomor 288,
Kabupaten Bandung Barat,
Jawa Barat, Indonesia 40559",30
ALL,Kampus Utama,"Jl. Karapitan No. 116, Bandung, Jawa Barat",31
ALL,Kampus Utama,Jl. Pulomas Selatan Kav. 23 Jakarta Timur,32
