faculty,building_name,address,quipper_institution_code
ALL,Kampus Utama,"Jalan Ujang Dewa, Ujang Dewa, Nunukan Selatan, Kabupaten Nunukan, Kalimantan Utara 77482",125
Pascasarjana,Kampus Pascasarjana,"Jl. Kenyeri No. 57, Denpasar, Bali",126
Dharma Acarya,Kampus Utama,"Jl. Ratna No.51, Tonja, Kec. Denpasar Utara, Kota Denpasar, Bali 80237",126
Dharma Duta,Kampus Utama,"Jl. Ratna No.51, Tonja, Kec. Denpasar Utara, Kota Denpasar, Bali 80237",126
ALL,Kampus Bangli,"Jl. Nusantara Kubu, Kabupaten Bangli, Bali",126
Brahma Widya,Kampus Fakultas Brahma Widya,"Jl. Kenyerti Gang Sekar Kemudia No. 2, Denpasar, Bali",126
ALL,Kampus Utama,"Jalan Terusan Rajabasa 2
Malang 65146 East Java, Indonesia",127
Fakultas Ilmu Sosial dan Ilmu Politik,Universitas Pramita Indonesia,"Jl. Boulevard Taman Ubud, Lippo Karawaci",128
Fakultas Sains dan Teknologi,Universitas Pramita Indonesia,"Jl. Boulevard Taman Ubud, Lippo Karawaci",128
Fakultas Ekonomi dan Bisnis,Universitas Pramita Indonesia,"Jl. Boulevard Taman Ubud, Lippo Karawaci",128
ALL,Kampus Utama,"Jl. Manila no. 37, Sumberece, Kec. Pesantren, Kota Kediri, Jawa Timur 64133",129
ALL,Kampus Utama,"Jl. Raya Pasar Minggu, Kecamatan Pasar Minggu, Jakarta Selatan, Jakarta 12520",130
ALL,Kampus 1,"Jalan Pemuda Ujung No.17, Hutagalung Siwaluompu, Kec. Tarutung, Kabupaten Tapanuli Utara, Sumatera Utara 22411",131
ALL,Kampus 2,"Jalan Raya Tarutung Siborongborong, Km. 11 Silangkitang, Desa Sipahutar, Kec. Sipoholon, Kabupaten Tapanuli Utara, Sumatera Utara 22452",131
ALL,Kampus Utama,"Villa Puncak Tidar N-01, 65151, Malang, Jawa Timur, Indonesia",132
ALL,Kampus Utama,"Jalan Ngagel Jaya Selatan 169, Surabaya",133
ALL,Kampus 1,"Jalan Malino Km. 7 Romanglompoa, Kecamatan Bontomarannu. Sungguminasa, Kabupaten Gowa, Sulawesi Selatan, 92171.",134
ALL,Kampus 2,"Desa Mappesangka & Desa Turuadae, Kecamatan Ponre, Kabupaten Bone, Sulawesi Selatan, 92765.",134
ALL,Kampus Utama,"Jalan Marunda Makmur Cilincing, Jakarta Utara 14150, Indonesia",135
ALL,Kampus Utama,"Jalan Sriwijaya no. 1 Kedaung, Kab. Cirebon, Jawa Barat",136
ALL,Kampus Utama,"Jalan R.A. Kartini No. 66 Bekasi, Jawa Barat 17113",137
Fakultas Bisnis,Kampus L'Avenue,"L’Avenue Campus Jln. Raya Pasar Minggu, Kav. 16 Pancoran, Jakarta 12780",138
Fakultas Pendidikan,Kampus L'Avenue,"L’Avenue Campus Jln. Raya Pasar Minggu, Kav. 16 Pancoran, Jakarta 12780",138
Fakultas Teknik dan Teknologi,Kampus L'Avenue,"L’Avenue Campus Jln. Raya Pasar Minggu, Kav. 16 Pancoran, Jakarta 12780",138
ALL,Kampus Semanggi,"Jl. Jenderal Sudirman RT 02 RW 04 No. 51, Karet Semanggi, Jakarta 12930",139
ALL,Kampus BSD,"Jl. Raya Cisauk Lapan, Sampora, Kec. Cisauk, Kabupaten Tangerang, Banten 15345",139
ALL,Kampus Pluit,"Jl. Pluit Raya No.2, RT.21/RW.8, Penjaringan, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14440",139
ALL,Kampus Utama,Jalan Kamizaun Mopah Lama Merauke 99611,140
ALL,Kampus Utama,"Sumur Batu, Babakan Madang Bogor, Jawa Barat 16810",141
ALL,Kampus Cawang,"Jl. Mayjen Sutoyo No.2 Cawang, Jakarta Timur 13630",142
ALL,Kampus Diponegoro,"Jl.Diponegoro No. 84-86, Jakarta Pusat",142
ALL,Kampus Cikarang,"Jl. Cibarusah No. 168, Cikarang Square, Cikarang",143
ALL,Kampus Merdeka,Jl. Merdeka No. 168 Bogor,143
ALL,Kampus Rektorat,"Jl. Kramat No. 98, Jakarta Pusat",143
ALL,Kampus Depok,"Jl. Margonda Raya No. 8, Depok",143
ALL,Kampus Salemba,"Jl. Salemba Tengah No.22, Jakarta Pusat",143
ALL,Kampus Dewi Sartika B,"Jl. Dewi Sartika No. 289, Cawang, Jakarta Timur",143
ALL,Kampus Cengkareng,"Jl. Kamal Raya No. 18, Ring Road Barat, Jakarta Barat",143
ALL,Kampus Sukabumi,Jl. Cemerlang No.8 Sukabumi,143
ALL,Kampus Tegal,"Jl. Sipelem No. 22, Tegal Barat",143
ALL,Kampus Cilebut,"Jl. Cilebut Raya Pesona Intiland, Kodya, Bogor",143
ALL,Kampus Cikampek,"Jl. Ir. Juanda, No. 17, Cikampek",143
ALL,Kampus Slipi,"Jl. Kemanggisan Utama, Jakarta Barat",143
ALL,Kampus Cibitung,"Jl. KH. Akhmad No. 8, Raya Setu Cibitung Tambun",143
ALL,Kampus Tasikmalaya,"Jl. Tanuwijaya No. 4 Empang Sari, Tawang, Tasikmalaya",143
ALL,Kampus Jatiwaringin,"Jl. Unkris No. 2, Jatiwaringin, Jakarta Timur",143
ALL,Kampus Karawang,"Jl. Banten No.1 Karang Pawitan, Karawang",143
ALL,Kampus Purwokerto,"Jl. DR. Bunyamin No. 106, Purwokerto",143
ALL,Kampus Kalimalang,"Jl. SMA KAPIN No. 292 A, Kalimalang, Jakarta Timur",143
ALL,Kampus Ciputat,"Jl. Ir. H. Juanda No. 39, Ciputat",143
ALL,Kampus BSD,"BSD Sektor XIV Blok C1/1, Tangerang",143
ALL,Kampus Pontianak,"Jl. Abdul Rahman Saleh No.18, Pontianak",143
ALL,Kampus Kaliabang,"Jl. Raya Kaliabang No.8, Perwira, Bekasi Utara",143
ALL,Kampus Tangerang,"Jl. Gatot Subroto No.8, Cimone, Kota Tangerang",143
ALL,Kampus Pemuda,"Jl. Kayu Jati 5 No 2, Pemuda, Rawamangun",143
ALL,Kampus Yogyakarta,"Jl. Ringroad Barat Ambar Ketawang Gamping, Sleman",143
ALL,Kampus Fatmawati,Jl. RS. Fatmawati No. 24 Jakarta Selatan,143
ALL,Kampus Ciledug,"Jl. Ciledug Raya No. 108, Cipulir, Jakarta Selatan",143
ALL,Kampus Bekasi,"Jl. Cut Mutiah No 88, Bekasi",143
ALL,Kampus Solo,"Jl. Letjen Sutoyo No.43, Kota Surakarta",143
ALL,Kampus Utama,"Jl. Semolowaru No.84, Surabaya 60283, Jawa Timur, Indonesia",144
ALL,Kampus Utama,"Jl. Jeruk Purut No. 10 Cilandak Timur Pasar Minggu
Jakarta Selatan 12650",145
ALL,Kampus 1,"Jl. Salemba Raya No.41, RT.3/RW.5, Paseban, Kec. Senen, Jakarta Pusat",146
ALL,Kampus 2,"Jl. Salemba Tengah No. 30-32, Jakarta Pusat",146
ALL,Kampus Soepomo,"Gedung Universitas Sahid Jakarta, Jl. Prof. Dr. Supomo, SH No.84 Tebet, Jakarta Selatan 12870",147
ALL,Kampus Pascasarjana,"Sahid Sudirman Residence Lt. 5, Jl. Jendral Sudirman No. 86, Jakarta Pusat 10220",147
Kedokteran,Kampus 2,Jl. Bendungan Sutami 188A Malang,148
llmu Kesehatan,Kampus 2,Jl. Bendungan Sutami 188A Malang,148
ALL,Kampus 1,Jl. Bandung No. 1 Malang,148
ALL,Kampus 3,Jl. Raya Tlogomas No. 246 Malang 65144,148
ALL,Kampus Utama,Jalan Yulius Usman Nomor 62 Malang,149
ALL,Kampus Kolaka,Jalan Pemuda Nomor 339 Kelurahan Tahoa Kolaka Sulawesi Tenggara Indonesia,150
ALL,Kampus Buton Tengah,"Dusun Lakahoo Desa Wakambangura 2, Kecamatan Mawasangka, Kabupaten Buton Tengah, Sulawesi Tenggara 93762",150
ALL,Kampus Utama,"Central Park Mall 3rd Floor – Unit 112 Jl. Let. Jend. S. Parman Kav. 28 West Jakarta, 11470, Indonesia",151
ALL,Kampus Utama,"Jalan Sunan Ampel Nomor 7, Ngronggo, Kecamatan Kota, Kabupaten Kediri, Jawa Timur 64127",152
ALL,Kampus Tomohon,"Jl. Kampus, Matani Satu, Kec. Tomohon Tengah, Kota Tomohon, Sulawesi Utara",153
ALL,Kampus Tondano,"Jl. Kampus Unima, Kel. Tonsaru, Kec. Tondano Selatan, Kab. Minahasa",153
ALL,Kampus Utama,"Jalan S.Supriadi Nomor 48 Malang Jawa Timur, Indonesia",154
ALL,Kampus Utama,"Jalan Letjen Sutoyo Mojosongo, Surakarta, Jawa Tengah, 57127",155
ALL,Kampus Utama,"Jl. Raya Beji Karangsalam No.25, Kedungbanteng, Banyumas",156
Fakultas Sains dan Teknologi,Universitas Raharja,Jl. Jenderal Sudirman No. 40 Modern Cikokol Tangerang 15117,157
ALL,Kampus Wonorejo,"Jl. Wonorejo Utara 16 Rungkut, Surabaya",158
ALL,Kampus Nginden,"Jl. Nginden Semolo 34-36, Surabaya",158
ALL,Kampus Utama,"Jalan Semolowaru No. 45 Surabaya, Jawa Timur",159
ALL,Kampus Utama,Jalan Jambi 12-18 Surabaya 60241,160
ALL,Kampus Utama,"Jl. DR. Soebandi No.99, Cangkring, Patrang, Kec. Patrang, Kabupaten Jember, Jawa Timur 68111",161
ALL,Kampus I,"Jalan Adisucipto Penfui, Lasiana, Kec. Klp. Lima, Kota Kupang, Nusa Tenggara Timur",162
ALL,Kampus II,"Jl. Prof. Dr. Herman Johanes, Lasiana, Kec. Klp. Lima, Kota Kupang, Nusa Tenggara Timur",162
ALL,Kampus Utama,"Jl. Kebonsari Elveka V, Kebonsari, Kec. Jambangan, Kota Surabaya, Jawa Timur 60232",163
ALL,Kampus 2,"Jl. Raya Karanglo Km. 2, Malang",164
ALL,Kampus 1,"Jl. Bendungan Sigura-gura no. 2, Malang",164
ALL,Kampus A,"Jl. Cipinang Besar No.2, RT.1/RW.1, Cipinang Besar Sel., Jatinegara, Kota Jakarta Timur,13410.",165
ALL,Kampus B,Jl. Puri Kembangan No.2 Kedoya Kebon Jeruk Jakarta Barat.,165
Fakultas Ekonomi dan Bisnis,Kampus Roxy,"Pusat Niaga Roxy Mas Blok E2 No.38-39, Jl.K.H. Hasyim Ashari, Jakarta Pusat",166
Fakultas Teknologi Informasi,Kampus Roxy,"Pusat Niaga Roxy Mas Blok E2 No.38-39, Jl.K.H. Hasyim Ashari, Jakarta Pusat",166
Fakultas Ekonomi dan Bisnis,Kampus Salemba,"Sentra Salemba Mas Blok S-T, Jl. Salemba Raya No. 34-36",166
Fakultas Teknologi Informasi,Kampus Salemba,"Sentra Salemba Mas Blok S-T, Jl. Salemba Raya No. 34-36",166
Fakultas Ilmu Sosial dan Ilmu Politik,Kampus Pusat,"Jl. Ciledug Raya, Petukangan Utara, Jakarta Selatan, 12260",166
Fakultas Teknik,Kampus Pusat,"Jl. Ciledug Raya, Petukangan Utara, Jakarta Selatan, 12260",166
Fakultas Komunikasi dan Desain Kreatif,Kampus Pusat,"Jl. Ciledug Raya, Petukangan Utara, Jakarta Selatan, 12260",166
Fakultas Ekonomi dan Bisnis,Kampus Pusat,"Jl. Ciledug Raya, Petukangan Utara, Jakarta Selatan, 12260",166
Fakultas Teknologi Informasi,Kampus Pusat,"Jl. Ciledug Raya, Petukangan Utara, Jakarta Selatan, 12260",166
ALL,Kampus 2,"Jalan Poros Makale Makassar KM.11, RW.5, Buntu Tangti, Kec. Mengkendek, Kabupaten Tana Toraja, Sulawesi Selatan 91871",167
ALL,Kampus 1,"Taparan Utara, Kec. Rantetayo, Kabupaten Tana Toraja, Sulawesi Selatan 91862",167
ALL,Kampus A,"Jl. Hang Jebat III/F3 Kebayoran Baru, Jakarta Selatan 12120",168
ALL,Kampus B,"Jl. Raya Ragunan No. 29C Pasar Minggu,
Jakarta Selatan",168
ALL,Kampus C,"Jl. Percetakan
Negara No. 23A, Jakarta Pusat.",168
