quipper_code,rencanamu_code,banpt_code,pddikti_code,faculty,prodi,prodi_normalized,edu_level,accreditation
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI MIKROSKIL,-,-,AKUNTANSI,AKUNTANSI,S1,B
-,-,banpt-2301,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-152,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-152,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-3110,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK SEKALI
-,-,banpt-3110,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-3030,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI MUHAMMADIYAH KISARAN,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI MUHAMMADIYAH PALOPO,-,-,EKONOMI PEMBANGUNAN,EKONOMI PEMBANGUNAN,S1,B
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI MUHAMMADIYAH TANJUNG REDEB,-,-,AKUNTANSI,AKUNTANSI,S1,B
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI MUHAMMADIYAH TANJUNG REDEB,-,-,EKONOMI PEMBANGUNAN,EKONOMI PEMBANGUNAN,S1,B
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI MUHAMMADIYAH TUBAN,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI MUHAMMADIYAH TUBAN,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-2597,-,-,EKONOMI PEMBANGUNAN,EKONOMI PEMBANGUNAN,S1,BAIK
-,-,banpt-2597,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-2865,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-2865,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
quipper-720,-,banpt-723,-,ILMU EKONOMI,AKUNTANSI,AKUNTANSI,S1,BAIK
quipper-720,-,banpt-723,-,ILMU EKONOMI,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-3002,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-2478,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-3852,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK SEKALI
-,-,banpt-3852,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-1391,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-1391,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-2424,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-2824,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-2824,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-1880,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI NUSA MEGARKENCANA,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-2670,-,-,AKUNTANSI,AKUNTANSI,S1,A
-,-,banpt-2670,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-3887,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-3887,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-3988,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK SEKALI
-,-,banpt-2448,-,-,EKONOMI PEMBANGUNAN,EKONOMI PEMBANGUNAN,S1,BAIK
-,-,banpt-2448,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-3694,-,-,EKONOMI PEMBANGUNAN,EKONOMI PEMBANGUNAN,S1,BAIK
-,-,banpt-3694,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI PANCA BHAKTI PALU,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-2353,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK SEKALI
-,-,banpt-2353,-,-,MANAJEMEN,MANAJEMEN,S1,B
-,-,banpt-1973,-,-,MANAJEMEN,MANAJEMEN,S1,B
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI PANGERAN ANTASARI,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI PANGERAN ANTASARI,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-903,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-1516,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-2784,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-2749,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-2749,-,-,PARIWISATA,PARIWISATA,S1,UNGGUL
quipper-472,-,-,-,ILMU EKONOMI PARIWISATA,MANAJEMEN,MANAJEMEN,S1,-
quipper-472,-,-,-,ILMU EKONOMI PARIWISATA,PARIWISATA,PARIWISATA,S1,-
quipper-472,-,-,-,ILMU EKONOMI PARIWISATA,MANAJEMEN PERHOTELAN,PERHOTELAN,S1,-
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI PARIWISATA MANADO,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-3890,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-3890,-,-,PARIWISATA,PARIWISATA,S1,BAIK
-,-,banpt-1023,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK SEKALI
-,-,banpt-1023,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-1177,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-1177,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-404,-,-,MANAJEMEN RITEL,MANAJEMEN RITEL,S1,BAIK
quipper-363,-,-,-,ILMU EKONOMI,AKUNTANSI,AKUNTANSI,S1,-
quipper-363,-,-,-,ILMU EKONOMI,MANAJEMEN,MANAJEMEN,S1,-
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI PEMBANGUNAN INDONESIA,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-2213,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-3344,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-3016,-,-,MANAJEMEN,MANAJEMEN,S1,B
-,-,banpt-2274,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-2274,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-556,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-2159,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI PERTIWI,-,-,AKUNTANSI,AKUNTANSI,S1,B
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI PERTIWI,-,-,MANAJEMEN,MANAJEMEN,S1,B
-,-,banpt-3004,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-3004,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-1058,-,-,MANAJEMEN,MANAJEMEN,S1,B
-,-,banpt-928,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-928,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-2023,-,-,AKUNTANSI,AKUNTANSI,S1,B
-,-,banpt-2023,-,-,MANAJEMEN,MANAJEMEN,S1,B
-,-,banpt-1339,-,-,EKONOMI PEMBANGUNAN,EKONOMI PEMBANGUNAN,S1,BAIK SEKALI
-,-,banpt-1339,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-2254,-,-,AKUNTANSI,AKUNTANSI,S1,B
-,-,banpt-2254,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI PRABUMULIH,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-908,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-908,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-2255,-,-,MANAJEMEN,MANAJEMEN,S1,B
-,-,banpt-1172,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-1776,-,-,EKONOMI PEMBANGUNAN,EKONOMI PEMBANGUNAN,S1,BAIK
-,-,banpt-1776,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI RAHMANIYAH,-,-,AKUNTANSI,AKUNTANSI,S1,B
-,-,banpt-2580,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK SEKALI
-,-,banpt-2580,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-2817,-,-,AKUNTANSI,AKUNTANSI,S1,B
-,-,banpt-2817,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
quipper-666,-,-,-,ILMU EKONOMI,AKUNTANSI,AKUNTANSI,S1,-
quipper-666,-,-,-,ILMU EKONOMI,MANAJEMEN,MANAJEMEN,S1,-
-,-,banpt-3246,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK SEKALI
-,-,banpt-3246,-,-,EKONOMI PEMBANGUNAN,EKONOMI PEMBANGUNAN,S1,BAIK SEKALI
-,-,banpt-3246,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-1479,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-3795,-,-,KEWIRAUSAHAAN,KEWIRAUSAHAAN,S1,BAIK
-,-,banpt-3795,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI SANTA URSULA,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI SANTA URSULA,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-750,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI SATU NUSA,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-74,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI SAUMLAKI,-,-,EKONOMI PEMBANGUNAN,EKONOMI PEMBANGUNAN,S1,BAIK
-,-,banpt-1764,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK SEKALI
-,-,banpt-1764,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-3720,-,-,MANAJEMEN,MANAJEMEN,S1,B
-,-,banpt-1292,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK SEKALI
-,-,banpt-1292,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI SERELO LAHAT,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI ST PIGNATELLI,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-1434,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK SEKALI
-,-,banpt-1434,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI STMY MAJALENGKA,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-2516,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-2516,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-1139,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-1139,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-2224,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK SEKALI
-,-,banpt-2224,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
quipper-680,-,banpt-3245,-,ILMU EKONOMI,AKUNTANSI,AKUNTANSI,S1,BAIK SEKALI
quipper-680,-,banpt-3245,-,ILMU EKONOMI,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-1635,-,-,AKUNTANSI,AKUNTANSI,S1,B
-,-,banpt-2730,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK SEKALI
-,-,banpt-2730,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI SWADAYA,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI SWADAYA,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-2076,-,-,AKUNTANSI,AKUNTANSI,S1,B
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI TAMAN SISWA,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI TAMAN SISWA,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-590,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK SEKALI
-,-,banpt-590,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI TENGGARONG,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-1936,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK SEKALI
-,-,banpt-1936,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-2890,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK SEKALI
-,-,banpt-2890,-,-,MANAJEMEN,MANAJEMEN,S1,B
-,-,banpt-3926,-,-,AKUNTANSI,AKUNTANSI,S1,B
-,-,banpt-3926,-,-,MANAJEMEN,MANAJEMEN,S1,B
-,-,banpt-1431,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-1431,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-1488,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-1488,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI TRIBUANA,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK SEKALI
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI TRIBUANA,-,-,MANAJEMEN,MANAJEMEN,S1,UNGGUL
-,-,banpt-3645,-,-,AKUNTANSI,AKUNTANSI,S1,B
-,-,banpt-3645,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-3982,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-1056,-,-,AKUNTANSI,AKUNTANSI,S1,A
-,-,banpt-1056,-,-,MANAJEMEN,MANAJEMEN,S1,UNGGUL
-,-,banpt-3767,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
quipper-612,-,banpt-SEKOLAH TINGGI ILMU EKONOMI TUNAS NUSANTARA,-,EKONOMI,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-2490,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK SEKALI
-,-,banpt-2490,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-1524,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-1524,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-2864,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-2864,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
quipper-470,-,banpt-SEKOLAH TINGGI ILMU EKONOMI WIDYA DHARMA,-,ILMU EKONOMI,AKUNTANSI,AKUNTANSI,S1,BAIK
quipper-470,-,banpt-SEKOLAH TINGGI ILMU EKONOMI WIDYA DHARMA,-,ILMU EKONOMI,MANAJEMEN,MANAJEMEN,S1,BAIK
quipper-593,-,banpt-3901,-,ILMU EKONOMI,AKUNTANSI,AKUNTANSI,S1,B
quipper-593,-,-,-,ILMU EKONOMI,MANAJEMEN,MANAJEMEN,S1,-
-,-,banpt-1319,-,-,AKUNTANSI,AKUNTANSI,S1,B
-,-,banpt-1319,-,-,BISNIS DIGITAL,BISNIS DIGITAL,S1,BAIK
-,-,banpt-1319,-,-,MANAJEMEN,MANAJEMEN,S1,B
-,-,banpt-2828,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-817,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-817,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI WIDYA PRAJA,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
quipper-344,-,banpt-3322,-,ILMU EKONOMI,AKUNTANSI,AKUNTANSI,S1,BAIK SEKALI
quipper-344,-,-,-,ILMU EKONOMI,ILMU EKONOMI,EKONOMI,S1,-
quipper-344,-,banpt-3322,-,ILMU EKONOMI,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-3676,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-3676,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI WIRA BHAKTI,-,-,MANAJEMEN,MANAJEMEN,S1,B
-,-,banpt-3053,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-3053,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-2020,-,-,AKUNTANSI,AKUNTANSI,S1,B
-,-,banpt-2020,-,-,MANAJEMEN,MANAJEMEN,S1,B
-,-,banpt-4027,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK SEKALI
-,-,banpt-4027,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-433,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-433,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
quipper-30,-,-,-,SARJANA,AKUNTANSI,AKUNTANSI,S1,-
quipper-30,-,-,-,SARJANA,MANAJEMEN,MANAJEMEN,S1,-
-,-,banpt-146,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-146,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-1868,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-1868,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI YAPIS MARAUKE,-,-,EKONOMI PEMBANGUNAN,EKONOMI PEMBANGUNAN,S1,BAIK
-,-,banpt-2149,-,-,EKONOMI,EKONOMI,S1,BAIK
-,-,banpt-1858,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
-,-,banpt-2050,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-3612,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-1473,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI YBPK PALANGKA RAYA,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-2174,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-2174,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI
quipper-658,rencanamu-59,banpt-1451,-,AKUNTANSI,AKUNTANSI,AKUNTANSI,S1,A
-,-,banpt-1451,-,-,BISNIS DIGITAL,BISNIS DIGITAL,S1,BAIK SEKALI
quipper-658,rencanamu-59,banpt-1451,-,MANAJEMEN,MANAJEMEN,MANAJEMEN,S1,A
-,-,banpt-414,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-414,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI YPBI,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-637,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-SEKOLAH TINGGI ILMU EKONOMI YPPI,-,-,AKUNTANSI,AKUNTANSI,S1,B
-,-,banpt-3908,-,-,AKUNTANSI,AKUNTANSI,S1,BAIK
-,-,banpt-3908,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK
-,-,banpt-1657,-,-,FARMASI,FARMASI,S1,BAIK SEKALI
-,-,banpt-2048,-,-,FARMASI,FARMASI,S1,BAIK
-,-,banpt-1624,-,-,FARMASI,FARMASI,S1,BAIK SEKALI
-,-,banpt-2430,-,-,FARMASI,FARMASI,S1,BAIK SEKALI
-,-,banpt-SEKOLAH TINGGI ILMU FARMASI RIAU,-,-,FARMASI,FARMASI,S1,BAIK SEKALI
-,-,banpt-3130,-,-,FARMASI,FARMASI,S1,BAIK SEKALI
-,-,banpt-1614,-,-,HUKUM,HUKUM,S1,BAIK SEKALI
-,-,banpt-999,-,-,HUKUM,HUKUM,S1,BAIK
-,-,banpt-303,-,-,HUKUM,HUKUM,S1,BAIK
-,-,banpt-3347,-,-,HUKUM,HUKUM,S1,UNGGUL
-,-,banpt-1571,-,-,HUKUM,HUKUM,S1,BAIK SEKALI
-,-,banpt-2786,-,-,ILMU HUKUM,HUKUM,S1,BAIK
-,-,banpt-SEKOLAH TINGGI ILMU HUKUM CARITAS PAPUA,-,-,ILMU HUKUM,HUKUM,S1,BAIK
-,-,banpt-1198,-,-,HUKUM,HUKUM,S1,BAIK
-,-,banpt-SEKOLAH TINGGI ILMU HUKUM COKROAMINOTO,-,-,ILMU HUKUM,HUKUM,S1,B
-,-,banpt-SEKOLAH TINGGI ILMU HUKUM DAN HAM,-,-,ILMU HUKUM,HUKUM,S1,TIDAK TERAKREDITASI
-,-,banpt-1575,-,-,HUKUM,HUKUM,S1,BAIK
-,-,banpt-1575,-,-,ILMU POLITIK,POLITIK,S1,BAIK
-,-,banpt-SEKOLAH TINGGI ILMU HUKUM DHARMA ANDHIGA,-,-,ILMU HUKUM,HUKUM,S1,BAIK
-,-,banpt-3356,-,-,ILMU HUKUM,HUKUM,S1,B
-,-,banpt-2450,-,-,ILMU HUKUM,HUKUM,S1,BAIK
-,-,banpt-392,-,-,ILMU HUKUM,HUKUM,S1,B
-,-,banpt-1059,-,-,ILMU HUKUM,HUKUM,S1,BAIK SEKALI
-,-,banpt-SEKOLAH TINGGI ILMU HUKUM ICHSAN GORONTALO,-,-,ILMU HUKUM,HUKUM,S1,TIDAK TERAKREDITASI
-,rencanamu-60,-,-,-,ILMU HUKUM,HUKUM,S1,-
-,-,banpt-869,-,-,ILMU HUKUM,HUKUM,S1,BAIK
-,-,banpt-SEKOLAH TINGGI ILMU HUKUM LUBUK SIKAPING,-,-,ILMU HUKUM,HUKUM,S1,B
-,-,banpt-2674,-,-,ILMU HUKUM,HUKUM,S1,BAIK SEKALI
-,-,banpt-1655,-,-,HUKUM,HUKUM,S1,BAIK
-,-,banpt-SEKOLAH TINGGI ILMU HUKUM MUHAMMAD THAHA TUAL,-,-,ILMU HUKUM,HUKUM,S1,BAIK SEKALI
-,-,banpt-1853,-,-,ILMU HUKUM,HUKUM,S1,BAIK
-,-,banpt-1709,-,-,ILMU HUKUM,HUKUM,S1,BAIK
-,-,banpt-969,-,-,ILMU HUKUM,HUKUM,S1,B
-,-,banpt-SEKOLAH TINGGI ILMU HUKUM NIAS SELATAN,-,-,ILMU HUKUM,HUKUM,S1,BAIK
-,-,banpt-1846,-,-,ILMU HUKUM,HUKUM,S1,B
-,-,banpt-2853,-,-,ILMU HUKUM,HUKUM,S1,B
-,-,banpt-2561,-,-,HUKUM,HUKUM,S1,BAIK
-,-,banpt-1075,-,-,ILMU HUKUM,HUKUM,S1,BAIK SEKALI
-,-,banpt-SEKOLAH TINGGI ILMU HUKUM RAHMANIYAH,-,-,ILMU HUKUM,HUKUM,S1,B
-,-,banpt-SEKOLAH TINGGI ILMU HUKUM RIAU,-,-,HUKUM,HUKUM,S1,BAIK
-,-,banpt-474,-,-,ILMU HUKUM,HUKUM,S1,B
-,-,banpt-SEKOLAH TINGGI ILMU HUKUM SULTAN ADAM,-,-,ILMU HUKUM,HUKUM,S1,B
-,-,banpt-1221,-,-,ILMU HUKUM,HUKUM,S1,UNGGUL
quipper-396,-,-,-,ILMU HUKUM,ILMU HUKUM,HUKUM,S1,-
-,-,banpt-3203,-,-,ILMU HUKUM,HUKUM,S1,BAIK
-,-,banpt-SEKOLAH TINGGI ILMU HUKUM SWADAYA,-,-,ILMU HUKUM,HUKUM,S1,BAIK
-,-,banpt-3854,-,-,ILMU HUKUM,HUKUM,S1,B
-,-,banpt-SEKOLAH TINGGI ILMU HUKUM UMEL MANDIRI,-,-,ILMU HUKUM,HUKUM,S1,B
-,-,banpt-SEKOLAH TINGGI ILMU HUKUM YPM,-,-,HUKUM,HUKUM,S1,BAIK
-,-,banpt-3987,-,-,ILMU HUKUM,HUKUM,S1,BAIK
-,-,banpt-1399,-,-,PENDIDIKAN GURU SEKOLAH DASAR,GURU SEKOLAH DASAR,S1,BAIK
quipper-458,-,-,-,ILMU PENDIDIKAN,ILMU EKONOMI,EKONOMI,S1,-
quipper-458,-,-,-,ILMU PENDIDIKAN,KEGURUAN & PENDIDIKAN,GURU,S1,-
quipper-458,-,-,-,ILMU PENDIDIKAN,PENDIDIKAN MATEMATIKA,MATEMATIKA,S1,-
quipper-458,-,-,-,ILMU PENDIDIKAN,SASTRA INDONESIA,SASTRA INDONESIA,S1,-
quipper-458,-,-,-,ILMU PENDIDIKAN,SASTRA INGGRIS,SASTRA INGGRIS,S1,-
quipper-458,-,-,-,ILMU PENDIDIKAN,SEJARAH,SEJARAH,S1,-
-,-,banpt-3514,-,-,KEHUTANAN,KEHUTANAN,S1,BAIK
-,-,banpt-1147,-,-,ILMU KEPERAWATAN,KEPERAWATAN,S1,BAIK SEKALI
-,-,banpt-SEKOLAH TINGGI ILMU KEPERAWATAN MUHAMMADIYAH PONTIANAK,-,-,ILMU KEPERAWATAN,KEPERAWATAN,S1,B
-,-,banpt-151,-,-,KEPERAWATAN,KEPERAWATAN,S1,UNGGUL
-,-,banpt-SEKOLAH TINGGI ILMU KESEHATAN 'AISYIYAH PALEMBANG,-,-,FARMASI,FARMASI,S1,BAIK SEKALI
-,-,banpt-SEKOLAH TINGGI ILMU KESEHATAN 'AISYIYAH PALEMBANG,-,-,KEPERAWATAN,KEPERAWATAN,S1,BAIK
-,-,banpt-3892,-,-,ILMU KEPERAWATAN,KEPERAWATAN,S1,BAIK SEKALI
-,-,banpt-SEKOLAH TINGGI ILMU KESEHATAN ABDI NUSANTARA JAKARTA,-,-,KEBIDANAN,KEBIDANAN,S1,BAIK SEKALI
-,-,banpt-1265,-,-,ADMINISTRASI RUMAH SAKIT,ADMINISTRASI RUMAH SAKIT,S1,BAIK
-,-,banpt-914,-,-,FARMASI,FARMASI,S1,BAIK
-,-,banpt-914,-,-,KEBIDANAN,KEBIDANAN,S1,BAIK
