quipper_code,rencanamu_code,banpt_code,pddikti_code,faculty,prodi,prodi_normalized,edu_level,accreditation
-,rencanamu-8,-,-,-,TEKNIK TELEKOMUNIKASI,ILMU KOMUNIKASI,S1,B
quipper-429,-,-,-,ILMU KOMUNIKASI,ILMU KOMUNIKASI,ILMU KOMUNIKASI,S1,-
quipper-312,-,-,-,INFORMATIKA DAN KOMPUTER,AKUNTANSI,AKUNTANSI,S1,-
quipper-312,-,-,-,INFORMATIKA DAN KOMPUTER,TEKNIK INFORMATIKA,INFORMATIKA,S1,-
quipper-312,-,-,-,INFORMATIKA DAN KOMPUTER,ILMU KOMPUTER,KOMPUTER,S1,-
quipper-312,-,-,-,INFORMATIKA DAN KOMPUTER,SISTEM INFORMASI,SISTEM INFORMASI,S1,-
quipper-452,-,-,-,FAKULTAS TEKNIK,DESAIN PRODUK,DESAIN PRODUK,S1,-
quipper-452,-,-,-,FAKULTAS TEKNIK,TEKNIK ROBOTIKA,ROBOTIKA,S1,-
quipper-276,-,-,-,SCHOOL OF ACCOUNTING,AKUNTANSI,AKUNTANSI,S1,-
quipper-276,-,-,-,FACULTY OF ENGINEERING,ARSITEKTUR,ARSITEKTUR,S1,-
quipper-276,-,-,-,FACULTY OF ENGINEERING,BIOTEKNOLOGI,BIOTEKNOLOGI,S1,-
quipper-276,-,-,-,SCHOOL OF INFORMATION SYSTEMS,ANALITIK BISNIS,BISNIS,S1,-
quipper-276,-,-,-,DOUBLE DEGREE PROGRAMS,INOVASI BISNIS DIGITAL,BISNIS DIGITAL,S1,-
quipper-276,-,-,-,DOUBLE DEGREE PROGRAMS,DESAIN DAN TEKNOLOGI INTERAKTIF,DESAIN,S1,-
quipper-276,-,-,-,SCHOOL OF DESIGN,DESAIN INTERIOR,DESAIN INTERIOR,S1,-
quipper-276,-,-,-,SCHOOL OF DESIGN,DESAIN KOMUNIKASI VISUAL,DESAIN KOMUNIKASI VISUAL,S1,-
quipper-276,-,-,-,SCHOOL OF DESIGN,FILM,FILM,S1,-
quipper-276,-,-,-,FACULTY OF HUMANITIES,PENDIDIKAN GURU SEKOLAH DASAR,GURU SEKOLAH DASAR,S1,-
quipper-276,-,-,-,FACULTY OF HUMANITIES,HUBUNGAN INTERNASIONAL,HUBUNGAN INTERNASIONAL,S1,-
quipper-276,-,-,-,FACULTY OF DIGITAL COMMUNICATION AND HOTEL & TOURISM,HUBUNGAN MASYARAKAT,HUBUNGAN MASYARAKAT,S1,-
quipper-276,-,-,-,FACULTY OF HUMANITIES,HUKUM,HUKUM,S1,-
quipper-276,-,-,-,FACULTY OF DIGITAL COMMUNICATION AND HOTEL & TOURISM,KOMUNIKASI,ILMU KOMUNIKASI,S1,-
quipper-276,-,-,-,FACULTY OF ENGINEERING,TEKNIK INDUSTRI,INDUSTRI,S1,-
quipper-276,-,-,-,SCHOOL OF COMPUTER SCIENCE,KEAMANAN SIBER,INFORMATIKA,S1,-
quipper-276,-,-,-,SCHOOL OF ACCOUNTING,KEUANGAN,KEUANGAN,S1,-
quipper-276,-,-,-,BUSINESS SCHOOL,KEWIRASWASTAAN,KEWIRAUSAHAAN,S1,-
quipper-276,-,-,-,FACULTY OF ENGINEERING,TEKNIK KOMPUTER,KOMPUTER,S1,-
quipper-276,-,-,-,BUSINESS SCHOOL,MANAJEMEN BISNIS INTERNASIONAL,MANAJEMEN BISNIS INTERNASIONAL,S1,-
quipper-276,-,-,-,DOUBLE DEGREE PROGRAMS,ILMU KOMPUTER DAN MATEMATIKA,MATEMATIKA,S1,-
quipper-276,-,-,-,FACULTY OF DIGITAL COMMUNICATION AND HOTEL & TOURISM,PARIWISATA,PARIWISATA,S1,-
quipper-276,-,-,-,BUSINESS SCHOOL,PEMASARAN BISNIS GLOBAL,PEMASARAN,S1,-
quipper-276,-,-,-,FACULTY OF DIGITAL COMMUNICATION AND HOTEL & TOURISM,MANAJEMEN HOTEL,PERHOTELAN,S1,-
quipper-276,-,-,-,SCHOOL OF ACCOUNTING,PERPAJAKAN,PERPAJAKAN,S1,-
quipper-276,-,-,-,FACULTY OF HUMANITIES,PSIKOLOGI,PSIKOLOGI,S1,-
quipper-276,-,-,-,FACULTY OF HUMANITIES,SASTRA CINA,SASTRA CINA,S1,-
quipper-276,-,-,-,FACULTY OF HUMANITIES,SASTRA JEPANG,SASTRA JEPANG,S1,-
quipper-276,-,-,-,FACULTY OF ENGINEERING,TEKNIK SIPIL,SIPIL,S1,-
quipper-276,-,-,-,MASTER TRACK PROGRAMS,MANAJEMEN SISTEM INFORMASI,SISTEM INFORMASI,S1,-
quipper-276,-,-,-,DOUBLE DEGREE PROGRAMS,SISTEM INFORMASI DAN AKUNTANSI,SISTEM INFORMASI AKUNTANSI,S1,-
quipper-276,-,-,-,DOUBLE DEGREE PROGRAMS,ILMU KOMPUTER DAN STATISTIK,STATISTIK,S1,-
quipper-276,-,-,-,MASTER TRACK PROGRAMS,TEKNOLOGI INFORMASI,TEKNOLOGI INFORMASI,S1,-
quipper-276,-,-,-,FACULTY OF ENGINEERING,TEKNOLOGI PANGAN,TEKNOLOGI PANGAN,S1,-
quipper-514,-,-,-,FACULTY OF BUSINESS,AKUNTANSI,AKUNTANSI,S1,-
quipper-514,-,-,-,FACULTY OF BUSINESS,BISNIS,BISNIS,S1,-
quipper-514,-,-,-,FACULTY OF COMPUTING AND MEDIA,ILMU KOMUNIKASI,ILMU KOMUNIKASI,S1,-
quipper-514,-,-,-,FACULTY OF COMPUTING AND MEDIA,ILMU KOMPUTER,KOMPUTER,S1,-
quipper-514,-,-,-,FACULTY OF BUSINESS,MANAJEMEN,MANAJEMEN,S1,-
quipper-514,-,-,-,FACULTY OF COMPUTING AND MEDIA,SISTEM INFORMASI,SISTEM INFORMASI,S1,-
-,rencanamu-10,-,-,-,PENCIPTAAN BISNIS,BISNIS,S1,C
-,rencanamu-10,-,-,-,DESAIN INTERIOR,DESAIN INTERIOR,S1,-
-,rencanamu-10,-,-,-,DESAIN KOMUNIKASI VISUAL,DESAIN KOMUNIKASI VISUAL,S1,-
-,rencanamu-10,-,-,-,HUBUNGAN MASYARAKAT,HUBUNGAN MASYARAKAT,S1,-
-,rencanamu-10,-,-,-,ILMU KOMUNIKASI,ILMU KOMUNIKASI,S1,-
-,rencanamu-10,-,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,C
-,rencanamu-11,-,-,-,DESAIN ARSITEKTUR DAN BERKELANJUTAN,ARSITEKTUR,S1,-
-,rencanamu-11,-,-,-,ILMU BIOMEDIS,BIOMEDIS,S1,-
-,rencanamu-11,-,-,-,ANALITIK TI DAN DATA BESAR,DATA SAINS,S1,-
-,rencanamu-11,-,-,-,TEKNIK ELEKTRO,ELEKTRO,S1,-
-,rencanamu-11,-,-,-,TEKNIK STRUKTURAL DAN GEOTEKNIS,STRUKTURAL GEOTEKNIS,S1,-
-,rencanamu-12,-,-,-,LAYANAN PELANGGAN AIRLINE,LAYANAN PELANGGAN AIRLINE,S1,-
-,rencanamu-12,-,-,-,LAYANAN RAMP BANDARA,LAYANAN RAMP BANDARA,S1,-
-,rencanamu-12,-,-,-,MANAJEMEN OPERASI DASAR,MANAJEMEN OPERASI DASAR,S1,-
-,rencanamu-12,-,-,-,AIR TRANSPORT FUNDAMENTAL,PENERBANGAN,S1,-
quipper-273,-,-,-,DIGITAL BUSINESS AND SOFTWARE ENGINEERING,BISNIS DIGITAL,BISNIS DIGITAL,S1,-
quipper-273,-,-,-,DIGITAL BUSINESS AND SOFTWARE ENGINEERING,REKAYASA PERANGKAT LUNAK,REKAYASA PERANGKAT LUNAK,S1,-
quipper-490,-,-,-,FASHION,DESAIN,DESAIN,S1,-
-,rencanamu-13,-,-,-,DESAIN & PENCIPTAAN FASHION,FASHION,S1,-
quipper-615,-,-,-,ILMU KOMPUTER,ILMU KOMPUTER,KOMPUTER,S1,-
quipper-615,-,-,-,MANAJEMEN,MANAJEMEN,MANAJEMEN,S1,-
quipper-615,-,-,-,ILMU KOMPUTER,SISTEM INFORMASI,SISTEM INFORMASI,S1,-
quipper-498,-,-,-,FAKULTAS TEKNIK - TEKNIK ELEKTRO,TEKNIK ELEKTRO,ELEKTRO,S1,-
quipper-498,-,-,-,FAKULTAS TEKNIK - TEKNIK KIMIA,TEKNIK KIMIA,KIMIA,S1,-
quipper-498,-,-,-,FAKULTAS TEKNIK - TEKNIK SIPIL,TEKNIK SIPIL,SIPIL,S1,-
quipper-604,-,-,-,FAKULTAS BISNIS,AKUNTANSI,AKUNTANSI,S1,-
quipper-604,-,-,-,FAKULTAS BISNIS,BISNIS,BISNIS,S1,-
quipper-604,-,-,-,FAKULTAS BISNIS,MANAJEMEN,MANAJEMEN,S1,-
quipper-604,-,-,-,FAKULTAS BISNIS,PERBANKAN,PERBANKAN,S1,-
quipper-272,-,-,-,BUSINESS,AKUNTANSI,AKUNTANSI,S1,-
quipper-272,-,-,-,BUSINESS,BISNIS,BISNIS,S1,-
quipper-272,-,-,-,BUSINESS,MANAJEMEN,MANAJEMEN,S1,-
quipper-691,-,-,-,ILMU HUKUM,ILMU HUKUM,HUKUM,S1,-
-,-,banpt-3985,-,-,ADMINISTRASI BISNIS,ADMINISTRASI BISNIS,S1,BAIK SEKALI
-,-,banpt-3985,-,-,ADMINISTRASI PUBLIK,ADMINISTRASI PUBLIK,S1,B
-,-,banpt-3985,-,-,ILMU KOMUNIKASI,ILMU KOMUNIKASI,S1,BAIK
-,-,banpt-3985,-,-,ILMU PEMERINTAHAN,PEMERINTAHAN,S1,BAIK
-,-,banpt-3985,-,-,ILMU POLITIK,POLITIK,S1,BAIK
-,-,banpt-3562,-,-,PENDIDIKAN BIOLOGI,BIOLOGI,S1,B
-,-,banpt-3562,-,-,PENDIDIKAN EKONOMI,EKONOMI,S1,B
-,-,banpt-3562,-,-,PENDIDIKAN MATEMATIKA,MATEMATIKA,S1,B
-,-,banpt-3562,-,-,PENDIDIKAN SEJARAH DAN SOSIOLOGI,SEJARAH SOSIOLOGI,S1,BAIK SEKALI
-,-,banpt-IKIP GUNUNG SITOLI,-,-,PENDIDIKAN BIOLOGI,BIOLOGI,S1,B
-,-,banpt-IKIP GUNUNG SITOLI,-,-,PENDIDIKAN EKONOMI,EKONOMI,S1,B
-,-,banpt-IKIP GUNUNG SITOLI,-,-,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,PANCASILA KEWARGANEGARAAN,S1,B
quipper-659,-,-,-,FAKULTAS PENDIDIKAN MATEMATIKA DAN ILMU PENGETAHUAN ALAM,BIOLOGI,BIOLOGI,S1,-
quipper-659,-,-,-,FAKULTAS PENDIDIKAN DAN ILMU PENGETAHUAN SOSIAL,ILMU EKONOMI,EKONOMI,S1,-
quipper-659,-,-,-,FAKULTAS ILMU PENDIDIKAN,KEGURUAN & PENDIDIKAN,GURU,S1,-
quipper-659,-,-,-,FAKULTAS PENDIDIKAN MATEMATIKA DAN ILMU PENGETAHUAN ALAM,PENDIDIKAN MATEMATIKA,MATEMATIKA,S1,-
quipper-659,-,-,-,FAKULTAS PENDIDIKAN TEKNOLOGI DAN KEJURUAN,KONSTRUKSI,TEKNIK INDUSTRI,S1,-
quipper-575,rencanamu-14,-,-,FAKULTAS ILMU PENDIDIKAN,ADMINISTRASI PENDIDIKAN,ADMINISTRASI,S1,-
