cluster,institution_code,institution_name,province,body_type,campus_accreditation,faculty,prodi,edu_level,accreditation,average_yearly_fee,average_semester_fee
1,1885,UNIVERSITAS NAHDLATUL ULAMA MALUKU UTARA,MALUKU UTARA,SWASTA,BAIK,-,PENGETAHUAN SOSIAL,S1,BAIK,2250120.0,1125060.0
1,1879,UNIVERSITAS GRAHA NUSANTARA,SUMATERA UTARA,SWASTA,B,-,BAHASA SASTRA INDONESIA,S1,BAIK SEKALI,2400000.0,1200000.0
1,1879,UNIVERSITAS GRAHA NUSANTARA,SUMATERA UTARA,SWASTA,B,-,SIPIL,S1,C,2400000.0,1200000.0
1,1879,UNIVERSITAS GRAHA NUSANTARA,SUMATERA UTARA,SWASTA,B,-,PANCASILA KEWARGANEGARAAN,S1,C,2400000.0,1200000.0
1,1876,SEKOLAH TINGGI TEKNOLOGI INDUSTRI BONTANG,KALIMANTAN TIMUR,SWASTA,BAIK,-,KIMIA,S1,BAIK,2400132.0,1200066.0
1,1872,INSTITUT BATARI TOJA BONE,SULAWESI SELATAN,SWASTA,TERAKREDITASI,-,KESELAMATAN KESEHATAN KERJA,S1,BAIK,2630000.0,1315000.0
1,1872,INSTITUT BATARI TOJA BONE,SULAWESI SELATAN,SWASTA,TERAKREDITASI,-,MANAJEMEN,S1,BAIK,2630000.0,1315000.0
1,1868,INSTITUT TEKNOLOGI MOJOSARI,JAWA TIMUR,SWASTA,BAIK,-,TEKNOLOGI INFORMASI,S1,BAIK,2640000.0,1320000.0
1,1871,UNIVERSITAS LELEMUKU SAUMLAKI,MALUKU,SWASTA,BAIK,-,EKONOMI PEMBANGUNAN,S1,BAIK,2640000.0,1320000.0
1,1864,STKIP WIDYASWARA INDONESIA,SUMATERA BARAT,SWASTA,BAIK,-,GURU SEKOLAH DASAR,S1,BAIK,2700000.0,1350000.0
1,1865,UNIVERSITAS BUMI HIJRAH TIDORE,MALUKU UTARA,SWASTA,BAIK,-,SIPIL,S1,BAIK,2700000.0,1350000.0
1,1865,UNIVERSITAS BUMI HIJRAH TIDORE,MALUKU UTARA,SWASTA,BAIK,-,JASMANI,S1,BAIK,2700000.0,1350000.0
1,1864,STKIP WIDYASWARA INDONESIA,SUMATERA BARAT,SWASTA,BAIK,-,GURU ANAK USIA DINI,S1,BAIK,2700000.0,1350000.0
1,1865,UNIVERSITAS BUMI HIJRAH TIDORE,MALUKU UTARA,SWASTA,BAIK,-,ARSITEKTUR,S1,BAIK,2700000.0,1350000.0
1,1855,STKIP HARAPAN BIMA,NUSA TENGGARA BARAT,SWASTA,BAIK,-,GURU SEKOLAH DASAR,S1,BAIK,2800000.0,1400000.0
1,1850,UNIVERSITAS BANTEN,BANTEN,SWASTA,BAIK,-,MANAJEMEN,S1,BAIK,2900000.0,1450000.0
1,1851,SEKOLAH TINGGI ILMU KESEHATAN KAMUS ARUNIKA,SULAWESI SELATAN,SWASTA,BAIK,-,KESELAMATAN KESEHATAN KERJA,S1,BAIK,2900000.0,1450000.0
1,1851,SEKOLAH TINGGI ILMU KESEHATAN KAMUS ARUNIKA,SULAWESI SELATAN,SWASTA,BAIK,-,ADMINISTRASI KESEHATAN,S1,BAIK,2900000.0,1450000.0
1,1846,UNIVERSITAS MAHAKARYA ASIA,D.I. YOGYAKARTA,SWASTA,BAIK,-,INDUSTRI,S1,BAIK,2990000.0,1495000.0
1,1846,UNIVERSITAS MAHAKARYA ASIA,D.I. YOGYAKARTA,SWASTA,BAIK,-,INFORMATIKA,S1,BAIK,2990000.0,1495000.0
1,1846,UNIVERSITAS MAHAKARYA ASIA,D.I. YOGYAKARTA,SWASTA,BAIK,-,KEWIRAUSAHAAN,S1,BAIK,2990000.0,1495000.0
1,1835,SEKOLAH TINGGI ILMU EKONOMI PASUNDAN,JAWA BARAT,SWASTA,BAIK SEKALI,-,AKUNTANSI,S1,BAIK SEKALI,3000000.0,1500000.0
1,1845,UNIVERSITAS POHUWATO,GORONTALO,SWASTA,BAIK,-,HUKUM,S1,BAIK,3000000.0,1500000.0
1,1845,UNIVERSITAS POHUWATO,GORONTALO,SWASTA,BAIK,-,PERENCANAAN WILAYAH,S1,BAIK,3000000.0,1500000.0
1,1837,INSTITUT TEKNOLOGI PERTANIAN,SULAWESI SELATAN,SWASTA,BAIK,-,NUTRISI TEKNOLOGI PAKAN TERNAK,S1,BAIK,3000000.0,1500000.0
1,1832,UNIVERSITAS PERSATUAN GURU 1945 NTT,NUSA TENGGARA TIMUR,SWASTA,BAIK,-,SEJARAH,S1,BAIK SEKALI,3002112.0,1501056.0
1,1832,UNIVERSITAS PERSATUAN GURU 1945 NTT,NUSA TENGGARA TIMUR,SWASTA,BAIK,-,JASMANI,S1,BAIK SEKALI,3002112.0,1501056.0
1,1832,UNIVERSITAS PERSATUAN GURU 1945 NTT,NUSA TENGGARA TIMUR,SWASTA,BAIK,-,MANAJEMEN,S1,BAIK,3002112.0,1501056.0
1,1832,UNIVERSITAS PERSATUAN GURU 1945 NTT,NUSA TENGGARA TIMUR,SWASTA,BAIK,-,BIMBINGAN KONSELING,S1,BAIK,3002112.0,1501056.0
1,1830,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN AN-NUR NANGGROE ACEH DARUSSALAM,ACEH,SWASTA,BAIK,-,BAHASA INGGRIS,S1,BAIK,3150000.0,1575000.0
1,1825,STKIP SEBELAS APRIL,JAWA BARAT,SWASTA,BAIK,ILMU PENDIDIKAN,MESIN,S1,-,3200000.0,1600000.0
1,1826,SEKOLAH TINGGI ILMU EKONOMI WIDYA MANGGALA,JAWA TENGAH,SWASTA,BAIK SEKALI,-,AKUNTANSI,S1,B,3200000.0,1600000.0
1,1824,UNIVERSITAS TEKNOLOGI NUSANTARA,JAWA BARAT,SWASTA,BAIK,-,BIOLOGI,S1,BAIK,3246201.0,1623100.0
1,1823,INSTITUT TURATEA INDONESIA,SULAWESI SELATAN,SWASTA,BAIK SEKALI,-,GURU SEKOLAH DASAR,S1,BAIK,3250000.0,1625000.0
1,1817,UNIVERSITAS WIRAHUSADA MEDAN,SUMATERA UTARA,SWASTA,BAIK,-,ADMINISTRASI RUMAH SAKIT,S1,BAIK,3300000.0,1650000.0
1,1812,SEKOLAH TINGGI ILMU EKONOMI BPKP,D.K.I. JAKARTA,SWASTA,BAIK,-,AKUNTANSI,S1,BAIK,3498000.0,1749000.0
1,1809,STKIP NUSA TIMOR,NUSA TENGGARA TIMUR,SWASTA,BAIK,-,GURU SEKOLAH DASAR,S1,BAIK,3500000.0,1750000.0
1,1807,STMIK KREATINDO MANOKWARI,PAPUA BARAT,SWASTA,BAIK,-,KOMPUTER,S1,BAIK,3500000.0,1750000.0
1,1808,SEKOLAH TINGGI PERIKANAN SIBOLGA,SUMATERA UTARA,SWASTA,BAIK,-,PEMANFAATAN SUMBER DAYA PERIKANAN,S1,BAIK,3500000.0,1750000.0
1,1803,INSTITUT PENDIDIKAN SOE,NUSA TENGGARA TIMUR,SWASTA,BAIK,-,BAHASA INGGRIS,S1,BAIK SEKALI,3500001.0,1750000.0
1,1800,STITEK DHARMA YADI MAKASSAR,SULAWESI SELATAN,SWASTA,BAIK,-,INDUSTRI,S1,BAIK,3600000.0,1800000.0
1,1799,STKIP AL AMIN DOMPU,NUSA TENGGARA BARAT,SWASTA,BAIK,-,MATEMATIKA,S1,BAIK,3600000.0,1800000.0
1,1799,STKIP AL AMIN DOMPU,NUSA TENGGARA BARAT,SWASTA,BAIK,-,BIOLOGI,S1,BAIK,3600000.0,1800000.0
1,1797,SEKOLAH TINGGI ILMU KESEHATAN DATU KAMANRE,SULAWESI SELATAN,SWASTA,BAIK,-,ADMINISTRASI KESEHATAN,S1,BAIK,3600000.0,1800000.0
1,1793,UNIVERSITAS PAT PETULAI,BENGKULU,SWASTA,BAIK,-,AGRIBISNIS,S1,BAIK,3600020.0,1800010.0
