quipper_code,rencanamu_code,banpt_code,pddikti_code,faculty,prodi,prodi_normalized,edu_level,accreditation,institution_code
-,-,banpt-2479,-,-,,BISNIS DIGITAL,S1,BAIK SEKALI,620
-,-,banpt-1793,-,-,,BISNIS DIGITAL,S1,BAIK,1228
-,-,banpt-1793,-,-,,MANAJEMEN,S1,BAIK,1228
-,-,banpt-1793,-,-,,SISTEM INFORMASI,S1,BAIK SEKALI,1228
-,-,banpt-117,-,-,,ADMINISTRASI KESEHATAN,S1,BAIK,1872
-,-,banpt-117,-,-,,MANAJEMEN,S1,BAIK,1872
-,-,banpt-28,-,-,,BIOMEDIS,S1,UNGGUL,87
-,-,banpt-28,-,-,,BIOTEKNOLOGI,S1,UNGGUL,87
-,-,banpt-28,-,-,,FARMASI,S1,BAIK SEKALI,87
-,-,banpt-28,-,-,,INFORMATIKA,S1,BAIK SEKALI,87
-,-,banpt-28,-,-,,KEWIRAUSAHAAN,S1,B,87
-,-,banpt-28,-,-,,MANAJEMEN BISNIS INTERNASIONAL,S1,BAIK SEKALI,87
-,-,banpt-28,-,-,,TEKNOLOGI PANGAN,S1,B,87
-,-,banpt-1151,-,-,,AKUNTANSI,S1,B,1318
-,-,banpt-1151,-,-,,MANAJEMEN,S1,B,1318
quipper-82,-,banpt-3325,-,BISNIS,,AKUNTANSI,S1,UNGGUL,423
quipper-82,-,banpt-3325,-,BISNIS,,BIOKIMIA,S1,BAIK,423
quipper-82,-,-,-,INFORMATIKA & PARIWISATA,,INFORMATIKA,S1,-,423
quipper-82,-,banpt-3325,-,BISNIS,,MANAJEMEN,S1,BAIK SEKALI,423
quipper-82,-,banpt-3325,-,INFORMATIKA & PARIWISATA,,PARIWISATA,S1,BAIK,423
quipper-82,-,banpt-3325,-,INFORMATIKA & PARIWISATA,,SISTEM INFORMASI,S1,BAIK,423
-,-,banpt-3325,-,-,,TEKNOLOGI INFORMASI,S1,BAIK,423
quipper-153,-,banpt-661,-,SARJANA,,ADMINISTRASI BISNIS,S1,UNGGUL,184
-,rencanamu-16,-,-,-,,ADMINISTRASI NIAGA,S1,A,184
quipper-153,rencanamu-16,banpt-661,-,SARJANA,,AKUNTANSI,S1,A,184
quipper-153,rencanamu-16,banpt-661,-,SARJANA,,ILMU KOMUNIKASI,S1,B,184
quipper-153,rencanamu-16,banpt-661,-,SARJANA,,INFORMATIKA,S1,B,184
quipper-153,rencanamu-16,banpt-661,-,SARJANA,,MANAJEMEN,S1,A,184
quipper-153,rencanamu-16,banpt-661,-,SARJANA,,SISTEM INFORMASI,S1,B,184
-,-,banpt-248,-,-,,BISNIS DIGITAL,S1,BAIK,79
-,-,banpt-248,-,-,,KEWIRAUSAHAAN,S1,BAIK SEKALI,79
-,-,banpt-248,-,-,,MANAJEMEN,S1,BAIK SEKALI,79
-,-,banpt-248,-,-,,MANAJEMEN RITEL,S1,BAIK,79
-,-,banpt-248,-,-,,PERDAGANGAN INTERNASIONAL,S1,BAIK,79
-,-,banpt-2445,-,-,,KOMPUTER,S1,BAIK,836
-,-,banpt-2445,-,-,,MANAJEMEN,S1,BAIK,836
