prodi_code,prodi_name,jenjang,akreditasi_prodi,institution_code
118,AKUNTANSI,S1,B,2634
119,PENDIDIKAN TEKNIK ELEKTRO,S1,B,3295
120,ADMINISTRASI NEGARA,D-III,A,2698
121,PENDIDIKAN JASMANI,S1,B,3877
122,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,1544
123,TEKNOLOGI INDUSTRI PERTANIAN,S1,B,13
124,TEKNIK INFORMATIKA,S1,B,
125,BIMBINGAN DAN KONSELING,S1,B,310
126,PENDIDIKAN FISIKA,S1,B,1705
127,MANAJEMEN,S1,B,
128,SISTEM INFORMASI,D-III,B,2135
129,PENDIDIKAN EKONOMI,S1,B,3029
130,SISTEM INFORMASI,S1,B,
131,MANAJEMEN INFORMATIKA,D-III,A,464
132,PERENCANAAN PEMBANGUNAN WILAYAH DAN PENGELOLAAN LINGKUNGAN,S2,A,1605
133,FISIKA,S2,B,310
134,MANAJEMEN,S3,UNGGUL,3198
135,MANAJEMEN INFORMATIKA,D-III,BAIK,699
136,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S2,B,1119
137,MANAJEMEN PERHOTELAN,D-IV,B,
138,PENDIDIKAN ISLAM ANAK USIA DINI,S1,B,1544
139,TEKNIK SIPIL,D-III,B,3295
140,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,2469
141,AGROTEKNOLOGI,S1,B,3609
142,ILMU KOMUNIKASI,S1,B,2634
143,ADMINISTRASI PENDIDIKAN,S2,A,13
144,PENDIDIKAN GURU SEKOLAH DASAR,S1,B,
145,NAUTIKA,D-III,B,2173
146,PENGELOLAAN LINGKUNGAN,S2,B,
147,TEKNOLOGI INDUSTRI PERTANIAN,S1,A,608
148,PERPUSTAKAAN,D-III,B,668
149,PENDIDIKAN GURU PENDIDIKAN ANAK  USIA DINI,S1,B,3877
150,ILMU EKONOMI,S3,A,2063
151,PENDIDIKAN BAHASA INGGRIS,S1,B,313
152,EKONOMI PEMBANGUNAN,S1,B,763
153,ILMU HUKUM,S1,B,2996
154,DESAIN INTERIOR,S1,BAIK,447
155,AKUNTANSI,S1,BAIK,2037
156,AGRIBISNIS,S1,BAIK,3871
157,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,
158,PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK,3575
159,AQIDAH DAN FILSAFAT ISLAM,S1,B,
160,SISTEM INFORMASI,S1,B,3259
161,PENDIDIKAN ILMU PENGETAHUAN ALAM,S1,B,2241
162,MANAJEMEN PEMASARAN,D-III,B,90
163,PEMBANGUNAN WILAYAH DAN PEDESAAN,S2,A,2063
164,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,1119
165,PERHOTELAN,D-III,B,
166,AKUNTANSI,S1,B,3245
167,HUKUM KELUARGA,S1,B,1957
168,ILMU KESEJAHTERAAN SOSIAL,S1,A,310
169,ADMINISTRASI PERKANTORAN,D-III,A,2679
170,PENDIDIKAN FISIKA,S1,B,1302
171,PENDIDIKAN INFORMATIKA,S1,B,3285
172,PENDIDIKAN TEKNOLOGI INFORMASI,S1,B,
173,ILMU KOMUNIKASI,S1,B,3542
174,PENDIDIKAN MATEMATIKA,S1,B,2028
175,"PENDIDIKAN JASMANI, KESEHATAN & REKREASI",S1,B,2659
176,ILMU HUKUM,S2,B,2694
177,ILMU FILSAFAT,S1,B,3637
178,PETERNAKAN,S2,A,310
179,ARSITEKTUR,S1,B,202
180,KOMUNIKASI DAN PENYIARAN ISLAM,S1,B,2083
181,USAHA PERJALANAN WISATA,D-IV,B,3938
182,MANAJEMEN,S1,B,746
183,PENDIDIKAN BAHASA INDONESIA,S1,BAIK,2915
184,"USAHA JASA KONVENSI, PERJALANAN INSENTIF DAN PAMERAN",D-IV,B,1556
185,PERBANKAN SYARIAH,S1,B,
186,TEKNIK SIPIL,D-III,B,1909
187,AGROTEKNOLOGI,S1,B,58
188,PARIWISATA,S1,B,
189,BIMBINGAN DAN KONSELING,S1,B,3308
190,TEKNOLOGI PENGOLAHAN HASIL LAUT,D-III,B,3618
191,PSIKOLOGI,S1,B,3308
192,TADRIS IPS,S1,BAIK,
193,MANAJEMEN PENDIDIKAN ISLAM,S1,B,
194,HUBUNGAN MASYARAKAT,D-III,B,
195,TEKNOLOGI PENDIDIKAN,S2,A,3295
196,ILMU AL QUR'AN DAN TAFSIR,S1,B,327
197,TEKNIK INFORMATIKA,S1,BAIK,
198,AKUNTANSI,S1,B,1598
199,SENI TEATER,S1,B,3822
200,ILMU ADMINISTRASI NEGARA,S1,B,
201,TEKNOLOGI INDUSTRI PERTANIAN,S1,B,1119
202,SASTRA INGGRIS,S1,B,1778
203,HUKUM EKONOMI SYARI'AH,S1,B,955
204,TEKNIK ARSITEKTUR,S1,A,
205,KEUANGAN DAN PERBANKAN,D-III,B,516
206,PSIKOLOGI,S1,B,2756
207,"USAHA JASA KONVENSI, PERJALANAN INSENTIF DAN PAMERAN",D-IV,A,
208,PENDIDIKAN AGAMA ISLAM,S1,B,2633
209,PENDIDIKAN BAHASA INGGRIS,S2,A,3098
210,ILMU HUKUM,S1,B,1081
211,PENDIDIKAN EKONOMI,S1,B,
212,PENDIDIKAN GURU SEKOLAH DASAR,S1,B,2275
213,EKONOMI PEMBANGUNAN,S1,B,3264
214,MANAJEMEN PEMASARAN UNTUK WARGA NEGARA BERKEBUTUHAN KHUSUS,D-III,B,1556
215,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,
216,PENDIDIKAN GURU SEKOLAH DASAR,S1,B,3941
217,PRODUKSI TANAMAN PERKEBUNAN,D-III,A,
218,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,A,3295
219,PENDIDIKAN BAHASA INGGRIS,S1,B,1903
220,PENDIDIKAN GURU SEKOLAH DASAR,S1,A,3295
221,"PENDIDIKAN, JASMANI KESEHATAN DAN REKREASI",S1,B,
222,HUKUM KELUARGA,S1,A,2083
223,PERHOTELAN,D-III,A,2782
224,PENDIDIKAN JASMANI,S1,B,313
225,PENDIDIKAN GURU SEKOLAH DASAR,S1,B,313
226,BIMBINGAN KONSELING,S1,A,3295
227,PENDIDIKAN GURU SEKOLAH DASAR,S1,B,1973
228,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,
229,PSIKOLOGI,S1,B,87
230,PENDIDIKAN SEJARAH,S1,B,1705
231,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,B,1690
232,TEKNIK SIPIL,S1,B,
233,PENDIDIKAN IPS,S1,B,90
234,PENDIDIKAN SENI KARAWITAN KEAGAMAAN HINDU,S1,A,3097
235,TEKNIK INFORMATIKA,S1,B,1745
236,DEMOGRAFI DAN PENCATATAN SIPIL,D-IV,B,2435
237,PENDIDIKAN AGAMA ISLAM,S2,A,
238,PENDIDIKAN FISIKA,S1,B,3804
239,ILMU ADMINISTRASI NEGARA,S1,B,2161
240,EKONOMI KELAUTAN TROPIKA,S3,A,2672
241,PARIWISATA,D-III,B,
242,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,B,31
243,PENDIDIKAN ISLAM ANAK USIA DINI,S1,B,2319
244,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,B,
245,HUKUM KELUARGA,S1,B,1173
246,SISTEM KOMPUTER,S1,B,2368
247,PENDIDIKAN TEKNOLOGI INFORMASI,S1,B,1939
248,TEKNOLOGI PANGAN,S1,B,2694
249,PENDIDIKAN GURU SEKOLAH DASAR,S1,B,
250,EKONOMI PEMBANGUNAN,S1,B,764
251,BIOLOGI,S1,B,472
252,TEKNIK SIPIL,S1,BAIK,
253,TEKNIK SIPIL,S1,BAIK,2003
254,TEKNIK INDUSTRI,S1,BAIK,3810
255,PSIKOLOGI,S1,BAIK SEKALI,3807
256,PENYULUHAN PERTANIAN BERKELANJUTAN,D-IV,BAIK SEKALI,1727
257,ILMU ADMINISTRASI,S2,B,
258,AKUNTANSI,S1,B,1838
259,ILMU AL-QUR'AN DAN TAFSIR,S1,B,2728
260,PENDIDIKAN BAHASA INGGRIS,S1,B,
261,ILMU PEMERINTAHAN,S1,B,
262,MANAJEMEN,S1,B,
263,SISTEM INFORMASI,S1,B,2029
264,TEOLOGI,S1,B,3802
265,MANAJEMEN,S1,B,3264
266,MANAJEMEN,S1,B,2259
267,ILMU HUKUM,S1,A,2
268,PENDIDIKAN KIMIA,S1,B,330
269,PERPAJAKAN,D-III,A,2562
270,TEKNIK PRODUKSI BENIH,D-IV,B,
271,SISTEM INFORMASI,S1,B,3689
272,MANAJEMEN PENDIDIKAN ISLAM,S1,B,1544
273,HUKUM,S1,B,2314
274,BIMBINGAN DAN KONSELING,S3,B,3237
275,PENDIDIKAN GURU SEKOLAH DASAR,S1,B,2175
276,DESAIN GRAFIS,D-III,B,3729
277,TEKNIK BANGUNAN KAPAL,D-III,B,1970
278,MANAJEMEN,S1,B,3581
279,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,
280,AKUNTANSI,D-III,B,1909
281,PARIWISATA,S1,B,15
282,MANAJEMEN PENDIDIKAN ISLAM,S1,B,3470
283,PENDIDIKAN SOSIOLOGI,S1,B,313
284,SASTRA INGGRIS,S1,B,310
285,PENDIDIKAN  BAHASA INGGRIS,S1,BAIK,2470
286,ILMU LINGKUNGAN,S2,BAIK,770
287,ARSITEKTUR,S1,BAIK,627
288,ILMU HUKUM,S1,BAIK,412
289,BUDIDAYA PERAIRAN,S1,B,266
290,ILMU HUKUM,S1,B,420
291,SASTRA INGGRIS,S1,B,997
292,AKUNTANSI,D-III,B,2698
293,PENDIDIKAN AGAMA ISLAM,S1,B,3535
294,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,
295,PENGECORAN,D-III,B,2021
296,TEKNOLOGI HASIL PERIKANAN,S1,B,608
297,MANAJEMEN,S1,B,2386
298,PENDIDIKAN BAHASA INGGRIS,S1,B,2112
299,AGROTEKNOLOGI,S1,B,212
300,PENDIDIKAN SEJARAH,S1,B,3234
301,TEKNIK MESIN,D-III,B,1909
302,PERBANDINGAN MAZHAB,S1,A,
303,PSIKOLOGI,S2,B,3208
304,PENDIDIKAN AGAMA ISLAM,S1,B,
305,PENDIDIKAN GEOGRAFI,S1,A,3804
306,TEKNIK ELEKTRONIKA,D-III,B,3804
307,TEKNIK SIPIL,D-III,B,3804
308,PSIKOLOGI,S1,B,570
309,PENDIDIKAN AGAMA ISLAM,S1,B,
310,PENDIDIKAN BAHASA ARAB,S1,B,
311,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,
312,ILMU PERPUSTAKAAN,S1,B,2251
313,PENDIDIKAN AGAMA ISLAM,S1,A,
314,TEKNIK INDUSTRI,S1,B,
315,PENDIDIKAN GURU SEKOLAH DASAR,S1,B,972
316,PENDIDIKAN AGAMA ISLAM,S1,B,
317,PERBANKAN SYARIAH,D-III,B,957
318,PENDIDIKAN AGAMA ISLAM,S1,B,
319,EKONOMI PEMBANGUNAN,S1,B,
320,AKUNTANSI,S1,B,
321,PENDIDIKAN AGAMA HINDU,S1,B,
322,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,B,
323,TEKNIK ELEKTRONIKA,D-III,B,2111
324,PENDIDIKAN BAHASA DAN SASTRA DAERAH,S1,B,
325,MANAJEMEN,S1,A,1099
326,ILMU POLITIK,S1,B,514
327,SISTEM INFORMASI,S1,B,
328,TEKNIK ELEKTRONIKA,D-III,B,
329,MANAJEMEN SUMBER DAYA PERAIRAN,S1,B,3255
330,ILMU ADMINISTRASI NEGARA,S1,B,2003
331,DESAIN PRODUK,S1,B,2114
332,TEKNIK PERTANIAN,S1,B,2945
333,PSIKOLOGI,S2,B,2348
334,PENDIDIKAN MATEMATIKA,S1,B,1872
335,KOMUNIKASI PENYIARAN ISLAM,S1,B,1872
336,MANAJEMEN,S1,B,3394
337,SASTRA INDONESIA,S1,B,312
338,AKUNTANSI,D-III,B,2305
339,ADMINISTRASI BISNIS,D-III,B,2305
340,AKUNTANSI,D-III,B,3063
341,ADMINISTRASI BISNIS,D-III,B,3063
342,PSIKOLOGI,S1,B,3237
343,PENDIDIKAN LUAR SEKOLAH,S1,A,3237
344,PENDIDIKAN AGAMA ISLAM,S1,B,1958
345,AGROTEKNOLOGI,S1,B,3394
346,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,
347,PENDIDIKAN MATEMATIKA,S1,B,81
348,AGRIBISNIS,S1,B,2577
349,PERBANKAN DAN KEUANGAN,D-III,B,3063
350,AKUAKULTUR,S1,B,708
351,AKUNTANSI,S1,B,3313
352,PENDIDIKAN MATEMATIKA,S1,B,1710
353,PENDIDIKAN GEOGRAFI,S1,A,3295
354,PENDIDIKAN BIOLOGI,S1,B,2028
355,SASTRA INGGRIS,S1,A,2044
356,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,S1,B,2673
357,KIMIA,S1,B,472
358,AKUNTANSI,S1,B,3881
359,MANAJEMEN BISNIS SYARIAH,S1,B,
360,SENI MUSIK,S1,B,3702
361,ILMU HUKUM,S2,B,
362,SENI TARI,S1,A,3822
363,SENI KARAWITAN,S1,A,3822
364,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,3941
365,MANAJEMEN PEMASARAN,D-III,B,3309
366,PENDIDIKAN AGAMA ISLAM,S2,B,
367,MANAJEMEN,D-III,A,3155
368,PENDIDIKAN GURU SEKOLAH DASAR,S1,B,409
369,AGROTEKNOLOGI,S1,B,2328
370,BAHASA MANDARIN,D-III,A,1248
371,PENDIDIKAN BAHASA PERANCIS,S1,B,3804
372,TEKNOLOGI INDUSTRI PANGAN,D-III,A,
373,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,B,1973
374,ILMU PENDIDIKAN BAHASA,S3,A,3804
375,PENDIDIKAN OLAH RAGA,S1,B,3271
376,DESAIN PRODUK,S1,A,3136
377,TEKNIK INFORMATIKA,S1,B,1795
378,ILMU MANAJEMEN,S3,B,370
379,LABORATORIUM SAINS,D-III,B,13
380,KEHUTANAN,S2,B,3186
381,ILMU HUKUM,S1,B,83
382,MANAJEMEN,S1,B,1788
383,ARKEOLOGI,S1,A,310
384,STATISTIKA,S1,BAIK,2470
385,AKUNTANSI,D-III,BAIK,
386,AGRIBISNIS,S2,BAIK SEKALI,3846
387,PENDIDIKAN KIMIA,S1,BAIK,3800
388,AGRIBISNIS,S1,BAIK,3050
389,PENDIDIKAN KIMIA,S1,BAIK,2915
390,TEKNIK INDUSTRI,S1,BAIK SEKALI,972
391,BIOLOGI,S1,BAIK,2821
392,PENYULUHAN PERTANIAN BERKELANJUTAN,D-IV,BAIK,3848
393,ILMU HUKUM,S1,B,1544
394,MUSIK GEREJA,S1,B,3849
395,AKUNTANSI,S1,B,4016
396,MANAJEMEN,S1,B,2901
397,SASTRA DAERAH,S1,B,410
398,ILMU TEOLOGI,S2,A,2114
399,MANAJEMEN INFORMATIKA,D-III,B,
400,MANAJEMEN,S1,B,
401,AKUNTANSI,S1,B,
402,TEKNIK INFORMATIKA,S1,B,2664
403,MANAJEMEN,S1,B,2519
404,PENDIDIKAN AGAMA ISLAM,S1,B,3706
405,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,B,3205
406,MANAJEMEN,S1,B,2278
407,MANAJEMEN PENDIDIKAN ISLAM,S1,B,3575
408,HUKUM,S2,B,310
409,ILMU ADMINISTRASI NEGARA,S1,BAIK,
410,TEKNIK INDUSTRI,S1,TIDAK TERAKREDITASI,3943
411,HUKUM EKONOMI SYARIAH,S1,B,
412,PENDIDIKAN MATEMATIKA,S1,B,
413,ILMU KOMUNIKASI,S1,B,840
414,AKUNTANSI,D-III,B,3463
415,PENDIDIKAN GURU MADRASAH IBTIDAIYYAH,S2,B,
416,ILMU HUKUM,S1,B,3218
417,PENDIDIKAN AGAMA ISLAM,S1,B,3683
418,EKONOMI PEMBANGUNAN,S1,B,
419,ILMU AL-QUR'AN DAN TAFSIR,S1,B,3381
420,HUKUM KELUARGA,S1,B,3764
421,ARSITEKTUR,S2,B,2694
422,PENDIDIKAN AGAMA ISLAM,S1,B,233
423,ILMU HUKUM,S1,A,310
424,FOTOGRAFI,S1,B,3806
425,KOMUNIKASI DAN PENYIARAN ISLAM,S1,B,
426,MANAJEMEN,S2,B,
427,PENDIDIKAN AGAMA ISLAM,S1,B,104
428,HUKUM EKONOMI SYARIAH,S1,B,2083
429,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,B,
430,PENDIDIKAN BAHASA ARAB,S1,C,
431,PENDIDIKAN AGAMA ISLAM,S1,B,3801
432,ADMINISTRASI NEGARA,S1,B,2085
433,MANAJEMEN HUTAN,S2,B,3234
434,ILMU KOMUNIKASI,S1,B,765
435,SASTRA INGGRIS,S1,B,2513
436,PENDIDIKAN OLAHRAGA,S1,B,2035
437,ILMU HUKUM,S2,B,1626
438,AGRIBISNIS,S1,BAIK,1150
439,PENDIDIKAN MATEMATIKA,S1,BAIK,4017
440,PENYULUHAN PERKEBUNAN PRESISI,D-IV,BAIK SEKALI,3848
441,TEKNIK INFORMATIKA,D-III,B,
442,ADMINISTRASI PUBLIK,S1,B,2937
443,PENDIDIKAN BAHASA INGGRIS,S1,B,1959
444,MANAJEMEN,S1,B,2319
445,PENDIDIKAN BAHASA INGGRIS,S1,B,
446,TADRIS BAHASA INGGRIS,S1,B,1899
447,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,2874
448,ILMU ADMINISTRASI NEGARA,S1,B,3074
449,BUDIDAYA TANAMAN PANGAN,D-III,B,2565
450,PENDIDIKAN BAHASA INGGRIS,S1,B,3804
451,PENDIDIKAN MATEMATIKA,S1,A,2756
452,PENDIDIKAN AGAMA ISLAM,S1,B,2196
453,MANAJEMEN,S1,B,975
454,ILMU PENDIDIKAN TEOLOGI,S1,B,
455,ANTROPOLOGI SOSIAL,S1,B,2519
456,PEMANFAATAN SUMBER DAYA PERIKANAN,S1,B,2519
457,ILMU TEOLOGI,S1,B,
458,PSIKOLOGI,S1,B,84
459,TADRIS KIMIA,S1,B,1638
460,PENDIDIKAN EKONOMI,S1,B,
461,PENDIDIKAN AGAMA ISLAM,S1,B,
462,PENDIDIKAN AGAMA ISLAM,S1,A,2032
463,PENDIDIKAN AGAMA ISLAM,S1,B,
464,KOMUNIKASI DAN PENYIARAN ISLAM,S1,B,2566
465,SENI MURNI,S1,B,3822
466,PENDIDIKAN AGAMA ISLAM,S1,B,
467,AHWAL AL-SYAKHSHIYAH,S1,B,
468,BAHASA INGGRIS,D-III,B,3898
469,PERHOTELAN,D-III,B,1564
470,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,B,387
471,MANAJEMEN PENDIDIKAN ISLAM,S1,B,
472,DESTINASI PARIWISATA,D-IV,B,2659
473,PENDIDIKAN KEPELATIHAN OLAHRAGA,S1,B,
474,BIMBINGAN DAN KONSELING,S1,B,284
475,AKUNTANSI,S1,B,2045
476,PENDIDIKAN AGAMA ISLAM,S1,B,
477,MANAJEMEN,S1,B,3868
478,SASTRA INGGRIS,S1,B,3233
479,AKUNTANSI,S1,B,1729
480,AKUNTANSI,S1,B,968
481,ILMU ADMINISTRASI NIAGA,S1,B,2842
482,PENDIDIKAN BAHASA INGGRIS,S1,B,3281
483,PENDIDIKAN TEKNOLOGI INFORMASI,S1,B,3545
484,HUKUM KELUARGA,S1,B,3778
485,PERTAMANAN,S1,B,2719
486,MANAJEMEN PENDIDIKAN ISLAM,S1,B,3465
487,PENDIDIKAN AGAMA ISLAM,S1,A,2083
488,AKUNTANSI,S1,B,2719
489,PENDIDIKAN BIOLOGI,S1,B,1705
490,PENDIDIKAN BAHASA INGGRIS,S1,B,3909
491,ILMU MANAJEMEN,S2,A,2672
492,PENDIDIKAN MATEMATIKA,S1,BAIK,4014
493,TEOLOGI HINDU,S1,BAIK,
494,KEHUTANAN,S1,B,1183
495,AGRIBISNIS,S1,B,2944
496,PENGAJARAN FISIKA,S2,A,2697
497,PENDIDIKAN MATEMATIKA,S1,B,3853
498,PENDIDIKAN MATEMATIKA,S1,C,
499,AHWAL AL-SYAKHSHIYYAH,S1,B,592
500,PENDIDIKAN AGAMA ISLAM,S1,B,3776
501,PENDIDIKAN BIOLOGI,S1,B,
502,HUKUM EKONOMI SYARIAH,S1,A,3593
503,HUKUM EKONOMI SYARIAH,S2,B,885
504,MANAJEMEN PENDIDIKAN ISLAM,S1,B,102
505,PERENCANAAN WILAYAH DAN KOTA,S1,B,2640
506,TEKNIK TELEKOMUNIKASI,D-III,B,3980
507,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,B,2026
508,AKUNTANSI,S1,A,765
509,MANAJEMEN,S2,B,2469
510,TEKNOLOGI INDUSTRI PERTANIAN,S1,B,177
511,PENDIDIKAN AGAMA ISLAM,S3,B,955
512,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,B,3680
513,MAGISTER KEGURUAN BAHASA,S2,B,310
514,PENDIDIKAN AGAMA KRISTEN,S2,B,2386
515,BIMBINGAN KONSELING  ISLAM,S1,B,
516,AKUNTANSI,S1,B,2321
517,AGROTEKNOLOGI,S1,B,1787
518,MANAJEMEN,S1,B,
519,PENDIDIKAN ISLAM ANAK USIA DINI,S1,B,
520,PENDIDIKAN AGAMA ISLAM,S1,B,2878
