prodi_code,prodi_name,jenjang,akreditasi_prodi,institution_code
10499,KEPERAWATAN,S1,BAIK SEKALI,1259
10500,PENDIDIKAN BAHASA INDONESIA,S2,BAIK SEKALI,1259
10501,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,BAIK SEKALI,1705
10502,PENDIDIKAN KOMPUTER,S1,BAIK,
10503,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,UNGGUL,3198
10504,BIMBINGAN DAN KONSELING PENDIDIKAN ISLAM,S1,BAIK,
10505,PENDIDIKAN MATEMATIKA,S3,UNGGUL,3198
10506,PENDIDIKAN BAHASA INDONESIA,S1,BAIK SEKALI,431
10507,MANAJEMEN PENDIDIKAN,S2,BAIK SEKALI,144
10508,PENDIDIKAN DASAR,S2,UNGGUL,2698
10509,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,UNGGUL,3396
10510,BIMBINGAN DAN KONSELING,S1,BAIK SEKALI,1259
10511,BIMBINGAN DAN KONSELING,S1,BAIK SEKALI,573
10512,PENDIDIKAN AGAMA ISLAM,S1,BAIK SEKALI,
10513,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,BAIK SEKALI,2299
10514,PENDIDIKAN MATEMATIKA,S1,BAIK SEKALI,2299
10515,KEBIDANAN,D-III,BAIK SEKALI,1993
10516,ANALIS KESEHATAN,D-III,BAIK SEKALI,1712
10517,KEPERAWATAN,D-IV,UNGGUL,
10518,NERS,PROFESI,UNGGUL,
10519,UROLOGI,SPESIALIS,UNGGUL,2699
10520,ILMU KEBIDANAN,S2,BAIK SEKALI,2680
10521,FARMASI,D-III,BAIK SEKALI,573
10522,FARMASI,D-III,UNGGUL,2435
10523,KESEHATAN MASYARAKAT,S1,BAIK SEKALI,2576
10524,ILMU AL-QUR`AN DAN TAFSIR,S2,B,1010
10525,ADMINISTRASI RUMAH SAKIT,S1,BAIK,
10526,KEPERAWATAN,S2,UNGGUL,2135
10527,REKAM MEDIS DAN INFORMASI KESEHATAN,D-III,UNGGUL,2370
10528,FISIOTERAPI,D-III,BAIK,3517
10529,KESEHATAN MASYARAKAT,S2,BAIK SEKALI,2083
10530,BIDAN,PROFESI,BAIK,3218
10531,KEBIDANAN,S1,BAIK,3218
10532,KEBIDANAN,D-III,BAIK,3876
10533,ILMU KEDOKTERAN,S3,BAIK SEKALI,
10534,PENDIDIKAN BIOLOGI,S1,BAIK SEKALI,2038
10535,PENDIDIKAN AGAMA ISLAM,S1,UNGGUL,1832
10536,PENDIDIKAN KEAGAMAAN KATOLIK,S1,BAIK,522
10537,PENDIDIKAN SENI RUPA,S1,A,2339
10538,PENDIDIKAN MATEMATIKA,S1,C,3895
10539,PENDIDIKAN BAHASA INGGRIS,S1,C,
10540,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,3419
10541,PENDIDIKAN MATEMATIKA,S1,BAIK SEKALI,3026
10542,PENDIDIKAN MATEMATIKA,S1,BAIK SEKALI,3481
10543,AKUNTANSI,D-III,UNGGUL,1850
10544,MANAJEMEN,S1,UNGGUL,2088
10545,MANAJEMEN,S1,UNGGUL,2063
10546,ILMU EKONOMI,S3,BAIK SEKALI,1482
10547,ILMU EKONOMI,S2,UNGGUL,2174
10548,MANAJEMEN,S2,BAIK SEKALI,1850
10549,AKUNTANSI,S1,BAIK SEKALI,516
10550,ILMU EKONOMI,S2,UNGGUL,177
10551,AKUNTANSI,S1,BAIK,769
10552,MANAJEMEN,S1,BAIK,3709
10553,EKONOMI SYARIAH,S2,BAIK SEKALI,
10554,EKONOMI PEMBANGUNAN,S1,BAIK SEKALI,86
10555,AKUNTANSI,S1,BAIK,
10556,AKUNTANSI,S1,BAIK,
10557,EKONOMI SYARIAH,S1,BAIK,
10558,EKONOMI SYARIAH,S1,BAIK SEKALI,1172
10559,PERBANKAN DAN KEUANGAN,D-III,BAIK SEKALI,3302
10560,PJJ MANAJEMEN,S2,BAIK SEKALI,3309
10561,KEUANGAN DAN PERBANKAN,D-III,BAIK SEKALI,3517
10562,AKUNTANSI,S1,UNGGUL,1248
10563,AKUNTANSI,S2,UNGGUL,3094
10564,EKONOMI SYARI'AH,S1,BAIK SEKALI,2251
10565,KEUANGAN DAN PERBANKAN,D-III,BAIK SEKALI,1556
10566,AKUNTANSI,S1,UNGGUL,2698
10567,AKUNTANSI,S1,BAIK SEKALI,1302
10568,MANAJEMEN,S2,UNGGUL,2088
10569,AKUNTANSI,S1,UNGGUL,2088
10570,EKONOMI SYARI'AH,S2,BAIK SEKALI,
10571,MANAJEMEN INOVASI,S2,BAIK,3313
10572,AKUNTANSI,S1,UNGGUL,3240
10573,ILMU AKUNTANSI,S3,UNGGUL,2088
10574,MANAJEMEN,S1,UNGGUL,3240
10575,MANAJEMEN,S1,BAIK SEKALI,1884
10576,EKONOMI PEMBANGUNAN,S1,BAIK SEKALI,708
10577,MANAJEMEN,S1,BAIK,667
10578,MANAJEMEN,S2,BAIK SEKALI,2038
10579,ADMINISTRASI BISNIS,D-III,BAIK SEKALI,2363
10580,AKUNTANSI,D-III,BAIK SEKALI,2509
10581,EKONOMI SYARI'AH,S1,BAIK SEKALI,557
10582,AKUNTANSI,S1,BAIK,2388
10583,MANAJEMEN,S1,BAIK SEKALI,1856
10584,AKUNTANSI,S1,UNGGUL,1575
10585,AKUNTANSI,S1,BAIK,
10586,AKUNTANSI,S1,UNGGUL,1836
10587,AKUNTANSI,S1,UNGGUL,2371
10588,MANAJEMEN,S1,BAIK SEKALI,605
10589,MANAJEMEN,S2,BAIK SEKALI,1544
10590,MANAJEMEN PAJAK,D-III,BAIK,421
10591,MANAJEMEN,S1,UNGGUL,
10592,MANAJEMEN,S1,BAIK SEKALI,2
10593,MANAJEMEN,S1,UNGGUL,3907
10594,AKUNTANSI,D-III,BAIK SEKALI,3517
10595,AKUNTANSI,S1,BAIK SEKALI,1884
10596,MANAJEMEN,S1,UNGGUL,2261
10597,EKONOMI SYARIAH,S1,BAIK SEKALI,
10598,MANAJEMEN,S1,BAIK SEKALI,2403
10599,MANAJEMEN,S2,BAIK SEKALI,
10600,PERBANKAN SYARIAH,S2,BAIK SEKALI,1638
10601,MANAJEMEN KEUANGAN,D-IV,BAIK,1556
10602,MANAJEMEN,S1,BAIK,2388
10603,ILMU EKONOMI,S2,UNGGUL,2679
10604,MANAJEMEN,S2,BAIK SEKALI,2340
10605,AKUNTANSI KEUANGAN,D-IV,BAIK SEKALI,2363
10606,AKUNTANSI,S1,UNGGUL,1670
10607,EKONOMI SYARIAH,S1,UNGGUL,3293
10608,AKUNTANSI,S1,BAIK SEKALI,629
10609,AKUNTANSI,S1,BAIK,2797
10610,AKUNTANSI,S1,BAIK,3964
10611,AKUNTANSI,S1,BAIK SEKALI,310
10612,MANAJEMEN,S1,BAIK SEKALI,1709
10613,MANAJEMEN ADMINISTRASI,D-III,BAIK SEKALI,2206
10614,EKONOMI PEMBANGUNAN,S1,UNGGUL,2063
10615,AKUNTANSI,S1,BAIK SEKALI,605
10616,AKUNTANSI,S1,BAIK SEKALI,253
10617,AKUNTANSI SYARIAH,S1,UNGGUL,
10618,ILMU EKONOMI,S3,BAIK SEKALI,2696
10619,AKUNTANSI,S1,UNGGUL,2503
10620,MANAJEMEN,S2,BAIK,
10621,AKUNTANSI,S1,BAIK SEKALI,1259
10622,MANAJEMEN,S1,BAIK,2126
10623,EKONOMI SYARIAH,S1,BAIK SEKALI,
10624,MANAJEMEN,S1,UNGGUL,1543
10625,MANAJEMEN ZAKAT DAN WAKAF,S1,BAIK SEKALI,342
10626,AKUNTANSI,S1,BAIK SEKALI,1605
10627,ILMU AKUNTANSI,S2,BAIK SEKALI,1119
10628,MANAJEMEN,S2,BAIK SEKALI,972
10629,MANAJEMEN,S2,BAIK SEKALI,387
10630,AKUNTANSI,S1,BAIK,
10631,MANAJEMEN,S2,BAIK SEKALI,2503
10632,MANAJEMEN,S1,BAIK SEKALI,2063
10633,MANAJEMEN,S1,BAIK,764
10634,AKUNTANSI,S1,BAIK SEKALI,439
10635,PERBANKAN SYARIAH,S1,BAIK,154
10636,PERPAJAKAN,D-III,BAIK SEKALI,608
10637,AKUNTANSI,D-III,BAIK,421
10638,AKUNTANSI,D-III,BAIK SEKALI,3010
10639,AKUNTANSI,D-III,BAIK,3001
10640,AKUNTANSI,S1,BAIK SEKALI,3099
10641,AKUNTANSI,D-III,BAIK,2983
10642,AKUNTANSI,S1,BAIK,3121
10643,MANAJEMEN,S1,UNGGUL,1850
10644,PERBANKAN SYARIAH,S1,BAIK SEKALI,1171
10645,AKUNTANSI,S1,BAIK,3283
10646,MANAJEMEN,S1,BAIK SEKALI,1411
10647,MANAJEMEN,S1,BAIK SEKALI,3121
10648,MANAJEMEN,S1,BAIK,386
10649,AKUNTANSI,S1,BAIK,501
10650,PERBANKAN SYARIAH,S1,BAIK SEKALI,3284
10651,MANAJEMEN,S2,UNGGUL,3308
10652,MANAJEMEN,S1,BAIK,950
10653,AKUNTANSI,S1,BAIK,2288
10654,AKUNTANSI,S1,UNGGUL,177
10655,MANAJEMEN LINGKUNGAN,S2,BAIK SEKALI,1045
10656,ILMU AKUNTANSI,S2,UNGGUL,2261
10657,MANAJEMEN,S2,BAIK SEKALI,82
10658,MANAJEMEN,S2,UNGGUL,1482
10659,AKUNTANSI,S1,UNGGUL,570
10660,MANAJEMEN,S1,BAIK SEKALI,3010
10661,ILMU EKONOMI,S3,BAIK SEKALI,177
10662,EKONOMI SYARIAH,S1,BAIK SEKALI,
10663,EKONOMI ISLAM,S1,UNGGUL,2485
10664,MANAJEMEN PEMASARAN,D-III,UNGGUL,3296
10665,AKUNTANSI,D-III,BAIK SEKALI,25
10666,AKUNTANSI,S1,BAIK,447
10667,AKUNTANSI,S1,BAIK SEKALI,1099
10668,MANAJEMEN,S1,BAIK SEKALI,1846
10669,ILMU EKONOMI,S2,BAIK,212
10670,AKUNTANSI,S1,BAIK,235
10671,MANAJEMEN,S1,BAIK,2749
10672,MANAJEMEN,S1,BAIK,
10673,MANAJEMEN,S1,BAIK SEKALI,2509
10674,PERPAJAKAN,D-III,UNGGUL,2135
10675,MANAJEMEN,S3,UNGGUL,2659
10676,ILMU AKUNTANSI,S3,UNGGUL,2135
10677,PERBANKAN SYARIAH,S1,BAIK SEKALI,1010
10678,AKUNTANSI,S1,BAIK,2461
10679,AKUNTANSI,S1,UNGGUL,1479
10680,PERBANKAN SYARIAH,S1,BAIK SEKALI,
10681,PENDIDIKAN PROFESI AKUNTANSI,PROFESI,UNGGUL,2088
10682,MANAJEMEN,S1,UNGGUL,2095
10683,AKUNTANSI,S1,BAIK,2038
10684,AKUNTANSI,S1,UNGGUL,2095
10685,MANAJEMEN,S1,UNGGUL,770
10686,AKUNTANSI,S1,BAIK SEKALI,2937
10687,MANAJEMEN,S2,UNGGUL,2348
10688,AKUNTANSI MANAJEMEN,D-IV,UNGGUL,455
10689,MANAJEMEN,S1,BAIK,
10690,MANAJEMEN,S1,BAIK SEKALI,1479
10691,MANAJEMEN,S1,UNGGUL,2698
10692,AKUNTANSI,S1,BAIK SEKALI,1856
10693,ILMU KOMUNIKASI,S1,BAIK,2845
10694,KEPERAWATAN,D-III,B,2330
10695,KEBIDANAN,D-III,B,2330
10696,KEBIDANAN,D-III,BAIK SEKALI,2417
10697,KEBIJAKAN DAN MANAJEMEN KESEHATAN,S2,UNGGUL,2699
10698,INFORMATIKA,S1,BAIK SEKALI,2237
10699,PENDIDIKAN FISIKA,S1,UNGGUL,570
10700,PROFESI INSINYUR,PROFESI,B,2562
10701,PETERNAKAN,S1,UNGGUL,1909
10702,HUBUNGAN INTERNASIONAL,S1,BAIK,1544
10703,BUDIDAYA PERAIRAN,S1,BAIK,2497
10704,PARIWISATA,S2,BAIK,3198
10705,PENDIDIKAN DASAR,S2,A,1549
10706,KENOTARIATAN,S2,UNGGUL,2174
10707,ILMU TERNAK,S2,UNGGUL,2174
10708,SISTEM INFORMASI,S1,BAIK,1909
10709,PSIKOLOGI,S1,BAIK,612
10710,KEWIRAUSAHAAN,S1,BAIK,1695
10711,PENDIDIKAN TEKNOLOGI DAN KEJURUAN,S2,BAIK SEKALI,90
10712,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,BAIK SEKALI,2673
10713,TEKNOLOGI REKAYASA PERANGKAT LUNAK,D-IV,BAIK,
10714,ADMINISTRASI PERKANTORAN,D-III,BAIK,3965
10715,ILMU KOMPUTER,S1,BAIK,2602
10716,ILMU EKONOMI,S2,BAIK SEKALI,485
10717,PENDIDIKAN AGAMA ISLAM,S1,BAIK,
10718,AKUNTANSI,S1,BAIK,1485
10719,TEKNIK INDUSTRI,S1,BAIK,3588
10720,PENDIDIKAN ILMU PENGETAHUAN ALAM,S1,BAIK,3869
10721,AKUNTANSI,S1,BAIK SEKALI,
10722,ILMU KEOLAHRAGAAN,S1,BAIK,1544
10723,TEKNIK SIPIL,S1,BAIK,3186
10724,PENDIDIKAN GURU SEKOLAH DASAR,S1,BAIK,2077
10725,SAINS INFORMASI GEOGRAFI,S1,BAIK,3002
10726,TEKNIK INFORMATIKA,S1,BAIK,1871
10727,MANAJEMEN,S1,BAIK,2571
10728,SISTEM INFORMASI,S1,BAIK,709
10729,ADMINISTRASI PENDIDIKAN,S1,BAIK SEKALI,
10730,PENDIDIKAN KEPELATIHAN OLAHRAGA,S1,BAIK,
10731,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,UNGGUL,1832
10732,PENDIDIKAN AGAMA ISLAM,S1,BAIK SEKALI,2036
10733,PENDIDIKAN EKONOMI,S1,BAIK,1591
10734,KEDOKTERAN HEWAN SIKIA BANYUWANGI,S1,BAIK SEKALI,2135
10735,PENDIDIKAN AGAMA ISLAM,S2,BAIK SEKALI,1765
10736,MANAJEMEN,S2,BAIK SEKALI,1544
10737,UROLOGI,SPESIALIS,UNGGUL,2679
10738,KEBIDANAN,D-III,BAIK,
10739,KEBIDANAN,S1,BAIK,2321
10740,BIDAN,PROFESI,BAIK,2321
10741,PENDIDIKAN AKUNTANSI,S1,UNGGUL,1886
10742,BIMBINGAN DAN KONSELING PENDIDIKAN ISLAM,S1,BAIK SEKALI,1582
10743,PENDIDIKAN BIOLOGI,S1,BAIK SEKALI,3910
10744,BIMBINGAN DAN KONSELING,S1,UNGGUL,3804
10745,PENDIDIKAN AGAMA ISLAM,S2,UNGGUL,956
10746,PENDIDIKAN ILMU PENGETAHUAN ALAM,S1,UNGGUL,2603
10747,MANAJEMEN PERUSAHAAN,D-III,BAIK SEKALI,688
10748,ILMU EKONOMI,S1,BAIK SEKALI,2251
10749,MANAJEMEN,S1,BAIK,2038
10750,MANAJEMEN,S1,BAIK SEKALI,
10751,AGRIBISNIS,S1,UNGGUL,177
10752,AGROTEKNOLOGI,S1,UNGGUL,177
10753,PENDIDIKAN GURU SEKOLAH DASAR,S1,BAIK,
10754,AKUNTANSI,S1,BAIK,2571
10755,INFORMATIKA,S2,UNGGUL,2696
10756,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,BAIK,3014
10757,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,BAIK,3683
10758,PENDIDIKAN GURU SEKOLAH DASAR,S1,BAIK,2116
10759,MANAJEMEN PAJAK,D-III,BAIK SEKALI,3237
10760,PENDIDIKAN BAHASA DAN KEBUDAYAAN LAMPUNG,S2,BAIK SEKALI,2261
10761,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,BAIK,1235
10762,ILMU ADMINISTRASI NEGARA,S1,BAIK SEKALI,3024
10763,MANAJEMEN,S1,BAIK SEKALI,3044
10764,PENDIDIKAN BIOLOGI,S1,BAIK,2610
10765,ILMU ADMINISTRASI NEGARA,S1,BAIK SEKALI,310
10766,ILMU KOMPUTER,S1,BAIK,341
10767,TEOLOGI,S3,BAIK,1120
10768,ILMU HADIST,S1,BAIK SEKALI,1164
10769,ILMU AL QURAN DAN TAFSIR,S1,UNGGUL,1164
10770,KIMIA,D-III,BAIK SEKALI,2660
10771,BIMBINGAN KONSELING ISLAM,S1,BAIK SEKALI,1117
10772,PENDIDIKAN JASMANI,S1,BAIK,2637
10773,KIMIA,S1,UNGGUL,
10774,TEKNIK KIMIA,S1,UNGGUL,3318
10775,MANAJEMEN,S2,UNGGUL,1957
10776,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,BAIK,3779
10777,MANAJEMEN PELAYANAN RUMAH SAKIT,D-III,BAIK SEKALI,2330
10778,FISIOTERAPI,D-IV,UNGGUL,
10779,ILMU GIZI KLINIK,SPESIALIS,UNGGUL,2679
10780,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,BAIK,
10781,PENDIDIKAN BIOLOGI,S1,BAIK SEKALI,2196
10782,BIMBINGAN KONSELING ISLAM,S1,BAIK,2299
10783,"PENDIDIKAN JASMANI, KESEHATAN DAN REKREASI",S1,B,3521
10784,TADRIS BAHASA INGGRIS,S1,UNGGUL,969
10785,AGROTEKNOLOGI,S1,BAIK,2712
10786,SASTRA INGGRIS,S1,UNGGUL,2277
10787,AGRIBISNIS,S1,UNGGUL,770
10788,ORTODONSIA,SPESIALIS,UNGGUL,2699
10789,MANAJEMEN INFORMATIKA,D-III,BAIK,1933
10790,PENDIDIKAN AGAMA ISLAM,S1,BAIK SEKALI,3847
10791,ILMU KESEHATAN TELINGA HIDUNG TENGGOROK BEDAH KEPALA DAN LEHER,SPESIALIS,UNGGUL,2063
10792,KESEHATAN LINGKUNGAN,S1,UNGGUL,3254
10793,ILMU KEDOKTERAN OLAHRAGA,SPESIALIS,UNGGUL,2679
10794,AKUPUNKTUR MEDIK,SPESIALIS,UNGGUL,2679
10795,PATOLOGI KLINIK,SPESIALIS,UNGGUL,2679
10796,FARMASI,S1,BAIK SEKALI,1119
10797,DOKTER GIGI,PROFESI,BAIK SEKALI,1248
10798,KEDOKTERAN GIGI,S1,UNGGUL,1248
10799,MANAJEMEN,S1,BAIK SEKALI,701
10800,MANAJEMEN,S2,BAIK SEKALI,631
10801,MANAJEMEN,S1,BAIK SEKALI,410
10802,EKONOMI PEMBANGUNAN,S1,UNGGUL,310
10803,MANAJEMEN BISNIS SYARIAH,S1,UNGGUL,342
10804,ILMU EKONOMI,S3,BAIK SEKALI,1119
10805,AKUNTANSI SYARIAH,S2,BAIK SEKALI,1267
10806,ILMU EKONOMI,S2,UNGGUL,2660
10807,ILMU MANAJEMEN,S3,BAIK SEKALI,2721
10808,ILMU MANAJEMEN,S3,BAIK SEKALI,2041
10809,MANAJEMEN,S1,BAIK,2096
10810,AKUNTANSI,S1,BAIK SEKALI,1655
10811,MANAJEMEN LOGISTIK,S1,BAIK SEKALI,3204
10812,MANAJEMEN,S1,BAIK SEKALI,2341
10813,AKUNTANSI,S1,BAIK SEKALI,1659
10814,ADMINISTRASI BISNIS,S1,BAIK SEKALI,516
10815,MANAJEMEN,S1,BAIK SEKALI,2129
10816,EKONOMI SYARIAH,S1,BAIK SEKALI,569
10817,AKUNTANSI,D-III,BAIK,2732
10818,PENGELOLAAN PERHOTELAN,D-IV,BAIK,2498
10819,PENDIDIKAN AGAMA ISLAM,S1,B,3248
10820,PENDIDIKAN BAHASA INGGRIS,S1,BAIK,911
10821,KEBIDANAN,D-III,BAIK SEKALI,1538
10822,KEBIDANAN,D-III,BAIK,
10823,ADMINISTRASI RUMAH SAKIT,S1,BAIK SEKALI,
10824,KESEHATAN MASYARAKAT SIKIA BANYUWANGI,S1,UNGGUL,2135
10825,ILMU BEDAH,SPESIALIS,UNGGUL,2135
10826,NERS,PROFESI,BAIK SEKALI,2311
10827,KEPERAWATAN,S1,BAIK SEKALI,2311
10828,"ILMU KESEHATAN TELINGA HIDUNG TENGGOROK, BEDAH KEPALA DAN LEHER",SPESIALIS,UNGGUL,2663
10829,FISIOTERAPI,D-III,BAIK,1899
10830,NERS,PROFESI,B,2379
10831,KEBIDANAN,D-III,BAIK SEKALI,3664
10832,DERMATOLOGI DAN VENEREOLOGI,SPESIALIS,UNGGUL,2088
10833,OPTOMETRI,D-III,BAIK SEKALI,3518
10834,NERS,PROFESI,BAIK SEKALI,2321
10835,KEPERAWATAN,S1,BAIK SEKALI,2321
10836,ILMU BEDAH,SPESIALIS,BAIK SEKALI,2694
10837,PENDIDIKAN MATEMATIKA,S1,BAIK SEKALI,1705
10838,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,UNGGUL,2341
10839,KESEHATAN MASYARAKAT,S1,BAIK SEKALI,
10840,ANALIS KESEHATAN,D-III,BAIK,2640
10841,FARMASI,D-III,BAIK,2640
10842,TEKNIK KOMPUTER,D-III,BAIK SEKALI,2081
10843,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,BAIK SEKALI,705
10844,PENDIDIKAN BAHASA ARAB,S1,BAIK SEKALI,
10845,PENDIDIKAN AGAMA ISLAM,S1,C,3163
10846,PENDIDIKAN BAHASA INGGRIS,S1,B,2039
10847,PENDIDIKAN EKONOMI,S1,B,152
10848,PETERNAKAN,S3,UNGGUL,2663
10849,TEKNOLOGI PANGAN,S1,UNGGUL,573
10850,TEKNOLOGI HASIL PERTANIAN,D-III,B,3735
10851,TEKNIK INFORMATIKA,S1,BAIK,3694
10852,MANAJEMEN,S1,BAIK,2090
10853,MANAJEMEN DAKWAH,S1,BAIK,479
10854,ILMU HADIS,S1,BAIK,
10855,AKUNTANSI,S1,BAIK,639
10856,PENDIDIKAN JASMANI KESEHATAN & REKREASI,S1,BAIK SEKALI,1544
10857,PENDIDIKAN MATEMATIKA,S1,BAIK,1152
10858,BUDI DAYA IKAN,D-III,BAIK,2283
10859,AKUNTANSI,S1,BAIK,523
10860,BAHASA DAN SASTRA ARAB,S1,UNGGUL,1164
10861,SISTEM INFORMASI,S1,TIDAK TERAKREDITASI,3514
10862,AKUNTANSI,S1,BAIK,2867
10863,TEOLOGI,S1,BAIK,
10864,ILMU AL-QUR'AN DAN TAFSIR,S1,BAIK,
10865,TEOLOGI,S2,BAIK,2176
10866,PENDIDIKAN AGAMA ISLAM,S1,BAIK SEKALI,3356
10867,PENDIDIKAN KRISTEN UNTUK ANAK USIA DINI,S1,BAIK,3761
10868,REKAYASA PERANGKAT LUNAK,S1,BAIK,2216
10869,HUKUM,S2,UNGGUL,1248
10870,MANAJEMEN,S2,BAIK SEKALI,2356
10871,ILMU PEMERINTAHAN,S1,BAIK,3011
10872,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,BAIK,749
10873,TEKNOLOGI REKAYASA MULTIMEDIA GRAFIS,D-IV,BAIK,
10874,PERBANKAN SYARIAH,S1,BAIK SEKALI,
10875,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,BAIK,3082
10876,PENDIDIKAN AGAMA ISLAM,S1,BAIK,492
10877,MANAJEMEN,S1,UNGGUL,84
10878,HUKUM ISLAM,S2,BAIK SEKALI,1117
10879,AGRIBISNIS,S1,BAIK,1503
10880,HUKUM,S1,BAIK,950
10881,TEKNOLOGI PAKAN TERNAK,D-IV,BAIK,505
10882,DESAIN KOMUNIKASI VISUAL,S1,BAIK,2388
10883,HUKUM,S1,BAIK,2876
10884,AGRIBISNIS,S2,UNGGUL,1909
10885,KAJIAN STRATEJIK DAN GLOBAL,S3,BAIK SEKALI,2679
10886,BUDIDAYA PERAIRAN K. BIMA,D-III,BAIK,485
10887,DERMATOLOGI DAN VENEREOLOGI,SPESIALIS,UNGGUL,2699
10888,KESEHATAN MASYARAKAT,S1,BAIK SEKALI,3006
10889,MANAJEMEN,S2,UNGGUL,3309
10890,TEKNOLOGI HASIL PERIKANAN,S1,B,2464
10891,ILMU PEMERINTAHAN,S1,B,608
10892,AGRIBISNIS,S1,B,975
10893,KONSTRUKSI BANGUNAN GEDUNG,D-IV,B,2363
10894,PROFESI INSINYUR,PROFESI,B,2212
10895,ILMU DAN TEKNOLOGI KELAUTAN,S1,A,2672
10896,TEKNOLOGI HASIL PERTANIAN,S1,B,1886
10897,GEOGRAFI,S1,A,2339
10898,TEKNOLOGI HASIL PERIKANAN,S1,B,1958
10899,AKUNTANSI,S1,BAIK,2626
10900,TEKNIK INDUSTRI,S1,BAIK,2471
10901,SISTEM INFORMASI,S1,BAIK,2905
10902,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,BAIK,3350
10903,BIMBINGAN PENYULUHAN ISLAM,S1,BAIK,434
10904,BIOTEKNOLOGI TANAH DAN LINGKUNGAN,S2,TIDAK TERAKREDITASI,2672
10905,KEPEMIMPINAN KRISTEN,S1,BAIK,3253
10906,EKONOMI SYARI`AH,S1,BAIK,3250
10907,ILMU HUKUM,S2,B,1012
10908,PENGEMBANGAN MASYARAKAT ISLAM,S1,B,1117
10909,TEKNOLOGI TELEKOMUNIKASI,D-III,B,3063
10910,DESAIN KOMUNIKASI VISUAL,S1,B,1655
10911,AGROTEKNOLOGI,S1,BAIK,305
10912,PENDIDIKAN AGAMA ISLAM,S1,UNGGUL,
10913,PENDIDIKAN BAHASA INGGRIS,S1,BAIK SEKALI,3382
10914,PENDIDIKAN AGAMA ISLAM,S1,BAIK SEKALI,
10915,PENDIDIKAN GURU SEKOLAH DASAR,S2,BAIK SEKALI,3198
10916,PENDIDIKAN GEOGRAFI,S1,UNGGUL,284
10917,PENDIDIKAN,S3,BAIK SEKALI,2261
10918,PENDIDIKAN MATEMATIKA,S1,BAIK SEKALI,312
10919,ADMINISTRASI PENDIDIKAN,S2,BAIK SEKALI,1259
10920,PENDIDIKAN GEOGRAFI,S1,BAIK SEKALI,
10921,"PENDIDIKAN JASMANI, KESEHATAN DAN REKREASI",S1,BAIK,2876
10922,BIOTEKNOLOGI,S1,BAIK,3190
10923,INFORMATIKA,S1,BAIK,3190
10924,PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK,3248
10925,KEDOKTERAN,S1,UNGGUL,608
10926,PENDIDIKAN PROFESI DOKTER GIGI,PROFESI,BAIK SEKALI,608
10927,NERS,PROFESI,BAIK SEKALI,
10928,PENDIDIKAN BIOLOGI,S1,BAIK SEKALI,667
10929,PENDIDIKAN FISIKA,S1,UNGGUL,2339
10930,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,BAIK SEKALI,370
10931,PENDIDIKAN INFORMATIKA,S1,UNGGUL,2133
10932,PENDIDIKAN GURU SEKOLAH DASAR,S1,UNGGUL,1832
10933,PENDIDIKAN GEOGRAFI,S1,BAIK SEKALI,1259
10934,PENDIDIKAN FISIKA,S2,UNGGUL,3198
10935,PENDIDIKAN BAHASA INGGRIS,S1,BAIK,3910
10936,PENDIDIKAN SEJARAH,S1,UNGGUL,3237
10937,PENDIDIKAN BIOLOGI,S1,BAIK SEKALI,3218
10938,PENDIDIKAN BAHASA INDONESIA,S1,UNGGUL,1886
10939,MANAJEMEN PENDIDIKAN ISLAM,S2,BAIK SEKALI,
10940,PENDIDIKAN LUAR BIASA,S1,UNGGUL,3804
10941,PENDIDIKAN BIOLOGI,S1,BAIK SEKALI,
10942,PENDIDIKAN ADMINISTRASI PERKANTORAN,S1,UNGGUL,2339
10943,PENDIDIKAN BIOLOGI,S1,BAIK SEKALI,3521
10944,SAINS HUKUM DAN PEMBANGUNAN,S2,A,2135
10945,TEKNIK PERTANIAN,S1,A,
10946,PENYULUHAN PETERNAKAN DAN KESEJAHTERAAN HEWAN,D-IV,A,3516
10947,ILMU HUKUM,S1,B,2694
10948,ILMU HUKUM,S1,B,2299
10949,ILMU HUKUM,S1,A,410
10950,PEMANFAATAN SUMBER DAYA PERIKANAN,S1,UNGGUL,2174
10951,AGROBISNIS PERIKANAN,S1,UNGGUL,2174
10952,SOSIOLOGI,S2,A,2680
