institution_code,institution_name,akreditasi_institusi,address,regency,province,contact,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee,body_type,link,student_amount,lecturer_amount,description
banpt-869,SEKOLAH TINGGI ILMU HUKUM JENDERAL SUDIRMAN,BAIK SEKALI,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-870,AKADEMI TEKNOLOGI RADIOLOGI,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-872,SEKOLAH TINGGI MANAJEMEN INFORMATIKA DAN KOMPUTER KALIREJO LAMPUNG,BAIK,-,-,SUMATERA SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-873,AKADEMI FARMASI YPPM MANDIRI,BAIK,-,-,ACEH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-875,STKIP VETERAN SIDRAP,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-876,UNIVERSITAS ALMARISAH MADANI,BAIK SEKALI,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-877,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN ABDUL MUJIB LAEWANG DAMPAL SELATAN,BAIK,-,-,GORONTALO,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-878,SEKOLAH TINGGI MANAJEMEN PARIWISATA DAN LOGISTIK LENTERA MONDIAL,BAIK,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-880,SEKOLAH TINGGI TEKNIK ATLAS NUSANTARA,BAIK,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-882,UNIVERSITAS MAHENDRADATTA,BAIK SEKALI,-,-,BALI DAN NUSA TENGGARA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-885,UNIVERSITAS MUHAMMADIYAH SAMPIT,BAIK SEKALI,-,-,KALIMANTAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-886,SEKOLAH TINGGI ILMU KESEHATAN ISTARA NUSANTARA,BAIK,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-887,UNIVERSITAS PRAMITA INDONESIA,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-888,SEKOLAH TINGGI ILMU KESEHATAN DARMO,BAIK,-,-,SUMATERA UTARA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-890,UNIVERSITAS TEKNOLOGI SURABAYA,BAIK,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-893,POLITEKNIK TAKUMI,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-894,POLITEKNIK LEMBAGA PENDIDIKAN DAN PENGEMBANGAN PROFESI INDONESIA,BAIK SEKALI,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-895,STIE YA BANGKO,BAIK,-,-,SUMATERA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-897,SEKOLAH TINGGI ILMU EKONOMI DHARMA BUMI PUTRA,BAIK,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-898,SEKOLAH TINGGI ILMU KESEHATAN ARTA KABANJAHE,BAIK,-,-,SUMATERA UTARA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-899,AKADEMI KEPERAWATAN KARYA BHAKTI NUSANTARA,BAIK,-,-,JAWA TENGAH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-900,UNIVERSITAS DIAN NUSANTARA,BAIK SEKALI,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-901,STIM LPI MAKASSAR,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-902,UNIVERSITAS SIPATOKKONG MAMBO,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-903,SEKOLAH TINGGI ILMU EKONOMI PARIPURNA,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-904,SEKOLAH TINGGI ILMU ADMINISTRASI PEMBANGUNAN PALU,BAIK,-,-,GORONTALO,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-905,AKADEMI MARITIM BINA BAHARI,BAIK,-,-,SUMATERA SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-906,AKADEMI KEBIDANAN KONAWE,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-907,UNIVERSITAS KRISTEN TENTENA,BAIK,-,-,GORONTALO,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-908,SEKOLAH TINGGI ILMU EKONOMI PROFESIONAL INDONESIA,BAIK,-,-,SUMATERA UTARA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-909,UNIVERSITAS ALMA ATA,UNGGUL,-,-,DAERAH ISTIMEWA YOGYAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-910,UNIVERSITAS MANDALA WALUYA,BAIK SEKALI,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-911,SEKOLAH TINGGI TEKNOLOGI INFORMATIKA SONY SUGEMA,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-913,POLITEKNIK KEPULAUAN SIMEULUE,BAIK,-,-,ACEH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-914,SEKOLAH TINGGI ILMU KESEHATAN ABDURAHMAN PALEMBANG,BAIK,-,-,SUMATERA SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-915,AKADEMI KOMUNITAS DHARMA BHAKTI BANGKA,BAIK,-,-,SUMATERA SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-918,UNIVERSITAS STELLA MARIS SUMBA,BAIK,-,-,NUSA TENGGARA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-919,AKADEMI TEKNOLOGI AERONAUTIKA SILIWANGI,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-921,UNIVERSITAS SALAKANAGARA,B,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-922,UNIVERSITAS CIPTA MANDIRI,BAIK,-,-,ACEH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-923,INSTITUT TEKNOLOGI BISNIS DAN ADMINISTRASI AL GAZALI BARRU,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-925,UNIVERSITAS NAHDLATUL ULAMA NUSA TENGGARA BARAT,BAIK SEKALI,-,-,BALI DAN NUSA TENGGARA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-927,UNIVERSITAS PARNA RAYA,BAIK,-,-,GORONTALO,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-928,SEKOLAH TINGGI ILMU EKONOMI PIONER MANADO,BAIK,-,-,GORONTALO,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-929,AKADEMI PEREKAM MEDIS DAN INFOKES BHUMI HUSADA,BAIK,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-930,STMIK WIDURI,BAIK,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-931,STMIK KUWERA,BAIK,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-933,UNIVERSITAS MUHAMMADIYAH BANGKA BELITUNG,BAIK SEKALI,-,-,SUMATERA SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-935,UNIVERSITAS MAARIF HASYIM LATIF,BAIK SEKALI,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-937,INSTITUT TEKNOLOGI KELAUTAN BUTON,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-938,AKADEMI FISIOTERAPI HARAPAN BANGSA BANDA ACEH,BAIK,-,-,ACEH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-939,INSTITUT TEKNOLOGI LOMBOK,BAIK,-,-,BALI DAN NUSA TENGGARA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-940,AKADEMI KESEHATAN MUHAMMADIYAH TEMANGGUNG,BAIK,-,-,JAWA TENGAH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-942,POLITEKNIK MUHAMMADIYAH MAGELANG,BAIK,-,-,JAWA TENGAH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-943,SEKOLAH TINGGI ILMU KESEHATAN BETHESDA YAKKUM,B,-,-,DAERAH ISTIMEWA YOGYAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-944,STIKES RAFLESIA,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-945,UNIVERSITAS AL ASYARIAH MANDAR,BAIK SEKALI,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-947,AKADEMI FARMASI SANTO FRANSISKUS XAVERIUS,BAIK,-,-,NUSA TENGGARA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-950,INSTITUT DHARMA BHARATA GRUP,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-951,UNIVERSITAS NASIONAL PASIM,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-952,SEKOLAH TINGGI ILMU EKONOMI FAJAR,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-953,UNIVERSITAS SULAWESI RAYA,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-956,UNIVERSITAS ROYAL,B,-,-,SUMATERA UTARA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-958,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN AN-NUR NANGGROE ACEH DARUSSALAM,BAIK,-,-,ACEH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-959,POLITEKNIK BISNIS DIGITAL INDONESIA,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-960,STISIP BINA PUTERA BANJAR,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-961,AKADEMI SEKRETARI DAN MANAJEMEN INSULINDO,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-964,UNIVERSITAS PENDIDIKAN NASIONAL,UNGGUL,-,-,BALI DAN NUSA TENGGARA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-965,UNIVERSITAS MUHAMMADIYAH SURABAYA,UNGGUL,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-966,POLITEKNIK AKAMIGAS PALEMBANG,BAIK SEKALI,-,-,SUMATERA SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-968,SEKOLAH TINGGI ILMU EKONOMI EL HAKIM,BAIK,-,-,SUMATERA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-969,SEKOLAH TINGGI ILMU HUKUM MUHAMMADIYAH TAKENGON,BAIK SEKALI,-,-,ACEH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-970,STKIP ISLAM SABILAL MUHTADIN BANJARMASIN,BAIK,-,-,KALIMANTAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-971,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN PERSADA EVAV TUAL,BAIK,-,-,MALUKU DAN MALUKU UTARA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-972,SEKOLAH TINGGI ILMU EKONOMI JAMBATAN BULAN,BAIK,-,-,PAPUA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-974,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN TANJUNGPURA,BAIK,-,-,KALIMANTAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-975,UNIVERSITAS MUHAMMADIYAH BOGOR RAYA,BAIK SEKALI,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-976,UNIVERSITAS WIDYA HUSADA SEMARANG,B,-,-,JAWA TENGAH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-977,INSTITUT TEKNOLOGI DAN BISNIS TRENGGALEK,BAIK,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-991,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN KRISTEN SORONG SELATAN,BAIK,-,-,PAPUA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-994,INSTITUT SAINS TEKNOLOGI DAN KESEHATAN 'AISYIYAH KENDARI,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-995,SEKOLAH TINGGI ILMU KESEHATAN BAKTI UTAMA PATI,BAIK SEKALI,-,-,JAWA TENGAH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-996,UNIVERSITAS KALTARA,BAIK SEKALI,-,-,KALIMANTAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-997,UNIVERSITAS OSO,BAIK,-,-,KALIMANTAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-998,AKADEMI KEBIDANAN BANDUNG,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-999,SEKOLAH TINGGI ILMU HUKUM AL-BANNA,BAIK,-,-,ACEH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1001,UNIVERSITAS BOROBUDUR,UNGGUL,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1002,UNIVERSITAS WAHID HASYIM,UNGGUL,-,-,JAWA TENGAH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1006,AKADEMI SAGES,BAIK,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1008,STKIP PANCAKARYA,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1009,AKADEMI KEBIDANAN MURUNG RAYA,BAIK,-,-,KALIMANTAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1011,INSTITUT COKROAMINOTO PINRANG,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1013,INSTITUT TEKNOLOGI DAN BISNIS MUHAMMADIYAH KOLAKA,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1015,UNIVERSITAS BUDI LUHUR,UNGGUL,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1017,UNIVERSITAS SWISS GERMAN,BAIK SEKALI,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1019,UNIVERSITAS ESA UNGGUL,UNGGUL,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1022,UNIVERSITAS WIJAYA PUTRA,BAIK SEKALI,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1023,SEKOLAH TINGGI ILMU EKONOMI PASUNDAN,BAIK SEKALI,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1024,SEKOLAH TINGGI ILMU ADMINISTRASI AAN,BAIK SEKALI,-,-,DAERAH ISTIMEWA YOGYAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1026,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN ROSALIA LAMPUNG,BAIK,-,-,SUMATERA SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1027,UNIVERSITAS DUMOGA KOTAMOBAGU,BAIK,-,-,GORONTALO,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1028,UNIVERSITAS NUSA NIPA,BAIK SEKALI,-,-,NUSA TENGGARA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1029,UNIVERSITAS KARYA PERSADA MUNA,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1030,UNIVERSITAS SATU NUSA LAMPUNG,BAIK,-,-,SUMATERA SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1032,UNIVERSITAS LELEMUKU SAUMLAKI,BAIK,-,-,MALUKU DAN MALUKU UTARA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1034,STITEK DHARMA YADI MAKASSAR,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1035,INSTITUT KESEHATAN DAN TEKNOLOGI GRAHA MEDIKA,BAIK,-,-,GORONTALO,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1036,UNIVERSITAS SEHATI INDONESIA,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1037,STISIP SAMUDERA INDONESIA SELATAN,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1038,UNIVERSITAS MUHAMMADIYAH MADIUN,BAIK SEKALI,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1039,SEKOLAH TINGGI TEKNOLOGI TEXMACO,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1040,INSTITUT TEKNOLOGI DAN SAINS NAHDLATUL ULAMA LAMPUNG,BAIK,-,-,SUMATERA SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1041,SEKOLAH TINGGI ILMU ADMINISTRASI PEMBANGUNAN,BAIK SEKALI,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1042,SEKOLAH TINGGI ILMU EKONOMI GENTIARAS,BAIK SEKALI,-,-,SUMATERA SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1043,POLITEKNIK KATOLIK MANGUNWIJAYA,BAIK SEKALI,-,-,JAWA TENGAH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1044,UNIVERSITAS HKBP NOMMENSEN,BAIK SEKALI,-,-,SUMATERA UTARA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1046,UNIVERSITAS CARITAS INDONESIA,BAIK,-,-,PAPUA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1048,POLITEKNIK ASSALAM SURAKARTA,BAIK,-,-,JAWA TENGAH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1052,AKADEMI KEBIDANAN ISMA HUSADA CIREBON,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1055,STIMI BANJARMASIN,BAIK SEKALI,-,-,KALIMANTAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1056,SEKOLAH TINGGI ILMU EKONOMI TRISAKTI,UNGGUL,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1058,SEKOLAH TINGGI ILMU EKONOMI PGRI DEWANTARA,BAIK SEKALI,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1059,SEKOLAH TINGGI ILMU HUKUM IBLAM,BAIK SEKALI,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1060,UNIVERSITAS AMIKOM YOGYAKARTA,BAIK SEKALI,-,-,DAERAH ISTIMEWA YOGYAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1061,SEKOLAH TINGGI ILMU EKONOMI INDONESIA MAKASSAR,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1066,AKADEMI AUDIOLOGI INDONESIA JAKARTA,BAIK,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1068,AKADEMI MARITIM MALUKU,BAIK,-,-,MALUKU DAN MALUKU UTARA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1069,POLITEKNIK PERTANIAN YASANTO,BAIK,-,-,PAPUA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1074,POLITEKNIK INDONUSA SURAKARTA,BAIK SEKALI,-,-,JAWA TENGAH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1075,SEKOLAH TINGGI ILMU HUKUM PROFESOR GAYUS LUMBUUN,BAIK SEKALI,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1076,SEKOLAH TINGGI ILMU BAHASA ASING BUMI BERINGIN,BAIK,-,-,GORONTALO,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1078,SEKOLAH TINGGI ILMU EKONOMI BULUNGAN TARAKAN,BAIK,-,-,KALIMANTAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1079,AKADEMI KOMUNITAS INDUSTRI PERTAMBANGAN BUKIT ASAM,BAIK,-,-,SUMATERA SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1080,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN SURYA KASIH,BAIK,-,-,NUSA TENGGARA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1081,POLITEKNIK BOMBANA,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1083,POLITEKNIK KESDAM VI BANJARMASIN,BAIK,-,-,KALIMANTAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1085,INSTITUT TEKNOLOGI DAN KESEHATAN IKA BINA,BAIK,-,-,SUMATERA UTARA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1086,AKADEMI KEPERAWATAN TEUNGKU FAKINAH BANDA ACEH,BAIK,-,-,ACEH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1090,STIKES MALUKU HUSADA,B,-,-,MALUKU DAN MALUKU UTARA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1092,UNIVERSITAS PAKUAN,UNGGUL,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1102,UNIVERSITAS ISLAM JAKARTA,BAIK SEKALI,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1103,UNIVERSITAS WANITA INTERNASIONAL,BAIK SEKALI,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1106,UNIVERSITAS MITRA BANGSA,BAIK SEKALI,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1108,UNIVERSITAS MUHAMMADIYAH TEGAL,BAIK,-,-,JAWA TENGAH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1109,POLITEKNIK GUSDURIAN,BAIK,-,-,JAWA TENGAH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1110,UNIVERSITAS SANTO BORROMEUS,B,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1112,SEKOLAH TINGGI OLAHRAGA DAN KESEHATAN BINA GUNA,BAIK SEKALI,-,-,SUMATERA UTARA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1114,UNIVERSITAS SEPULUH NOPEMBER PAPUA,BAIK,-,-,PAPUA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1115,AKADEMI KOMUNITAS NURUL JADID,BAIK,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1119,INSTITUT TEKNOLOGI PEMBANGUNAN SURABAYA,BAIK,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1122,POLITEKNIK DAMARA,BAIK,-,-,JAWA TENGAH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1123,INSTITUT TEKNOLOGI DAN SAINS MANDALA,BAIK SEKALI,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1125,UNIVERSITAS ACHMAD YANI BANJARMASIN,B,-,-,KALIMANTAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1126,STIKES DARUSSALAM LHOKSEUMAWE,BAIK,-,-,ACEH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1128,UNIVERSITAS NAHDLATUL ULAMA INDONESIA,BAIK SEKALI,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1129,POLITEKNIK UNGGULAN CIPTA MANDIRI,BAIK,-,-,SUMATERA UTARA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1130,INSTITUT DIGITAL EKONOMI LPKIA,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1131,SEKOLAH TINGGI ILMU KESEHATAN BOGOR HUSADA,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-1132,INSTITUT BISNIS DAN INFORMATIKA KOSGORO 1957,BAIK SEKALI,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
