institution_code,institution_name,akreditasi_institusi,address,regency,province,contact,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee,body_type,link,student_amount,lecturer_amount,description
banpt-52,UNIVERSITAS BINA BANGSA GETSEMPENA,TERAKREDITASI,-,-,ACEH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-53,UNIVERSITAS MAHKOTA TRICOM UNGGUL,TERAKREDITASI,-,-,SUMATERA UTARA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-54,SEKOLAH TINGGI ILMU KESEHATAN PANCA BHAKTI PONTIANAK,TERAKREDITASI,-,-,KALIMANTAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-55,SEKOLAH TINGGI PARIWISATA AMBARRUKMO YOGYAKARTA,TERAKREDITASI,-,-,DAERAH ISTIMEWA YOGYAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-56,STKIP SYEKH MANSHUR,TERAKREDITASI,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-57,POLITEKNIK ARTIFICIAL INTELLIGENCE BUDI MULIA DUA,TERAKREDITASI SEMENTARA,-,-,DAERAH ISTIMEWA YOGYAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-63,UNIVERSITAS SAHID,UNGGUL,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-65,UNIVERSITAS BAKTI INDONESIA,BAIK,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-66,POLITEKNIK UNISMA MALANG,BAIK,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-67,STIKES PATRIA HUSADA,BAIK,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-69,UNIVERSITAS HAFSHAWATY ZAINUL HASAN,BAIK,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-70,UNIVERSITAS EFARINA,BAIK,-,-,SUMATERA UTARA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-72,UNIVERSITAS LINGGABUANA PGRI SUKABUMI,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-73,POLITEKNIK BANGGAI INDUSTRI,TERAKREDITASI SEMENTARA,-,-,GORONTALO,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-74,SEKOLAH TINGGI ILMU EKONOMI SATYA DHARMA,BAIK,-,-,BALI DAN NUSA TENGGARA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-76,AKADEMI GIZI KARYA HUSADA KEDIRI,BAIK,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-78,SEKOLAH TINGGI ILMU PERTANIAN WUNA RAHA,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-80,UNIVERSITAS ISLAM MADURA,BAIK,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-81,STIKES PANTI WALUYA MALANG,B,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-82,STKIP DARUD DA WAH WAL IRSYAD PINRANG,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-83,SEKOLAH TINGGI ILMU KESEHATAN KESDAM IX/UDAYANA,BAIK,-,-,BALI DAN NUSA TENGGARA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-85,UNIVERSITAS WIRAHUSADA MEDAN,BAIK,-,-,SUMATERA UTARA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-86,POLITEKNIK ALKON KALIMANTAN,BAIK,-,-,KALIMANTAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-91,UNIVERSITAS SEBELAS APRIL,BAIK SEKALI,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-92,UNIVERSITAS SANG BUMI RUWA JURAI,BAIK SEKALI,-,-,SUMATERA SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-93,AKADEMI KULINER MONAS PASIFIK,BAIK SEKALI,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-94,UNIVERSITAS WAHIDIYAH,BAIK,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-95,AKADEMI BAKTI KEMANUSIAAN PALANG MERAH INDONESIA,BAIK SEKALI,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-98,SEKOLAH TINGGI ILMU KESEHATAN PASAR REBO,BAIK,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-99,UNIVERSITAS PGRI MPU SINDOK,BAIK,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-100,POLITEKNIK PALOPO,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-103,UNIVERSITAS BHINNEKA NUSANTARA,BAIK SEKALI,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-104,UNIVERSITAS MUHAMMADIYAH PKU SURAKARTA,BAIK SEKALI,-,-,JAWA TENGAH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-105,INSTITUT BISNIS DAN TEKNOLOGI KALIMANTAN,BAIK SEKALI,-,-,KALIMANTAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-106,AKADEMI KEBIDANAN MEGA BUANA,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-107,SEKOLAH TINGGI ILMU PERTANIAN AMUNTAI,BAIK,-,-,KALIMANTAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-108,STMIK DCI,BAIK,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-110,UNIVERSITAS TIGA SERANGKAI,BAIK,-,-,JAWA TENGAH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-111,UNIVERSITAS MUHAMMADIYAH BREBES,BAIK,-,-,JAWA TENGAH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-112,UNIVERSITAS SUNAN GRESIK,BAIK,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-113,POLITEKNIK SOROWAKO,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
